,https://roic.ai/company/ANIK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2200000,4700000,3400000,1200000,12000000,13900000,13500000,16335222,11311954,13186903,15404000,26466000,29835000,26840614,30829821,35779787,40135704,55556594,64778635,71358505,75081154,105594839,92999000,103379000,113420000,105555000,114610000,130457000,147794000
2,COGS,- -,1900000,3700000,2800000,700000,4400000,5200000,5300000,8672819,8228751,8108695,8005000,9949000,11144000,11117861,11880989,13188516,13670228,23826604,26783738,28988621,22765404,20930318,21053000,24027000,27364000,31280000,28747000,61431000,64851000
3,Gross Profit,- -,300000,1000000,600000,500000,7600000,8700000,8200000,7662403,3083203,5078208,7399000,16517000,18691000,15722753,18948832,22591271,26465476,31729990,37994897,42369884,52315750,84664521,71946000,79352000,86056000,74275000,85863000,69026000,82943000
4,Gross Profit Ratio,- -,0.1364,0.2128,0.1765,0.4167,0.6333,0.6259,0.6074,0.4691,0.2726,0.3851,0.4803,0.6241,0.6265,0.5858,0.6146,0.6314,0.6594,0.5711,0.5865,0.5938,0.6968,0.8018,0.7736,0.7676,0.7587,0.7037,0.7492,0.5291,0.5612
5,Research and Development Exp.,- -,- -,1500000,1300000,- -,2000000,2000000,4200000,3259984,4280520,3927730,2595000,4087000,4731000,3616435,4364620,7399049,8181532,6874633,6168937,5388036,7059875,8144152,8987000,10732000,18787000,18190000,16665000,23431000,27327000
6,General and Administrative Exp.,- -,1900000,700000,900000,- -,2100000,2700000,3000000,4188044,6213424,4424964,4209000,6042000,5409000,6678845,7996781,10965493,10545351,17317671,17858558,14728662,12936001,15073485,14825000,18013000,21540000,34336000,34950000,60063000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1900000,700000,900000,- -,2100000,2700000,3000000,4188044,6213424,4424964,4209000,6042000,5409000,6678845,7996781,10965493,10545351,17317671,17858558,14728662,12936001,15073485,14825000,18013000,21540000,34336000,34950000,60063000,74096000
9,Other Expenses,- -,300000,200000,300000,3200000,300000,800000,1100000,1197740,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
