,https://roic.ai/company/CSV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,40300000,77400000,116800000,168500000,162606000,162493000,154176000,150823000,150206000,155034000,151086000,167824000,176928000,177627000,184947000,190636000,204149000,213957000,226124000,242502000,248200000,258139000,267992000,274107000,329448000,375886000
2,COGS,29600000,50200000,71100000,105000000,109023000,122198000,111088000,112129000,111903000,117769000,117034000,122024000,133885000,131509000,137500000,138332000,142274000,149576000,156116000,164994000,168550000,181340000,192045000,194522000,223525000,246370000
3,Gross Profit,10700000,27200000,45700000,63500000,53583000,40295000,43088000,38694000,38303000,37265000,34052000,45800000,43043000,46118000,47447000,52304000,61875000,64381000,70008000,77508000,79650000,76799000,75947000,79585000,105923000,129516000
4,Gross Profit Ratio,0.2655,0.3514,0.3913,0.3769,0.3295,0.2480,0.2795,0.2566,0.2550,0.2404,0.2254,0.2729,0.2433,0.2596,0.2565,0.2744,0.3031,0.3009,0.3096,0.3196,0.3209,0.2975,0.2834,0.2903,0.3215,0.3446
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2500000,5300000,7600000,9300000,10256000,8698000,10841000,10861000,10665000,12383000,11258000,14628000,16496000,14412000,15451000,21745000,22494000,25922000,28915000,27114000,27944000,26253000,30827000,25880000,25827000,33949000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2500000,5300000,7600000,9300000,10256000,8698000,10841000,10861000,10665000,12383000,11258000,14628000,16496000,14412000,15451000,21745000,22494000,25922000,28915000,27114000,27944000,26253000,30827000,25880000,25827000,33949000
9,Other Expenses,3600000,7800000,11400000,17000000,21407000,- -,- -,-577000,495000,-822000,45588000,1387000,1616000,1591000,1355000,1013000,964000,1456000,1378000,1746000,1502000,1605000,1813000,1416000,1427000,1241000
10,Operating Expenses,6100000,13100000,19000000,26300000,31663000,8698000,10841000,10284000,11160000,11561000,56846000,16015000,18112000,16003000,16806000,22758000,23458000,27378000,30293000,28860000,29446000,27858000,32640000,27296000,27254000,35190000
