,https://roic.ai/company/KO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7903900000,8668600000,7658300000,8337800000,8965800000,10236400000,11571600000,13073900000,13957000000,16172000000,18018000000,18546000000,18868000000,18813000000,19805000000,20458000000,20092000000,19564000000,21044000000,21962000000,23104000000,24088000000,28857000000,31944000000,30990000000,35119000000,46542000000,48017000000,46854000000,45998000000,44294000000,41863000000,35410000000,31856000000,37266000000,33014000000,38655000000
2,COGS,3876500000,4232500000,3481300000,3531700000,3708300000,3965000000,4387000000,4732500000,4800000000,5756000000,6486000000,6259000000,5389000000,4917000000,5217000000,6204000000,6044000000,7105000000,7762000000,7638000000,8195000000,8164000000,10406000000,11374000000,11088000000,12693000000,18216000000,19053000000,18421000000,17889000000,17482000000,16465000000,13256000000,11770000000,14619000000,13433000000,15357000000
3,Gross Profit,4027400000,4436100000,4177000000,4806100000,5257500000,6271400000,7184600000,8341400000,9157000000,10416000000,11532000000,12287000000,13479000000,13896000000,14588000000,14254000000,14048000000,12459000000,13282000000,14324000000,14909000000,15924000000,18451000000,20570000000,19902000000,22426000000,28326000000,28964000000,28433000000,28109000000,26812000000,25398000000,22154000000,20086000000,22647000000,19581000000,23298000000
4,Gross Profit Ratio,0.5095,0.5117,0.5454,0.5764,0.5864,0.6127,0.6209,0.6380,0.6561,0.6441,0.6400,0.6625,0.7144,0.7386,0.7366,0.6967,0.6992,0.6368,0.6312,0.6522,0.6453,0.6611,0.6394,0.6439,0.6422,0.6386,0.6086,0.6032,0.6068,0.6111,0.6053,0.6067,0.6256,0.6305,0.6077,0.5931,0.6027
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,6297000000,6986000000,7893000000,7852000000,8284000000,9814000000,10563000000,8696000000,7001000000,8061000000,8626000000,8824000000,9616000000,11199000000,11774000000,- -,13158000000,17440000000,5491000000,5534000000,5338000000,6426000000,6081000000,5281000000,4493000000,4984000000,4316000000,5472000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12247000000,11776000000,11880000000,10001000000,9181000000,7215000000,5814000000,7119000000,5415000000,6672000000
8,"Selling, General and Administrative Exp.",2664900000,2879300000,2665000000,3038100000,3347900000,4075900000,4604200000,5249400000,5695000000,6297000000,6986000000,7893000000,7852000000,8284000000,9814000000,10563000000,8696000000,7001000000,8061000000,8626000000,8824000000,9616000000,11199000000,11774000000,11358000000,13158000000,17440000000,17738000000,17310000000,17218000000,16427000000,15262000000,12496000000,10307000000,12103000000,9731000000,12144000000
9,Other Expenses,317100000,411700000,151900000,169800000,183800000,243900000,261400000,321900000,360000000,411000000,454000000,479000000,626000000,645000000,792000000,- -,- -,- -,- -,- -,- -,- -,- -,350000000,313000000,819000000,732000000,- -,- -,- -,- -,- -,231000000,-2000000,11000000,26000000,115000000
10,Operating Expenses,2982000000,3291000000,2816900000,3207900000,3531700000,4319800000,4865600000,5571300000,6055000000,6708000000,7440000000,8372000000,8478000000,8929000000,10606000000,10563000000,8696000000,7001000000,8061000000,8626000000,8824000000,9616000000,11199000000,12124000000,11671000000,13977000000,18172000000,17738000000,17310000000,17218000000,16427000000,15262000000,12727000000,10305000000,12114000000,9757000000,12259000000
11,COGS and Expenses,6858500000,7523500000,6298200000,6739600000,7240000000,8284800000,9252600000,10303800000,10855000000,12464000000,13926000000,14631000000,13867000000,13846000000,15823000000,16767000000,14740000000,14106000000,15823000000,16264000000,17019000000,17780000000,21605000000,23498000000,22759000000,26670000000,36388000000,36791000000,35731000000,35107000000,33909000000,31727000000,25983000000,22075000000,26733000000,23190000000,27616000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333000000,249000000,317000000,483000000,471000000,534000000,594000000,613000000,642000000,677000000,682000000,563000000,370000000,276000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000000,355000000,733000000,417000000,397000000,463000000,483000000,856000000,733000000,841000000,919000000,946000000,1437000000,1597000000
14,Depreciation and Amortization,- -,- -,- -,- -,183800000,243900000,261400000,321900000,360000000,411000000,454000000,479000000,626000000,645000000,792000000,773000000,803000000,806000000,850000000,893000000,932000000,938000000,1163000000,1228000000,1236000000,1443000000,1954000000,1982000000,1977000000,1976000000,1970000000,1787000000,1260000000,1086000000,1365000000,1536000000,1452000000
15,EBITDA,1137600000,1511200000,1410100000,1582100000,1969600000,2258300000,2644700000,2848600000,3533000000,4139000000,4782000000,5075000000,6681000000,5843000000,4611000000,4172000000,6463000000,5379000000,6345000000,7115000000,7622000000,7516000000,9036000000,9105000000,10455000000,16369000000,13748000000,14121000000,13875000000,11758000000,12416000000,10633000000,8909000000,10062000000,13032000000,12701000000,15441000000
16,EBITDA ratio,0.1439,0.1743,0.1841,0.1898,0.2197,0.2206,0.2286,0.2179,0.2531,0.2559,0.2654,0.2736,0.3541,0.3106,0.2328,0.2039,0.3217,0.2749,0.3015,0.3240,0.3299,0.3120,0.3131,0.2850,0.3374,0.4661,0.2954,0.2941,0.2961,0.2556,0.2803,0.2540,0.2516,0.3159,0.3497,0.3847,0.3995
17,Operating Income,1045400000,1145100000,1360100000,1598200000,1725800000,1951600000,2319000000,2770100000,3102000000,3708000000,4092000000,3915000000,5001000000,4967000000,3982000000,3691000000,5352000000,5458000000,5221000000,5698000000,6085000000,6308000000,7252000000,8446000000,8231000000,8449000000,10154000000,10779000000,10228000000,9708000000,8728000000,8626000000,7501000000,8700000000,10086000000,8997000000,10308000000
18,Operating Income ratio,0.1323,0.1321,0.1776,0.1917,0.1925,0.1907,0.2004,0.2119,0.2223,0.2293,0.2271,0.2111,0.2651,0.2640,0.2011,0.1804,0.2664,0.2790,0.2481,0.2594,0.2634,0.2619,0.2513,0.2644,0.2656,0.2406,0.2182,0.2245,0.2183,0.2111,0.1970,0.2061,0.2118,0.2731,0.2706,0.2725,0.2667
19,Total Other Income Expenses (Gains),47500000,366100000,50000000,-16100000,38500000,62800000,64300000,-24000000,83000000,20000000,236000000,681000000,1054000000,231000000,-163000000,-292000000,318000000,41000000,274000000,524000000,605000000,270000000,621000000,-1007000000,715000000,5794000000,1285000000,1030000000,1249000000,-383000000,877000000,-490000000,-759000000,-350000000,700000000,752000000,2117000000
20,Income Before Tax,1092900000,1511200000,1410100000,1582100000,1764300000,2014400000,2383300000,2746100000,3185000000,3728000000,4328000000,4596000000,6055000000,5198000000,3819000000,3399000000,5670000000,5499000000,5495000000,6222000000,6690000000,6578000000,7873000000,7439000000,8946000000,14243000000,11439000000,11809000000,11477000000,9325000000,9605000000,8136000000,6742000000,8350000000,10786000000,9749000000,12425000000
21,Income Before Tax Ratio,0.1383,0.1743,0.1841,0.1898,0.1968,0.1968,0.2060,0.2100,0.2282,0.2305,0.2402,0.2478,0.3209,0.2763,0.1928,0.1661,0.2822,0.2811,0.2611,0.2833,0.2896,0.2731,0.2728,0.2329,0.2887,0.4056,0.2458,0.2459,0.2450,0.2027,0.2168,0.1943,0.1904,0.2621,0.2894,0.2953,0.3214
22,Income Tax expense (Gain),415300000,576900000,494000000,537400000,571500000,632500000,765300000,862300000,997000000,1174000000,1342000000,1104000000,1926000000,1665000000,1388000000,1222000000,1691000000,1523000000,1148000000,1375000000,1818000000,1498000000,1892000000,1632000000,2040000000,2384000000,2805000000,2723000000,2851000000,2201000000,2239000000,1586000000,5560000000,1623000000,1801000000,1981000000,2621000000
23,Net Income,722300000,934300000,916100000,1044700000,1214300000,1381900000,1618000000,1664400000,2176000000,2554000000,2986000000,3492000000,4129000000,3533000000,2431000000,2177000000,3969000000,3050000000,4347000000,4847000000,4872000000,5080000000,5981000000,5807000000,6824000000,11809000000,8572000000,9019000000,8584000000,7098000000,7351000000,6527000000,1248000000,6434000000,8920000000,7747000000,9771000000
24,Net Income ratio,0.0914,0.1078,0.1196,0.1253,0.1354,0.1350,0.1398,0.1273,0.1559,0.1579,0.1657,0.1883,0.2188,0.1878,0.1227,0.1064,0.1975,0.1559,0.2066,0.2207,0.2109,0.2109,0.2073,0.1818,0.2202,0.3363,0.1842,0.1878,0.1832,0.1543,0.1660,0.1559,0.0352,0.2020,0.2394,0.2347,0.2528
