,https://roic.ai/company/MSFT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,197500000,345900000,590800000,803500000,1183400000,1843400000,2758700000,3753000000,4649000000,5937000000,8671000000,11358000000,14484000000,19747000000,22956000000,25296000000,28365000000,32187000000,36835000000,39788000000,44282000000,51122000000,60420000000,58437000000,62484000000,69943000000,73723000000,77849000000,86833000000,93580000000,85320000000,89950000000,110360000000,125843000000,143015000000,168088000000
2,COGS,35100000,66300000,132000000,180000000,206400000,286800000,354100000,482000000,526000000,608000000,708000000,528000000,173000000,1804000000,2254000000,3455000000,5191000000,5686000000,6716000000,6200000000,7650000000,10693000000,11598000000,12155000000,12395000000,15577000000,17530000000,20249000000,26934000000,33038000000,32780000000,34261000000,38353000000,42910000000,46078000000,52232000000
3,Gross Profit,162400000,279600000,458800000,623500000,977000000,1556600000,2404600000,3271000000,4123000000,5329000000,7963000000,10830000000,14311000000,17943000000,20702000000,21841000000,23174000000,26501000000,30119000000,33588000000,36632000000,40429000000,48822000000,46282000000,50089000000,54366000000,56193000000,57600000000,59899000000,60542000000,52540000000,55689000000,72007000000,82933000000,96937000000,115856000000
4,Gross Profit Ratio,0.8223,0.8083,0.7766,0.7760,0.8256,0.8444,0.8716,0.8716,0.8869,0.8976,0.9183,0.9535,0.9881,0.9086,0.9018,0.8634,0.8170,0.8233,0.8177,0.8442,0.8272,0.7908,0.8080,0.7920,0.8016,0.7773,0.7622,0.7399,0.6898,0.6470,0.6158,0.6191,0.6525,0.6590,0.6778,0.6893
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,610000000,860000000,1432000000,1925000000,2502000000,2970000000,3775000000,4379000000,4307000000,4659000000,7779000000,6184000000,6584000000,7121000000,8164000000,9010000000,8714000000,9043000000,9811000000,10411000000,11381000000,12046000000,11988000000,13037000000,14726000000,16876000000,19269000000,20716000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5127000000,4030000000,4004000000,4222000000,4569000000,5149000000,4821000000,4611000000,4563000000,4481000000,4754000000,4885000000,5111000000,5107000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13039000000,12879000000,13214000000,13940000000,13857000000,15276000000,15811000000,15713000000,14697000000,15539000000,17469000000,18213000000,19598000000,20117000000
8,"Selling, General and Administrative Exp.",95700000,145100000,255400000,357100000,537500000,831000000,1296300000,1794000000,1550000000,2162000000,2973000000,3218000000,3845000000,3920000000,5150000000,5742000000,6957000000,8625000000,13306000000,12843000000,13576000000,14784000000,18166000000,16909000000,17218000000,18162000000,18426000000,20425000000,20632000000,20324000000,19260000000,20020000000,22223000000,23098000000,24709000000,25224000000
9,Other Expenses,5800000,7600000,16000000,24200000,46300000,75800000,112300000,151000000,237000000,269000000,480000000,557000000,1024000000,1010000000,748000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
