,https://roic.ai/company/ICLD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,200000,200000,200000,300000,300000,400000,200000,2100000,3500000,28600000,62609310,85628000,96763000,70955000,54223000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,566,200,- -,- -,- -,- -,887000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,860,2000,3000,2000,2000
64,Retained Earnings,-300000,-400000,-400000,-500000,-500000,-600000,-10800000,-2200000,-9600000,-12500000,-37940540,-56736000,-122241000,-147256000,-193282000
65,Other Comprehensive Income/Loss,-170787,-170787,-214793,-225183,-235573,-245934,-8800000,- -,-800000,-800000,-1023080,- -,- -,- -,-871000
66,Other Total Stockholders Equity,160886,226428,156992,213772,178239,232233,10574485,572914,8751979,9389244,37043504,92745000,117706000,130868000,155497000
67,Total Stockholders Equity,-139114,-173572,-243008,-286228,-321761,-367767,-225515,-1627086,-1753543,-3410556,-1919256,36011000,-4532000,-16386000,-37767000
68,Total Liabilities And Stockholders Equity,60886,26428,-43008,13772,-21761,32233,-25515,472914,1746457,25189444,60690054,121639000,92231000,54569000,16456000
69,Minority Interest,-60886,-26428,43008,-13772,21761,-32233,25515,-72914,53543,16710556,6,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,400000,1800000,41900000,60690060,121639000,92231000,54569000,16456000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128725/000121390007000329/f10ksb2006_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390008000679/f10ksb2007_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390009000915/f10k2008_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390010005114/f10k2010_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390011002076/f10k2010_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390012001870/f10k2011_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390013001503/0001213900-13-001503-index.html,https://www.sec.gov/Archives/edgar/data/1128725/000121390014002235/f10k2013_intercloudsystems.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390015002005/f10k2014_intercloudsys.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390016014344/f10k2015_intercloud.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390017002256/0001213900-17-002256-index.html,https://www.sec.gov/Archives/edgar/data/1128725/000121390018004602/f10k2017_intercloudsystems.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-50000,-30000,-30000,-30000,-50000,-30000,-790000,-2140000,-7400000,-1230000,-24354100,-18795000,-65762000,-26483000,-44336000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,26191,39229,348172,1120404,4140000,3577000,2113000,559000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2800972,-1122523,-3693000,-1224000,-35000,-763000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,872000,5311000,383900,1572988,3666000,8213000,3385000,634000
77,Change in Working Capital,40893,-5445,9488,26401,54154,31381,111744,287842,-10865,-429894,2411390,2673000,5505000,5405000,4886000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-66203,-54502,-2252492,1275782,-5452000,2479000,3049000,75000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-13235,-5749,10992,- -,-989000,-149000,1015000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3948000
81,Other Working Capital,5570,20178,- -,- -,- -,- -,- -,-7926,- -,135319,-4718925,2787000,669000,-1583000,769000
