,https://roic.ai/company/OI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77100000,-184600000,-17600000,- -,-630300000,-11600000,15100000,1760200000,- -,-3800000,-817000000,-144000000,-5000000,-4000000,-114000000,-2351000000,-56000000,-39000000,-175000000,-212000000,394000000,58000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,375300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-38000000,695400000,-34000000,-50700000,9200000,-79700000,41100000,337100000,94400000,605300000,39000000,66700000,1430900000,167000000,127300000,-23300000,-15500000,13400000,6000000,3000000,74000000,-37000000,28000000,5000000,93000000,129000000,13000000,201000000,10000000,120000000
89,Cash Used for Investing Activites,159100000,-288800000,429200000,-320000000,-334300000,-822100000,-551000000,-4232600000,-347300000,-464100000,-111200000,-474600000,-201800000,338800000,-248700000,-177900000,1444400000,-377200000,-418000000,-1314000000,-426000000,-221000000,-402000000,-455000000,-2748000000,-417000000,-351000000,-698000000,-437000000,93000000,-220000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-966000000,-911000000,-614000000,-1797000000,-440000000,-1040000000,-1101000000,-2321000000,-1453000000,-1764000000,-2353000000,-4099000000,-2460000000,- -
91,Common Stock Issued,850500000,- -,- -,5000000,3800000,12800000,503800000,1080700000,4600000,2600000,2400000,6800000,3600000,27400000,21000000,8000000,62800000,14500000,7000000,5000000,5000000,4000000,19000000,5000000,1000000,5000000,- -,5000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-225600000,-17200000,-5200000,- -,- -,- -,- -,- -,- -,- -,- -,-199000000,- -,-27000000,-33000000,-32000000,-100000000,- -,-5000000,-163000000,-42000000,-3000000,-40000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-21500000,-21500000,-21500000,-21500000,-21500000,-21500000,-21500000,-21500000,-21500000,-5400000,-62200000,- -,-35000000,- -,- -,- -,- -,- -,- -,- -,-31000000,-8000000,- -
94,Other Financing Activites,-1307400000,111900000,-633700000,171700000,77200000,550700000,-321500000,2561900000,29300000,59200000,-472400000,-142600000,-104500000,-843800000,-272600000,4500000,-2008900000,641200000,1080400000,1355000000,1504000000,124000000,733000000,1058000000,4477000000,1220000000,1377000000,2458000000,4240000000,1914000000,-233000000
95,Cash Used/Provided by Financing Activities,-456900000,111900000,-633700000,176700000,81000000,563500000,182300000,3642600000,-213200000,23100000,-496700000,-157300000,-122400000,-837900000,-273100000,-9000000,-1967600000,-315700000,114200000,547000000,-323000000,-339000000,-321000000,-70000000,2057000000,-228000000,-392000000,-53000000,68000000,-557000000,-273000000
96,Effect of Forex Changes on Cash,-12700000,-23800000,-41200000,-41800000,700000,-7700000,-19200000,-4100000,-16800000,48800000,-4300000,-400000,8100000,3700000,-13300000,12700000,51800000,-22900000,-64000000,3000000,6000000,16000000,-7000000,-21000000,-30000000,-13000000,22000000,-20000000,3000000,19000000,-29000000
97,Net Change In Cash,-456900000,111900000,-633700000,176700000,81000000,563500000,182300000,3642600000,-14300000,-27400000,-74100000,-29200000,37000000,114500000,-31300000,-23900000,165000000,-8200000,432200000,-172000000,-240000000,31000000,-48000000,129000000,-113000000,93000000,- -,20000000,39000000,12000000,162000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,257100000,229700000,155600000,126400000,163400000,277900000,246600000,222700000,387700000,379500000,811700000,640000000,400000000,431000000,383000000,512000000,399000000,492000000,492000000,512000000,551000000,563000000,725000000
99,Cash at the Beginning of Period,93600000,67400000,81100000,67100000,109400000,109400000,160900000,218200000,271400000,257100000,229700000,155600000,126400000,163400000,277900000,246600000,222700000,387700000,379500000,812000000,640000000,400000000,431000000,383000000,512000000,399000000,492000000,492000000,512000000,551000000,563000000
100,Free Cash Flow,68100000,-36400000,-34500000,-58600000,-31000000,-513500000,-26100000,-3626400000,-121400000,-116600000,6200000,107100000,-78400000,148100000,99700000,-170000000,343900000,345900000,372400000,89000000,218000000,285000000,321000000,306000000,206000000,297000000,280000000,255000000,-21000000,146000000,289000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812074/000081207495000006/0000812074-95-000006-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812074/000091205701506253/0000912057-01-506253-index.html,- -,https://www.sec.gov/Archives/edgar/data/812074/000104746903010557/a2106089z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746904007941/a2130443z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746905006751/a2153665z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465906017125/a06-6864_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465907015390/a07-5962_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465908014206/a08-2811_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465909010082/0001104659-09-010082-index.html,https://www.sec.gov/Archives/edgar/data/812074/000110465910006102/0001104659-10-006102-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746911000741/a2201749z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746912000772/0001047469-12-000772-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746913000991/0001047469-13-000991-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746914000875/a2218189z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746915000716/a2222968z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000155837016003216/0001558370-16-003216-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837017000499/0001558370-17-000499-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837018000669/0001558370-18-000669-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837019000652/0001558370-19-000652-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837020001125/0001558370-20-001125-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837021001009/0001558370-21-001009-index.htm,https://www.sec.gov/Archives/edgar/data/812074/000155837022000923/0001558370-22-000923-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
