,https://roic.ai/company/OI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,381700000,500600000,1075100000,481700000,480700000,516900000,750500000,1298600000,1111900000,1910100000,693700000,908400000,-6055600000,1134700000,1688800000,628600000,586400000,578500000,565200000,554000000,627000000,600000000,568000000,655000000,540000000,607000000,603000000,574000000,548000000,511000000,515000000
11,COGS and Expenses,3040200000,3199700000,3666600000,3072400000,3191100000,3349500000,4073400000,4910300000,4863000000,5719700000,4912100000,5321800000,-1138400000,6053100000,7408300000,6712600000,6557800000,6786600000,6147800000,5837000000,6606000000,6226000000,6204000000,6186000000,5586000000,6097000000,6339000000,6168000000,6031000000,5630000000,5781000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600000,28600000,13000000,11000000,9000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000000,221700000,249000000,314000000,248000000,239000000,230000000,251000000,272000000,268000000,261000000,311000000,265000000,216000000
14,Depreciation and Amortization,165200000,251100000,232300000,233600000,238100000,271600000,343500000,463900000,545300000,549500000,543700000,480700000,525200000,474800000,524000000,509200000,460900000,431000000,395900000,391000000,422000000,412000000,397000000,418000000,409000000,478000000,488000000,494000000,499000000,468000000,463000000
15,EBITDA,93600000,193500000,124100000,380800000,508000000,567600000,659900000,638600000,1029100000,135900000,1186700000,2200000,-591300000,716200000,332500000,608200000,1949300000,1179000000,906900000,722000000,311000000,952000000,940000000,815000000,692000000,1078000000,1006000000,1120000000,528000000,1071000000,995000000
16,EBITDA ratio,0.0262,0.0527,0.0351,0.1067,0.1350,0.1476,0.1417,0.1203,0.1863,0.0245,0.1973,0.0004,-0.0968,0.1143,0.0462,0.0808,0.2538,0.1495,0.1283,0.1088,0.0423,0.1360,0.1349,0.1201,0.1124,0.1608,0.1465,0.1629,0.0789,0.1758,0.1565
17,Operating Income,534600000,472400000,-131600000,494900000,572100000,496200000,585100000,396000000,659900000,-167600000,1101200000,438300000,7248900000,210300000,-218600000,810900000,1121400000,1098100000,918700000,796000000,752000000,774000000,763000000,598000000,570000000,605000000,530000000,709000000,660000000,461000000,576000000
18,Operating Income ratio,0.1495,0.1286,-0.0372,0.1387,0.1520,0.1290,0.1256,0.0746,0.1195,-0.0302,0.1831,0.0761,1.1863,0.0336,-0.0304,0.1078,0.1460,0.1393,0.1300,0.1200,0.1022,0.1106,0.1095,0.0881,0.0926,0.0903,0.0772,0.1031,0.0986,0.0757,0.0906
19,Total Other Income Expenses (Gains),-486100000,-299100000,-182300000,-347700000,-302200000,-200200000,-164200000,-207200000,-175300000,-246000000,-454100000,-421700000,-8365400000,- -,- -,-668300000,-614800000,-539700000,-593400000,-372000000,-1158000000,-446000000,-428000000,-380000000,-511000000,-249000000,-255000000,-432000000,-921000000,-108000000,-244000000
20,Income Before Tax,48500000,173300000,-313900000,147200000,269900000,296000000,420900000,188800000,484600000,-413600000,647100000,16600000,-1116500000,210300000,-218600000,142600000,506600000,558400000,325300000,424000000,-406000000,328000000,335000000,218000000,59000000,356000000,275000000,277000000,-261000000,353000000,332000000
21,Income Before Tax Ratio,0.0136,0.0472,-0.0888,0.0413,0.0717,0.0770,0.0904,0.0356,0.0877,-0.0745,0.1076,0.0029,-0.1827,0.0336,-0.0304,0.0190,0.0660,0.0708,0.0460,0.0639,-0.0552,0.0469,0.0481,0.0321,0.0096,0.0531,0.0400,0.0403,-0.0390,0.0580,0.0522
22,Income Tax expense (Gain),58500000,76600000,-113100000,68900000,100800000,104900000,148500000,66700000,185500000,-143900000,286400000,-18300000,-125700000,5900000,367100000,126500000,147800000,236700000,127500000,129000000,85000000,108000000,120000000,92000000,106000000,119000000,70000000,108000000,118000000,89000000,167000000
23,Net Income,-130100000,-134200000,4900000,78300000,169100000,191100000,167900000,108000000,298300000,-269700000,356600000,-460200000,-990800000,235500000,-558600000,-27500000,1340600000,258300000,161800000,-47000000,-510000000,184000000,184000000,75000000,-74000000,209000000,180000000,257000000,-400000000,249000000,149000000
