,https://roic.ai/company/HIG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0681,-0.0190,0.1316,0.1003,0.0892,0.0971,0.0254,0.0737,-0.0177,0.1333,0.1402,0.1692,0.1953,-0.4216,-0.0317,0.1505,0.0683,0.0148,0.0209,0.0967,0.1478,0.0842,-0.0843,0.1498,0.1577,0.1436,0.1760
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2896000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0001
19,Total Other Income Expenses (Gains),2522000000,- -,- -,- -,- -,2943000000,3124000000,3053000000,3316000000,3689000000,4476000000,5213000000,5932000000,-5414000000,492000000,480000000,282000000,258000000,275000000,112000000,87000000,86000000,85000000,105000000,170000000,126000000,2893104000
20,Income Before Tax,- -,-318000000,1703000000,1475000000,1235000000,1418000000,354000000,1068000000,-550000000,2523000000,2985000000,3602000000,4005000000,-4591000000,-1728000000,2264000000,230000000,-527000000,63000000,1699000000,1978000000,804000000,723000000,1753000000,2560000000,2120000000,2896000000
21,Income Before Tax Ratio,- -,-0.0255,0.1280,0.0982,0.0913,0.0964,0.0234,0.0671,-0.0294,0.1112,0.1102,0.1359,0.1545,-0.4980,-0.0700,0.1011,0.0105,-0.0200,0.0026,0.0913,0.1076,0.0439,0.0426,0.0925,0.1234,0.1043,0.1338
22,Income Tax expense (Gain),180000000,-219000000,334000000,388000000,287000000,390000000,-195000000,68000000,-459000000,385000000,711000000,857000000,1056000000,-1842000000,-841000000,584000000,-346000000,-494000000,-247000000,350000000,305000000,-92000000,985000000,268000000,475000000,383000000,531000000
23,Net Income,562000000,-99000000,1332000000,1015000000,862000000,974000000,507000000,1000000000,-91000000,2115000000,2274000000,2745000000,2949000000,-2749000000,-887000000,1680000000,662000000,-38000000,176000000,798000000,1682000000,896000000,-3131000000,1807000000,2085000000,1737000000,2365000000
24,Net Income ratio,0.0463,-0.0079,0.1001,0.0676,0.0637,0.0662,0.0335,0.0629,-0.0049,0.0932,0.0840,0.1036,0.1138,-0.2982,-0.0359,0.0751,0.0303,-0.0014,0.0071,0.0429,0.0915,0.0490,-0.1845,0.0953,0.1005,0.0855,0.1092
25,EPS,2.39,-0.42,5.64,4.36,3.83,4.42,2.13,4.01,-0.33,7.24,7.63,8.89,9.32,0.31,-2.93,2.70,3.36,-0.18,0.37,1.81,4.05,2.31,-8.61,5.03,5.72,4.79,4.85
26,EPS Diluted,2.38,-0.42,5.58,4.30,3.79,4.34,2.10,3.97,-0.33,7.12,7.44,8.69,9.24,0.31,-2.93,2.49,3.08,-0.18,0.34,1.73,3.96,2.27,-8.61,4.95,5.66,4.76,4.85
27,Weighted Average Shares Outstanding,233891213,234600000,236000000,232800000,224900000,220600000,237700000,249400000,272400000,292300000,298000000,308800000,316300000,308800000,346300000,431500000,431500000,437700000,447700000,441800000,415500000,387700000,363700000,358400000,360900000,358300000,345600000
28,Weighted Average Shares Outstanding Diluted,234873950,234600000,238800000,236200000,227500000,224400000,241400000,251800000,272400000,297000000,305600000,315900000,319100000,308800000,361800000,481500000,478000000,486800000,490600000,460200000,425200000,394800000,370500000,364100000,364900000,360600000,345600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874766/000095012305002392/y06108ke10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012306002232/y17778e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012307002663/y30259e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012308002003/y49953e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000136231009001777/0001362310-09-001777-index.html,https://www.sec.gov/Archives/edgar/data/874766/000095012310015756/0000950123-10-015756-index.html,https://www.sec.gov/Archives/edgar/data/874766/000095012311018937/c13002e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012312003120/0000950123-12-003120-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476613000021/0000874766-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476614000007/hig1231201310-kdocument.htm,https://www.sec.gov/Archives/edgar/data/874766/000087476615000013/hig1231201410-kdocument.htm,https://www.sec.gov/Archives/edgar/data/874766/000087476616000046/0000874766-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476617000010/0000874766-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476618000011/0000874766-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476619000018/0000874766-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476620000020/0000874766-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476621000022/0000874766-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/874766/000087476622000019/0000874766-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,112000000,140000000,123000000,182000000,227000000,353000000,377000000,462000000,1148000000,1273000000,1424000000,2011000000,1811000000,2142000000,2062000000,2581000000,2421000000,1428000000,399000000,448000000,882000000,180000000,121000000,185000000,151000000,205000000
32,Short-Term Investments,- -,- -,- -,- -,758000000,1511000000,1977000000,1790000000,1507000000,2180000000,1253000000,1917000000,4783000000,10022000000,10357000000,8528000000,7736000000,91393000000,67233000000,65314000000,62160000000,60344000000,40246000000,39935000000,45069000000,48318000000,46544000000
33,Cash and Short-Term Investments,- -,112000000,140000000,123000000,940000000,1738000000,2330000000,2167000000,1969000000,3328000000,2526000000,3341000000,6794000000,11833000000,12499000000,10590000000,10317000000,93814000000,68661000000,65713000000,62608000000,61226000000,40426000000,40056000000,45254000000,48469000000,46749000000
34,Net Receivables,- -,13026000000,12712000000,6811000000,6544000000,6874000000,7594000000,7706000000,9043000000,9413000000,10094000000,5571000000,8831000000,3604000000,3404000000,3273000000,3446000000,8208000000,26795000000,26349000000,26726000000,27042000000,7971000000,8352000000,9911000000,10279000000,10968000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,244631000000,270534000000,315290000000,342038000000,270011000000,290756000000,226510000000,208462000000,-70668000000,-74283000000,-86780000000,-87043000000,-84142000000,839000000,-8640000000,15647836000,-40458000000,-36926000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,257372000000,283154000000,324202000000,357663000000,285448000000,306659000000,240373000000,222225000000,31354000000,21173000000,5282000000,2291000000,4126000000,49236000000,39768000000,70812836000,18290000000,20791000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,643000000,683000000,791000000,972000000,1075000000,1026000000,1150000000,1029000000,977000000,877000000,831000000,974000000,991000000,1034000000,1006000000,1181000000,1122000000,1027000000
39,Goodwill,- -,- -,- -,- -,- -,- -,1694000000,1721000000,1720000000,1720000000,1720000000,1717000000,1726000000,- -,1204000000,1051000000,1006000000,654000000,498000000,498000000,498000000,567000000,1290000000,1290000000,1913000000,1911000000,1911000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060000000,- -,- -,- -,49000000,- -,- -,- -,- -,659000000,657000000,1070000000,950000000,858000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1694000000,1721000000,1720000000,1720000000,1720000000,1717000000,1726000000,1060000000,1204000000,1051000000,1006000000,703000000,498000000,498000000,498000000,567000000,1949000000,1947000000,2983000000,2861000000,2769000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,51596000000,63335000000,91746000000,103188000000,113804000000,123615000000,107412000000,115052000000,120790000000,122293000000,121413000000,87822000000,65813000000,62663000000,60637000000,40287000000,41171000000,46737000000,51838000000,51991000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91746000000,-103188000000,-113804000000,-123615000000,-107412000000,-116224000000,-45018000000,-42489000000,144066000000,167514000000,172589000000,161922000000,157111000000,132754000000,-21585000000,-50896836000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2363000000,2403000000,2508000000,2698000000,2135000000,1058000000,77973000000,81839000000,267159000000,256711000000,239731000000,226057000000,219306000000,176024000000,22539000000,4164000,55821000000,55787000000
46,Other Assets,- -,108840000000,131743000000,150632000000,167051000000,171532000000,181238000000,182043000000,225853000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129932000000,132365000000
47,Total Assets,- -,108840000000,131743000000,150632000000,167051000000,171532000000,181238000000,182043000000,225853000000,259735000000,285557000000,326710000000,360361000000,287583000000,307717000000,318346000000,304064000000,298513000000,277884000000,245013000000,228348000000,223432000000,225260000000,62307000000,70817000000,74111000000,76578000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,500000000,291000000,31000000,31000000,235000000,599000000,315000000,1050000000,621000000,719000000,857000000,2174000000,398000000,343000000,400000000,- -,320000000,438000000,456000000,275000000,416000000,320000000,413000000,500000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,- -,- -
52,Other Current Liabilities,- -,102788000000,123885000000,142630000000,160006000000,161971000000,169661000000,168398000000,208551000000,240568000000,265465000000,303215000000,335032000000,270884000000,282877000000,291046000000,274624000000,268779000000,252351000000,220184000000,205347000000,202763000000,206768000000,44528000000,49698701000,- -,- -
53,Total Current Liabilities,- -,103288000000,124176000000,142661000000,160037000000,162206000000,170260000000,168713000000,209601000000,241189000000,266184000000,304072000000,337206000000,271282000000,283220000000,291446000000,274624000000,269099000000,252789000000,220640000000,205622000000,203179000000,207088000000,44941000000,50199000000,- -,- -
54,Long-Term Debt,- -,1032000000,1482000000,1548000000,1548000000,1862000000,1965000000,2596000000,4613000000,4308000000,4048000000,3504000000,3142000000,5823000000,6632000000,6589000000,6530000000,6967000000,6190000000,5653000000,5084000000,4636000000,4678000000,4265000000,4348000000,4352000000,4944000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000,809000000,1210000000,- -,- -,- -,- -,- -,- -,- -,-142000000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,1032000000,1482000000,1548000000,1548000000,1862000000,1965000000,2596000000,4613000000,4308000000,4048000000,3762000000,3951000000,7033000000,6632000000,6589000000,6530000000,6967000000,6190000000,5653000000,5084000000,4494000000,4678000000,4265000000,4348000000,4352000000,4944000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59907000000,63679000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,104320000000,125261000000,143744000000,161156000000,164068000000,172225000000,171309000000,214214000000,245497000000,270232000000,307834000000,341157000000,278315000000,289823000000,298035000000,281154000000,276066000000,258979000000,226293000000,210706000000,206529000000,211766000000,49206000000,54547000000,55555000000,58735000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2960000000,556000000,556000000,556000000,- -,- -,- -,- -,- -,334000000,334000000,334000000,334000000
63,Common Stock,- -,1000000,1000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,4000000,5000000,5000000,5000000,5000000,5000000,5000000,4000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,2515000000,3658000000,4474000000,5127000000,5887000000,6152000000,6890000000,6499000000,8283000000,10207000000,12421000000,14686000000,11336000000,11164000000,12077000000,12519000000,10745000000,10683000000,11191000000,12550000000,13114000000,9642000000,11055000000,12685000000,13918000000,15764000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,1094000000,1246000000,1425000000,90000000,178000000,-858000000,-7520000000,-3312000000,-1001000000,1157000000,2843000000,-79000000,928000000,-329000000,-337000000,663000000,-1579000000,52000000,1170000000,172000000
66,Other Total Stockholders Equity,- -,2004000000,2823000000,2412000000,766000000,1575000000,2859000000,2747000000,3891000000,4527000000,5025000000,6274000000,5373000000,5449000000,7049000000,8674000000,8673000000,8298000000,8296000000,6596000000,5416000000,4122000000,3185000000,3287000000,3195000000,3130000000,1569000000
67,Total Stockholders Equity,- -,4520000000,6482000000,6888000000,5895000000,7464000000,9013000000,10734000000,11639000000,14238000000,15325000000,18876000000,19204000000,9268000000,17865000000,20311000000,22910000000,22447000000,18905000000,18720000000,17642000000,16903000000,13494000000,13101000000,16270000000,18556000000,17843000000
68,Total Liabilities And Stockholders Equity,- -,108840000000,131743000000,150632000000,167051000000,171532000000,181238000000,182043000000,225853000000,259735000000,285557000000,326710000000,360361000000,287583000000,307688000000,318346000000,304064000000,298513000000,277884000000,245013000000,228348000000,223432000000,225260000000,62307000000,70817000000,74111000000,76578000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,108840000000,131743000000,150632000000,167051000000,171532000000,181238000000,182043000000,225853000000,259735000000,285557000000,326710000000,360361000000,287583000000,307717000000,318346000000,304064000000,298513000000,277884000000,245013000000,228348000000,223432000000,225260000000,62307000000,70817000000,74111000000,76578000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874766/000095012305002392/y06108ke10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012306002232/y17778e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012307002663/y30259e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012308002003/y49953e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000136231009001777/0001362310-09-001777-index.html,https://www.sec.gov/Archives/edgar/data/874766/000095012310015756/0000950123-10-015756-index.html,https://www.sec.gov/Archives/edgar/data/874766/000095012311018937/c13002e10vk.htm,https://www.sec.gov/Archives/edgar/data/874766/000095012312003120/0000950123-12-003120-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476613000021/0000874766-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476614000007/hig1231201310-kdocument.htm,https://www.sec.gov/Archives/edgar/data/874766/000087476615000013/hig1231201410-kdocument.htm,https://www.sec.gov/Archives/edgar/data/874766/000087476616000046/0000874766-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476617000010/0000874766-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476618000011/0000874766-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476619000018/0000874766-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476620000020/0000874766-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/874766/000087476621000022/0000874766-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/874766/000087476622000019/0000874766-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,562000000,-99000000,1332000000,1015000000,862000000,974000000,507000000,1000000000,-91000000,2115000000,2274000000,2745000000,2949000000,-2749000000,-887000000,1680000000,662000000,-38000000,176000000,798000000,1682000000,896000000,-3131000000,1807000000,2085000000,1737000000,2365000000
74,Depreciation and Amortization,85000000,81000000,85000000,103000000,58000000,63000000,72000000,104000000,219000000,274000000,561000000,606000000,794000000,361000000,470000000,596000000,668000000,467000000,189000000,276000000,373000000,398000000,399000000,467000000,451000000,562000000,680000000
75,Deferred Income Tax,-56000000,-449000000,340000000,-67000000,166000000,398000000,-114000000,202000000,-327000000,529000000,168000000,657000000,619000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1195000000,-103288000000,-20888000000,-18485000000,-17376000000,-2169000000,-8054000000,1547000000,-40888000000,225784000000,787000000,3160000000,327000000,-6291000000,9273000000,-74512000000,-1326000000,-185346000000,6129000000,16258000000,12027000000,4278000000,41201000000,152679000000,25786836000,-20613836000,1761000000
78,Accounts Receivable,- -,- -,145000000,553000000,213000000,126000000,-402000000,-282000000,-47000000,-395000000,-682000000,1037000000,615000000,- -,- -,- -,- -,-608000000,-970000000,-144000000,329000000,241000000,-935000000,-323000000,-81000000,-540000000,-582000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,804000000,968000000,1021000000,266000000,454000000,1184000000,2737000000,1702000000,576000000,-11000000,-267000000,-287000000,2282000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-103288000000,-124176000000,-142661000000,-160037000000,-162206000000,-170260000000,-168713000000,-209601000000,16183000000,16970000000,20130000000,20457000000,14166000000,23439000000,-51073000000,-52399000000,-237745000000,-231616000000,-215358000000,-203331000000,-199053000000,-157852000000,-5173000000,20613836000,- -,-73000000
82,Other Non-Cash Items,-692000000,104749000000,21176000000,18341000000,17181000000,3084000000,9892000000,-204000000,44983000000,-226068000000,-58000000,-1530000000,1302000000,12871000000,-5882000000,75545000000,2270000000,187598000000,-5257000000,-15446000000,-11326000000,-3506000000,-36283000000,-152110000000,-24833836000,22185836000,-713000000
83,Cash Provided by Operating Activities,1094000000,994000000,2045000000,907000000,891000000,2350000000,2303000000,2649000000,3896000000,2634000000,3732000000,5638000000,5991000000,4192000000,2974000000,3309000000,2274000000,2681000000,1237000000,1886000000,2756000000,2066000000,2186000000,2843000000,3489000000,3871000000,4093000000
84,CAPEX,-76000000,-69000000,-109000000,-108000000,-120000000,-115000000,-209000000,-189000000,-89000000,-180000000,-211000000,-195000000,-275000000,-282000000,- -,- -,- -,- -,- -,-121000000,-307000000,-224000000,-250000000,-122000000,-105000000,-114000000,-133000000
85,Acquisitions Net,- -,- -,- -,514000000,- -,- -,39000000,- -,-431000000,-58000000,8000000,-767000000,- -,- -,391000000,241000000,-269000000,-637000000,830000000,1141000000,4000000,163000000,-1436000000,1067000000,-1966000000,-324000000,-769000000
86,Purchases of Investments,-16280000000,-33424000000,-47642000000,-32724000000,-13172000000,-15104000000,-16871000000,-22085000000,-28918000000,-27950000000,-34984000000,-44075000000,-44339000000,-35569000000,-54653000000,-51045000000,-38561000000,-45569000000,-38016000000,-25401000000,-29622000000,-22847000000,-32019000000,-28357000000,-21197000000,-22442000000,-23598000000
87,Sales/Maturities of Investments,14759000000,32458000000,45504000000,33088000000,15623000000,13986000000,12610000000,15650000000,21051000000,25787000000,30327000000,44039000000,36220000000,27537000000,54487000000,49500000000,38910000000,44694000000,41180000000,26064000000,30517000000,24056000000,32604000000,25953000000,21611000000,21131000000,23083000000
88,Other Investing Activites,- -,- -,- -,-359000000,-52000000,-846000000,-1105000000,- -,- -,- -,- -,-6412000000,2218000000,-513000000,-3348000000,870000000,-1262000000,-1045000000,-249000000,-108000000,-414000000,-423000000,-591000000,-625000000,-596000000,-317000000,-1182000000
89,Cash Used for Investing Activites,-1597000000,-1035000000,-2247000000,411000000,2279000000,-2079000000,-5536000000,-6624000000,-8387000000,-2401000000,-4860000000,-7410000000,-6176000000,-8827000000,-3123000000,-434000000,-1182000000,-2557000000,3745000000,1696000000,485000000,949000000,-1442000000,-1962000000,-2148000000,-2066000000,-2466000000
90,Debt Repayment,- -,- -,- -,-200000000,- -,- -,-200000000,-300000000,-500000000,-450000000,-250000000,-1415000000,-300000000,-37000000,-24000000,-22819000000,-473000000,-2286000000,-1415000000,-213000000,-806000000,-292000000,-429000000,-828000000,-1583000000,-500000000,- -
91,Common Stock Issued,- -,- -,29000000,49000000,55000000,529000000,1092000000,422000000,1162000000,413000000,2000000,5000000,186000000,- -,887000000,1600000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-74000000,-547000000,-596000000,-100000000,-7000000,- -,- -,-2000000,-2000000,-5000000,-1379000000,- -,- -,-3400000000,-46000000,-154000000,-600000000,-1796000000,-1250000000,-1330000000,-1028000000,- -,-200000000,-150000000,-1702000000
93,Dividends Paid,- -,-140000000,-190000000,-197000000,-207000000,-210000000,-235000000,-257000000,-291000000,-325000000,-345000000,-460000000,-636000000,-660000000,-222000000,-170000000,-195000000,-217000000,-223000000,-282000000,-316000000,-334000000,-341000000,-379000000,-454000000,-478000000,-506000000
94,Other Financing Activites,533000000,199000000,474000000,-445000000,-2356000000,-427000000,2715000000,4124000000,4237000000,841000000,1875000000,3790000000,2628000000,4971000000,-118000000,21834000000,95000000,2429000000,-3582000000,-2185000000,-772000000,-585000000,819000000,-260000000,1046000000,-650000000,627000000
95,Cash Used/Provided by Financing Activities,533000000,59000000,239000000,-1340000000,-3104000000,-208000000,3365000000,3989000000,4608000000,477000000,1280000000,1915000000,499000000,4274000000,523000000,-2955000000,-609000000,-228000000,-5820000000,-4476000000,-3144000000,-2541000000,-979000000,-1467000000,-1191000000,-1778000000,-1581000000
96,Effect of Forex Changes on Cash,10000000,-1000000,-9000000,5000000,-7000000,-18000000,-6000000,10000000,-32000000,-24000000,-27000000,8000000,273000000,161000000,-43000000,- -,36000000,-56000000,-155000000,-135000000,-48000000,-40000000,70000000,-10000000,-9000000,8000000,-6000000
97,Net Change In Cash,533000000,17000000,28000000,-17000000,59000000,45000000,126000000,24000000,85000000,686000000,125000000,151000000,587000000,-200000000,331000000,-80000000,519000000,-160000000,-993000000,-1029000000,49000000,434000000,-148000000,-59000000,141000000,-23000000,98000000
98,Cash at the End of Period,- -,112000000,140000000,123000000,182000000,227000000,353000000,377000000,462000000,1148000000,1273000000,1424000000,2011000000,1811000000,2142000000,2062000000,2581000000,2421000000,1428000000,399000000,448000000,882000000,180000000,121000000,262000000,239000000,337000000
99,Cash at the Beginning of Period,55000000,95000000,112000000,140000000,123000000,182000000,227000000,353000000,377000000,462000000,1148000000,1273000000,1424000000,2011000000,1811000000,2142000000,2062000000,2581000000,2421000000,1428000000,399000000,448000000,328000000,180000000,121000000,262000000,239000000
100,Free Cash Flow,1018000000,925000000,1936000000,799000000,771000000,2235000000,2094000000,2460000000,3807000000,2454000000,3521000000,5443000000,5716000000,3910000000,2974000000,3309000000,2274000000,2681000000,1237000000,1765000000,2449000000,1842000000,1936000000,2721000000,3384000000,3757000000,3960000000
