,https://roic.ai/company/APT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,12325000,18444000,17476000,19000000,19477000,20204000,18713000,22412000,21983000,27243000,31405000,32046000,33531000,46189000,40151000,37597000,40241000,41411000,44431000,43480000,42504000,41099000,42750000,43643000,71118000,60710000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,7000,24000,36000,94000,- -,25000,- -,- -,10000,9000,16000,14000,5000,4000,3000,68000,18000,2000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,21000,24000,20000,- -,- -,- -,- -,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,254000,319000,402000,400000,405000,476000,447000,509000,517000,499000,448000,494000,586000,665000,844000,818000,764000,722000,721000,703000,544000,571000,525000,602000,729000,817000
15,EBITDA,-1891000,-610000,718000,1500000,2064000,1703000,3091000,5058000,3375000,4359000,6477000,4209000,3101000,14531000,2925000,2299000,2071000,3686000,4664000,2224000,4719000,4241000,4939000,4282000,32977000,9317000
16,EBITDA ratio,-0.1272,-0.0342,0.0399,0.0743,0.0977,0.0798,0.1448,0.1876,0.1359,0.1402,0.1735,0.1187,0.0867,0.2434,0.0698,0.0597,0.0504,0.0841,0.0979,0.0495,0.1022,0.0963,0.1059,0.0918,0.3211,0.1357
17,Operating Income,-1870000,-621000,509000,1200000,1653000,1129000,2641000,4549000,2858000,3852000,5933000,3407000,2255000,13508000,1739000,905000,817000,2395000,3218000,1475000,3672000,2926000,3874000,3022000,31582000,7927000
18,Operating Income ratio,-0.1258,-0.0348,0.0283,0.0594,0.0782,0.0529,0.1237,0.1687,0.1151,0.1239,0.1589,0.0961,0.0630,0.2263,0.0415,0.0235,0.0199,0.0547,0.0675,0.0328,0.0795,0.0665,0.0831,0.0648,0.3075,0.1155
19,Total Other Income Expenses (Gains),-279000,-308000,-193000,- -,6000,77000,-21000,-20000,- -,8000,96000,308000,260000,350000,342000,576000,490000,569000,725000,46000,503000,744000,540000,658000,666000,573000
20,Income Before Tax,-2149000,-929000,316000,- -,1659000,1206000,2620000,4529000,2858000,3860000,6029000,3715000,2515000,13858000,2081000,1481000,1307000,2964000,3943000,1521000,4175000,3670000,4414000,3680000,32248000,8500000
21,Income Before Tax Ratio,-0.1446,-0.0521,0.0176,- -,0.0785,0.0565,0.1227,0.1680,0.1151,0.1241,0.1615,0.1048,0.0703,0.2321,0.0497,0.0385,0.0318,0.0677,0.0828,0.0338,0.0904,0.0834,0.0947,0.0789,0.3140,0.1238
22,Income Tax expense (Gain),- -,- -,- -,- -,199000,420000,955000,1518000,1011000,1410000,2290000,1298000,951000,4817000,780000,548000,330000,885000,1201000,480000,1007000,1037000,789000,680000,5162000,1744000
23,Net Income,-2145000,-929000,316000,1100000,1460000,786000,1665000,3011000,1847000,2450000,3739000,2417000,1564000,9041000,1301000,933000,977000,2079000,2742000,1041000,3168000,2633000,3625000,3000000,27086000,6756000
24,Net Income ratio,-0.1443,-0.0521,0.0176,0.0545,0.0691,0.0368,0.0780,0.1117,0.0744,0.0788,0.1001,0.0682,0.0437,0.1514,0.0311,0.0242,0.0238,0.0475,0.0575,0.0232,0.0686,0.0598,0.0777,0.0643,0.2637,0.0984
25,EPS,-0.12,-0.04,0.01,0.05,0.06,0.03,0.07,0.13,0.08,0.10,0.15,0.10,0.06,0.40,0.06,0.04,0.05,0.11,0.15,0.06,0.19,0.18,0.26,0.23,2.01,0.50
26,EPS Diluted,-0.12,-0.04,0.01,0.05,0.06,0.03,0.07,0.13,0.08,0.10,0.15,0.09,0.06,0.39,0.06,0.04,0.05,0.11,0.15,0.06,0.19,0.18,0.26,0.23,1.94,0.48
27,Weighted Average Shares Outstanding,17841547,23388369,24112449,24110722,24049774,23812587,23263451,22517683,23215809,23684229,24141535,25319656,24773497,22808099,22424038,22077905,20703296,19203406,18414775,18197109,16835129,14825600,13909688,13142872,13449987,13449987
28,Weighted Average Shares Outstanding Diluted,17841547,23388369,24238866,24450382,25580880,24452699,23770248,24059508,24624613,25247236,25129198,25615730,24773497,23445564,22685154,22077905,20703296,19227867,18724185,18238364,16835129,14993009,13962819,13168725,13972145,13972145
