,https://roic.ai/company/EXC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,525300000,566400000,542400000,566000000,590400000,105800000,534700000,478900000,590600000,676000000,1041400000,857300000,-1204300000,832400000,940400000,927000000,2359000000,2438000000,1236000000,2556000000,1867000000,2798000000,4182000000,6520000000,6984000000,7113000000,6013000000,4596000000,6272000000,5668000000,6825000000,7367000000,9033000000,8037000000,9578000000,10498000000,11220000000
16,EBITDA ratio,0.1743,0.1832,0.1705,0.1753,0.1734,0.0286,0.1345,0.1209,0.1481,0.1673,0.2488,0.2001,-0.2608,0.1598,0.1730,0.1236,0.1558,0.1630,0.0782,0.1761,0.1216,0.1787,0.2211,0.3457,0.4033,0.3815,0.3177,0.1957,0.2520,0.2066,0.2318,0.2349,0.2694,0.2233,0.2781,0.3177,0.3087
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1063500000,1459400000,1248500000,1075400000,1283200000,1409200000,1527000000,3362000000,3299000000,2198000000,3433000000,2724000000,3606000000,4276000000,5299000000,4750000000,4726000000,4480000000,2380000000,3656000000,3096000000,4409000000,3112000000,4260000000,3898000000,4374000000,2823000000,2723000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2632,0.3486,0.2915,0.2329,0.2463,0.2592,0.2036,0.2221,0.2206,0.1390,0.2365,0.1774,0.2303,0.2261,0.2810,0.2743,0.2535,0.2367,0.1013,0.1469,0.1129,0.1497,0.0992,0.1270,0.1083,0.1270,0.0854,0.0749
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-387500000,-418000000,-391200000,-446000000,-431100000,-432200000,-620000000,-1015000000,-631000000,-1074000000,-900000000,-829000000,-810000000,-104000000,-1265000000,-332000000,-505000000,-528000000,-582000000,-883000000,-610000000,-1079000000,-1123000000,-504000000,-1666000000,-389000000,-490000000,-515000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,676000000,1041400000,857300000,629400000,852100000,977000000,907000000,2347000000,2668000000,1124000000,2533000000,1895000000,2796000000,4172000000,4034000000,4418000000,4221000000,3952000000,1798000000,2773000000,2486000000,3330000000,1989000000,3756000000,2232000000,3985000000,2333000000,2208000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1673,0.2488,0.2001,0.1363,0.1635,0.1797,0.1209,0.1550,0.1784,0.0711,0.1745,0.1234,0.1786,0.2206,0.2139,0.2551,0.2264,0.2088,0.0765,0.1114,0.0906,0.1131,0.0634,0.1120,0.0620,0.1157,0.0706,0.0607
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,249300000,431700000,340100000,292800000,319700000,358000000,341000000,931000000,998000000,331000000,692000000,944000000,1206000000,1446000000,1317000000,1712000000,1658000000,1457000000,627000000,1044000000,666000000,1073000000,761000000,-125000000,120000000,774000000,373000000,370000000
23,Net Income,525300000,566400000,542400000,566000000,590400000,105800000,534700000,478900000,590600000,426700000,609700000,517200000,-1497100000,512700000,582400000,586000000,1428000000,1440000000,905000000,1864000000,923000000,1592000000,2736000000,2737000000,2707000000,2563000000,2495000000,1160000000,1719000000,1623000000,2269000000,1134000000,3770000000,2010000000,2936000000,1963000000,1706000000
24,Net Income ratio,0.1743,0.1832,0.1705,0.1753,0.1734,0.0286,0.1345,0.1209,0.1481,0.1056,0.1456,0.1207,-0.3242,0.0984,0.1071,0.0781,0.0943,0.0963,0.0572,0.1284,0.0601,0.1017,0.1446,0.1451,0.1563,0.1375,0.1318,0.0494,0.0691,0.0592,0.0771,0.0362,0.1124,0.0559,0.0853,0.0594,0.0469
25,EPS,1.28,1.30,1.17,1.17,1.18,0.04,1.07,0.95,1.23,0.88,1.32,1.12,-3.40,1.12,1.46,1.46,2.23,2.23,1.39,2.82,1.38,2.37,4.08,4.16,4.10,3.88,3.76,1.42,2.01,1.89,2.55,1.23,3.98,2.08,3.02,2.01,1.87
26,EPS Diluted,1.28,1.30,1.17,1.17,1.18,0.04,1.07,0.95,1.23,0.88,1.32,1.12,-3.40,1.11,1.45,1.44,2.21,2.22,1.38,2.78,1.36,2.35,4.05,4.13,4.09,3.87,3.75,1.42,2.00,1.88,2.54,1.22,3.97,2.07,3.01,2.01,1.87
27,Weighted Average Shares Outstanding,339609375,365384615,384721030,402403433,418644068,442857143,435906977,440210526,442040816,442500000,444318182,445714286,445264706,446071429,391890034,404000000,640000000,644000000,652000000,661000000,669000000,670000000,670000000,658000000,659000000,661000000,663000000,816000000,856000000,860000000,890000000,924000000,947000000,967000000,973000000,976000000,979000000
28,Weighted Average Shares Outstanding Diluted,339609375,365384615,384721030,402403433,418644068,442857143,435906977,440210526,442040816,442500000,444318182,445714286,445264706,448071749,394602076,404000000,644695260,650000000,658000000,669000000,676000000,676000000,676000000,662000000,662000000,663000000,665000000,819000000,860000000,864000000,893000000,927000000,949000000,969000000,974000000,977000000,980000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78100/000095015901000191/0000950159-01-000191-index.html,https://www.sec.gov/Archives/edgar/data/22606/000095013702001929/0000950137-02-001929-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000104746903009677/0001047469-03-009677-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312504027301/0001193125-04-027301-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312505035141/0001193125-05-035141-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312506032686/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312507029587/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312508022265/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312509021261/0001193125-09-021261-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312510023280/0001193125-10-023280-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312511030543/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/0001193125-12-049043-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/0001193125-13-069749-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312514051838/d666092d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312515049964/d858551d10k.htm,https://www.sec.gov/Archives/edgar/data/1168165/000119312516457652/0001193125-16-457652-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000119312517039639/0001193125-17-039639-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000162828018001324/0001628280-18-001324-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000162828019001107/0001628280-19-001107-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000110935720000053/0001109357-20-000053-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000110935721000022/0001109357-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000110935722000039/0001109357-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000000,485000000,469000000,493000000,528000000,140000000,224000000,311000000,1271000000,2010000000,1612000000,1016000000,1486000000,1609000000,1878000000,6502000000,635000000,898000000,1596000000,587000000,663000000,1182000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000000,485000000,469000000,493000000,528000000,140000000,224000000,311000000,1271000000,2010000000,1612000000,1016000000,1486000000,1609000000,1878000000,6502000000,635000000,898000000,1596000000,587000000,663000000,1182000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2552000000,2159000000,2392000000,2232000000,2058000000,2195000000,2209000000,2652000000,2252000000,2049000000,3128000000,2613000000,5112000000,4530000000,4963000000,4185000000,5447000000,5593000000,5911000000,6222000000,4667000000,5126000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000000,471000000,524000000,522000000,542000000,662000000,731000000,723000000,843000000,757000000,806000000,864000000,1014000000,1105000000,1603000000,1566000000,1638000000,1651000000,1685000000,1768000000,1722000000,1869000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000000,667000000,733000000,1333000000,798000000,1640000000,1828000000,1365000000,1002000000,625000000,852000000,996000000,2521000000,2893000000,3653000000,3081000000,4692000000,3692000000,4168000000,3460000000,5510000000,5780000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4184000000,3782000000,4118000000,4580000000,3926000000,4637000000,4992000000,5051000000,5368000000,5441000000,6398000000,5489000000,10133000000,10137000000,12097000000,15334000000,12412000000,11834000000,13360000000,12037000000,12562000000,13957000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12936000000,13742000000,17134000000,20630000000,21482000000,21981000000,22775000000,24153000000,25813000000,27341000000,29941000000,32570000000,45186000000,47330000000,52087000000,57439000000,71555000000,74202000000,76707000000,80233000000,82584000000,84219000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2625000000,2625000000,2625000000,2625000000,2625000000,2625000000,2672000000,2672000000,6677000000,6677000000,6677000000,6677000000,6677000000,6677000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496000000,738000000,755000000,- -,- -,118000000,174000000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5186000000,5335000000,4992000000,4719000000,4705000000,3475000000,2694000000,2625000000,2625000000,2625000000,2625000000,2625000000,2625000000,3121000000,3410000000,3427000000,6677000000,6677000000,6795000000,6851000000,6677000000,6677000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,813000000,810000000,731000000,6215000000,7393000000,7140000000,7273000000,10303000000,11183000000,11081000000,10981000000,11690000000,13912000000,12286000000,13654000000,14904000000,16381000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,- -,- -,- -,- -,- -,- -,- -,3685000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12291000000,11962000000,11234000000,12012000000,12657000000,11483000000,13048000000,13334000000,7796000000,6380000000,6136000000,7135000000,10249000000,8153000000,8139000000,8203000000,12570000000,10075000000,10518000000,12202000000,8905000000,11779000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30413000000,31039000000,33360000000,37361000000,38844000000,37752000000,39327000000,40843000000,42449000000,43739000000,45842000000,49603000000,68421000000,69787000000,74717000000,80050000000,102492000000,104866000000,106306000000,112940000000,116755000000,119056000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34597000000,34821000000,37478000000,41941000000,42770000000,42389000000,44319000000,45894000000,47817000000,49180000000,52240000000,55092000000,78554000000,79924000000,86814000000,95384000000,114904000000,116700000000,119666000000,124977000000,129317000000,133013000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193000000,964000000,1563000000,1822000000,1255000000,1467000000,1382000000,1450000000,1416000000,1345000000,1373000000,1444000000,2648000000,2484000000,3048000000,2883000000,3441000000,3532000000,3800000000,3560000000,3562000000,4136000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281000000,1766000000,2617000000,2271000000,913000000,2204000000,1134000000,1722000000,559000000,1209000000,824000000,1216000000,1257000000,1850000000,2262000000,2033000000,3697000000,3017000000,2063000000,6080000000,3850000000,6703000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000000,- -,- -,- -,305000000,293000000,723000000,373000000,412000000,414000000,527000000,495000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000000,261000000,238000000,100000000,407000000,231000000,149000000,132000000,100000000,91000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177000000,1687000000,1794000000,1595000000,2714000000,2892000000,3279000000,2823000000,2105000000,1684000000,2043000000,2329000000,3424000000,3133000000,3214000000,4102000000,5912000000,4016000000,5392000000,4413000000,5259000000,5181000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4651000000,4417000000,5974000000,5688000000,4882000000,6563000000,5795000000,5995000000,4080000000,4238000000,4240000000,4989000000,7784000000,7728000000,8762000000,9118000000,13457000000,10796000000,11404000000,14185000000,12771000000,16111000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12958000000,12876000000,13127000000,13489000000,12148000000,11760000000,11911000000,11965000000,12592000000,11385000000,12004000000,12189000000,18346000000,18271000000,20010000000,24286000000,32216000000,32565000000,34465000000,31719000000,35483000000,35714000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000000,266000000,211000000,117000000,830000000,609000000,463000000,338000000,238000000,147000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4739000000,4619000000,4003000000,4645000000,4763000000,5078000000,5424000000,5081000000,4939000000,5750000000,6621000000,8351000000,11551000000,12905000000,13019000000,13776000000,18138000000,11222000000,11330000000,12351000000,13035000000,14194000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5034000000,4679000000,6632000000,9616000000,11554000000,9863000000,11182000000,12716000000,15159000000,15167000000,15812000000,15175000000,18615000000,17814000000,20679000000,20793000000,22651000000,29376000000,28934000000,31811000000,32922000000,32052000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22731000000,22174000000,23762000000,27750000000,28465000000,26701000000,28517000000,29762000000,32690000000,32302000000,34437000000,35715000000,49040000000,49256000000,53919000000,58972000000,73835000000,73772000000,75192000000,76219000000,81678000000,82107000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57068000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27382000000,26591000000,29659000000,33438000000,33305000000,33263000000,34346000000,35757000000,36770000000,36540000000,38677000000,40704000000,56824000000,56984000000,62681000000,68090000000,87292000000,84568000000,86596000000,90404000000,94449000000,98218000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6883000000,6930000000,7059000000,7292000000,7598000000,7987000000,- -,- -,- -,- -,- -,- -,16632000000,16741000000,16709000000,18676000000,18794000000,18964000000,19116000000,19274000000,19373000000,20324000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332000000,1200000000,2042000000,2320000000,3353000000,3206000000,3426000000,4930000000,6820000000,8134000000,9304000000,10055000000,9893000000,10358000000,10910000000,12068000000,12030000000,13503000000,14766000000,16267000000,16735000000,16942000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6950000000,-7784000000,-1359000000,-1109000000,-1446000000,-1624000000,-1137000000,-1534000000,-2251000000,-2089000000,-2423000000,-2450000000,-2767000000,-2040000000,-2684000000,-2624000000,-2660000000,-2487000000,-2995000000,-3194000000,-3400000000,-2750000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6950000000,7884000000,- -,- -,-82000000,-444000000,7650000000,6741000000,6478000000,6595000000,6682000000,6783000000,-2327000000,-2327000000,-2327000000,-2327000000,-2327000000,-123000000,-123000000,-123000000,-123000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7215000000,8230000000,7742000000,8503000000,9423000000,9125000000,9973000000,10137000000,11047000000,12640000000,13560000000,14385000000,21431000000,22732000000,22608000000,25793000000,25837000000,29857000000,30764000000,32224000000,32585000000,34393000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34597000000,34821000000,37401000000,41941000000,42728000000,42388000000,44319000000,45894000000,47817000000,49180000000,52237000000,55089000000,78255000000,79716000000,85289000000,93883000000,113129000000,114425000000,117360000000,122628000000,127034000000,132611000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,- -,42000000,1000000,- -,- -,- -,- -,3000000,3000000,299000000,208000000,1525000000,1501000000,1775000000,2275000000,2306000000,2349000000,2283000000,402000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34597000000,34821000000,37478000000,41941000000,42770000000,42389000000,44319000000,45894000000,47817000000,49180000000,52240000000,55092000000,78554000000,79924000000,86814000000,95384000000,114904000000,116700000000,119666000000,124977000000,129317000000,133013000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/78100/000095015901000191/0000950159-01-000191-index.html,https://www.sec.gov/Archives/edgar/data/22606/000095013702001929/0000950137-02-001929-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000104746903009677/0001047469-03-009677-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312504027301/0001193125-04-027301-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312505035141/0001193125-05-035141-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312506032686/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312507029587/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312508022265/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312509021261/0001193125-09-021261-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312510023280/0001193125-10-023280-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312511030543/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/0001193125-12-049043-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/0001193125-13-069749-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312514051838/d666092d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312515049964/d858551d10k.htm,https://www.sec.gov/Archives/edgar/data/1168165/000119312516457652/0001193125-16-457652-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000119312517039639/0001193125-17-039639-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000162828018001324/0001628280-18-001324-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000162828019001107/0001628280-19-001107-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000110935720000053/0001109357-20-000053-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000110935721000022/0001109357-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000110935722000039/0001109357-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,426700000,609700000,517200000,-1497100000,512700000,582400000,586000000,1428000000,1440000000,905000000,1864000000,923000000,1592000000,2736000000,2737000000,2707000000,2563000000,2495000000,1160000000,1719000000,1623000000,2269000000,1134000000,3770000000,2010000000,2936000000,1963000000,1706000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1634000000,1834000000,2075000000,1335000000,1881000000,2153000000,2314000000,2450000000,3936000000,3828000000,4353000000,4252000000,6527000000,7573000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23300000,183500000,166800000,-17200000,-115600000,7500000,193000000,-68000000,278000000,-337000000,202000000,493000000,73000000,-104000000,374000000,756000000,981000000,1457000000,615000000,119000000,502000000,752000000,664000000,-361000000,-106000000,681000000,309000000,18000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,99900000,-43300000,-34600000,83500000,-4200000,-54300000,-467000000,-168000000,-1221000000,748000000,152000000,-970000000,1123000000,-141000000,2232000000,-85000000,955000000,-1658000000,1849000000,60000000,926000000,2881000000,-7261000000,2083000000,918000000,-4104000000,1939000000,-5153000000
