,https://roic.ai/company/MBI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,80500000,116900000,136800000,165000000,197700000,17745000,22072000,31952000,54252000,120554000,137009000,184232000,192253000,186474000,509188000,621058000,903718000,1235156000,-3341735000,-1809705000,269459000,13310000,- -,- -,- -,- -,- -,- -,- -,-171000000,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,329422000,345030000,408130000,479569000,565038000,387883000,714857000,790984000,792581000,1148640000,1129913000,1015948000,1133263000,-3065692000,-3727389000,1216881000,-95228000,-2239000000,1598000000,416000000,641000000,289000000,-339000000,-661000000,-296000000,-357000000,-578000000,-445000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.7495,0.7465,0.7481,0.7333,0.6196,0.4022,0.6760,0.6934,0.6887,0.6145,0.5647,0.4416,0.4178,10.8499,4.3514,0.4119,-0.1065,1.4144,0.6697,0.3624,0.5075,0.3384,-1.1730,-1.6321,-1.8616,-1.2705,-2.0496,-2.7987
22,Income Tax expense (Gain),33100000,26200000,32800000,38700000,45000000,55600000,77900000,69213000,73611000,85967000,105393000,132310000,67353000,186220000,207826000,205763000,335055000,317185000,303869000,320080000,-1143744000,-1054696000,582821000,-147757000,-920000000,364000000,166000000,72000000,109000000,-1000000,944000000,- -,2000000,- -,- -
23,Net Income,73800000,92000000,102300000,126600000,144700000,188700000,259000000,260209000,271419000,322163000,374176000,432728000,320530000,528637000,570091000,579087000,813585000,815304000,710986000,819288000,-1921948000,-2672693000,634060000,52529000,-1319000000,1234000000,250000000,569000000,180000000,-338000000,-1605000000,-296000000,-359000000,-578000000,-445000000
24,Net Income ratio,0.5451,0.6105,0.5958,0.5662,0.5379,0.5755,0.6037,0.5920,0.5872,0.5905,0.5722,0.4745,0.3324,0.4999,0.4998,0.5032,0.4353,0.4075,0.3091,0.3021,6.8021,3.1201,0.2146,0.0588,0.8332,0.5172,0.2178,0.4505,0.2108,-1.1696,-3.9630,-1.8616,-1.2776,-2.0496,-2.7987
25,EPS,0.66,0.82,0.93,1.12,1.26,1.56,2.06,2.06,2.14,2.48,2.84,2.91,2.15,3.58,3.85,3.95,5.67,5.75,5.30,6.17,-15.17,-9.78,2.99,0.26,-6.69,6.36,1.30,2.94,1.06,-2.54,-13.50,-3.33,-4.43,-9.78,-8.98
26,EPS Diluted,0.66,0.82,0.91,1.11,1.25,1.54,2.03,2.06,2.14,2.48,2.81,2.88,2.13,3.55,3.82,3.92,5.61,5.63,5.18,5.99,-15.17,-9.78,2.99,0.26,-6.69,6.33,1.29,2.76,1.06,-2.54,-13.50,-3.33,-4.43,-9.78,-8.98
27,Weighted Average Shares Outstanding,111818182,112195122,110000000,113035714,114841270,120961538,125728155,126257829,126720033,130044144,131868922,148467961,149386305,147714663,148190890,146634204,143449007,141861225,134098392,132794334,126670332,217089104,208156622,202421433,197019968,193842435,189071011,188171503,163936318,133001088,118930282,89013711,81014285,59071843,49552796
28,Weighted Average Shares Outstanding Diluted,111818182,112195122,112417582,114054054,115760000,122532468,127586207,126258065,126720033,130108108,133121082,150244521,150603508,148668943,149282657,147574079,144980396,144799513,137220731,136694798,126670332,217089104,208156622,203021134,197019968,194904830,190312913,190898627,164869788,133001088,118930282,89013711,81014285,59071843,49552796
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814585/000081458595000002/0000814585-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/814585/000081458596000001/0000814585-96-000001-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814585/000095013003002644/0000950130-03-002644-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312504039476/0001193125-04-039476-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312505052662/0001193125-05-052662-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312506048353/0001193125-06-048353-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312507043147/0001193125-07-043147-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312508042602/0001193125-08-042602-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312509042548/0001193125-09-042548-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312510044879/0001193125-10-044879-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312511052366/0001193125-11-052366-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312512089406/0001193125-12-089406-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312513080289/0001193125-13-080289-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312514080397/0001193125-14-080397-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312515073382/0001193125-15-073382-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312516485560/0001193125-16-485560-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312517065856/0001193125-17-065856-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312518067440/0001193125-18-067440-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312519057808/0001193125-19-057808-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312520052873/0001193125-20-052873-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312521063676/0001193125-21-063676-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312522058160/0001193125-22-058160-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,7940000,23258000,7356000,23181000,20757000,93559000,93962000,115040000,83218000,182417000,366236000,233046000,269277000,263732000,2279783000,803243000,1129732000,633000000,990000000,1258000000,782000000,522000000,187000000,146000000,280000000,83000000,167000000,160000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,138934000,212099000,205189000,261831000,518169000,420060000,496195000,429167000,899911000,1333182000,2667057000,1678281000,2960646000,5464708000,5192148000,3042948000,6257964000,1571000000,5779000000,6327000000,6198000000,5866000000,5246000000,4301000000,3806000000,3243000000,2539000000,2531000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,146874000,235357000,212545000,285012000,538926000,513619000,590157000,544207000,983129000,1515599000,3033293000,1911327000,3229923000,5728440000,7471931000,3846191000,7387696000,2204000000,6769000000,7585000000,6980000000,6388000000,5433000000,4447000000,4086000000,3326000000,2706000000,2691000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,945000,6100000,980000,13435000,49497000,55741000,45186000,192954000,135595000,81461000,100939000,133752000,124534000,193171000,318335000,2571058000,1638341000,1392000000,4876000000,1745000000,1408000000,1369000000,913000000,880000000,1860000000,1943000000,1893000000,1474000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,5152299000,6873394000,8192429000,9331751000,11006003000,11455783000,13021159000,15235748000,8521334000,9733404000,7352118000,6902149000,5506904000,6256215000,2111673000,3364369000,2415989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,5300118000,7114851000,8405954000,9630198000,11594426000,12025143000,13656502000,15972909000,9640058000,11330464000,10486350000,8947228000,8861361000,12177826000,9901939000,9781618000,11442026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
38,PP&E,- -,- -,27200000,30700000,33500000,40300000,44100000,45069000,46030000,50923000,60238000,81457000,128733000,133514000,129004000,128441000,123068000,114692000,109275000,105950000,104036000,105364000,76834000,71385000,69000000,69000000,8000000,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,111252000,106569000,105138000,120326000,120681000,110023000,104322000,97772000,90041000,90041000,79406000,79406000,79406000,79406000,- -,31371000,31371000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,141000000,131700000,126500000,121300000,116300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76938000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,141000000,131700000,126500000,121300000,116300000,111252000,106569000,105138000,120326000,120681000,110023000,104322000,97772000,90041000,90041000,79406000,79406000,79406000,79406000,76938000,31371000,31371000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8993561000,18724161000,22346962000,25425485000,30716313000,35053806000,19572833000,15794876000,20734229000,8043000000,10587000000,9919000000,9583000000,9664000000,6537000000,5573000000,5075000000,4425000000,2812000000,2849000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,156321000,152599000,156061000,180564000,202138000,238756000,237836000,226776000,9212043000,18937270000,22541060000,25614166000,30901669000,35237248000,19755135000,15903081000,20836985000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,1159000000,1283100000,1785800000,2024500000,2278400000,2884800000,4106300000,- -,- -,- -,- -,- -,- -,- -,- -,28064144000,49205004000,55568470000,60175560000,70664699000,82652322000,49412209000,41587780000,53115996000,26873000000,21724000000,16953000000,16284000000,14855000000,11137000000,9095000000,8076000000,7284000000,5751000000,4696000000
47,Total Assets,1159000000,1283100000,1785800000,2024500000,2278400000,2884800000,4106300000,5456439000,7267450000,8562015000,9810762000,11796564000,12263899000,13894338000,16199685000,18852101000,30267734000,33027410000,34561394000,39763030000,47415074000,29657074000,25684699000,32279011000,26873000000,21724000000,16953000000,16284000000,14855000000,11137000000,9095000000,8076000000,7284000000,5751000000,4696000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,209966000,- -,- -,- -,- -,- -,- -,130098000,58436000,47059000,94609000,- -,319640000,41359000,- -,239154000,71151000,64000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,633776000,997771000,1197022000,897718000,1097672000,1112046000,952495000,563967000,57337000,2657400000,918742000,786894000,863698000,- -,18112000,64768000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17648000,14554000,- -,- -,6970000,- -,- -,- -,- -,48000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3469391000,11061000,9995000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3243034000,4025224000,4710229000,5091978000,6417282000,6964328000,7763954000,9529407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3453000000,4659000000,5708000000,6289000000,7315000000,8062000000,8876000000,10612000000,622403000,104396000,2752009000,918742000,1106534000,905057000,- -,268327000,145914000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,- -,- -,195000000,200000000,198700000,298600000,298700000,298790000,373900000,374010000,473878000,688996000,689204000,795102000,805062000,7699665000,9861920000,8876885000,10032981000,13618595000,15411849000,10527183000,8112999000,14540028000,12553000000,10384000000,8415000000,7815000000,7975000000,5122000000,5175000000,4715000000,4447000000,3562000000,3212000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42964000,36536000,32694000,27629000,24838000,21814000,26780000,20379000,14862000,15059000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,76843000,246736000,206492000,286402000,343896000,32805000,252463000,272665000,471534000,552740000,610545000,569536000,476189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-76633000,-246636000,-206502000,-286280000,-386856000,-69545000,-285259000,-300356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,195000000,200000000,198700000,298600000,298700000,299000000,374000000,374000000,474000000,689000000,689000000,795000000,805000000,8196037000,10436474000,9514210000,10622896000,14109646000,15426908000,10527183000,8112999000,14540028000,12553000000,10384000000,8415000000,7815000000,7975000000,5122000000,5175000000,4715000000,4447000000,3562000000,3212000000
59,Other Liabilities,539400000,578600000,1204300000,1292800000,1413800000,1801300000,2808600000,- -,748184000,748318000,- -,1378347000,- -,- -,1610047000,20932384000,34340797000,33210540000,37673904000,45561888000,58281120000,39134641000,30922495000,43826827000,37703000000,28914000000,22069000000,20149000000,19089000000,13020000000,12845000000,11659000000,10892000000,9164000000,8208000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,539400000,578600000,1009300000,1092800000,1215100000,1502700000,2509900000,3751723000,5033184000,6082318000,6762509000,8004347000,8750798000,9670925000,11417047000,13358750000,24008719000,26448339000,27969750000,32558776000,43759269000,28607458000,23077823000,29432713000,25150000000,18530000000,13654000000,12334000000,11114000000,7898000000,7670000000,6944000000,6445000000,5602000000,4996000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,42077000,42077000,43294000,89461000,99570000,100073000,100773000,151951000,152555000,153551000,155608000,156602000,158330000,160245000,273200000,274827000,274720000,275000000,277000000,278000000,281000000,282000000,284000000,284000000,284000000,283000000,283000000,283000000
64,Retained Earnings,69400000,154300000,241500000,349300000,468500000,625200000,844900000,1057092000,1261051000,1518994000,1825333000,2246221000,2486478000,2934608000,3415517000,3895112000,4593486000,5215191000,5747171000,6399333000,4301880000,1629187000,2393282000,2123566000,805000000,2039000000,2289000000,2858000000,3038000000,2700000000,1095000000,966000000,607000000,-13000000,-458000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,541250000,632623000,611173000,399381000,321293000,-491000000,-1775954000,-940871000,-405484000,-176000000,56000000,-86000000,21000000,-61000000,-128000000,-19000000,-156000000,-2000000,115000000,100000000
66,Other Total Stockholders Equity,550200000,550200000,535000000,582400000,594800000,756900000,751500000,605547000,931138000,917409000,1133459000,1446426000,926550000,1188032000,1215170000,904434000,879355000,597099000,288490000,325298000,-315320000,867987000,862860000,839337000,796000000,801000000,797000000,769000000,470000000,371000000,53000000,25000000,-62000000,-249000000,-238000000
67,Total Stockholders Equity,619600000,704500000,776500000,931700000,1063300000,1382100000,1596400000,1704716000,2234266000,2479697000,3048253000,3792217000,3513101000,4223413000,4782638000,5493351000,6259015000,6579071000,6591644000,7204254000,3655805000,994420000,2606876000,2832139000,1700000000,3173000000,3278000000,3929000000,3729000000,3227000000,1413000000,1119000000,826000000,136000000,-313000000
68,Total Liabilities And Stockholders Equity,1159000000,1283100000,1785800000,2024500000,2278400000,2884800000,4106300000,5456439000,7267450000,8562015000,9810762000,11796564000,12263899000,13894338000,16199685000,18852101000,30267734000,33027410000,34561394000,39763030000,47415074000,29601878000,25684699000,32264852000,26850000000,21703000000,16932000000,16263000000,14843000000,11125000000,9083000000,8063000000,7271000000,5738000000,4683000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55196000,- -,14159000,23000000,21000000,21000000,21000000,12000000,12000000,12000000,13000000,13000000,13000000,13000000
70,Total Liabilities & Equity,1159000000,1283100000,1785800000,2024500000,2278400000,2884800000,4106300000,5456439000,7267450000,8562015000,9810762000,11796564000,12263899000,13894338000,16199685000,18852101000,30267734000,33027410000,34561394000,39763030000,47415074000,29657074000,25684699000,32279011000,26873000000,21724000000,16953000000,16284000000,14855000000,11137000000,9095000000,8076000000,7284000000,5751000000,4696000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814585/000081458595000002/0000814585-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/814585/000081458596000001/0000814585-96-000001-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814585/000095013003002644/0000950130-03-002644-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312504039476/0001193125-04-039476-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312505052662/0001193125-05-052662-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312506048353/0001193125-06-048353-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312507043147/0001193125-07-043147-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312508042602/0001193125-08-042602-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312509042548/0001193125-09-042548-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312510044879/0001193125-10-044879-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312511052366/0001193125-11-052366-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312512089406/0001193125-12-089406-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312513080289/0001193125-13-080289-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312514080397/0001193125-14-080397-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312515073382/0001193125-15-073382-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312516485560/0001193125-16-485560-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312517065856/0001193125-17-065856-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312518067440/0001193125-18-067440-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312519057808/0001193125-19-057808-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312520052873/0001193125-20-052873-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312521063676/0001193125-21-063676-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312522058160/0001193125-22-058160-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,102300000,126600000,144700000,188700000,246100000,260209000,271419000,322163000,374176000,432728000,320530000,528637000,570091000,579087000,813585000,812728000,712079000,813183000,-1921948000,-2672693000,634060000,52529000,-1319000000,1234000000,250000000,569000000,180000000,-338000000,-1605000000,-296000000,-359000000,-578000000,-445000000
74,Depreciation and Amortization,- -,- -,12100000,12900000,7400000,8200000,7300000,8208000,9167000,9405000,11839000,17225000,18351000,18258000,16612000,14047000,11483000,13904000,12317000,-9429000,10158000,9640000,9193000,7592000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,9900000,9000000,10800000,8700000,7500000,19067000,11349000,9308000,13376000,19943000,-40505000,49575000,-13788000,-4354000,38137000,99162000,55308000,-29589000,-1197358000,-532630000,1091022000,-221207000,-935000000,365000000,157000000,50000000,107000000,-5000000,940000000,- -,13000000,12000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30618000,6431000,2264000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,34400000,66300000,-8300000,159900000,186300000,37495000,27205000,121539000,133903000,390989000,232698000,-3127000,5836000,102500000,76658000,232089000,-179613000,-184465000,776278000,310909000,-2285053000,-692796000,-1024000000,-989000000,3291000000,-132000000,-185000000,-74000000,71000000,-195000000,8000000,237000000,950000000
78,Accounts Receivable,- -,- -,45600000,71500000,- -,173200000,193300000,79500000,69900000,136400000,154700000,153700000,53000000,74452000,140511000,107093000,226438000,-46912000,-56486000,-73922000,-61107000,- -,389998000,263426000,216000000,-450000000,3813000000,300000000,6000000,1000000,-632000000,-153000000,-37000000,45000000,412000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,5000000,- -,- -,8200000,6400000,2400000,16800000,19600000,167100000,115800000,-8007000,-49023000,46148000,-31022000,206031000,27220000,87663000,944032000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222637000,- -,- -,28344000,-1066000,-2000000,44000000,51000000,43000000,49000000,41000000,22000000,21000000,12000000,10000000,8000000
82,Other Non-Cash Items,- -,- -,10200000,-7800000,106100000,-25000000,23700000,51458000,31943000,-16003000,-51157000,-178840000,-87823000,47000000,142842000,181925000,38828000,-255408000,181053000,73810000,3354949000,2915392000,-1647852000,-405032000,290000000,-1637000000,-1869000000,-820000000,-157000000,275000000,-36000000,172000000,-30000000,-61000000,6000000
83,Cash Provided by Operating Activities,- -,- -,168900000,207000000,260700000,340500000,470900000,376437000,351083000,446412000,482137000,682045000,443251000,640343000,721593000,873205000,978691000,902475000,781144000,663510000,1022079000,- -,-2192199000,-1256650000,-2976000000,-1027000000,1829000000,-333000000,-55000000,-142000000,-630000000,-319000000,-368000000,-390000000,511000000
