,https://roic.ai/company/RES,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,61800000,64800000,117300000,104000000,112200000,97300000,100700000,123500000,155800000,161400000,200800000,245800000,244300000,230500000,184215000,264942000,209030000,270527000,339792000,427643000,596630000,690226000,876977000,587863000,1096384000,1809807000,1945023000,1861489000,2337413000,1263840000,728974000,1595227000,1721005000,1222409000,598302000,864929000
2,COGS,- -,63100000,65000000,104200000,39900000,40800000,28900000,38700000,43400000,65900000,63500000,77000000,82900000,90100000,102000000,107056000,148573000,143362000,168766000,193659000,227492000,287037000,368175000,503631000,393806000,606098000,992704000,1105886000,1178412000,1493082000,986144000,607888000,1050809000,1183048000,919595000,576269000,735948000
3,Gross Profit,- -,-1300000,-200000,13100000,64100000,71400000,68400000,62000000,80100000,89900000,97900000,123800000,162900000,154200000,128500000,77159000,116369000,65668000,101761000,146133000,200151000,309593000,322051000,373346000,194057000,490286000,817103000,839137000,683077000,844331000,277696000,121086000,544418000,537957000,302814000,22033000,128981000
4,Gross Profit Ratio,- -,-0.0210,-0.0031,0.1117,0.6163,0.6364,0.7030,0.6157,0.6486,0.5770,0.6066,0.6165,0.6627,0.6312,0.5575,0.4189,0.4392,0.3142,0.3762,0.4301,0.4680,0.5189,0.4666,0.4257,0.3301,0.4472,0.4515,0.4314,0.3670,0.3612,0.2197,0.1661,0.3413,0.3126,0.2477,0.0368,0.1491
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76400000,95800000,117800000,114000000,99500000,34630000,49747000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,51700000,58000000,56900000,52400000,65400000,72000000,76400000,95800000,117800000,114000000,99500000,34630000,49747000,42506000,52268000,65871000,75478000,91051000,107800000,117140000,97672000,121839000,151286000,175749000,185165000,198076000,156579000,150690000,159194000,168151000,168127000,123698000,123572000
9,Other Expenses,- -,17600000,10300000,5300000,4500000,4500000,5200000,5800000,6200000,6200000,7500000,9800000,13500000,16400000,17500000,17995000,25434000,31242000,33094000,34473000,26960000,40742000,72213000,118403000,129437000,129602000,183736000,214899000,213128000,230813000,270977000,217258000,163537000,163120000,170409000,- -,- -
