,https://roic.ai/company/NRZ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,289756000,1973189000,2463163000,2501881000,5073858000,8071140000,11636581000,19477728000,14244558000,9396539000
33,Cash and Short-Term Investments,- -,2245183000,2676148000,2751817000,5364460000,8366938000,11887639000,20006465000,15189412000,10729114000
34,Net Receivables,84000,47680000,82179000,1760149000,1951114000,2566795000,9317462000,11138312000,4797104000,3751450000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,-10475907000,-5064180000,8175646000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,20668870000,14922336000,22656210000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,50138000,54406000,173748000
39,Goodwill,- -,- -,- -,- -,- -,- -,24645000,29737000,29468000,85199000
40,Intangible Assets,245036000,676149000,748609000,1798738000,2253726000,3080982000,3498632000,4514266000,3934655000,7346883000
41,Intangible Assets,245036000,676149000,748609000,1798738000,2253726000,3080982000,3523277000,4544003000,3964123000,7432082000
42,Investments,289756000,4638740000,5734002000,9928675000,10780451000,12117778000,12454528000,19600443000,14311249000,9480150000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,24194584000,18329778000,17085980000
46,Other Assets,534876000,5958658000,8093690000,15192722000,18365035000,22213562000,31691013000,69058038000,51581892000,56828170000
47,Total Assets,534876000,5958658000,8093690000,15192722000,18365035000,22213562000,31691013000,44863454000,33252114000,39742190000
48,Accounts Payable,403000,253770000,38594000,762590000,1449407000,1296305000,2268710000,1218366000,191854000,376832000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1950230000,3545406000,4384631000,5699417000,9142661000,16322367000,- -,- -,- -
53,Total Current Liabilities,- -,2204000000,3584000000,5147221000,7148824000,10438966000,18591077000,- -,- -,- -
54,Long-Term Debt,- -,2488618000,2913209000,7249568000,7990605000,7084391000,7102266000,7931004000,8216981000,9330723000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,15114000,- -,- -,19218000,- -,- -,7859000,440690000
57,Other Non-Current Liabilities,- -,382000,-19323000,- -,- -,-19218000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,2489000000,2909000000,7249568000,7990605000,7084391000,7102266000,7931004000,8224840000,9771413000
59,Other Liabilities,156520000,- -,- -,- -,- -,- -,- -,45558198000,36047270000,42844223000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,38520000,31270000,142620000
61,Total Liabilities,156520000,4445583000,6243765000,12206142000,14896858000,17417400000,25602718000,37627194000,27822430000,33072810000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,423444000,812992000,1262481000
63,Common Stock,- -,2532000,1414000,2304000,2507000,3074000,3692000,4156000,4148000,4669000
64,Retained Earnings,- -,102986000,237769000,148800000,210500000,559476000,830713000,549733000,-1108929000,-813042000
65,Other Comprehensive Income/Loss,- -,3000000,28000000,4000000,126000000,364000000,417000000,682151000,65697000,90253000
66,Other Total Stockholders Equity,378356000,1157332000,1328906000,2640829000,2921093000,3763655000,4746265000,5498226000,5547108000,6059671000
67,Total Stockholders Equity,378356000,1265850000,1596089000,2795933000,3260100000,4690205000,5997670000,7157710000,5321016000,6604032000
68,Total Liabilities And Stockholders Equity,534876000,5711433000,7839854000,15002075000,18156958000,22107605000,31600388000,44784904000,33143446000,39676842000
69,Minority Interest,- -,247225000,253836000,190647000,208077000,105957000,90625000,78550000,108668000,65348000
70,Total Liabilities & Equity,534876000,5958658000,8093690000,15192722000,18365035000,22213562000,31691013000,44863454000,33252114000,39742190000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1556593/000119312514121746/d695679d10k.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659315000003/nrz-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659316000025/0001556593-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659317000005/0001556593-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659318000008/0001556593-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659319000006/0001556593-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659320000004/0001556593-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659321000004/0001556593-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659322000008/0001556593-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,41247000,265949000,352877000,268636000,504453000,957533000,963967000,605933000,-1357684000,805582000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,6072000
75,Deferred Income Tax,- -,- -,15114000,-6633000,34846000,168518000,-80054000,52991000,15029000,151200000
76,Stock Based Compensation,- -,78000,453000,450000,300000,699000,1020000,1055000,1211000,1110000
77,Change in Working Capital,4542000,-2204000000,-1380000000,-1563221000,-2001603000,-3290142000,-8152111000,64481000,228753000,824739000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-2204000000,-3584000000,-5147221000,-7148824000,-10438966000,-18591077000,- -,- -,- -
82,Other Non-Cash Items,-45789000,2090913000,1166929000,1621531000,2022800000,1263674000,6038064000,-2347008000,2968634000,1095169000
83,Cash Provided by Operating Activities,- -,152940000,155373000,320763000,560796000,-899718000,-1229114000,-1622548000,1855943000,2883872000
84,CAPEX,- -,-297198000,5812000,31491000,57473000,48114000,31924000,-1450375000,-539889000,-23015000
85,Acquisitions Net,- -,- -,- -,-881000000,-56000000,- -,-123000000,-1223233000,- -,-1173171000
86,Purchases of Investments,- -,-741047000,-6941486000,-15037181000,-15359695000,-12334894000,-2478195000,-38289101000,-24753235000,-7585690000
87,Sales/Maturities of Investments,- -,103394000,6476799000,16046679000,17214246000,13946338000,2663756000,29398048000,33391715000,11968811000
88,Other Investing Activites,- -,-355800000,-1548932000,-441240000,-1981134000,-3389023000,-5233651000,-834229000,6961000,-903697000
89,Cash Used for Investing Activites,- -,-993453000,-2013619000,-312742000,-182583000,-1777579000,-5171090000,-10948515000,8645441000,2306253000
90,Debt Repayment,- -,-59149000,-5416883000,-7286860000,-10843732000,-8971523000,-9892659000,-9307033000,-74573429000,-138823064000
91,Common Stock Issued,- -,- -,173507000,882166000,279600000,835465000,983149000,752217000,1735000,513540000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-7462000,- -
93,Dividends Paid,- -,-62020000,-227646000,-303023000,-433414000,-570232000,-661859000,-817122000,-383567000,-438544000
94,Other Financing Activites,- -,1233676000,7270259000,6736647000,10728392000,11375940000,15940601000,22218857000,64850878000,134005912000
95,Cash Used/Provided by Financing Activities,- -,1112507000,1799237000,28930000,-269154000,2669650000,6369232000,12846919000,-10111845000,-4742156000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-59009000,36951000,109059000,-7647000,-30972000,275856000,389539000,447969000
98,Cash at the End of Period,- -,271994000,212985000,249936000,453697000,446050000,415078000,690934000,1080473000,1528442000
99,Cash at the Beginning of Period,- -,- -,271994000,212985000,344638000,453697000,446050000,415078000,690934000,1080473000
100,Free Cash Flow,- -,-144258000,61260000,68636000,31997000,-2561326000,-2423581000,-3072923000,1316054000,2860857000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1556593/000119312514121746/d695679d10k.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659315000003/nrz-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659316000025/0001556593-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659317000005/0001556593-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659318000008/0001556593-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659319000006/0001556593-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659320000004/0001556593-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659321000004/0001556593-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659322000008/0001556593-22-000008-index.htm
102,false,,,,,,,,,,
