,https://roic.ai/company/EIGR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,1044000,1000,- -,- -,2002000,- -,534000,582000,67222000
50,Tax Payable,- -,- -,- -,- -,- -,97000,56000,40000,40000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1209000,4119000,3312000,1830000,2649000,2084000,4194000,10001000,11405000,-45086000
53,Total Current Liabilities,- -,1778000,6560000,6606000,2309000,5288000,7269000,10024000,16949000,16627000,29901000
54,Long-Term Debt,- -,- -,- -,10102000,- -,14727000,13091000,25620000,30390000,31194000,17378000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10293000,5487000,298000,24000,- -,- -,212000,1320000,738000,6724000
58,Total Non-Current Liabilities,- -,10293000,5487000,10400000,24000,14727000,13091000,25832000,31710000,31932000,24102000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1854000,1320000,- -
61,Total Liabilities,- -,12071000,12047000,17006000,2333000,20015000,20360000,35856000,48659000,48559000,54003000
62,Preferred Stock,- -,52274000,60098000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,23000,2000,8000,11000,19000,24000,34000,35000
64,Retained Earnings,- -,-92591000,-112586000,-146439000,-190852000,-76358000,-118806000,-171197000,-241449000,-306500000,-340417000
65,Other Comprehensive Income/Loss,- -,9000,2000,-8000,-13000,-15000,-3000,-25000,42000,-8000,-149000
66,Other Total Stockholders Equity,- -,116659000,121940000,218528000,222416000,117086000,141320000,237795000,297863000,401509000,412930000
67,Total Stockholders Equity,- -,23858000,9107000,72104000,31553000,40721000,22522000,66592000,56480000,95035000,72399000
68,Total Liabilities And Stockholders Equity,- -,35929000,21154000,89110000,33886000,60736000,42882000,102448000,105139000,143594000,126402000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,35929000,21154000,89110000,33886000,60736000,42882000,102448000,105139000,143594000,126402000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1305253/000119312514123912/0001193125-14-123912-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000119312515112793/0001193125-15-112793-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000119312516523887/0001193125-16-523887-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459017005079/0001564590-17-005079-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459018005123/0001564590-18-005123-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459019007830/0001564590-19-007830-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459020010645/0001564590-20-010645-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459021011758/0001564590-21-011758-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459022009697/0001564590-22-009697-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-6990000,-15717000,-19995000,-33853000,-44413000,-47087000,-42448000,-52391000,-70252000,-65051000,-33917000
74,Depreciation and Amortization,73000,64000,67000,153000,504000,23000,41000,54000,486000,645000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,217000,298000,1388000,3319000,3028000,3190000,4243000,5007000,5679000,5973000,- -
77,Change in Working Capital,-126000,31159000,-19169000,69487000,-49910000,23662000,-20007000,56599000,-8386000,37744000,-47716000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,699000,544000,2647000,584000,-1899000,- -
81,Other Working Capital,- -,31159000,11990000,81477000,31567000,55229000,35222000,91821000,83435000,121179000,73463000
82,Other Non-Cash Items,1215000,-30441000,21513000,-68365000,49700000,-17758000,19799000,-51940000,8859000,-42496000,81633000
83,Cash Provided by Operating Activities,-5611000,-14637000,-16196000,-29259000,-41091000,-37970000,-38372000,-42671000,-63614000,-63185000,- -
84,CAPEX,-2000,-48000,-87000,-739000,-235000,-58000,-44000,-142000,-475000,-258000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,28018000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-26751000,-17860000,-90659000,- -,-34154000,-24524000,-57193000,-96267000,-128295000,- -
87,Sales/Maturities of Investments,- -,4966000,28801000,30210000,70327000,2000000,47025000,28250000,80271000,83766000,- -
88,Other Investing Activites,37000,- -,- -,- -,277000,- -,200000,- -,- -,- -,- -
89,Cash Used for Investing Activites,35000,-21833000,10854000,-61188000,70369000,-4194000,22657000,-29085000,-16471000,-44787000,- -
90,Debt Repayment,-18000,-111000,- -,- -,-10000000,- -,- -,- -,-1667000,- -,- -
91,Common Stock Issued,90000,- -,- -,95028000,826000,50337000,19800000,90642000,53194000,96779000,- -
92,Common Stock Repurchased,- -,- -,-1693000,-7661000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4400000,49954000,1097000,9612000,-1762000,14805000,194000,10341000,6669000,684000,- -
95,Cash Used/Provided by Financing Activities,4472000,49843000,-596000,96979000,-10936000,65142000,19994000,100983000,58196000,97463000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1104000,13373000,-5938000,6532000,18342000,22978000,4279000,29227000,-21889000,-10509000,- -
98,Cash at the End of Period,600000,13841000,7903000,14435000,32777000,27756000,32035000,61262000,39373000,28864000,- -
99,Cash at the Beginning of Period,1704000,468000,13841000,7903000,14435000,4778000,27756000,32035000,61262000,39373000,28864000
100,Free Cash Flow,-5613000,-14685000,-16283000,-29998000,-41326000,-38028000,-38416000,-42813000,-64089000,-63443000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1305253/000119312514123912/0001193125-14-123912-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000119312515112793/0001193125-15-112793-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000119312516523887/0001193125-16-523887-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459017005079/0001564590-17-005079-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459018005123/0001564590-18-005123-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459019007830/0001564590-19-007830-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459020010645/0001564590-20-010645-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459021011758/0001564590-21-011758-index.htm,https://www.sec.gov/Archives/edgar/data/1305253/000156459022009697/0001564590-22-009697-index.htm
102,false,,,,,,,,,,,
