,https://roic.ai/company/MOS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,190900000,214900000,127600000,152800000,141400000,-177300000,7800000,207400000,238400000,131300000,141600000,-465700000,131100000,-30700000,16900000,-74100000,- -,214900000,-160100000,505700000,2682400000,2905700000,1189700000,3271300000,2628900000,2214500000,1217300000,1103300000,242400000,374000000,551500000,-1256100000,180900000,2224800000
21,Income Before Tax Ratio,0.1758,0.1759,0.1154,0.1351,0.1336,-0.1976,0.0054,0.1078,0.0800,0.0439,0.0525,-0.1966,0.0626,-0.0157,0.0082,-0.0338,- -,0.0489,-0.0302,0.0876,0.2734,0.2822,0.1760,0.3292,0.2367,0.2220,0.1344,0.1240,0.0338,0.0505,0.0575,-0.1410,0.0208,0.1800
22,Income Tax expense (Gain),79200000,77600000,45000000,57000000,50500000,-57300000,11400000,80300000,94100000,43500000,84500000,145400000,46800000,-2800000,30100000,-36500000,- -,98300000,5300000,123400000,714900000,649300000,347300000,752800000,711400000,341000000,184700000,99100000,-74200000,494900000,77100000,-224700000,-578500000,597700000
23,Net Income,111700000,137300000,82600000,95800000,-74600000,-167100000,-28800000,114700000,144300000,62900000,-9000000,-773300000,-345000000,-66500000,-110200000,-135400000,- -,165600000,-121400000,419700000,2082800000,2350200000,827100000,2514600000,1930200000,1888700000,1028600000,1000400000,297800000,-107200000,470000000,-1067400000,666100000,1630600000
24,Net Income ratio,0.1029,0.1124,0.0747,0.0847,-0.0705,-0.1863,-0.0200,0.0596,0.0484,0.0210,-0.0033,-0.3264,-0.1646,-0.0340,-0.0536,-0.0618,- -,0.0377,-0.0229,0.0727,0.2123,0.2282,0.1224,0.2530,0.1738,0.1894,0.1136,0.1125,0.0416,-0.0145,0.0490,-0.1198,0.0767,0.1320
25,EPS,1.94,2.64,1.57,1.93,-1.69,-3.79,-0.57,1.94,1.56,0.67,-0.08,-6.75,-3.00,-0.57,-0.97,-1.22,- -,0.48,-0.35,0.97,4.70,5.29,1.86,5.64,4.54,4.44,2.69,2.79,0.85,-0.31,1.22,-2.78,1.76,4.28
26,EPS Diluted,1.94,2.64,1.57,1.93,-1.69,-3.79,-0.57,1.94,1.56,0.67,-0.08,-6.75,-3.00,-0.57,-0.97,-1.22,- -,0.46,-0.35,0.95,4.67,5.27,1.85,5.62,4.42,4.42,2.68,2.78,0.85,-0.31,1.22,-2.78,1.75,4.25
27,Weighted Average Shares Outstanding,50206186,52007576,52611465,49637306,44142012,44089710,50526316,59123711,92500000,93880597,112500000,114562963,114400000,114500000,114600000,114800000,- -,327800000,382200000,434300000,442700000,444200000,445100000,446000000,425470377,425817089,374100000,358500000,350400000,350900000,384800000,383800000,379000000,379800000
28,Weighted Average Shares Outstanding Diluted,50206186,52007576,52611465,49637306,44142012,44089710,50526316,59123711,92500000,93880597,112500000,114562963,114800000,114500000,114600000,114800000,- -,360400000,382200000,440300000,445700000,446200000,446600000,447500000,436500000,426900000,375600000,360300000,351700000,350900000,386400000,383800000,381300000,383200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1285785/000119312506170786/d10k.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312507177117/0001193125-07-177117-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312508159285/0001193125-08-159285-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312509154839/0001193125-09-154839-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312510164140/0001193125-10-164140-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312511191456/0001193125-11-191456-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312513292097/0001193125-13-292097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1285785/000161803416000025/0001618034-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,76800000,- -,245000000,173300000,420600000,1960700000,2703200000,2523000000,3906400000,3811000000,3697100000,2374600000,1276300000,673100000,2153500000,847700000,519100000,574000000,769500000
