,https://roic.ai/company/MOS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248500000,185600000,624600000,- -,454300000,325800000,2623400000,3686000000,3670900000,4756400000,4663400000,5115600000,3763800000,2096400000,1580900000,2585400000,1753300000,1126500000,374700000,1105000000,- -
82,Other Non-Cash Items,- -,- -,36400000,10000000,-34500000,210200000,47900000,230500000,28800000,258900000,23500000,862800000,557900000,-468300000,75900000,-432800000,- -,124700000,298100000,-2369400000,-1096000000,-1313300000,-631200000,-212600000,54200000,1122400000,3032000000,1234000000,115900000,1234400000,1640900000,3148000000,4800000,1057800000
83,Cash Provided by Operating Activities,- -,- -,287800000,209700000,144400000,26200000,143100000,488600000,342000000,563400000,269100000,458400000,363400000,-156800000,6800000,39400000,- -,333700000,279500000,707900000,2546600000,1242600000,1356000000,2426700000,2705800000,1887500000,2293700000,1807600000,1266100000,935500000,1409800000,1095400000,1582600000,2187000000
84,CAPEX,- -,- -,-94300000,-168500000,-177700000,-106100000,-40700000,-64200000,-172700000,-244000000,-760900000,-257500000,-118100000,-123100000,-140000000,-120300000,- -,-255200000,-389500000,-292100000,-372100000,-781100000,-910600000,-1263200000,-1639300000,-1588300000,-929100000,-1000300000,-843100000,-820100000,-954500000,-1272200000,-1170600000,-1288600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,-17300000,17600000,56400000,- -,-15000000,-1798600000,-124800000,-413000000,-112000000,-986800000,-55200000,- -,-24100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-1400000,-8100000,- -,- -,-385300000,- -,- -,- -,- -,-1659400000,-1676300000,-534500000,-15400000,-6100000,-3200000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,11600000,- -,- -,12800000,- -,- -,- -,- -,- -,- -,- -,- -,24600000,745700000,- -,1030000000,- -,- -,- -,- -,1029300000,1658100000,518800000,2300000,1700000,800000
88,Other Investing Activites,- -,- -,-71600000,-36700000,38700000,-2800000,19900000,4500000,-73400000,-82600000,51200000,313800000,4400000,625800000,-21100000,116000000,- -,40100000,39300000,-10500000,6100000,-810000000,-883900000,-1273200000,-1627400000,-1574800000,-940500000,-1623600000,-6400000,-537600000,-942200000,-1292600000,-1185100000,-1295800000
89,Cash Used for Investing Activites,- -,- -,-165900000,-205200000,-139000000,-108900000,-20800000,-59700000,-234500000,-326600000,-709700000,69100000,-113700000,502700000,-161100000,-4300000,- -,-215100000,-350600000,-304000000,-341600000,-81600000,-866300000,-572100000,-1627400000,-1589800000,-2739100000,-1748400000,-1049500000,-667800000,-1944700000,-1360900000,-1189500000,-1322300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-510200000,-383600000,-867600000,-708800000,-264600000,-222500000,-426800000,-1190400000,-703600000,-947300000,-602500000,-1609400000,-1334900000
91,Common Stock Issued,- -,- -,- -,196600000,- -,- -,255500000,- -,25800000,5500000,8900000,2400000,- -,- -,67900000,133100000,- -,26400000,28900000,48100000,57200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-28500000,-388000000,- -,- -,- -,- -,- -,-187500000,-3100000,- -,- -,- -,-79500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1162500000,- -,-2755300000,-709500000,-75000000,- -,- -,-149900000,- -,-410900000
93,Dividends Paid,- -,- -,- -,-28000000,-23800000,-17800000,-146800000,-236900000,-277500000,-29700000,-36600000,-36600000,-26300000,-17500000,-9200000,-9500000,- -,-11400000,-10300000,-2600000,- -,-88900000,-668000000,-89300000,-119500000,-426600000,-382500000,-384700000,-385100000,-210600000,-38500000,-67200000,-75800000,-103700000
94,Other Financing Activites,- -,- -,-155300000,224100000,12200000,179500000,-173600000,-164900000,-49900000,21300000,472300000,-523100000,-219700000,-164200000,-55900000,-99600000,- -,91300000,-6000000,-218700000,-767000000,374200000,341000000,371900000,929700000,293400000,1020300000,627600000,761900000,2115000000,261000000,737400000,1401400000,1167400000
95,Cash Used/Provided by Financing Activities,- -,- -,-183800000,4700000,-11600000,161700000,-64900000,-401800000,-301600000,-190400000,441500000,-557300000,-246000000,-181700000,-76700000,24000000,- -,106300000,12600000,-173200000,-709800000,-224900000,-710600000,-585000000,-1061100000,-397800000,-2340000000,-893400000,-888600000,1200800000,-724800000,-82200000,-283800000,-682100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,-13200000,16600000,44900000,-193600000,40700000,113800000,-112700000,-13800000,-133100000,-264100000,68800000,14500000,-63700000,9000000,-47200000,9300000
97,Net Change In Cash,- -,- -,-183800000,4700000,-11600000,161700000,-64900000,-401800000,-301600000,-190400000,441500000,-29800000,3700000,164200000,-231000000,59100000,- -,234900000,-71700000,247300000,1540100000,742500000,-180200000,1383400000,-95400000,-113900000,-2918500000,-1098300000,-603200000,1483000000,-1323400000,-338700000,62100000,191900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80800000,84500000,248700000,17700000,76800000,- -,245000000,173300000,420600000,1960700000,2703200000,2523000000,3906400000,3811000000,3697100000,2374600000,1276300000,673100000,2194400000,871000000,532300000,594400000,786300000
99,Cash at the Beginning of Period,- -,- -,91500000,29600000,38800000,32600000,111600000,169000000,203700000,63300000,109700000,110600000,80800000,84500000,248700000,17700000,- -,10100000,245000000,173300000,420600000,1960700000,2703200000,2523000000,3906400000,3811000000,5293100000,2374600000,1276300000,711400000,2194400000,871000000,532300000,594400000
100,Free Cash Flow,- -,- -,193500000,41200000,-33300000,-79900000,102400000,424400000,169300000,319400000,-491800000,200900000,245300000,-279900000,-133200000,-80900000,- -,78500000,-110000000,415800000,2174500000,461500000,445400000,1163500000,1066500000,299200000,1364600000,807300000,423000000,115400000,455300000,-176800000,412000000,898400000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1285785/000119312506170786/d10k.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312507177117/0001193125-07-177117-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312508159285/0001193125-08-159285-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312509154839/0001193125-09-154839-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312510164140/0001193125-10-164140-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312511191456/0001193125-11-191456-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312513292097/0001193125-13-292097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1285785/000161803416000025/0001618034-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
