,https://roic.ai/company/MTRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,8600000,-8800000,2700000,-1600000,6400000,-7100000,900000,-2900000,3700000,-10300000,-7600000,-6312000,5283000,16587000,8646000,-6830000,-9562000,-41634000,-13269000,12897000,34162000,-23112000,-30016000,-18880000,-8241000,-30412000,19372000,10791000,-9462000,4234000,24031000,-1288000,-43458000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1472000,-7739000,6164000,-17989000,2758000,34433000,8820000,-18575000,-21877000,40219000
81,Other Working Capital,- -,- -,- -,- -,89600000,80400000,88600000,105200000,115300000,125100000,128100000,100600000,101000000,124800000,143387000,139743000,82645000,85141000,108799000,115531000,155142000,216253000,189899000,140482000,208365000,231230000,251922000,265489000,282628000,249608000,254907000,283834000,299573000,369547000,337115000,383724000,13858000
82,Other Non-Cash Items,- -,- -,- -,- -,2200000,5900000,28000000,-14000000,-15300000,-10900000,-3700000,26200000,-6400000,-25300000,-27587000,1772000,68238000,8227000,-4572000,-6946000,-70910000,-84391000,-12111000,99164000,-7489000,-62367000,-7197000,-9046000,30248000,46460000,7792000,13845000,15392000,-20706000,69840000,924000,48153000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,56000000,36000000,27000000,30900000,18300000,35200000,39600000,45000000,40400000,19500000,24500000,35392000,22475000,15689000,26312000,38920000,3465000,38805000,54416000,76812000,41458000,31041000,56806000,38620000,75922000,60281000,90228000,67174000,67795000,76374000,99222000,101057000,90241000
84,CAPEX,- -,- -,- -,- -,-19900000,-16200000,-13600000,-13600000,-11900000,-17200000,-24200000,-26800000,-53200000,-49100000,-17100000,-21306000,-23284000,-5414000,-58165000,-10030000,-14223000,-15522000,-33550000,-35936000,-44981000,-53662000,-28747000,-44661000,-32624000,-30559000,-52090000,-37038000,-29076000,-34260000,-26528000,-67274000,-102910000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25694000,2150000,-86052000,-54107000,-20605000,-22448000,-3894000,- -,- -,- -,-1750000,-16504000,- -,- -,-130715000,-392240000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,- -,47000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000,75000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,5500000,-10300000,-10600000,-7100000,14700000,-1300000,- -,-8600000,-11200000,5900000,- -,268000,16000,83000,203000,649000,-11437000,102000,323000,30932000,28203000,27688000,1166000,5192000,37000,3088000,58000,1433000,2222000,432000,44000,3282000,881000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-14400000,-26500000,-24200000,-20700000,2800000,-18500000,-24300000,-35400000,-64400000,-43200000,-17100000,-21038000,-23268000,-5331000,-57962000,-9381000,-25708000,-41114000,-31030000,-90990000,-70810000,-46519000,-50029000,-43363000,-32587000,-27471000,-52032000,-37355000,-43358000,-33828000,-26484000,-194707000,-494269000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45600000,-28600000,-50779000,-117237000,-28735000,-100385000,-45902000,-89412000,-19735000,-56640000,-1638000,-2023000,-22847000,-4873000
91,Common Stock Issued,- -,- -,- -,- -,300000,200000,- -,200000,- -,500000,1100000,1500000,5900000,3600000,200000,3725000,1760000,- -,25000,41947000,372000,13612000,4961000,243000,497000,2631000,735000,158000,1163000,359000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-28200000,-2100000,-100000,- -,- -,- -,-2800000,-6700000,-4900000,-5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4999000,- -,-3527000,-3776000,-119000,- -,-22282000,-7129000,-3798000,-1086000,-422000,-199000,-6766000,- -
93,Dividends Paid,- -,- -,- -,- -,-11300000,-11300000,-11600000,-3200000,-4200000,-3700000,-5500000,-6500000,-7300000,-7800000,-7800000,-7867000,-5967000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4615000,-6497000,-6865000,-7132000,-7496000,-7913000,-8389000,-8856000,-9257000,-9697000
94,Other Financing Activites,- -,- -,- -,- -,-2000000,-200000,8500000,-4300000,-14100000,-2700000,100000,5900000,5900000,27900000,-1700000,-5694000,7815000,-12941000,32064000,-26989000,-16064000,-6090000,-11991000,51173000,51405000,71495000,109653000,41814000,69547000,33809000,77578000,8917000,50194000,-3156000,-6976000,31779000,407576000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-41200000,-13400000,-3200000,-7300000,-18300000,-5900000,-7100000,-5800000,-400000,18400000,-9300000,-9836000,3608000,-12941000,32089000,14958000,-15692000,7522000,-7030000,817000,23302000,19820000,-10625000,8503000,-36172000,-40881000,-26095000,-22112000,-15445000,-13605000,-18054000,-7091000,393006000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-700000,500000,200000,-300000,600000,1900000,900000,-1700000,-200000,100000,- -,-303000,-115000,-74000,266000,84000,-1066000,-211000,-270000,177000,-243000,-491000,-1000,41000,-445000,-1553000,-1015000,-479000,1388000,-140000,-322000,1612000,-394000
97,Net Change In Cash,- -,- -,- -,- -,-41200000,-13400000,-3200000,-7300000,-18300000,-5900000,-7100000,-5800000,-400000,18400000,-1800000,4215000,2700000,-2657000,705000,44581000,-39001000,5002000,16086000,-13184000,-6293000,3851000,-3849000,3801000,6718000,-9624000,11086000,7228000,10380000,28801000,54362000,-99129000,-11416000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,4314000,7014000,4357000,5062000,49643000,10642000,15644000,31730000,18546000,12253000,16104000,12255000,16056000,22774000,13150000,24236000,31464000,41844000,70645000,125007000,25878000,14462000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5400000,5200000,1900000,1700000,4200000,7700000,20400000,29600000,31700000,7200000,1900000,99000,4314000,7014000,4357000,5062000,49643000,10642000,15644000,31730000,18546000,12253000,16104000,12255000,16056000,22774000,13150000,24236000,31464000,41844000,70645000,125007000,25878000
100,Free Cash Flow,- -,- -,- -,- -,36100000,19800000,13400000,17300000,6400000,18000000,15400000,18200000,-12800000,-29600000,7400000,14086000,-809000,10275000,-31853000,28890000,-10758000,23283000,20866000,40876000,-3523000,-22621000,28059000,-6041000,43298000,29722000,38138000,30136000,38719000,42114000,72694000,33783000,-12669000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015201001871/0000950152-01-001871-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015203003761/0000950152-03-003761-index.html,https://www.sec.gov/Archives/edgar/data/1104657/000095015204001958/0000950152-04-001958-index.html,https://www.sec.gov/Archives/edgar/data/1104657/000095015205002104/0000950152-05-002104-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015207002172/0000950152-07-002172-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095015208001566/0000950152-08-001566-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095015209001939/0000950152-09-001939-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095012310022117/0000950123-10-022117-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095012311023658/0000950123-11-023658-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000119312512088881/0001193125-12-088881-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465713000047/0001104657-13-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465714000062/0001104657-14-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465715000021/0001104657-15-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104657/000110465717000014/0001104657-17-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104657/000110465719000007/0001104657-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465720000013/0001104657-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465721000010/0001104657-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465722000021/0001104657-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
