,https://roic.ai/company/MTRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-600000,-2100000,-4700000,-3600000,-11600000,-4900000,-6700000,-4400000,-5300000,-4600000,-2900000,-2000000,-800000,-22900000,-6500000,-5391000,-3327000,-3010000,-3355000,-8377000,-6372000,-4135000,-1760000,-1995000,-1299000,-2665000,-2812000,-3134000,-3036000,-2787000,-2450000,-1789000,-2183000,-45154000,-5010000,60000,214000
20,Income Before Tax,48100000,40300000,45900000,51800000,26300000,24800000,-36100000,13700000,7700000,23100000,27400000,33200000,35500000,-11500000,6300000,18334000,-17396000,-25855000,-12695000,16657000,13137000,39705000,82705000,26076000,-20784000,70968000,54266000,33642000,23795000,54170000,42818000,25315000,36396000,16342000,61990000,8275000,77325000
21,Income Before Tax Ratio,0.1980,0.1669,0.1492,0.1498,0.0828,0.0834,-0.1350,0.0517,0.0261,0.0668,0.0741,0.0882,0.0818,-0.0281,0.0138,0.0325,-0.0368,-0.0693,-0.0317,0.0336,0.0243,0.0520,0.0865,0.0287,-0.0291,0.0545,0.0355,0.0264,0.0204,0.0481,0.0418,0.0261,0.0319,0.0135,0.0523,0.0070,0.0512
22,Income Tax expense (Gain),20200000,17600000,19700000,19300000,7800000,7200000,-8600000,3200000,1200000,4500000,6700000,8700000,9900000,-4400000,-100000,4169000,-7122000,9749000,576000,1141000,-4688000,-9898000,29420000,7719000,-8429000,24541000,14287000,8978000,4088000,12449000,10660000,-425000,24945000,-4504000,11330000,-7187000,4851000
23,Net Income,26100000,22700000,26200000,32500000,18500000,17600000,-27500000,10500000,6500000,18600000,20700000,24500000,25600000,-7100000,6400000,14165000,-10274000,-35604000,-13226000,15516000,17825000,49603000,53285000,18357000,-12355000,46427000,39979000,24664000,19707000,41721000,32158000,25740000,11451000,20846000,50660000,15462000,72474000
24,Net Income ratio,0.1075,0.0940,0.0852,0.0940,0.0582,0.0592,-0.1028,0.0396,0.0220,0.0538,0.0560,0.0651,0.0590,-0.0173,0.0140,0.0251,-0.0217,-0.0955,-0.0330,0.0313,0.0329,0.0650,0.0558,0.0202,-0.0173,0.0356,0.0262,0.0194,0.0169,0.0370,0.0314,0.0266,0.0100,0.0173,0.0427,0.0131,0.0480
25,EPS,1.39,1.20,1.38,1.79,1.10,1.09,-1.72,0.65,0.40,1.15,1.28,1.55,1.58,-0.44,0.40,0.87,-0.62,-2.15,-0.80,0.87,0.93,2.52,2.62,0.93,-0.61,2.29,1.96,1.21,0.96,2.04,1.60,1.29,0.57,1.03,2.49,0.76,3.55
26,EPS Diluted,1.39,1.20,1.38,1.79,1.10,1.09,-1.72,0.65,0.40,1.15,1.27,1.53,1.56,-0.44,0.40,0.86,-0.62,-2.15,-0.80,0.85,0.92,2.45,2.59,0.92,-0.61,2.25,1.93,1.19,0.94,2.00,1.58,1.27,0.56,1.01,2.45,0.75,3.50
27,Weighted Average Shares Outstanding,18776978,18916667,18985507,18156425,16818182,16146789,15988372,16153846,16250000,16173913,16171875,15806452,16202532,16136364,16000000,16292431,16518691,16557388,16562864,17865053,19219099,19665000,20320000,20335000,20191000,20282000,20365000,20418000,20571000,20461000,20097000,19983000,20027000,20212000,20365000,20338000,20422000
28,Weighted Average Shares Outstanding Diluted,18776978,18916667,18985507,18156425,16818182,16146789,15988372,16153846,16250000,16173913,16299213,16013072,16410256,16136364,16000000,16448667,16518691,16557388,16562864,18163915,19370748,20234000,20612000,20543000,20191000,20590000,20754000,20679000,20895000,20810000,20402000,20213000,20415000,20613000,20655000,20603000,20689000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015201001871/0000950152-01-001871-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015203003761/0000950152-03-003761-index.html,https://www.sec.gov/Archives/edgar/data/1104657/000095015204001958/0000950152-04-001958-index.html,https://www.sec.gov/Archives/edgar/data/1104657/000095015205002104/0000950152-05-002104-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015207002172/0000950152-07-002172-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095015208001566/0000950152-08-001566-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095015209001939/0000950152-09-001939-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095012310022117/0000950123-10-022117-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095012311023658/0000950123-11-023658-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000119312512088881/0001193125-12-088881-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465713000047/0001104657-13-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465714000062/0001104657-14-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465715000021/0001104657-15-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104657/000110465717000014/0001104657-17-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104657/000110465719000007/0001104657-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465720000013/0001104657-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465721000010/0001104657-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465722000021/0001104657-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26000000,22200000,16600000,5400000,5200000,1900000,1700000,4200000,7700000,20400000,29600000,31700000,7200000,1900000,100000,4314000,7014000,4357000,5062000,49643000,10642000,15644000,31730000,18546000,12253000,16104000,12255000,16056000,22774000,13150000,24236000,31464000,41844000,70645000,125007000,25878000,14462000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26000000,22200000,16600000,5400000,5200000,1900000,1700000,4200000,7700000,20400000,29600000,31700000,7200000,1900000,100000,4314000,7014000,4357000,5062000,49643000,10642000,15644000,31730000,18546000,12253000,16104000,12255000,16056000,22774000,13150000,24236000,31464000,41844000,70645000,125007000,25878000,14462000
34,Net Receivables,30300000,35100000,44500000,45500000,46300000,40000000,37900000,36400000,46500000,52300000,52500000,52200000,62800000,62200000,79800000,92334000,54616000,47543000,55102000,59229000,69938000,86461000,108687000,91256000,95053000,143346000,122363000,126887000,113012000,112780000,97236000,100817000,124014000,130538000,154751000,166447000,223553000
35,Inventory,70500000,88500000,103000000,92800000,82800000,94600000,91200000,92900000,86500000,93600000,92700000,96300000,90700000,103100000,110600000,115643000,109110000,94324000,87396000,95271000,104060000,151950000,165189000,156718000,130098000,154467000,187176000,206125000,213392000,232409000,211820000,200865000,220352000,214871000,190390000,250778000,361115000
36,Other Current Assets,6900000,11400000,13700000,12700000,15700000,15900000,14300000,15000000,15500000,14900000,16900000,17000000,18200000,27300000,33700000,37788000,48582000,10010000,5745000,8623000,15535000,17529000,23830000,27859000,42772000,41808000,49107000,51921000,45327000,28355000,12799000,12138000,24733000,23299000,21839000,20896000,28122000
37,Total Current Assets,133700000,157200000,177800000,156400000,150000000,152400000,145100000,148500000,156200000,181200000,191700000,197200000,178900000,194500000,224200000,250079000,219322000,156234000,153305000,212766000,200175000,271584000,329436000,294379000,280176000,355725000,370901000,400989000,394505000,386694000,346091000,345284000,410943000,439353000,491987000,463999000,627252000
38,PP&E,125600000,144100000,144800000,143200000,141600000,143600000,132600000,128000000,118900000,116800000,121200000,130200000,173600000,164500000,155700000,170460000,171296000,152544000,190846000,177619000,177062000,175929000,186175000,207254000,227766000,265868000,263813000,272543000,261893000,247588000,263629000,252631000,255578000,251018000,255689000,371775000,472071000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21843000,21899000,35778000,67034000,72936000,84036000,88753000,88753000,86725000,86725000,86950000,90677000,90657000,79011000,144916000,318620000
40,Intangible Assets,15600000,15400000,14900000,15300000,13800000,14600000,1600000,2300000,2000000,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,7992000,12746000,- -,- -,- -,- -,36849000,34580000,28869000,24248000,18559000,13736000,11074000,9847000,6461000,6381000,54700000,156729000
41,Intangible Assets,15600000,15400000,14900000,15300000,13800000,14600000,1600000,2300000,2000000,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,7992000,12746000,21843000,21899000,35778000,67034000,109785000,118616000,117622000,113001000,105284000,100461000,98024000,100524000,97118000,85392000,199616000,475349000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000,704000,928000,4109000,15575000,1139000,9944000,4873000,2042000,11627000,19946000,4672000,17722000,25743000,39409000,17047000,5616000,1666000,3134000,5431000
44,Other Non-Current Assets,24100000,19200000,30000000,42900000,32900000,28400000,28000000,31200000,16300000,19100000,19000000,28400000,31400000,44700000,44500000,31967000,33224000,25629000,26761000,14876000,8610000,13675000,11902000,34542000,42104000,1990000,7146000,3817000,3874000,4781000,6716000,5950000,6992000,7236000,17936000,19364000,27369000
45,Total Non-Current Assets,165300000,178700000,189700000,201400000,188300000,186600000,162200000,161500000,137200000,135900000,140200000,158600000,205000000,209200000,200300000,202427000,204520000,178645000,218311000,201415000,202527000,227022000,221115000,287518000,341777000,379685000,401202000,413928000,383440000,375375000,396549000,396014000,380141000,360988000,360683000,593889000,980220000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1960447000
47,Total Assets,299000000,335900000,367500000,357800000,338300000,339000000,307300000,310000000,293400000,317100000,331900000,355800000,383900000,403700000,424500000,452506000,423842000,334879000,371616000,414181000,402702000,498606000,550551000,581897000,621953000,735410000,772103000,814917000,777945000,762069000,742640000,741298000,791084000,800341000,852670000,1057888000,1607479000
48,Accounts Payable,- -,- -,- -,- -,10200000,9300000,8200000,7600000,5400000,8900000,8800000,7700000,13500000,15200000,27700000,34714000,13869000,15129000,16038000,13234000,20872000,30744000,27066000,28014000,36573000,33375000,39385000,42281000,36556000,36239000,31888000,32533000,49059000,49622000,43206000,55640000,86243000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25435000,27582000,27235000,13387000,30901000,24270000,28708000,25503000,31222000,56148000,47835000,40944000,49432000,35566000,653000,8998000,733000,777000,823000,868000,1937000,15359000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3678000,- -,3576000,- -,- -,1898000,4205000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7789000,254000,314000,2569000,113000,432000,2378000,3033000,1543000,479000,4879000,3695000,1105000,5451000,5918000,3380000,7713000,7770000
