,https://roic.ai/company/D,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810500000,1930800000,2050400000,2552900000,2248300000,2404000000,4132000000,4683000000,3877000000,4600000000,4572000000,5052000000,6483000000,7026000000,4850000000,5425000000,5311000000,5106000000,1757000000,1771000000,1834000000,1946000000,2155000000,2573000000,2703000000,3695000000,3203000000,3387000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3452900000,3626100000,3737900000,6357200000,4662700000,4209000000,7731000000,8773000000,7333000000,9517000000,11255000000,15602000000,13137000000,13742000000,12622000000,12502000000,11964000000,11518000000,11937000000,9804000000,9715000000,8147000000,8110000000,8456000000,9742000000,12685000000,10073000000,10642000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894000000,832000000,869000000,882000000,877000000,1193000000,904000000,1010000000,1205000000,1493000000,1773000000,1377000000,1354000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2768000000
15,EBITDA,319800000,379800000,430500000,438400000,410700000,445700000,459900000,444500000,516600000,649200000,607100000,684600000,632200000,841600000,555000000,619000000,914000000,2043000000,915000000,1949000000,1615000000,2300000000,4322000000,2713000000,2793000000,5697000000,3022000000,1330000000,3466000000,2955000000,3708000000,3788000000,4174000000,4520000000,3482000000,1059000000,7835000000
16,EBITDA ratio,0.1179,0.1236,0.1324,0.1311,0.1122,0.1262,0.1215,0.1172,0.1165,0.1446,0.1305,0.1414,0.0823,0.1383,0.1005,0.0668,0.0866,0.1999,0.0758,0.1395,0.0895,0.1395,0.2757,0.1665,0.1846,0.3749,0.2102,0.1016,0.2642,0.2376,0.3174,0.3227,0.3316,0.3382,0.2101,0.0747,0.5611
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1038200000,1025600000,1104400000,1320400000,1423500000,1311000000,1529000000,1785000000,2885000000,2561000000,2717000000,2439000000,3345000000,1932000000,3668000000,2629000000,5700000000,2861000000,1156000000,3316000000,2721000000,3536000000,3627000000,4130000000,3601000000,2514000000,2055000000,3019000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2312,0.2205,0.2281,0.1720,0.2339,0.2375,0.1651,0.1691,0.2823,0.2120,0.1945,0.1352,0.2029,0.1233,0.2252,0.1737,0.3751,0.1990,0.0883,0.2527,0.2188,0.3027,0.3090,0.3281,0.2694,0.1517,0.1450,0.2162
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-389000000,-418500000,-419800000,-688200000,-581900000,-501000000,-931000000,-871000000,-842000000,-1015000000,-753000000,-823000000,-862000000,2556000000,-953000000,-713000000,-663000000,-690000000,-659000000,-612000000,-943000000,-708000000,-760000000,-1040000000,-472000000,-787000000,-644000000,79000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,649200000,607100000,684600000,632200000,841600000,810000000,598000000,914000000,2043000000,1546000000,1964000000,1616000000,2483000000,4488000000,2715000000,1916000000,5037000000,2171000000,497000000,2704000000,1778000000,2828000000,2867000000,3090000000,3129000000,1727000000,1411000000,3098000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1446,0.1305,0.1414,0.0823,0.1383,0.1467,0.0646,0.0866,0.1999,0.1280,0.1406,0.0896,0.1506,0.2863,0.1667,0.1266,0.3314,0.1510,0.0380,0.2061,0.1430,0.2421,0.2443,0.2455,0.2341,0.1042,0.0996,0.2219
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,182100000,212500000,233000000,306000000,259000000,183000000,370000000,681000000,597000000,700000000,582000000,920000000,1783000000,879000000,612000000,2057000000,745000000,146000000,892000000,452000000,905000000,655000000,-30000000,580000000,351000000,83000000,425000000
23,Net Income,319800000,379800000,430500000,438400000,410700000,445700000,459900000,444500000,516600000,478200000,425000000,472100000,399200000,535600000,296000000,436000000,544000000,1362000000,318000000,1249000000,1033000000,1380000000,2539000000,1834000000,1287000000,2808000000,1408000000,302000000,1697000000,1310000000,1899000000,2123000000,2999000000,2447000000,1358000000,-401000000,3288000000
24,Net Income ratio,0.1179,0.1236,0.1324,0.1311,0.1122,0.1262,0.1215,0.1172,0.1165,0.1065,0.0914,0.0975,0.0520,0.0880,0.0536,0.0471,0.0515,0.1333,0.0263,0.0894,0.0573,0.0837,0.1620,0.1126,0.0851,0.1848,0.0979,0.0231,0.1293,0.1053,0.1625,0.1809,0.2383,0.1831,0.0819,-0.0283,0.2355
25,EPS,1.20,1.36,1.51,1.50,1.38,1.46,1.47,1.38,1.56,1.41,1.23,1.32,1.07,1.38,0.78,0.93,1.08,2.42,0.50,1.90,1.51,1.98,3.90,3.17,2.17,4.83,2.46,0.53,2.93,2.25,3.21,3.38,4.72,3.59,1.73,-0.50,0.18
26,EPS Diluted,1.20,1.36,1.51,1.50,1.38,1.46,1.47,1.38,1.56,1.41,1.23,1.32,1.07,1.38,0.74,0.93,1.07,2.41,0.50,1.89,1.50,1.97,3.88,3.16,2.17,4.76,2.45,0.53,2.93,2.24,3.20,3.38,4.72,3.59,1.73,-0.57,0.18
