,https://roic.ai/company/D,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,478200000,425000000,472100000,399200000,535600000,296000000,436000000,544000000,1362000000,318000000,1249000000,1033000000,1380000000,2539000000,1834000000,1287000000,2808000000,1408000000,302000000,1697000000,1310000000,1899000000,2123000000,2999000000,2447000000,1358000000,-401000000,3314000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,68200000,26400000,84100000,13800000,22500000,64000000,22000000,241000000,714000000,452000000,554000000,64000000,510000000,-1285000000,269000000,-494000000,682000000,756000000,95000000,732000000,449000000,854000000,513000000,-3000000,517000000,216000000,-324000000,487000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106400000,-146600000,-357500000,-697700000,119400000,426300000,-919000000,-398000000,506000000,-68000000,752000000,-3417000000,1220000000,2041000000,957000000,117000000,-357000000,-1159000000,-1091000000,1569000000,-529000000,-2346000000,62000000,-1435000000,2816000000,-1365000000,-106000000,-2174000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,-60000000,365000000,292000000,-98000000,131000000,294000000,-286000000,-103000000,-110000000,-71000000,-238000000,-183000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6500000,61100000,6000000,15900000,-24200000,-6000000,-62000000,-170000000,-55000000,-234000000,-24000000,-220000000,3000000,52000000,-116000000,-10000000,35000000,-185000000,33000000,-29000000,-43000000,-26000000,1000000,15000000,-29000000,-90000000,39000000,-74000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000000,119000000,-413000000,-61000000,50000000,-202000000,-199000000,97000000,-89000000,67000000,-225000000,35000000,156000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150900000,-297500000,-655000000,-1352700000,-1233300000,-807000000,-1726000000,-2124000000,-1618000000,-1686000000,-934000000,-4351000000,-3131000000,-1090000000,-133000000,-16000000,-373000000,-1532000000,-2623000000,-1054000000,-1583000000,-3929000000,-3867000000,-5302000000,-2486000000,-3851000000,-3957000000,-2094000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,551800000,866500000,833500000,1546900000,529300000,468700000,1804000000,2027000000,-134000000,1653000000,284000000,4943000000,895000000,-3541000000,-401000000,2876000000,-1308000000,1978000000,4831000000,-565000000,2209000000,4068000000,1429000000,2988000000,-1007000000,4995000000,6058000000,2410000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,991800000,1171300000,1032200000,1262200000,1206800000,1255000000,1343000000,2414000000,2448000000,2355000000,2839000000,2623000000,4005000000,-246000000,2659000000,3786000000,1825000000,2983000000,4137000000,3433000000,3439000000,4475000000,4127000000,4549000000,4773000000,5204000000,5227000000,4037000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-660900000,-577500000,-484000000,-773100000,-703700000,-804000000,-1738000000,-2168000000,-2828000000,-3438000000,-2750000000,-3358000000,-4052000000,-3972000000,-3554000000,-3837000000,-3422000000,-3652000000,-4145000000,-4104000000,-5345000000,-5575000000,-6085000000,-5504000000,-4254000000,-4980000000,-6020000000,-5960000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60400000,-128500000,-290700000,-2098600000,-469500000,-324000000,-2779000000,-2215000000,-410000000,- -,- -,-877000000,-91000000,13877000000,-21000000,-43000000,4191000000,- -,115000000,625000000,66000000,-915000000,-4421000000,-547000000,-543000000,-541000000,3050000000,400000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-351300000,-8500000,-143400000,-53000000,-235000000,-104000000,- -,-777000000,-490000000,-854000000,- -,-1355000000,-1355000000,-1511000000,-2853000000,-1828000000,-1392000000,-1493000000,-1241000000,-1326000000,-1504000000,-1940000000,-1894000000,-1749000000,-4379000000,-3939000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127700000,70000000,35000000,137000000,30000000,54000000,- -,- -,- -,- -,1285000000,1394000000,1478000000,2814000000,1757000000,1356000000,1476000000,1235000000,1340000000,1422000000,1831000000,1804000000,1712000000,4278000000,3985000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,-215200000,-166700000,-127700000,597100000,-396000000,2018000000,264000000,-776000000,842000000,1984000000,1729000000,649000000,357000000,46000000,218000000,-311000000,402000000,226000000,38000000,104000000,-27000000,-115000000,167000000,2529000000,936000000,155000000,-733000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-707200000,-921200000,-1292700000,-2880200000,-649500000,-1542000000,-2597000000,-4193000000,-3960000000,-3373000000,-1256000000,-3360000000,-3494000000,10192000000,-3490000000,-3695000000,419000000,-3321000000,-3840000000,-3458000000,-5181000000,-6503000000,-10703000000,-5993000000,-2358000000,-4622000000,-2916000000,-6247000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1182000000,-1492000000,-637000000,-1675000000,-2388000000,-4393000000,-1292000000,-4064000000,-1822000000,-10096000000,-12229000000,-4020000000,-6140000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,186700000,311700000,169700000,176200000,354300000,- -,532000000,994000000,2420000000,990000000,839000000,664000000,479000000,226000000,240000000,456000000,74000000,38000000,265000000,278000000,597000000,786000000,3124000000,1320000000,2465000000,4097000000,159000000,192000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98500000,-372000000,-1641000000,- -,-66000000,- -,- -,-276000000,-540000000,-5768000000,- -,- -,-900000000,-601000000,- -,- -,-259000000,- -,- -,- -,- -,- -,-3080000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434700000,-448700000,-460100000,-478000000,-504200000,-493000000,-615000000,-649000000,-723000000,-825000000,-861000000,-923000000,-970000000,-931000000,-916000000,-1056000000,-1093000000,-1146000000,-1225000000,-1319000000,-1409000000,-1536000000,-1727000000,-1931000000,-2185000000,-2983000000,-2873000000,-2036000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,-193100000,595000000,2130600000,-204900000,1006000000,3058000000,1560000000,-314000000,688000000,-1298000000,1057000000,516000000,-3328000000,1291000000,1670000000,1179000000,2724000000,2484000000,3522000000,7208000000,4359000000,8897000000,3736000000,7607000000,10411000000,7481000000,10355000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239900000,-330100000,304600000,1828800000,-453300000,141000000,1334000000,1905000000,1317000000,853000000,-1320000000,522000000,-515000000,-9801000000,615000000,-112000000,-2232000000,378000000,-151000000,93000000,1744000000,2317000000,6230000000,1303000000,-2209000000,-704000000,-2333000000,2371000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,44700000,-80000000,44100000,210800000,104000000,-146000000,80000000,126000000,-195000000,-165000000,263000000,-215000000,-4000000,145000000,-216000000,-21000000,12000000,40000000,146000000,68000000,2000000,289000000,-346000000,-141000000,206000000,-122000000,-22000000,161000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,146700000,66700000,110800000,321600000,425600000,280000000,360000000,486000000,291000000,126000000,389000000,146000000,142000000,287000000,71000000,50000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,120000000,391000000,269000000,247000000,408000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000000,146700000,66700000,110800000,321600000,426000000,280000000,360000000,486000000,291000000,126000000,361000000,146000000,142000000,287000000,71000000,50000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,185000000,391000000,269000000,247000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,330900000,593800000,548200000,489100000,503100000,451000000,-395000000,246000000,-380000000,-1083000000,89000000,-735000000,-47000000,-4218000000,-895000000,-51000000,-1597000000,-669000000,-8000000,-671000000,-1906000000,-1100000000,-1958000000,-955000000,519000000,224000000,-793000000,-1923000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103682/000091664198000263/0000916641-98-000263-index.html,https://www.sec.gov/Archives/edgar/data/103682/000091664199000124/0000916641-99-000124-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/715957/000091664102000388/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000092838503000726/0000928385-03-000726-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312504031558/0001193125-04-031558-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312505038710/0001193125-05-038710-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312506043336/d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312507042607/d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312508041046/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312509039125/0001193125-09-039125-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312510042883/0001193125-10-042883-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312511049905/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312512085811/0001193125-12-085811-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312513082933/0001193125-13-082933-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312514073496/d660169d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312515067777/d856078d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312516480850/0001193125-16-480850-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312517060413/0001193125-17-060413-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312518059578/0001193125-18-059578-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312519057924/0001193125-19-057924-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312520054469/0001193125-20-054469-index.html,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
