,https://roic.ai/company/SNX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,106489000,95168000,123418000,129850000,145998000,159621000,189117000,243235000,280071000,273381000,292466000,374270000,401725000,414142000,790497000,837239000,903369000,1041975000,1376664000,2084156000,-2017502000,1154166000
11,COGS and Expenses,3732806000,2977772000,3717400000,4068374000,5235011000,5561832000,6247272000,6891973000,7616382000,7569548000,8414991000,10153612000,10030495000,10604336000,13531083000,12983845000,13682241000,16536735000,19502729000,22943531000,19810457000,30878801000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,13983000,17114000,25505000,22930000,17115000,25187000,26296000,28993000,45357000,84675000,166421000,127336000,157835000
14,Depreciation and Amortization,- -,- -,8337000,7412000,7845000,8778000,9781000,15765000,18764000,19626000,16285000,24673000,24630000,24462000,91699000,103510000,121293000,159886000,225287000,372108000,341637000,151664000
15,EBITDA,69807000,42682000,53206000,54768000,77960000,85515000,89486000,114059000,147657000,176353000,228257000,279674000,282986000,279544000,401052000,456919000,506291000,669974000,767339000,1216232000,823251000,775984000
16,EBITDA ratio,0.0184,0.0141,0.0141,0.0133,0.0147,0.0152,0.0141,0.0163,0.0190,0.0228,0.0265,0.0269,0.0275,0.0258,0.0290,0.0343,0.0360,0.0393,0.0383,0.0512,0.0334,0.0245
17,Operating Income,69823000,54269000,50482000,57866000,78980000,78937000,99242000,112147000,151848000,149649000,199150000,256228000,255012000,240828000,308507000,354552000,379596000,508965000,551036000,813761000,830103000,623218000
18,Operating Income ratio,0.0184,0.0179,0.0134,0.0140,0.0149,0.0140,0.0156,0.0160,0.0195,0.0194,0.0231,0.0246,0.0248,0.0222,0.0223,0.0266,0.0270,0.0299,0.0275,0.0343,0.0336,0.0197
19,Total Other Income Expenses (Gains),6393000,-12350000,-5629000,-10732000,-9165000,-15477000,-19089000,-13481000,-22262000,-10947000,-15564000,-26510000,-18459000,-2776000,-24225000,-27357000,-23532000,-44234000,-93659000,-136058000,-126061000,-156733000
20,Income Before Tax,76216000,41919000,44853000,47134000,69815000,63460000,80153000,98666000,129586000,138702000,183586000,229718000,236553000,238052000,284282000,327195000,356064000,464731000,457377000,677703000,704042000,466485000
21,Income Before Tax Ratio,0.0200,0.0138,0.0119,0.0114,0.0131,0.0113,0.0126,0.0141,0.0167,0.0180,0.0213,0.0221,0.0230,0.0220,0.0205,0.0245,0.0253,0.0273,0.0228,0.0285,0.0285,0.0148
22,Income Tax expense (Gain),33373000,16885000,16837000,17360000,23550000,23912000,28320000,35167000,45096000,50656000,66910000,79165000,84050000,85730000,104132000,118588000,121059000,163558000,156779000,176991000,-174882000,71416000
23,Net Income,36434000,25797000,28032000,29996000,46565000,52825000,51385000,63127000,83797000,92088000,127948000,150331000,151376000,152237000,180034000,208525000,234946000,301173000,300598000,500712000,529160000,395069000
24,Net Income ratio,0.0096,0.0085,0.0074,0.0073,0.0088,0.0094,0.0081,0.0090,0.0108,0.0119,0.0149,0.0144,0.0147,0.0140,0.0130,0.0156,0.0167,0.0177,0.0150,0.0211,0.0214,0.0125
25,EPS,1.70,1.18,0.64,1.36,1.74,1.85,1.73,2.04,2.65,2.82,3.68,4.20,4.14,4.13,4.61,5.28,5.91,7.54,7.23,9.79,10.28,0.00
26,EPS Diluted,1.49,1.06,0.58,1.22,1.55,1.70,1.61,1.93,2.52,2.70,3.58,4.08,3.99,3.06,4.57,5.24,5.88,7.51,7.19,9.74,10.21,0.00
27,Weighted Average Shares Outstanding,21431765,21861864,44121174,22091067,26691000,28555000,29700000,30942000,31619000,32711000,34737000,35830000,36584000,36888000,38490000,39061000,39321000,39556000,41215000,50669000,50900000,51275000
28,Weighted Average Shares Outstanding Diluted,24452349,24336792,48501055,24555312,30111000,31131000,32014000,32674000,33263000,34013000,35757000,36833000,37908000,37800000,38845000,39352000,39530000,39758000,41451000,50936000,51237000,51766000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177394/000119312505029150/0001193125-05-029150-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312506027212/0001193125-06-027212-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312507029667/0001193125-07-029667-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312508029448/0001193125-08-029448-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312509011519/0001193125-09-011519-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312510023385/0001193125-10-023385-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312511034166/0001193125-11-034166-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739412000006/0001177394-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739413000010/0001177394-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739414000007/0001177394-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739415000007/0001177394-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739416000048/0001177394-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739417000012/0001177394-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739418000010/0001177394-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459019001232/0001564590-19-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459020002467/0001564590-20-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459021003035/0001564590-21-003035-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459022003003/0001564590-22-003003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20564000,15730000,15503000,22079000,28726000,13636000,27881000,42875000,61081000,37816000,88038000,67571000,163699000,151622000,180143000,336072000,380717000,550688000,454694000,225529000,1564672000,993973000
32,Short-Term Investments,- -,- -,3830000,3832000,5051000,27985000,13271000,17257000,10345000,21219000,11419000,16017000,15933000,15134000,7128000,5546000,5109000,5475000,2581000,- -,- -,- -
33,Cash and Short-Term Investments,20564000,15730000,19333000,25911000,33777000,41621000,41152000,60132000,71426000,59035000,99457000,83588000,179632000,166756000,187271000,341618000,385826000,556163000,457275000,225529000,1564672000,993973000
34,Net Receivables,- -,- -,258732000,318820000,443607000,430220000,460372000,835622000,908518000,925387000,1124406000,1294371000,1401372000,1593337000,2091843000,1759605000,1756596000,2846448000,3855496000,4295214000,3870789000,9428995000
35,Inventory,- -,- -,261498000,360686000,408346000,494617000,594642000,642524000,696008000,713813000,912237000,975047000,923340000,1095107000,1398463000,1328967000,1741734000,2162626000,2518319000,2547224000,2684530000,6642915000
36,Other Current Assets,- -,- -,32877000,36991000,27264000,26353000,41871000,49949000,49177000,142324000,73093000,85409000,76117000,76533000,222412000,219591000,160953000,174541000,268663000,385025000,649136000,668261000
37,Total Current Assets,- -,- -,572440000,742408000,912994000,992811000,1138037000,1588227000,1725129000,1840559000,2209193000,2438415000,2580461000,2931733000,3899989000,3649781000,4045109000,5739778000,7099753000,7452992000,8769127000,17734144000
38,PP&E,- -,- -,25295000,23938000,33851000,33713000,36698000,59440000,84602000,94725000,91995000,125157000,122923000,133249000,200803000,248627000,312716000,346589000,571326000,569899000,609294000,483443000
39,Goodwill,- -,- -,- -,- -,- -,- -,30144000,96350000,113438000,107563000,139580000,185312000,189088000,188535000,314213000,298785000,486239000,872641000,2203316000,2254402000,2259935000,3917276000
40,Intangible Assets,- -,- -,23769000,19357000,48722000,43004000,18444000,21590000,26456000,18066000,28271000,37539000,29049000,23772000,229684000,166567000,298550000,583051000,1377304000,1162213000,985006000,4913124000
41,Intangible Assets,- -,- -,23769000,19357000,48722000,43004000,48588000,117940000,139894000,125629000,167851000,222851000,218137000,212307000,543897000,465352000,784789000,1455692000,3580620000,3416615000,3244941000,8830400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,529000,708000,1421000,4781000,6716000,5416000,6036000,2849000,605000,590000,619000,7867000,10790000,19849000,14448000,31687000,76508000,97539000,87059000,- -
44,Other Non-Current Assets,- -,- -,7042000,3517000,2709000,8179000,152695000,116080000,77219000,36526000,30217000,46282000,41122000,40733000,57563000,60538000,66201000,124780000,152227000,160915000,-87059000,618393000
45,Total Non-Current Assets,- -,- -,56635000,47520000,86703000,89677000,244697000,298876000,307751000,259729000,290668000,394880000,382801000,394156000,813053000,794366000,1178154000,1958748000,4380681000,4244968000,3854235000,9932236000
46,Other Assets,636434000,565034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,636434000,565034000,629075000,789928000,999697000,1082488000,1382734000,1887103000,2032880000,2100288000,2499861000,2833295000,2963262000,3325889000,4713042000,4444147000,5223263000,7698526000,11480434000,11697960000,12623362000,27666380000
48,Accounts Payable,- -,- -,269608000,343071000,386638000,448339000,462480000,588801000,571329000,687432000,896401000,1035691000,1111833000,1350040000,1585606000,1445194000,1683155000,2626720000,3025197000,3149443000,3891815000,12034946000
49,Short-Term Debt,- -,- -,- -,- -,74996000,28548000,50834000,351142000,340466000,150740000,245973000,159200000,194134000,252523000,716257000,92093000,363737000,805471000,833216000,298969000,158714000,181256000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67088000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6865000,12064000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,102811000,181940000,134425000,165395000,207858000,228576000,222746000,239704000,171634000,177362000,188740000,179950000,407802000,380870000,430936000,609016000,1036028000,1158710000,1579563000,2017253000
53,Total Current Liabilities,- -,- -,372419000,525011000,596059000,642282000,721172000,1168519000,1134541000,1077876000,1314008000,1372253000,1494707000,1789378000,2721729000,1918157000,2477828000,4041207000,4894441000,4607122000,5630092000,14233455000
54,Long-Term Debt,2090000,43036000,38714000,8134000,13074000,1153000,47967000,37537000,152287000,153160000,189764000,223822000,81152000,65405000,264246000,638798000,603229000,1136089000,2622782000,2718267000,2608061000,3955176000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,579000,260000,1054000,988000,1232000,437000,1380000,1442000,3262000,8086000,9265000,3047000,12867000,10713000,63191000,113527000,206024000,222210000,- -,1015640000
57,Other Non-Current Liabilities,- -,- -,1535000,1123000,17772000,840000,100817000,75098000,60158000,42038000,- -,60676000,58783000,56418000,60215000,76582000,103217000,124008000,325119000,361911000,732182000,556134000
58,Total Non-Current Liabilities,2090000,43036000,40828000,9517000,31900000,2981000,150016000,113072000,213825000,196640000,193026000,292584000,149200000,124870000,337328000,726093000,769637000,1373624000,3153925000,3302388000,3340243000,5526950000
59,Other Liabilities,480701000,424698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6839882000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,478611000,381662000,413247000,534528000,627959000,645263000,871188000,1281591000,1348366000,1274516000,1507034000,1664837000,1643907000,1914248000,3059057000,2644250000,3247465000,5414831000,8048366000,7909510000,9129731000,19760405000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,44000,22000,28000,29000,30000,30000,32000,34000,36000,37000,37000,38000,40000,40000,41000,41000,53000,53000,54000,98000
64,Retained Earnings,- -,- -,135558000,165554000,212119000,264944000,316329000,379456000,462884000,554972000,679193000,829524000,980900000,1133137000,1308244000,1494178000,1695400000,1954758000,2195635000,2624680000,3133058000,1171873000
65,Other Comprehensive Income/Loss,- -,- -,-31608000,-37596000,-42076000,13000000,14000000,29000000,9000000,27000000,28000000,30000000,35000000,19000000,-7000000,-55000000,-93000000,-62000000,-126000000,-209000000,-195000000,-336194000
66,Other Total Stockholders Equity,157823000,183372000,109224000,124834000,199585000,159252000,181187000,196068000,207925000,236364000,285441000,298818000,303086000,259047000,352274000,360163000,373335000,390896000,1362380000,1372717000,1400748000,7070198000
67,Total Stockholders Equity,157823000,183372000,213218000,252814000,369656000,437225000,511546000,604554000,679841000,818370000,992670000,1158379000,1319023000,1411222000,1653558000,1799381000,1975776000,2283695000,3432068000,3788450000,4338860000,7905975000
68,Total Liabilities And Stockholders Equity,636434000,565034000,626465000,787342000,997615000,1082488000,1382734000,1886145000,2028207000,2092886000,2499704000,2823216000,2962930000,3325470000,4712615000,4443631000,5223241000,7698526000,11480434000,11697960000,13468591000,27666380000
69,Minority Interest,- -,- -,2610000,2586000,2082000,- -,- -,958000,4673000,7402000,157000,10079000,332000,419000,427000,516000,22000,- -,- -,- -,-845229000,- -
70,Total Liabilities & Equity,636434000,565034000,629075000,789928000,999697000,1082488000,1382734000,1887103000,2032880000,2100288000,2499861000,2833295000,2963262000,3325889000,4713042000,4444147000,5223263000,7698526000,11480434000,11697960000,12623362000,27666380000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177394/000119312505029150/0001193125-05-029150-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312506027212/0001193125-06-027212-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312507029667/0001193125-07-029667-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312508029448/0001193125-08-029448-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312509011519/0001193125-09-011519-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312510023385/0001193125-10-023385-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312511034166/0001193125-11-034166-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739412000006/0001177394-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739413000010/0001177394-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739414000007/0001177394-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739415000007/0001177394-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739416000048/0001177394-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739417000012/0001177394-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739418000010/0001177394-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459019001232/0001564590-19-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459020002467/0001564590-20-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459021003035/0001564590-21-003035-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459022003003/0001564590-22-003003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,28032000,29996000,46565000,52825000,51385000,63127000,83797000,92088000,127948000,150331000,151376000,152237000,180034000,208525000,234946000,301173000,300598000,500712000,529160000,395069000
74,Depreciation and Amortization,- -,- -,8337000,7412000,7845000,8778000,9781000,15765000,18764000,19626000,16285000,24673000,24630000,24462000,91699000,103510000,121293000,159886000,225287000,372108000,341637000,151664000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4406000,3623000,- -,-26801000,-5497000,-7409000,-25221000,-46888000,-18189000,-48992000,-322000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,8193000,8725000,7993000,8445000,9174000,14076000,13644000,13971000,17368000,22678000,27959000,33202000,53192000
77,Change in Working Capital,- -,- -,32707000,17376000,99538000,33594000,66336000,2843000,170880000,172095000,132502000,170977000,19592000,56601000,35905000,553364000,-164343000,131290000,506741000,640558000,293165000,361654000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6455000,-156806000,38901000,-112965000,-187489000,-527945000,292863000,97538000,-478273000,-512984000,-326681000,12691000,-517224000
79,Inventory,- -,- -,-9992000,-98390000,-23953000,-101973000,-92403000,1857000,-16379000,-11883000,-240056000,28240000,49492000,-155221000,-330153000,40121000,-410162000,-243332000,-367899000,-153134000,-128786000,-1030110000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,103008000,220182000,-49988000,106938000,186189000,205093000,-26019000,265609000,341962000,381970000,98392000,685014000,1854887000
81,Other Working Capital,- -,- -,200021000,217397000,316935000,350529000,416865000,419708000,590588000,762683000,895185000,1066162000,1085754000,1142355000,1178260000,1731624000,1567281000,1698571000,2205312000,2845870000,3139035000,3500689000
82,Other Non-Cash Items,- -,- -,253000,-67532000,-153774000,-87923000,-146441000,-234398000,-220848000,-29962000,-351361000,-139227000,35127000,-206767000,-529685000,-229937000,128493000,-407732000,-907710000,-973229000,686194000,-151470000
83,Cash Provided by Operating Activities,- -,- -,69329000,-12748000,174000,7274000,-18939000,-152663000,52593000,262040000,-65901000,219153000,242793000,35707000,-234772000,643609000,326951000,176764000,100706000,549919000,1834366000,809787000
84,CAPEX,- -,- -,-8912000,-2862000,-6377000,-4769000,-7916000,-22781000,-34953000,-25011000,-12653000,-40153000,-14481000,-28965000,-57377000,-100106000,-123233000,-97546000,-125305000,-137423000,-197965000,-54892000
85,Acquisitions Net,- -,- -,-47174000,-1525000,-44526000,- -,-21319000,-106783000,-28015000,-16121000,-9574000,-59322000,-1592000,-24675000,-384867000,37299000,-414801000,-526658000,-1069946000,-9427000,-5560000,-907093000
86,Purchases of Investments,- -,- -,-8406000,-3376000,-1243000,-1927000,-15300000,-3000000,-14005000,-34421000,-17310000,-9251000,-4047000,-803000,-14069000,-10066000,-92264000,-42942000,-66000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6016000,4166000,4527000,5805000,28367000,- -,14692000,21678000,9166000,3161000,6287000,3650000,23004000,11698000,92452000,10625000,18573000,- -,- -,- -
88,Other Investing Activites,- -,- -,-4500000,1311000,-2000000,-6854000,-8141000,-4051000,-3412000,-15715000,31438000,-20823000,4273000,7009000,-8342000,-54974000,85901000,2264000,-2848000,13000,-5970000,9637000
89,Cash Used for Investing Activites,- -,- -,-62976000,-2286000,-49619000,-7745000,-24309000,-136615000,-65693000,-69590000,1067000,-126388000,-9560000,-43784000,-441651000,-116149000,-451945000,-654257000,-1179592000,-146837000,-209495000,-952348000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2915724000,-24963000,-4451744000,-1536874000,-1275941000,-3632603000,-3092506000,-3285687000,-8382379000,-8930165000,-8024961000,-5411247000,-3425002000
91,Common Stock Issued,- -,- -,1076000,5314000,60961000,9048000,11212000,6331000,3890000,12416000,- -,2664000,7234000,4630000,2327000,5959000,7550000,4236000,4924000,5367000,12913000,12789000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1676000,-7782000,-1882000,- -,-18564000,-15975000,-9871000,-72400000,-23095000,-18589000,-9923000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4927000,-22591000,-33724000,-41815000,-59720000,-76607000,-20782000,-50272000
94,Other Financing Activites,- -,- -,-8424000,14614000,-4140000,-22645000,47414000,302931000,16527000,2719992000,118809000,4336313000,1399930000,1264827000,4337128000,2772635000,3507988000,9068483000,10058508000,7487595000,5146009000,3079788000
95,Cash Used/Provided by Financing Activities,- -,- -,-7348000,19928000,56821000,-13597000,58626000,309262000,20417000,-183316000,93846000,-114443000,-137492000,-8366000,701925000,-355067000,180152000,638654000,1001147000,-631701000,-291696000,-392620000
96,Effect of Forex Changes on Cash,- -,- -,768000,1682000,-729000,-1022000,-1133000,-4990000,10889000,-5754000,-380000,1211000,387000,4366000,3019000,-16464000,-10513000,8414000,-16969000,-2265000,4545000,-38776000
97,Net Change In Cash,- -,- -,-227000,6576000,6647000,-15090000,14245000,14994000,18206000,3380000,28632000,-20467000,96128000,-12077000,28521000,155929000,44645000,169575000,-94709000,-230884000,1337721000,-573957000
98,Cash at the End of Period,- -,- -,15503000,22079000,28726000,13636000,27881000,42875000,61081000,59406000,88038000,67571000,163699000,151622000,180143000,336072000,380717000,556742000,462033000,231149000,1568870000,994913000
99,Cash at the Beginning of Period,- -,- -,15730000,15503000,22079000,28726000,13636000,27881000,42875000,56026000,59406000,88038000,67571000,163699000,151622000,180143000,336072000,387167000,556742000,462033000,231149000,1568870000
100,Free Cash Flow,- -,- -,60417000,-15610000,-6203000,2505000,-26855000,-175444000,17640000,237029000,-78554000,179000000,228312000,6742000,-292149000,543503000,203718000,79218000,-24599000,412496000,1636401000,754895000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1177394/000119312505029150/0001193125-05-029150-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312506027212/0001193125-06-027212-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312507029667/0001193125-07-029667-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312508029448/0001193125-08-029448-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312509011519/0001193125-09-011519-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312510023385/0001193125-10-023385-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000119312511034166/0001193125-11-034166-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739412000006/0001177394-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739413000010/0001177394-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739414000007/0001177394-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739415000007/0001177394-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739416000048/0001177394-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739417000012/0001177394-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000117739418000010/0001177394-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459019001232/0001564590-19-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459020002467/0001564590-20-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459021003035/0001564590-21-003035-index.htm,https://www.sec.gov/Archives/edgar/data/1177394/000156459022003003/0001564590-22-003003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
