,https://roic.ai/company/ADSK,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,29500000,52400000,79300000,117300000,178600000,237900000,274000000,353200000,405600000,454600000,534200000,496700000,617100000,740200000,820182000,936324000,947491000,824945000,951643000,1233767000,1523200000,1839800000,2171900000,2315200000,1713700000,1951800000,2215600000,2312200000,2273900000,2512200000,2504100000,2031000000,2056600000,2569800000,3274300000,3790400000,4386400000
2,COGS,4200000,6900000,7900000,10600000,14600000,14100000,24400000,47300000,42800000,36700000,41600000,29500000,27000000,13200000,94748000,107883000,151203000,140162000,148128000,169443000,170900000,216600000,206900000,219100000,191800000,196600000,229100000,238500000,274300000,342100000,370700000,341900000,303400000,285900000,324900000,337100000,418500000
3,Gross Profit,25300000,45500000,71400000,106700000,164000000,223800000,249600000,305900000,362800000,417900000,492600000,467200000,590100000,727000000,725434000,828441000,796288000,684783000,803515000,1064324000,1352300000,1623200000,1965000000,2096100000,1521900000,1755200000,1986500000,2073700000,1999600000,2170100000,2133400000,1689100000,1753200000,2283900000,2949400000,3453300000,3967900000
4,Gross Profit Ratio,0.8576,0.8683,0.9004,0.9096,0.9183,0.9407,0.9109,0.8661,0.8945,0.9193,0.9221,0.9406,0.9562,0.9822,0.8845,0.8848,0.8404,0.8301,0.8443,0.8627,0.8878,0.8823,0.9047,0.9054,0.8881,0.8993,0.8966,0.8969,0.8794,0.8638,0.8520,0.8317,0.8525,0.8887,0.9008,0.9111,0.9046
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,56200000,65200000,78700000,93700000,122400000,142800000,163985000,170487000,168574000,172985000,209349000,239404000,301600000,406300000,485300000,576100000,457500000,496200000,566500000,600000000,611100000,725200000,790000000,766100000,755500000,725000000,851100000,932500000,1114800000
6,General and Administrative Exp.,12600000,22900000,37500000,55900000,89100000,129300000,154600000,231300000,196300000,220300000,259700000,274200000,320400000,384200000,446190000,450330000,475007000,460650000,484224000,563347000,680900000,867200000,1034100000,1106400000,197700000,200800000,223100000,248400000,248300000,283300000,293400000,287800000,305200000,340100000,405600000,413900000,571700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,731900000,776000000,842600000,875500000,842600000,998000000,1015500000,1022500000,1087300000,1183900000,1310300000,1440300000,1623100000
8,"Selling, General and Administrative Exp.",12600000,22900000,37500000,55900000,89100000,129300000,154600000,231300000,196300000,220300000,259700000,274200000,320400000,384200000,446190000,450330000,475007000,460650000,484224000,563347000,680900000,867200000,1034100000,1106400000,929600000,976800000,1065700000,1123900000,1090900000,1281300000,1308900000,1310300000,1392500000,1524000000,1715900000,1854200000,2194800000
9,Other Expenses,400000,1000000,2600000,3900000,7900000,13500000,14800000,16400000,20600000,25000000,25200000,34800000,43900000,63200000,79748000,68844000,20903000,299000,522000,- -,- -,- -,- -,128900000,- -,- -,- -,- -,- -,39800000,33200000,31800000,20200000,18000000,38900000,37500000,40700000
10,Operating Expenses,13000000,23900000,40100000,59800000,97000000,142800000,169400000,247700000,273100000,310500000,363600000,402700000,486700000,590200000,689923000,689661000,664484000,633934000,694095000,802751000,982500000,1273500000,1519400000,1811400000,1387100000,1473000000,1632200000,1723900000,1702000000,2046300000,2132100000,2108200000,2168200000,2267000000,2605900000,2824200000,3350300000
11,COGS and Expenses,17200000,30800000,48000000,70400000,111600000,156900000,193800000,295000000,315900000,347200000,405200000,432200000,513700000,603400000,784671000,797544000,815687000,774096000,842223000,972194000,1153400000,1490100000,1726300000,2030500000,1578900000,1669600000,1861300000,1962400000,1976300000,2388400000,2502800000,2450100000,2471600000,2552900000,2930800000,3161300000,3768800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,- -,5700000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,9800000,13200000,33900000,29700000,34500000,52100000,54000000,51100000,- -
14,Depreciation and Amortization,400000,1000000,2600000,3900000,7900000,13500000,14800000,16400000,20600000,25000000,25200000,34800000,43900000,63200000,79748000,68844000,62907000,48844000,50292000,51949000,43700000,53500000,61300000,91800000,111500000,105400000,115500000,127800000,128900000,145900000,145800000,139200000,108400000,95200000,127300000,123800000,148100000
15,EBITDA,13400000,23900000,37600000,58100000,84300000,105500000,107100000,86200000,117400000,114100000,163500000,101300000,98900000,209700000,103668000,213617000,188389000,87310000,173488000,298277000,426700000,420000000,531300000,344300000,196200000,377400000,478400000,442700000,418600000,242100000,159400000,-354900000,-414400000,104600000,476100000,721600000,712800000
16,EBITDA ratio,0.4542,0.4561,0.4741,0.4953,0.4720,0.4435,0.3909,0.2441,0.2894,0.2510,0.3061,0.2039,0.1603,0.2833,0.1264,0.2281,0.1988,0.1058,0.1823,0.2418,0.2801,0.2283,0.2446,0.1487,0.1145,0.1934,0.2159,0.1915,0.1841,0.0964,0.0637,-0.1747,-0.2015,0.0407,0.1454,0.1904,0.1625
17,Operating Income,12300000,21600000,31300000,46900000,67000000,81000000,80200000,58200000,89700000,107400000,129000000,64500000,103400000,136800000,35511000,138780000,98174000,24962000,106237000,234873000,369800000,349700000,445600000,244500000,65600000,271400000,355600000,305900000,284800000,120700000,1300000,-499600000,-509100000,-25000000,343000000,629100000,617600000
18,Operating Income ratio,0.4169,0.4122,0.3947,0.3998,0.3751,0.3405,0.2927,0.1648,0.2212,0.2363,0.2415,0.1299,0.1676,0.1848,0.0433,0.1482,0.1036,0.0303,0.1116,0.1904,0.2428,0.1901,0.2052,0.1056,0.0383,0.1391,0.1605,0.1323,0.1252,0.0480,0.0005,-0.2460,-0.2475,-0.0097,0.1048,0.1660,0.1408
19,Total Other Income Expenses (Gains),700000,1300000,3700000,7300000,9400000,11000000,12100000,11600000,7100000,-18300000,9300000,2000000,-48400000,9700000,-11591000,5993000,28519000,13504000,16959000,11455000,13200000,16800000,24400000,8000000,19100000,600000,7300000,4100000,-4900000,-37700000,-21600000,-24200000,-48200000,-17700000,-48200000,-82400000,-52900000
20,Income Before Tax,13000000,22900000,35000000,54200000,76400000,92000000,92300000,69800000,96800000,89100000,138300000,66500000,55000000,146500000,23920000,144773000,126693000,38466000,123196000,246328000,383000000,366500000,470000000,252500000,84700000,272000000,362900000,310000000,279900000,83000000,-20300000,-523800000,-557300000,-42700000,294800000,546700000,564700000
21,Income Before Tax Ratio,0.4407,0.4370,0.4414,0.4621,0.4278,0.3867,0.3369,0.1976,0.2387,0.1960,0.2589,0.1339,0.0891,0.1979,0.0292,0.1546,0.1337,0.0466,0.1295,0.1997,0.2514,0.1992,0.2164,0.1091,0.0494,0.1394,0.1638,0.1341,0.1231,0.0330,-0.0081,-0.2579,-0.2710,-0.0166,0.0900,0.1442,0.1287
