,https://roic.ai/company/NXGN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1203000,226000,263000,247000,- -,- -,- -,428000,14000,55000,216000,256000,38000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1304000,3156000,3323000,2814000,1955000,3516000
14,Depreciation and Amortization,300000,200000,200000,200000,200000,300000,200000,400000,400000,400000,500000,1100000,1900000,2500000,2204000,2697000,2086000,2177000,2326000,2964000,3828000,5181000,6518000,9108000,11373000,14650000,17950000,24155000,28737000,29267000,29739000,40434000,40396000,43132000,47793000,49214000
15,EBITDA,900000,1000000,100000,-600000,-1000000,-100000,- -,1300000,1600000,1900000,4300000,-5600000,-5200000,3800000,6570000,8716000,10587000,13270000,19352000,28453000,41754000,59365000,69521000,82435000,87591000,109066000,134257000,93069000,51738000,64931000,37363000,67199000,43309000,75234000,54007000,62005000
16,EBITDA ratio,0.0857,0.1042,0.0102,-0.0682,-0.1042,-0.0076,- -,0.1111,0.1356,0.1583,0.2575,-0.2786,-0.1667,0.1124,0.1806,0.2182,0.2383,0.2423,0.2728,0.3198,0.3500,0.3777,0.3728,0.3358,0.3002,0.3087,0.3123,0.2022,0.1164,0.1325,0.0759,0.1319,0.0816,0.1422,0.1000,0.1114
17,Operating Income,200000,300000,100000,-1100000,-1700000,-700000,-400000,700000,900000,900000,3300000,300000,2100000,800000,3607000,4987000,7858000,10659000,16640000,31679000,35818000,50878000,59389000,72403000,75724000,94092000,116199000,69100000,23088000,35956000,7362000,27013000,2821000,31619000,5112000,12817000
18,Operating Income ratio,0.0190,0.0313,0.0102,-0.1250,-0.1771,-0.0534,-0.0342,0.0598,0.0763,0.0750,0.1976,0.0149,0.0673,0.0237,0.0992,0.1249,0.1769,0.1946,0.2346,0.3561,0.3003,0.3237,0.3184,0.2949,0.2595,0.2663,0.2703,0.1501,0.0519,0.0733,0.0149,0.0530,0.0053,0.0598,0.0095,0.0230
19,Total Other Income Expenses (Gains),400000,500000,-200000,300000,500000,300000,200000,- -,300000,600000,500000,-7000000,-9200000,500000,759000,1032000,643000,434000,386000,-6190000,2108000,3306000,3614000,924000,494000,324000,108000,-186000,-87000,-292000,-1042000,-3404000,-3231000,-2331000,-853000,-3542000
20,Income Before Tax,600000,800000,-100000,-800000,-1200000,- -,- -,700000,1200000,1500000,3800000,-6700000,-7100000,1300000,4366000,6019000,8501000,11093000,17026000,25489000,37926000,54184000,63003000,73327000,76218000,94416000,116307000,68914000,23001000,35664000,6320000,23609000,-410000,29288000,4259000,9275000
21,Income Before Tax Ratio,0.0571,0.0833,-0.0102,-0.0909,-0.1250,- -,- -,0.0598,0.1017,0.1250,0.2275,-0.3333,-0.2276,0.0385,0.1200,0.1507,0.1914,0.2025,0.2400,0.2865,0.3179,0.3448,0.3378,0.2987,0.2612,0.2672,0.2706,0.1497,0.0517,0.0728,0.0128,0.0463,-0.0008,0.0553,0.0079,0.0167
22,Income Tax expense (Gain),200000,300000,100000,-400000,-400000,- -,- -,300000,300000,500000,1500000,800000,-2500000,700000,1862000,2510000,3233000,4058000,6626000,9380000,14604000,20952000,22925000,27208000,27839000,32810000,40650000,26190000,7321000,8332000,663000,5368000,-2830000,4794000,-3239000,-240000
23,Net Income,400000,500000,-200000,-400000,-800000,-400000,-200000,600000,900000,1000000,2300000,-7500000,-4600000,600000,2504000,3509000,5268000,7035000,10400000,16109000,23322000,33232000,40078000,46119000,48379000,61606000,75657000,42724000,15680000,27332000,5657000,18241000,2420000,24494000,7498000,9515000
24,Net Income ratio,0.0381,0.0521,-0.0204,-0.0455,-0.0833,-0.0305,-0.0171,0.0513,0.0763,0.0833,0.1377,-0.3731,-0.1474,0.0178,0.0688,0.0879,0.1186,0.1284,0.1466,0.1811,0.1955,0.2114,0.2149,0.1878,0.1658,0.1743,0.1760,0.0928,0.0353,0.0558,0.0115,0.0358,0.0046,0.0463,0.0139,0.0171
25,EPS,0.01,0.01,-0.01,-0.01,-0.03,-0.01,-0.01,0.02,0.03,0.03,0.06,-0.16,-0.10,0.01,0.05,0.07,0.11,0.14,0.21,0.31,0.44,0.62,0.73,0.82,0.84,1.06,1.29,0.72,0.26,0.45,0.09,0.30,0.04,0.38,0.11,0.14
26,EPS Diluted,0.01,0.01,-0.01,-0.01,-0.03,-0.01,-0.01,0.02,0.03,0.03,0.06,-0.16,-0.10,0.01,0.05,0.07,0.10,0.14,0.20,0.30,0.42,0.60,0.72,0.81,0.84,1.06,1.28,0.72,0.26,0.45,0.09,0.29,0.04,0.38,0.11,0.14
27,Weighted Average Shares Outstanding,35555556,33333333,32000000,40000000,32000000,40000000,32000000,32000000,34285714,36363636,38333333,47619048,47792208,53333333,50080000,49040000,48200000,49016000,49744000,51488000,52826000,53764000,54596000,56062000,57270000,57894000,58729000,59392000,59918000,60259000,60635000,61818000,63435000,64417000,65474000,66739000
28,Weighted Average Shares Outstanding Diluted,35555556,33333333,32000000,40000000,32000000,40000000,32000000,32000000,34285714,38095238,38333333,47619048,47792208,53333333,50080000,49624000,49920000,51112000,51864000,52812000,54712000,55100000,55540000,56792000,57592000,58236000,59049000,59462000,60134000,60849000,61233000,62010000,63440000,64600000,65612000,66885000
