,https://roic.ai/company/NXGN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1977000,2073000,3748000,3321000,2327000,2490000,3472000,3295000,7598000,12297000,16102000,19694000,22710000
77,Change in Working Capital,- -,- -,- -,- -,- -,100000,100000,500000,1600000,1300000,22100000,-4600000,-10200000,2700000,3232000,2864000,6603000,7918000,12482000,3912000,6613000,14892000,3316000,19048000,19955000,26823000,37519000,-12980000,-33825000,-11499000,-79042000,-27823000,-11038000,24549000,85178000,-89786000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11369000,-18944000,-36094000,-10389000,-7988000,40548000,4744000,9929000,5535000,-5409000,-6178000,4937000,-369000
79,Inventory,- -,- -,- -,- -,- -,- -,400000,400000,100000,100000,-100000,-200000,-300000,600000,-238000,-20000,-88000,451000,-58000,-395000,241000,-649000,99000,-88000,-238000,-620000,-1825000,339000,-81000,187000,17000,-21000,-73000,70000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299000,-1810000,3344000,-2184000,6223000,-4170000,1281000,-271000,-6590000,-1232000,1070000,3330000,615000
81,Other Working Capital,- -,- -,- -,- -,- -,4600000,4700000,5200000,6800000,8100000,30200000,25600000,15400000,18100000,21332000,24196000,30799000,38717000,51199000,55111000,61724000,76616000,79932000,98980000,118935000,145758000,183277000,170297000,136472000,124973000,45931000,18108000,7070000,31619000,116797000,27011000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-100000,400000,300000,-1600000,-1400000,-22400000,11400000,18400000,-1900000,-3237000,-3541000,-6119000,-4245000,-7670000,-3932000,-1609000,-22093000,-6114000,-35384000,-27350000,-34093000,-53781000,21380000,95042000,46247000,71117000,72271000,32199000,-58047000,-69183000,115719000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-100000,500000,1800000,1200000,1200000,2700000,500000,2200000,3300000,3615000,6111000,8218000,13183000,17303000,21631000,30678000,29570000,43599000,48712000,55220000,70064000,76786000,68041000,104140000,82758000,40796000,110592000,76586000,50475000,85601000,98518000
84,CAPEX,- -,- -,- -,- -,- -,-500000,-100000,-300000,-300000,-200000,-200000,-900000,-6100000,-4400000,-588000,-778000,-565000,-1109000,-1072000,-1697000,-5707000,-8282000,-8132000,-12299000,-17791000,-24303000,-10323000,-39424000,-28718000,-21132000,-28688000,-20414000,-28666000,-25523000,-26881000,-28339000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,1000000,- -,-11000000,-7000000,-35000000,-2000000,-164000000,- -,-63000000,- -,-72000000,-206000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3000000,- -,-13800000,-8800000,-1100000,-100000,- -,-100000,-50000,- -,- -,- -,- -,- -,- -,- -,-114645000,- -,- -,-1120000,- -,-7100000,- -,-12123000,-6637000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1700000,10100000,12700000,1400000,400000,- -,500000,29000,- -,- -,- -,- -,- -,- -,- -,91825000,14825000,425000,7700000,- -,- -,- -,11077000,8795000,9291000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-300000,-100000,-200000,- -,-100000,-1400000,-6000000,-1700000,-1100000,-1190000,-1076000,-1477000,-1426000,-2587000,-2678000,- -,- -,755000,-6054000,-10435000,-10359000,-13581000,-29561000,-20817000,-14946000,-14518000,-8531000,-18732000,-20571000,-16623000,-24578000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-800000,-3200000,1200000,-4000000,3600000,-1300000,-6600000,-7800000,-5100000,-1799000,-1854000,-2042000,-2535000,-3659000,-4375000,-5707000,-8282000,-30197000,-19447000,-13945000,-10583000,-34904000,-53630000,-63751000,-24523000,-190373000,-11405000,-91533000,-25523000,-96072000,-28545000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3268000,- -,- -,- -,- -,- -,- -,-68509000,-90000000,-28000000,-52000000,-19000000,-179000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,21200000,100000,- -,100000,25000,152000,796000,352000,1308000,2152000,4481000,6062000,4760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-200000,-111000,-1864000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19646000,-23384000,-27074000,-20455000,-30763000,-34275000,-34716000,-40989000,-41535000,-42203000,-42770000,-42850000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,2527000,1311000,15900000,7431000,7241000,16934000,-1321000,-1040000,383000,169119000,1310000,34119000,30352000,135268000,47283000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,20400000,100000,-200000,-200000,-86000,-1712000,796000,352000,1308000,-17494000,-18903000,-18485000,-14384000,-18131000,-26844000,-27475000,-24055000,-42856000,-43243000,-42387000,57760000,-88690000,6119000,-21648000,116268000,-131717000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1730000,2545000,6972000,11000000,14952000,-238000,6068000,2803000,-982000,11134000,14431000,32006000,17827000,-28445000,-2854000,15848000,-91817000,10497000,-8828000,3304000,105797000,-61744000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15926000,18471000,25443000,36443000,51395000,51157000,57225000,60028000,59046000,70180000,84611000,116617000,134444000,105999000,103145000,118993000,27176000,37673000,28845000,34522000,140319000,78575000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4100000,3200000,500000,3500000,1100000,6100000,27900000,21900000,16100000,14196000,15926000,18471000,25443000,36443000,51395000,51157000,57225000,60028000,59046000,70180000,84611000,116617000,134444000,105999000,103145000,118993000,27176000,37673000,31218000,34522000,140319000
100,Free Cash Flow,- -,- -,- -,- -,- -,-600000,400000,1500000,900000,1000000,2500000,-400000,-3900000,-1100000,3027000,5333000,7653000,12074000,16231000,19934000,24971000,21288000,35467000,36413000,37429000,45761000,66463000,28617000,75422000,61626000,12108000,90178000,47920000,24952000,58720000,70179000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708818/000070881897000006/0000708818-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/708818/000070881898000003/0000708818-98-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/708818/000070881800000003/0000708818-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/708818/000100547701003860/0001005477-01-003860-index.html,https://www.sec.gov/Archives/edgar/data/708818/000100547702002561/0001005477-02-002561-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/708818/000116923205004273/0001169232-05-004273-index.htm,- -,https://www.sec.gov/Archives/edgar/data/708818/000116923207002635/0001169232-07-002635-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000116923208002302/0001169232-08-002302-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000116923209002861/0001169232-09-002861-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000095012310054373/0000950123-10-054373-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000095012311055052/0000950123-11-055052-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000119312512249005/0001193125-12-249005-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881813000009/0000708818-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881814000008/0000708818-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881815000004/0000708818-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881816000091/0000708818-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881817000012/0000708818-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459018014338/0001564590-18-014338-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459019020627/0001564590-19-020627-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459020027880/0001564590-20-027880-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459021030107/0001564590-21-030107-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
