,https://roic.ai/company/TWIN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,25800000,25500000,28300000,29200000,29600000,30600000,27800000,27100000,27500000,31300000,33900000,36700000,39700000,39300000,38456000,31716000,34638000,34790000,37168000,44666000,49606000,63267000,66349000,60470000,56886000,72713000,73091000,67899000,67406000,64264000,56668000,52773000,61909000,69964000,63218000,55750000
11,COGS and Expenses,122700000,125900000,150600000,172000000,159100000,151300000,134000000,134200000,136200000,154400000,164500000,177300000,186600000,164900000,168105000,168807000,173784000,179365000,175627000,205718000,218503000,277558000,293175000,274645000,223955000,275423000,307329000,273156000,254061000,247022000,182355000,172723000,222406000,282986000,254348000,223474000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,84000,98000,95000,102000,121000,124000,147000,72000,55000,43000,78000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2487000,2282000,1719000,1475000,1435000,936000,606000,426000,303000,282000,1927000,1860000,2358000
14,Depreciation and Amortization,4100000,4300000,4700000,4600000,5200000,5600000,5500000,5100000,4700000,4800000,5200000,5500000,5600000,6500000,6980000,6392000,5709000,5673000,5692000,5677000,5866000,7252000,7881000,9774000,9817000,9904000,10756000,10838000,10657000,10161000,8847000,7017000,6464000,9335000,11925000,11243000
15,EBITDA,-2100000,9200000,18300000,21800000,9600000,2500000,7300000,-5200000,9700000,13400000,16100000,18200000,21700000,6500000,15047000,19483000,10717000,3022000,15644000,15072000,28789000,41377000,43037000,30020000,13688000,43517000,56789000,21141000,19463000,26455000,-16113000,-2388000,21047000,25646000,-30201000,3562000
16,EBITDA ratio,-0.0173,0.0709,0.1127,0.1164,0.0589,0.0163,0.0536,-0.0373,0.0687,0.0816,0.0911,0.0958,0.1071,0.0387,0.0845,0.1078,0.0597,0.0168,0.0841,0.0690,0.1183,0.1304,0.1297,0.1015,0.0602,0.1402,0.1596,0.0741,0.0737,0.0995,-0.0969,-0.0142,0.0874,0.0847,-0.1224,0.0163
17,Operating Income,-1500000,3800000,11800000,15300000,3900000,1700000,2300000,5200000,5000000,9800000,12200000,12600000,16000000,3200000,9882000,10526000,5601000,-1816000,10462000,10678000,24784000,36990000,38892000,19785000,3085000,34716000,44871000,10013000,8887000,15486000,-24596000,-8978000,14929000,18498000,-40251000,-12270000
18,Operating Income ratio,-0.0124,0.0293,0.0727,0.0817,0.0239,0.0111,0.0169,0.0373,0.0354,0.0597,0.0690,0.0664,0.0790,0.0190,0.0555,0.0582,0.0312,-0.0101,0.0562,0.0489,0.1019,0.1166,0.1173,0.0669,0.0136,0.1118,0.1261,0.0351,0.0337,0.0583,-0.1479,-0.0534,0.0620,0.0611,-0.1631,-0.0561
19,Total Other Income Expenses (Gains),-4700000,1100000,1800000,1900000,500000,-4800000,-500000,-1100000,- -,-1200000,-1300000,100000,100000,-1500000,-1815000,2565000,-458000,-823000,-485000,-1186000,-1732000,-2661000,-3644000,-1740000,-1363000,-2687000,-115000,-776000,-791000,414000,-699000,-551000,-509000,-3991000,-3489000,2431000
20,Income Before Tax,-6200000,4900000,13600000,17200000,4400000,-3100000,1800000,4100000,5000000,8600000,10900000,12700000,16100000,- -,8067000,13091000,5143000,-2639000,9977000,9492000,23052000,34329000,35248000,18045000,1722000,32029000,44756000,9237000,8096000,15900000,-25295000,-9529000,14420000,14507000,-43740000,-9839000
21,Income Before Tax Ratio,-0.0512,0.0378,0.0837,0.0918,0.0270,-0.0203,0.0132,0.0294,0.0354,0.0524,0.0617,0.0669,0.0795,- -,0.0453,0.0724,0.0287,-0.0147,0.0536,0.0434,0.0948,0.1082,0.1063,0.0610,0.0076,0.1032,0.1258,0.0324,0.0307,0.0598,-0.1521,-0.0567,0.0599,0.0479,-0.1772,-0.0450
22,Income Tax expense (Gain),-2500000,2600000,5300000,6600000,1700000,-700000,800000,1400000,600000,2900000,4300000,5000000,6700000,1000000,4294000,6922000,2950000,-283000,4709000,2485000,8470000,12273000,10904000,6257000,992000,13064000,18446000,4986000,4226000,4515000,-12282000,-3414000,4773000,3711000,-4169000,19680000
23,Net Income,-3700000,2300000,8300000,10600000,2700000,-2400000,1000000,-11700000,4400000,5700000,6600000,7700000,9400000,-1000000,3773000,6169000,2058000,-2368000,5243000,6910000,14453000,21852000,24252000,11502000,597000,18830000,26112000,3882000,3644000,11173000,-13104000,-6294000,9528000,10673000,-39817000,-29719000
24,Net Income ratio,-0.0305,0.0177,0.0511,0.0566,0.0166,-0.0157,0.0073,-0.0839,0.0312,0.0347,0.0374,0.0405,0.0464,-0.0059,0.0212,0.0341,0.0115,-0.0132,0.0282,0.0316,0.0594,0.0689,0.0731,0.0389,0.0026,0.0607,0.0734,0.0136,0.0138,0.0420,-0.0788,-0.0374,0.0396,0.0353,-0.1613,-0.1360
25,EPS,-0.29,0.18,0.69,0.89,0.23,-0.21,0.09,-1.05,0.39,0.51,0.59,0.69,0.82,-0.09,0.34,0.55,0.18,-0.21,0.47,0.60,1.25,1.88,2.15,1.04,0.05,1.66,2.26,0.34,0.32,0.99,-1.17,-0.56,0.82,0.84,-3.03,-1.58
26,EPS Diluted,-0.29,0.18,0.69,0.89,0.23,-0.21,0.09,-1.05,0.39,0.51,0.59,0.69,0.81,-0.09,0.34,0.55,0.18,-0.21,0.46,0.59,1.22,1.84,2.13,1.03,0.05,1.64,2.24,0.34,0.32,0.99,-1.17,-0.56,0.82,0.83,-3.03,-1.58
27,Weighted Average Shares Outstanding,12649573,12777778,12116788,11876751,11612903,11294118,10810811,11116390,11210191,11160000,11108000,11124000,11336000,11340000,11284000,11232000,11232000,11220000,11256000,11444000,11534000,11622000,11279000,11097000,11063000,11319000,11410000,11304000,11258000,11273000,11203000,11239000,11295000,12571000,13153000,13247000
28,Weighted Average Shares Outstanding Diluted,12649573,12777778,12116788,11876751,11612903,11294118,10810811,11116390,11282051,11320755,11186441,11294118,11544000,11376000,11284000,11232000,11232000,11220000,11372000,11632000,11882000,11880000,11412000,11194000,11159000,11463000,11556000,11377000,11264000,11277000,11203000,11239000,11395000,12690000,13153000,13247000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100378/000010037895000013/0000100378-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037896000015/0000100378-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037897000010/0000100378-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037898000009/0000100378-98-000009-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037899000007/0000100378-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037800000009/0000100378-00-000009-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037801500018/0000100378-01-500018-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037802000020/0000100378-02-000020-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037803000039/0000100378-03-000039-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037804000032/0000100378-04-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/100378/000010037806000044/r10k06.htm,https://www.sec.gov/Archives/edgar/data/100378/000010037807000033/0000100378-07-000033-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100378/000143774917015470/0001437749-17-015470-index.html,https://www.sec.gov/Archives/edgar/data/100378/000143774918016163/0001437749-18-016163-index.html,https://www.sec.gov/Archives/edgar/data/100378/000143774919017591/0001437749-19-017591-index.html,https://www.sec.gov/Archives/edgar/data/100378/000143774920018707/0001437749-20-018707-index.htm,https://www.sec.gov/Archives/edgar/data/100378/000143774921021350/0001437749-21-021350-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6200000,6700000,2000000,1600000,4200000,2300000,3000000,2900000,4200000,3700000,2000000,9000000,5100000,4100000,5651000,5961000,7313000,5908000,9127000,11614000,16427000,19508000,14447000,13266000,19022000,20167000,15701000,20724000,24757000,22936000,18273000,16367000,15171000,12362000,10688000,12340000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6200000,6700000,2000000,1600000,4200000,2300000,3000000,2900000,4200000,3700000,2000000,9000000,5100000,4100000,5651000,5961000,7313000,5908000,9127000,11614000,16427000,19508000,14447000,13266000,19022000,20167000,15701000,20724000,24757000,22936000,18273000,16367000,15171000,12362000,10688000,12340000
34,Net Receivables,21800000,21400000,28700000,31300000,27100000,24600000,26000000,25100000,25700000,29200000,34900000,32400000,28300000,27200000,28828000,27058000,29006000,35367000,37091000,37751000,55963000,63277000,67611000,53367000,43014000,61007000,63438000,46331000,40219000,43883000,25363000,31392000,45422000,44013000,30682000,39491000
35,Inventory,33300000,30800000,40600000,44000000,38300000,40900000,36700000,42600000,41600000,47200000,51100000,47800000,53300000,54500000,50190000,46492000,44504000,47247000,52079000,48481000,65081000,76253000,97691000,92331000,72799000,99139000,103178000,102774000,97579000,80241000,66569000,66193000,84001000,125893000,120607000,114967000
36,Other Current Assets,4200000,2800000,4100000,2800000,3600000,5900000,4500000,6900000,8900000,10400000,8600000,8800000,6900000,11900000,5333000,12255000,8631000,8573000,7327000,8937000,13660000,14202000,15946000,14957000,12615000,14855000,14844000,18643000,17542000,22770000,14830000,15482000,14675000,20101000,12008000,25169000
37,Total Current Assets,65500000,61700000,75400000,79700000,73200000,73700000,70200000,77500000,80400000,90500000,96600000,98000000,93600000,97700000,90002000,91766000,89454000,97095000,105624000,106783000,151131000,173240000,195695000,173921000,147450000,195168000,197161000,188472000,180097000,169830000,125035000,129434000,159269000,202369000,173985000,191967000
38,PP&E,29800000,28100000,29400000,32900000,40100000,42900000,38700000,37600000,36700000,37300000,35700000,34200000,35700000,38900000,34303000,31584000,29549000,30210000,33222000,40331000,46958000,56810000,67855000,65799000,58243000,65791000,66356000,62315000,60267000,56427000,51665000,48212000,48940000,71258000,72732000,60199000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13719000,12311000,- -,- -,- -,15304000,17171000,18479000,17509000,16440000,17871000,13116000,13232000,13463000,12789000,5120000,2585000,2692000,25954000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9600000,8300000,8100000,4800000,4100000,18600000,14401000,1988000,1383000,12900000,12717000,12854000,- -,9352000,9589000,7855000,6268000,6439000,4996000,3149000,2797000,2186000,2164000,2009000,1906000,25353000,18973000,17480000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9600000,8300000,8100000,4800000,4100000,18600000,14401000,15707000,13694000,12900000,12717000,12854000,15304000,26523000,28068000,25364000,22708000,24310000,18112000,16381000,16260000,14975000,7284000,4594000,4598000,51307000,18973000,17480000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6302000,12246000,20164000,15668000,16230000,4152000,3956000,5733000,14386000,24029000,16480000,14335000,7614000,2556000,4878000,25870000,24198000,18056000,18178000,24445000,2511000
44,Other Non-Current Assets,7100000,9000000,10100000,9400000,10200000,10600000,10600000,22800000,17200000,22200000,22300000,21800000,27600000,21700000,35484000,11375000,12337000,9989000,9406000,9097000,18627000,6655000,7277000,6095000,6626000,7371000,7868000,10676000,7805000,3752000,4068000,4460000,3850000,3758000,3992000,3256000
45,Total Non-Current Assets,36900000,37100000,39500000,42300000,50300000,53500000,49300000,60400000,63500000,67800000,66100000,60800000,67400000,79200000,84188000,64968000,67826000,73263000,71013000,78512000,85041000,93944000,108933000,111644000,111606000,113952000,106671000,96986000,86888000,80032000,88887000,81464000,75444000,144501000,120142000,83446000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,102400000,98800000,114900000,122000000,123500000,127200000,119500000,137900000,143900000,158300000,162700000,158800000,161000000,176900000,174190000,156734000,157280000,170358000,176637000,185295000,236172000,267184000,304628000,285565000,259056000,309120000,303832000,285458000,266985000,249862000,213922000,210898000,234713000,346870000,294127000,275413000
48,Accounts Payable,- -,- -,- -,- -,9500000,6400000,7400000,8000000,7900000,12400000,8800000,12800000,9900000,10700000,11571000,10368000,13042000,16115000,17241000,21746000,27866000,28896000,37919000,24864000,23842000,38372000,23550000,20651000,22111000,20729000,14716000,21301000,29368000,31468000,25663000,31011000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,7400000,200000,300000,23000000,7428000,7654000,4565000,5286000,4625000,6371000,3843000,1768000,1730000,4421000,3920000,3915000,3744000,3681000,3604000,3571000,- -,- -,- -,2000000,4691000,2000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584000,2541000,1913000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4206000,7234000,3082000,2602000,2372000,2423000,5426000,14924000,11541000,13124000
52,Other Current Liabilities,20800000,18700000,31100000,32300000,18700000,33400000,28300000,24300000,24800000,22100000,17800000,16600000,19400000,21100000,21909000,23428000,22312000,24885000,27262000,35050000,47912000,49254000,49939000,40967000,35545000,41673000,35125000,31937000,28183000,30152000,19043000,20799000,27550000,24685000,24839000,32425000
53,Total Current Liabilities,20800000,18700000,31100000,32300000,28200000,39800000,35700000,32300000,32700000,36900000,34000000,29600000,29600000,54800000,40908000,41450000,39919000,46286000,49128000,63167000,79621000,79918000,89588000,70252000,63307000,83960000,66625000,63503000,56980000,57054000,36131000,44523000,62344000,73077000,66734000,78560000
54,Long-Term Debt,7100000,1100000,- -,- -,5300000,4300000,4500000,13000000,11500000,14000000,19900000,19900000,19900000,17100000,31254000,23404000,18583000,16584000,16813000,14958000,38369000,42152000,48227000,46348000,27211000,25784000,28401000,23472000,14800000,10231000,8501000,6323000,4824000,55174000,51391000,42972000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3400000,4400000,5700000,5700000,6000000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3914000,4170000,3340000,2925000,1778000,1093000,827000,1011000,1203000,7429000,5501000,5045000
57,Other Non-Current Liabilities,3000000,2900000,2700000,2800000,4100000,3600000,2900000,31200000,34300000,32800000,33600000,35500000,29500000,37500000,23795000,33121000,39797000,56732000,49456000,39680000,28377000,29032000,36488000,61977000,75305000,57152000,68180000,51996000,41116000,41317000,51410000,35474000,22726000,28372000,30543000,18176000
58,Total Non-Current Liabilities,13500000,8400000,8400000,8500000,15400000,12800000,7400000,44200000,45800000,46800000,53500000,55400000,49400000,54600000,55049000,56525000,58380000,73316000,66269000,54638000,66746000,71184000,84715000,108325000,106430000,87106000,99921000,78393000,57694000,52641000,60738000,42808000,28753000,90975000,87435000,66193000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14683000,13495000,12887000
61,Total Liabilities,34300000,27100000,39500000,40800000,43600000,52600000,43100000,76500000,78500000,83700000,87500000,85000000,79000000,109400000,95957000,97975000,98299000,119602000,115397000,117805000,146367000,151102000,174303000,178577000,169737000,171066000,166546000,141896000,114674000,109695000,96869000,87331000,91097000,164052000,154169000,144753000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000,11653000,11653000,11653000,11653000,11653000,11653000,- -,- -,- -,- -,- -,- -,- -,13183000,11973000,12259000,11761000,10429000,11570000,45047000,42756000,40972000
64,Retained Earnings,65800000,65900000,72100000,80300000,80400000,75600000,74700000,- -,- -,67100000,71700000,77400000,84700000,81400000,83228000,87431000,87524000,83191000,86443000,89316000,101652000,121109000,142361000,150257000,147438000,162857000,185083000,184110000,183695000,190807000,175662000,169368000,178896000,196472000,156655000,126936000
65,Other Comprehensive Income/Loss,-47800000,-46700000,-51100000,-53800000,-60400000,-63000000,-67000000,-67600000,-67100000,-72100000,-72900000,-73600000,-76900000,-80800000,-82400000,-83999000,-84372000,-26978000,-20605000,-17770000,-9166000,-4493000,2446000,-26218000,-42048000,-11383000,-34797000,-25899000,-15943000,-35481000,-44143000,-32671000,-23792000,-37971000,-41226000,-22615000
66,Other Total Stockholders Equity,50100000,52500000,54400000,54700000,59900000,62000000,68700000,129000000,132500000,79600000,76400000,70000000,74200000,55200000,65752000,43337000,43704000,-17595000,-16760000,-16300000,- -,- -,- -,- -,- -,- -,- -,-28890000,-28141000,-28057000,-26790000,-24205000,-23677000,-21332000,-18796000,-15083000
67,Total Stockholders Equity,68100000,71700000,75400000,81200000,79900000,74600000,76400000,61400000,65400000,74600000,75200000,73800000,82000000,67500000,78233000,58422000,58509000,50271000,60731000,66899000,89233000,115437000,129646000,106988000,88460000,137085000,136264000,142504000,151584000,139528000,116490000,122921000,142997000,182216000,139389000,130210000
68,Total Liabilities And Stockholders Equity,102400000,98800000,114900000,122000000,123500000,127200000,119500000,137900000,143900000,158300000,162700000,158800000,161000000,176900000,174190000,156397000,156808000,169873000,176128000,184704000,235600000,266539000,303949000,285565000,258197000,308151000,302810000,284400000,266258000,249223000,213359000,210252000,234094000,346268000,293558000,274963000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337000,472000,485000,509000,591000,572000,645000,679000,- -,859000,969000,1022000,1058000,727000,639000,563000,646000,619000,602000,569000,450000
70,Total Liabilities & Equity,102400000,98800000,114900000,122000000,123500000,127200000,119500000,137900000,143900000,158300000,162700000,158800000,161000000,176900000,174190000,156734000,157280000,170358000,176637000,185295000,236172000,267184000,304628000,285565000,259056000,309120000,303832000,285458000,266985000,249862000,213922000,210898000,234713000,346870000,294127000,275413000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100378/000010037895000013/0000100378-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037896000015/0000100378-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037897000010/0000100378-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037898000009/0000100378-98-000009-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037899000007/0000100378-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037800000009/0000100378-00-000009-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037801500018/0000100378-01-500018-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037802000020/0000100378-02-000020-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037803000039/0000100378-03-000039-index.html,https://www.sec.gov/Archives/edgar/data/100378/000010037804000032/0000100378-04-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/100378/000010037806000044/r10k06.htm,https://www.sec.gov/Archives/edgar/data/100378/000010037807000033/0000100378-07-000033-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100378/000143774917015470/0001437749-17-015470-index.html,https://www.sec.gov/Archives/edgar/data/100378/000143774918016163/0001437749-18-016163-index.html,https://www.sec.gov/Archives/edgar/data/100378/000143774919017591/0001437749-19-017591-index.html,https://www.sec.gov/Archives/edgar/data/100378/000143774920018707/0001437749-20-018707-index.htm,https://www.sec.gov/Archives/edgar/data/100378/000143774921021350/0001437749-21-021350-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2700000,-2400000,1000000,-11700000,4400000,5700000,6600000,7700000,9400000,-1000000,3773000,6169000,2058000,-2368000,5243000,6910000,14453000,21852000,24252000,11502000,597000,18830000,26112000,3882000,3644000,11173000,-13104000,-6294000,9528000,10673000,-39817000,-29719000
74,Depreciation and Amortization,- -,- -,- -,- -,5200000,5600000,5500000,5100000,4700000,4800000,5200000,5500000,5600000,6500000,6980000,6392000,5709000,5673000,5692000,5677000,5866000,7252000,7881000,9774000,9817000,9904000,10756000,10838000,10657000,10161000,8847000,7017000,6464000,9335000,11925000,11243000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,-1100000,-400000,-200000,-200000,1000000,1600000,1500000,2900000,- -,-284000,-4680000,378000,-1424000,1312000,-1291000,2758000,-41000,2243000,730000,- -,1354000,7486000,687000,634000,-442000,-12203000,-4245000,3004000,6846000,-8072000,17655000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2481000,507000,6148000,1642000,2681000,1184000,696000,1295000,1615000,2062000,2591000,1158000,2154000
77,Change in Working Capital,- -,- -,- -,- -,13000000,1400000,3100000,-400000,-1100000,-3900000,-18100000,6000000,-10300000,2100000,-3275000,2354000,4883000,2760000,-230000,2787000,-6169000,-16047000,-15992000,-9410000,24781000,-22885000,-35735000,3619000,8417000,-8237000,10435000,2161000,-14841000,-37813000,13548000,5778000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9568000,8181000,-13605000,-5982000,17636000,7076000,-7248000,18422000,-5885000,-13774000,11177000,13132000,-7810000
79,Inventory,- -,- -,- -,- -,10900000,2400000,4500000,-4400000,2000000,-3300000,-3900000,2900000,-5700000,3500000,3211000,1483000,3724000,3725000,-2575000,897000,-6933000,-8501000,-12949000,-1282000,16338000,-17258000,-9563000,176000,6972000,8860000,10060000,624000,-17460000,-27671000,6775000,9063000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10890000,-191000,11839000,-13279000,-2457000,1364000,914000,-6285000,6034000,6844000,-1013000,-3342000,4606000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4612000,-10251000,-1127000,1200000,1177000,-1736000,-915000,-3631000,-662000,-7053000,-120000,1087000,-2084000,-251000,544000,-2132000
82,Other Non-Cash Items,- -,- -,- -,- -,-500000,-300000,-800000,12400000,-700000,- -,- -,-200000,-600000,1400000,-309000,-2851000,46000,2069000,223000,2367000,1369000,4470000,1324000,1348000,-586000,509000,4183000,2769000,1213000,3709000,8121000,2924000,294000,2907000,30376000,-583000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,20300000,3200000,8400000,5200000,7100000,7600000,-4700000,20500000,7000000,9000000,6885000,7384000,13074000,6710000,12240000,16450000,18277000,17486000,19708000,11463000,35116000,13860000,14444000,24476000,25749000,17060000,3391000,3178000,6511000,-5461000,9118000,6528000
