,https://roic.ai/company/PG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15439000000,17000000000,19336000000,21398000000,24081000000,27026000000,29362000000,30433000000,30296000000,33434000000,35284000000,35764000000,37154000000,38125000000,39951000000,39244000000,40238000000,43377000000,51407000000,56741000000,68222000000,76476000000,83503000000,79029000000,78938000000,82559000000,83680000000,84167000000,83062000000,76279000000,65299000000,65058000000,66832000000,67684000000,70950000000,76118000000
2,COGS,9338000000,9782000000,11183000000,12604000000,13799000000,15125000000,16273000000,16543000000,16221000000,19623000000,20762000000,20316000000,21064000000,21206000000,21514000000,22102000000,20989000000,22141000000,25076000000,27804000000,33125000000,36686000000,40695000000,38898000000,37919000000,40768000000,42391000000,42428000000,42460000000,38876000000,32909000000,32535000000,34268000000,34768000000,35250000000,37108000000
3,Gross Profit,6101000000,7218000000,8153000000,8794000000,10282000000,11901000000,13089000000,13890000000,14075000000,13811000000,14522000000,15448000000,16090000000,16919000000,18437000000,17142000000,19249000000,21236000000,26331000000,28937000000,35097000000,39790000000,42808000000,40131000000,41019000000,41791000000,41289000000,41739000000,40602000000,37403000000,32390000000,32523000000,32564000000,32916000000,35700000000,39010000000
4,Gross Profit Ratio,0.3952,0.4246,0.4216,0.4110,0.4270,0.4404,0.4458,0.4564,0.4646,0.4131,0.4116,0.4319,0.4331,0.4438,0.4615,0.4368,0.4784,0.4896,0.5122,0.5100,0.5145,0.5203,0.5127,0.5078,0.5196,0.5062,0.4934,0.4959,0.4888,0.4903,0.4960,0.4999,0.4873,0.4863,0.5032,0.5125
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,9361000000,9632000000,9707000000,9960000000,10035000000,10666000000,12483000000,12406000000,12571000000,13383000000,16504000000,18010000000,21848000000,24340000000,25725000000,24008000000,24998000000,25973000000,26421000000,26950000000,25314000000,23585000000,18949000000,18568000000,18853000000,19084000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4305000000,5782000000,5660000000,5988000000,7121000000,8243000000,9171000000,12294000000,9361000000,9632000000,9707000000,9960000000,10035000000,10666000000,12483000000,12406000000,12571000000,13383000000,16504000000,18010000000,21848000000,24340000000,25725000000,24008000000,24998000000,25973000000,26421000000,26950000000,25314000000,23585000000,18949000000,18568000000,18853000000,19084000000,19994000000,21024000000
9,Other Expenses,491000000,629000000,697000000,767000000,859000000,956000000,1051000000,1140000000,1134000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4796000000,6411000000,6357000000,6755000000,7980000000,9199000000,10222000000,13434000000,10495000000,9632000000,9707000000,9960000000,10035000000,10666000000,12483000000,12406000000,12571000000,13383000000,16504000000,18010000000,21848000000,24340000000,25725000000,24008000000,24998000000,25973000000,26421000000,26950000000,25314000000,23585000000,18949000000,18568000000,18853000000,19084000000,19994000000,21024000000
11,COGS and Expenses,14134000000,16193000000,17540000000,19359000000,21779000000,24324000000,26495000000,29977000000,26716000000,29255000000,30469000000,30276000000,31099000000,31872000000,33997000000,34508000000,33560000000,35524000000,41580000000,45814000000,54973000000,61026000000,66420000000,62906000000,62917000000,66741000000,68812000000,69378000000,67774000000,62461000000,51858000000,51103000000,53121000000,53852000000,55244000000,58132000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000000,100000000,151000000,182000000,171000000,247000000,220000000,155000000,45000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000000,946000000,831000000,769000000,667000000,709000000,626000000,579000000,465000000,506000000,509000000,465000000,502000000
14,Depreciation and Amortization,491000000,629000000,697000000,767000000,859000000,956000000,1051000000,1140000000,1134000000,1253000000,1358000000,1487000000,1598000000,2148000000,2191000000,2271000000,1693000000,1703000000,1733000000,1884000000,2627000000,3130000000,3166000000,3082000000,3108000000,2838000000,3204000000,2982000000,3141000000,3134000000,3078000000,2820000000,2834000000,2824000000,3013000000,2735000000
15,EBITDA,1666000000,1246000000,2327000000,2706000000,3280000000,3643000000,3936000000,564000000,4480000000,5253000000,6027000000,6736000000,7306000000,7986000000,7727000000,6887000000,8076000000,9233000000,11083000000,12323000000,15040000000,17840000000,19244000000,21908000000,20891000000,18858000000,18197000000,18402000000,18671000000,13712000000,17507000000,21674000000,16555000000,9333000000,19236000000,20806000000
16,EBITDA ratio,0.1079,0.0733,0.1203,0.1265,0.1362,0.1348,0.1341,0.0185,0.1479,0.1571,0.1708,0.1883,0.1966,0.2095,0.1934,0.1755,0.2007,0.2129,0.2156,0.2172,0.2205,0.2333,0.2305,0.2772,0.2647,0.2284,0.2175,0.2186,0.2248,0.1798,0.2681,0.3331,0.2477,0.1379,0.2711,0.2733
17,Operating Income,1305000000,807000000,1796000000,2039000000,2302000000,2702000000,2867000000,456000000,3580000000,4179000000,4815000000,5488000000,6055000000,6253000000,5954000000,4736000000,6678000000,7853000000,9827000000,10927000000,13249000000,15450000000,17083000000,16123000000,16021000000,15818000000,13292000000,14481000000,15288000000,11790000000,13441000000,13955000000,13711000000,5487000000,15706000000,17986000000
18,Operating Income ratio,0.0845,0.0475,0.0929,0.0953,0.0956,0.1000,0.0976,0.0150,0.1182,0.1250,0.1365,0.1535,0.1630,0.1640,0.1490,0.1207,0.1660,0.1810,0.1912,0.1926,0.1942,0.2020,0.2046,0.2040,0.2030,0.1916,0.1588,0.1721,0.1841,0.1546,0.2058,0.2145,0.2052,0.0811,0.2214,0.2363
