,https://roic.ai/company/MGEE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.90,0.85,0.86,0.89,0.87,0.91,1.01,0.97,1.01,1.02,0.99,0.27,0.93,0.92,0.99,1.11,1.08,1.13,1.14,1.18,1.05,1.37,1.51,1.59,1.47,1.67,1.76,1.86,2.16,2.32,2.06,2.18,2.82,2.43,2.51,2.60,2.92
26,EPS Diluted,0.90,0.85,0.86,0.89,0.87,0.91,1.01,0.97,1.01,1.02,0.99,0.27,0.93,0.92,0.99,1.11,1.08,1.13,1.14,1.18,1.05,1.37,1.51,1.59,1.47,1.67,1.76,1.86,2.16,2.32,2.06,2.18,2.82,2.43,2.51,2.60,2.92
27,Weighted Average Shares Outstanding,21666667,22086614,22093023,22443609,23076923,23713235,24078947,24206897,24039735,24019608,24060403,24000000,24107143,24130435,24126000,24573000,25228500,25966500,26841000,28678500,30654000,30846000,32280000,33295500,34605000,34671000,34671000,34671000,34668000,34668000,34668000,34668000,34668000,34668000,34668000,35612000,36163000
28,Weighted Average Shares Outstanding Diluted,21666667,22086614,22093023,22443609,23076923,23713235,24078947,24206897,24039735,24019608,24102564,24090909,24107143,24130435,24220183,24573000,25228500,25966500,26841000,28678500,30654000,30846000,32280000,33295500,34605000,34671000,34671000,34671000,34668000,34668000,34668000,34668000,34668000,34668000,34668000,35612000,36170000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1161728/000116172803000008/0001161728-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172804000004/f10k2003.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172805000004/form10k_2004.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172806000006/f10k20051231.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172807000003/f10k2006.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172808000004/f10k_2007.htm,https://www.sec.gov/Archives/edgar/data/61339/000006133909000001/0000061339-09-000001-index.html,https://www.sec.gov/Archives/edgar/data/61339/000006133910000003/0000061339-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172811000005/f10k_20101231.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172812000004/0001161728-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/61339/000116172813000001/0001161728-13-000001-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172814000004/f10k_2013.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172815000003/f10k_2014.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172816000028/0001161728-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172817000004/0001161728-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172818000003/0001161728-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172819000005/0001161728-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172820000016/0001161728-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172821000013/0001161728-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1161728/000095017022001709/0000950170-22-001709-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,2800000,5300000,2100000,7300000,1900000,4307000,2421000,2998000,5384000,3561000,3331000,3003000,3789000,4106000,4704000,7110000,41169000,46357000,68813000,65755000,81384000,95959000,107952000,83102000,23481000,44738000,17438000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,2800000,5300000,2100000,7300000,1900000,4307000,2421000,2998000,5384000,3561000,3331000,3003000,3789000,4106000,4704000,7110000,41169000,46357000,68813000,65755000,81384000,95959000,107952000,83102000,23481000,44738000,17438000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,36400000,50300000,53000000,42000000,39900000,41100000,66061000,41547000,54814000,59357000,81920000,88783000,63943000,77435000,87626000,71024000,75956000,70293000,78212000,82224000,80486000,69597000,78263000,83139000,78098000,74321000,76195000,97111000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,15200000,14700000,19100000,19100000,20200000,21392000,28683000,26308000,31503000,36342000,48810000,52527000,48428000,60966000,50994000,47239000,39801000,38344000,35856000,46255000,48410000,41137000,43793000,41995000,45282000,47265000,51960000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,7500000,8700000,9200000,7600000,7900000,8760000,10573000,12851000,16219000,20415000,19981000,29940000,26023000,41180000,38359000,31997000,37868000,60024000,33708000,61463000,55360000,60156000,55747000,37365000,38557000,41321000,32862000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,72300000,75800000,81700000,72400000,73900000,71100000,100520000,83224000,96971000,112463000,142238000,160905000,149413000,155675000,193878000,165081000,162302000,189131000,222937000,220601000,253959000,254751000,275515000,290631000,240560000,181641000,209519000,199371000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,381500000,384400000,372300000,371400000,374000000,394800000,441654000,404859000,460328000,537511000,607398000,667657000,728423000,843988000,901243000,939764000,968007000,995566000,1073464000,1160224000,1208106000,1243445000,1282059000,1341357000,1509437000,1642683000,1769385000,1878774000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53455000,55845000,60332000,64595000,67952000,71760000,73631000,76290000,67772000,78000000,88492000,94676000,98754000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5973000,5853000,4837000,5602000,1088000,731000,12488000,19093000,22259000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,33700000,30200000,28000000,18400000,29600000,29430000,53368000,71596000,71713000,77735000,88345000,104396000,111924000,173154000,123585000,131739000,213853000,219955000,124430000,159004000,153244000,166108000,154691000,148133000,149755000,157812000,195007000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,415500000,418100000,402500000,399400000,392400000,424400000,471084000,458227000,531924000,609224000,685133000,756002000,832819000,955912000,1074397000,1116804000,1155591000,1269751000,1363987000,1358459000,1443707000,1475922000,1525545000,1564551000,1748058000,1900023000,2044132000,2172535000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,487800000,493900000,484200000,471800000,466300000,495500000,571604000,541451000,628895000,721687000,827371000,916907000,982232000,1111587000,1268275000,1281885000,1317893000,1458882000,1586924000,1579060000,1697666000,1730673000,1801060000,1855182000,1988618000,2081664000,2253651000,2371906000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,25900000,30100000,14500000,15400000,19600000,28792000,22156000,32039000,35043000,42488000,49502000,45063000,58498000,47229000,35839000,32555000,34532000,43518000,43684000,41655000,40830000,47799000,47645000,46158000,55161000,54642000,64149000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34298000,51680000,53275000,82500000,72000000,133500000,124500000,66028000,24167000,2667000,3013000,4102000,11182000,4266000,4333000,28452000,17553000,19659000,57271000,10389000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,37500000,40300000,47900000,46100000,10900000,40700000,58445000,39623000,14210000,18842000,19798000,20978000,26798000,28114000,33512000,25271000,24490000,25875000,29266000,48880000,37159000,39050000,51373000,50417000,56917000,54000000,79013000,43309000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,55900000,66200000,78000000,60600000,26300000,60300000,87237000,61779000,80547000,105565000,115561000,152980000,143861000,220112000,205241000,127138000,81212000,63074000,75797000,96666000,89996000,84146000,103505000,126514000,120628000,128820000,190926000,117847000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,130800000,129000000,128900000,129900000,159800000,148600000,183437000,157600000,192149000,202204000,202257000,222312000,237284000,232346000,272408000,320942000,334351000,360903000,358491000,399414000,395256000,391014000,382791000,398161000,493343000,523741000,536835000,631533000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,69600000,66400000,58400000,56300000,54200000,52200000,51793000,62125000,67857000,80416000,94016000,103258000,105197000,110480000,120241000,142244000,168855000,201630000,271930000,286204000,343268000,361835000,384760000,226048000,232770000,244065000,253292000,275985000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71894000,74880000,76227000,94430000,120519000,120974000,192251000,189766000,208395000,282323000,301277000,179266000,209745000,203220000,205916000,326272000,325233000,329362000,296598000,319073000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,200400000,195400000,187300000,186200000,214000000,200800000,235230000,219725000,331900000,357500000,372500000,420000000,463000000,463800000,584900000,652952000,711601000,844856000,931698000,864884000,948269000,956069000,973467000,950481000,1051346000,1097168000,1086725000,1226591000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,437700000,430000000,414400000,416500000,471700000,450300000,519285000,483105000,- -,- -,746113000,840044000,926023000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17379000,17532000,17322000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,293200000,300800000,305100000,290900000,284000000,309800000,371292000,325159000,401525000,458617000,489174000,573024000,606884000,683861000,790073000,780090000,792813000,907930000,1007495000,961550000,1038265000,1040215000,1076972000,1076995000,1171974000,1225988000,1277651000,1344438000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,85800000,128600000,16100000,16100000,16100000,16200000,16619000,17072000,17575000,18344000,20390000,20454000,20975000,21950000,22905000,23114000,23114000,23114000,23114000,34668000,34668000,34668000,34668000,34668000,34668000,34668000,36163000,36163000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,77400000,64500000,50500000,52300000,53600000,56300000,62112000,67016000,73039000,79542000,87439000,91476000,105386000,123916000,144904000,162208000,185556000,211458000,239953000,266197000,308007000,339165000,372950000,426874000,465708000,504740000,545429000,596402000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-323500000,-348300000,-374300000,-407600000,-447000000,-484400000,-510381000,-340660000,-365243000,-365243000,-374604000,-294925000,1000000,2000000,-901243000,-490354000,-520555000,-551762000,-578030000,-597917000,-605003000,-630359000,-639335000,-661176000,-706091000,-745874000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,354900000,348300000,486800000,520100000,559600000,597600000,631962000,472864000,501999000,530427000,604972000,526878000,247987000,279860000,1211636000,806827000,836965000,868142000,894392000,914562000,921729000,946984000,955805000,977821000,1022359000,1062142000,394408000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,194600000,193100000,179100000,180900000,182300000,185700000,200312000,216292000,227370000,263070000,338197000,343883000,375348000,427726000,478202000,501795000,525080000,550952000,579429000,617510000,659401000,690458000,724088000,778187000,816644000,855676000,976000000,1027468000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,487800000,493900000,484200000,471800000,466300000,495500000,571604000,541451000,628895000,721687000,827371000,916907000,982232000,1111587000,1268275000,1281885000,1317893000,1458882000,1586924000,1579060000,1697666000,1730673000,1801060000,1855182000,1988618000,2081664000,2253651000,2371906000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,487800000,493900000,484200000,471800000,466300000,495500000,571604000,541451000,628895000,721687000,827371000,916907000,982232000,1111587000,1268275000,1281885000,1317893000,1458882000,1586924000,1579060000,1697666000,1730673000,1801060000,1855182000,1988618000,2081664000,2253651000,2371906000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1161728/000116172803000008/0001161728-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172804000004/f10k2003.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172805000004/form10k_2004.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172806000006/f10k20051231.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172807000003/f10k2006.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172808000004/f10k_2007.htm,https://www.sec.gov/Archives/edgar/data/61339/000006133909000001/0000061339-09-000001-index.html,https://www.sec.gov/Archives/edgar/data/61339/000006133910000003/0000061339-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172811000005/f10k_20101231.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172812000004/0001161728-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/61339/000116172813000001/0001161728-13-000001-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172814000004/f10k_2013.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172815000003/f10k_2014.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172816000028/0001161728-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172817000004/0001161728-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172818000003/0001161728-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172819000005/0001161728-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172820000016/0001161728-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172821000013/0001161728-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1161728/000095017022001709/0000950170-22-001709-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,24000000,6400000,22500000,22200000,23700000,27355000,27245000,29193000,30640000,33840000,32091000,42423000,48825000,52768000,50997000,57718000,60928000,64446000,74905000,80319000,71343000,75560000,97606000,84219000,58430000,92418000,105761000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41080000,37960000,40942000,38707000,38838000,40695000,44225000,44646000,53077000,56412000,71562000,74188000,76983000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,-2400000,-7200000,-1400000,-1200000,-700000,-1074000,8978000,3629000,13075000,8832000,10900000,5241000,750000,8583000,17710000,25381000,33698000,44797000,38365000,49884000,21927000,22421000,-4082000,3749000,7212000,10363000,4837000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,-6800000,-5900000,8100000,35800000,-36800000,2483000,8162000,-5021000,-9526000,19779000,-18752000,-2373000,-69989000,53074000,49306000,43147000,44967000,21083000,-23205000,40028000,6642000,1405000,-7893000,-44185000,-67111000,-34228000,-41148000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11188000,-8191000,-2436000,-6208000,-3827000,2115000,4508000,-5666000,-4502000,-2235000,-1285000,-3838000,-24651000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8809000,2375000,-5195000,-4839000,-12468000,-3717000,4099000,-12538000,10241000,3755000,7438000,1457000,2488000,-10399000,-2646000,7273000,-2568000,2724000,-3420000,-842000,-6342000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9037000,-2895000,2055000,-272000,858000,2756000,-3499000,9881000,-5290000,-4855000,-7432000,14353000,2729000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,16400000,9600000,3700000,11800000,47600000,10800000,13283000,21445000,16424000,6898000,26677000,7925000,5552000,-64437000,-11363000,37943000,81090000,126057000,147140000,123935000,163963000,170605000,172010000,164117000,119932000,52821000,18593000,-923000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,25300000,36000000,55000000,11600000,13700000,74100000,19010000,30299000,28928000,34413000,-137000,25588000,55748000,97000000,-39713000,-41184000,-40173000,-49763000,-23029000,11364000,-82164000,-2952000,3481000,-5717000,52845000,60382000,29702000,-8906000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,50800000,48300000,40800000,70500000,60300000,47774000,74684000,56729000,68602000,62314000,49827000,101039000,76586000,74712000,117909000,124033000,130772000,146004000,140267000,128762000,141185000,147513000,132991000,153040000,130475000,172443000,137527000
