,https://roic.ai/company/CPA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,290372000,300637000,341789000,399837000,608574000,851160000,1027264000,1288789000,1253087000,1414806000,1830921000,2249388000,2608332000,2705068000,2250062000,2221849000,2527556000,2677627000,2707408000,801003000,1509931000
2,COGS,- -,- -,- -,221923000,381075000,534861000,629941000,526874000,441778000,645447000,884868000,1417921000,1590545000,1658952000,1453363000,1418135000,1383769000,1604602000,1658433000,786900000,959872000
3,Gross Profit,- -,- -,- -,177914000,227499000,316299000,397323000,761915000,811309000,769359000,946053000,831467000,1017787000,1046116000,796699000,803714000,1143787000,1073025000,1048975000,14103000,550059000
4,Gross Profit Ratio,- -,- -,- -,0.4450,0.3738,0.3716,0.3868,0.5912,0.6474,0.5438,0.5167,0.3696,0.3902,0.3867,0.3541,0.3617,0.4525,0.4007,0.3874,0.0176,0.3643
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,77791000,119840000,158118000,179812000,283319000,308660000,299887000,354426000,72468000,90233000,112082000,122217000,120841000,134539000,132534000,568528000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,-29073000,-45087000,-57808000,-65930000,67177000,57565000,45331000,72947000,84992000,99822000,93766000,88051000,99918000,200413000,210158000,210623000,70395000,129877000
8,"Selling, General and Administrative Exp.",- -,- -,- -,48718000,74753000,100310000,113882000,350496000,366225000,345218000,427373000,157460000,190055000,205848000,210268000,220759000,334952000,342692000,779151000,70395000,129877000
9,Other Expenses,- -,269796000,283493000,295376000,470209000,646827000,774218000,101412000,109265000,62962000,75458000,271472000,310178000,319181000,320343000,306342000,368774000,396671000,-165673000,161541000,274527000
10,Operating Expenses,- -,269796000,283493000,344094000,544962000,747137000,888100000,451908000,475490000,408180000,502831000,428932000,500233000,525029000,530611000,527101000,703726000,739363000,613478000,231936000,404404000
11,COGS and Expenses,- -,269796000,283493000,566017000,926037000,1281998000,1518041000,978782000,917268000,1053627000,1387699000,1846853000,2090778000,2183981000,1983974000,1945236000,2087495000,2343965000,2271911000,1018836000,1364276000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,11130000,9185000,4759000,6774000,11689000,12636000,18066000,25947000,13000000,17939000,23628000,24405000,19963000,10849000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,40150000,32245000,29981000,32680000,32795000,30180000,29529000,33155000,37024000,35223000,35850000,51286000,64272000,74051000
14,Depreciation and Amortization,13325000,13377000,14040000,19279000,19857000,24874000,35328000,42891000,47079000,62962000,75458000,90187000,137412000,115147000,134888000,159194000,164345000,169436000,282080000,- -,- -
