,https://roic.ai/company/IVZ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,876600000,1331200000,1732703000,2435175000,2358821000,2167891000,2065302000,2220982000,2173237000,2414600000,3878900000,3307600000,2627300000,3487700000,4092200000,4177000000,4644600000,5147100000,5122900000,4734400000,5160300000,5314100000,6117400000,6145600000,6894500000
2,COGS,539100000,860700000,1055273000,1474482000,1596704000,1576592000,1510932000,1648363000,- -,- -,- -,- -,- -,- -,- -,1297700000,1329300000,1394500000,1395500000,1378800000,1537400000,1494400000,1709300000,1807900000,1911300000
3,Gross Profit,337500000,470500000,677430000,960693000,762117000,591299000,554370000,572619000,- -,- -,- -,3307600000,2627300000,3487700000,4092200000,2879300000,3315300000,3752600000,3727400000,3355600000,3622900000,3819700000,4408100000,4337700000,4983200000
4,Gross Profit Ratio,0.3850,0.3534,0.3910,0.3945,0.3231,0.2728,0.2684,0.2578,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,0.6893,0.7138,0.7291,0.7276,0.7088,0.7021,0.7188,0.7206,0.7058,0.7228
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1321800000,2034100000,2738200000,3108100000,1896600000,2093300000,2363600000,2253600000,2064400000,2222100000,2343100000,2791300000,2940700000,3099400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1238000000,108900000,159600000,86000000,103000000,98600000,112100000,115400000,114800000,123700000,134800000,135600000,83300000,98600000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1672988000,1629200000,2642100000,2559800000,2143000000,2897800000,3194100000,1999600000,2191900000,2475700000,2369000000,2179200000,2345800000,2477900000,2926900000,3024000000,3198000000
9,Other Expenses,30100000,78700000,166904000,164508000,287562000,352375000,417182000,781316000,- -,- -,242500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62900000
10,Operating Expenses,30100000,78700000,166904000,164508000,287562000,352375000,417182000,781316000,- -,- -,2884600000,2559800000,2143000000,2897800000,3194100000,1999600000,2191900000,2475700000,2369000000,2179200000,2345800000,2477900000,2926900000,3024000000,3260900000
