,https://roic.ai/company/ATI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3815600000,3745100000,3923400000,2296100000,2460400000,2128000000,1907800000,1937400000,2733000000,3539900000,4939600000,5452500000,5309700000,3054900000,4047800000,5183000000,5031500000,4043500000,4223400000,3719600000,3134600000,3525100000,4046600000,4122500000,2982100000,2799800000
2,COGS,2901700000,2828800000,2950200000,1782600000,1998500000,1862300000,1744500000,1873600000,2488100000,2889700000,3743800000,4003100000,4157800000,2646500000,3557500000,4369800000,4338300000,3790900000,3844800000,3659300000,2972100000,3076100000,3416300000,3484700000,2689300000,2466600000
3,Gross Profit,913900000,916300000,973200000,513500000,461900000,265700000,163300000,63800000,244900000,650200000,1195800000,1449400000,1151900000,408400000,490300000,813200000,693200000,252600000,378600000,60300000,162500000,449000000,630300000,637800000,292800000,333200000
4,Gross Profit Ratio,0.2395,0.2447,0.2481,0.2236,0.1877,0.1249,0.0856,0.0329,0.0896,0.1837,0.2421,0.2658,0.2169,0.1337,0.1211,0.1569,0.1378,0.0625,0.0896,0.0162,0.0518,0.1274,0.1558,0.1547,0.0982,0.1190
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,515500000,484100000,503600000,229100000,203700000,198800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377800000,276400000,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",515500000,484100000,503600000,229100000,203700000,198800000,188300000,248800000,233300000,275800000,295300000,296700000,282700000,315700000,304900000,382100000,377800000,276400000,272500000,238800000,247700000,254300000,268200000,267200000,201000000,226900000
9,Other Expenses,- -,- -,- -,95300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4300000,- -
10,Operating Expenses,515500000,484100000,503600000,324400000,203700000,198800000,188300000,248800000,233300000,275800000,295300000,296700000,282700000,315700000,304900000,382100000,377800000,276400000,272500000,238800000,247700000,254300000,268200000,267200000,196700000,226900000
11,COGS and Expenses,3417200000,3312900000,3453800000,2107000000,2202200000,2061100000,1932800000,2122400000,2721400000,3165500000,4039100000,4299800000,4440500000,2962200000,3862400000,4751900000,4716100000,4067300000,4117300000,3898100000,3219800000,3330400000,3684500000,3751900000,2886000000,2693500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,19300000,62700000,92300000,71600000,65200000,108700000,110200000,124000000,133800000,101000000,99000000,96100000,96900000
14,Depreciation and Amortization,105300000,98500000,109000000,95300000,99700000,98600000,90000000,74600000,76100000,77300000,84200000,102900000,118800000,132600000,141500000,174400000,194000000,189900000,176800000,189900000,170300000,160800000,156400000,151100000,143300000,143900000
15,EBITDA,476500000,573700000,500200000,458700000,308500000,62200000,-13800000,-206900000,95900000,382400000,953400000,1250200000,982400000,210500000,321900000,597300000,500200000,345500000,274200000,-189900000,-453500000,195900000,490800000,479200000,-1255500000,229400000
16,EBITDA ratio,0.1249,0.1532,0.1275,0.1998,0.1254,0.0292,-0.0072,-0.1068,0.0351,0.1080,0.1930,0.2293,0.1850,0.0689,0.0795,0.1152,0.0994,0.0854,0.0649,-0.0511,-0.1447,0.0556,0.1213,0.1162,-0.4210,0.0819
