,https://roic.ai/company/TGT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8793400000,9259100000,10677300000,12204000000,13644000000,14739000000,16115000000,17927000000,19233000000,21311000000,23516000000,25371000000,27757000000,30951000000,33702000000,36903000000,39888000000,43917000000,48163000000,46839000000,52620000000,59490000000,63367000000,64948000000,65357000000,67390000000,69865000000,73301000000,72596000000,72618000000,73785000000,70271000000,72714000000,75356000000,78112000000,93561000000,106005000000
2,COGS,6269200000,6703000000,7851100000,8885000000,9886000000,10649000000,11751000000,13129000000,14164000000,15636000000,17527000000,18628000000,20320000000,22634000000,23029000000,25295000000,27246000000,29260000000,31790000000,31445000000,34927000000,39399000000,41895000000,44157000000,44062000000,45725000000,47860000000,50568000000,51160000000,51278000000,51997000000,49145000000,51125000000,53299000000,54864000000,66177000000,74963000000
3,Gross Profit,2524200000,2556100000,2826200000,3319000000,3758000000,4090000000,4364000000,4798000000,5069000000,5675000000,5989000000,6743000000,7437000000,8317000000,10673000000,11608000000,12642000000,14657000000,16373000000,15394000000,17693000000,20091000000,21472000000,20791000000,21295000000,21665000000,22005000000,22733000000,21436000000,21340000000,21788000000,21126000000,21589000000,22057000000,23248000000,27384000000,31042000000
4,Gross Profit Ratio,0.2871,0.2761,0.2647,0.2720,0.2754,0.2775,0.2708,0.2676,0.2636,0.2663,0.2547,0.2658,0.2679,0.2687,0.3167,0.3146,0.3169,0.3337,0.3399,0.3287,0.3362,0.3377,0.3389,0.3201,0.3258,0.3215,0.3150,0.3101,0.2953,0.2939,0.2953,0.3006,0.2969,0.2927,0.2976,0.2927,0.2928
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,4004000000,4452000000,4734000000,4532000000,5583000000,7231000000,7900000000,8420000000,9416000000,11534000000,9797000000,11185000000,12819000000,13704000000,14563000000,13078000000,13469000000,14106000000,14914000000,15375000000,14676000000,14665000000,14174000000,15049000000,15631000000,16210000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1572700000,1611200000,1865900000,2131000000,2264000000,2478000000,2801000000,2978000000,3175000000,3631000000,4043000000,4289000000,4532000000,5077000000,7490000000,8190000000,8883000000,10181000000,11534000000,10534000000,11961000000,13526000000,13704000000,14563000000,13078000000,13469000000,14106000000,14914000000,15375000000,14676000000,14665000000,13356000000,14248000000,15723000000,16233000000,18615000000,19752000000
9,Other Expenses,319100000,333200000,408700000,498000000,549000000,628000000,693000000,772000000,841000000,904000000,1003000000,1229000000,1163000000,1286000000,854000000,940000000,1079000000,1212000000,1320000000,1259000000,1367000000,1447000000,2418000000,1826000000,3544000000,2944000000,2577000000,2448000000,2277000000,2129000000,1593000000,3328000000,3240000000,2224000000,2367000000,2230000000,2344000000
