,https://roic.ai/company/PRGS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25400000,40100000,58300000,85100000,111600000,139200000,180100000,176700000,188300000,239900000,286100000,271347000,261998000,273123000,309060000,362662000,405376000,447063000,493500000,515560000,494137000,529120000,533595000,335205000,333996000,332533000,377554000,405341000,397572000,397165000,413298000,442150000,531313000
2,COGS,21300000,33700000,33200000,47900000,12800000,15300000,22900000,27000000,28300000,42500000,54800000,50373000,66042000,67685000,61772000,61327000,63468000,76787000,86756000,91889000,93202000,99322000,103295000,43563000,34982000,34259000,63742000,65712000,69159000,66973000,75241000,62114000,78449000
3,Gross Profit,4100000,6400000,25100000,37200000,98800000,123900000,157200000,149700000,160000000,197400000,231300000,220974000,195956000,205438000,247288000,301335000,341908000,370276000,406744000,423671000,400935000,429798000,430300000,291642000,299014000,298274000,313812000,339629000,328413000,330192000,338057000,380036000,452864000
4,Gross Profit Ratio,0.1614,0.1596,0.4305,0.4371,0.8853,0.8901,0.8728,0.8472,0.8497,0.8228,0.8085,0.8144,0.7479,0.7522,0.8001,0.8309,0.8434,0.8282,0.8242,0.8218,0.8114,0.8123,0.8064,0.8700,0.8953,0.8970,0.8312,0.8379,0.8260,0.8314,0.8179,0.8595,0.8523
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,24200000,24000000,27000000,30200000,38300000,39034000,41732000,42113000,50243000,60371000,63071000,77269000,80345000,87788000,93262000,90643000,80719000,53017000,57336000,58965000,86924000,88587000,76988000,79739000,88572000,88599000,103338000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,98300000,109700000,110800000,123700000,133000000,130916000,132919000,- -,- -,- -,- -,- -,- -,- -,59612000,51805000,62100000,62053000,55994000,48292000,57294000,46532000,47759000,50522000,53360000,54004000,65128000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182227000,168788000,186077000,117855000,105997000,101496000,124867000,121501000,96345000,93036000,101701000,100113000,125890000
8,"Selling, General and Administrative Exp.",- -,- -,14800000,21800000,77600000,97800000,98300000,109700000,110800000,123700000,133000000,130916000,132919000,135101000,160093000,184924000,202270000,242857000,253706000,258031000,241839000,220593000,248177000,179908000,161991000,149788000,182161000,168033000,144104000,143558000,155061000,154117000,191018000
9,Other Expenses,900000,1300000,1700000,2300000,3800000,6300000,9000000,11500000,12900000,13600000,13300000,12329000,- -,- -,- -,7076000,7680000,7358000,15477000,6426000,9047000,10449000,8018000,962000,760000,653000,12745000,12735000,13039000,13241000,22255000,20049000,31996000
