,https://roic.ai/company/SBAC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104665000,180750000,209991000,224525000,266351000,298136000,319712000,323871000,331374000,326628000,378857000,393229000,392744000,400004000
14,Depreciation and Amortization,21600000,38600000,34831394,80465000,135713000,94715000,120701000,115956000,149147000,177201000,211445000,258537000,278727000,309146000,408467000,533334000,627072000,660021000,638189000,643100000,672113000,697078000,721970000,700161000
15,EBITDA,200000,3800000,7149354,-43026000,-137069000,-75636000,-25869000,23351000,16216000,100190000,270384000,298908000,295049000,409328000,500375000,774252000,931124000,817297000,1056866000,1086619000,1102654000,1276903000,1097022000,1352729000
16,EBITDA ratio,0.0034,0.0437,0.0426,-0.1771,-0.5179,-0.3567,-0.1118,0.0898,0.0462,0.2454,0.5693,0.5381,0.4709,0.5863,0.5245,0.5934,0.6098,0.4988,0.6471,0.6289,0.5910,0.6338,0.5266,0.5859
17,Operating Income,-23300000,-29300000,-29124919,-47966000,-102933000,-42865000,-23881000,4195000,19508000,30047000,45582000,54954000,74273000,110659000,147146000,229645000,336523000,312456000,387308000,458501000,544166000,583488000,633694000,782495000
18,Operating Income ratio,-0.3942,-0.3368,-0.1735,-0.1975,-0.3889,-0.2021,-0.1032,0.0161,0.0556,0.0736,0.0960,0.0989,0.1185,0.1585,0.1542,0.1760,0.2204,0.1907,0.2372,0.2654,0.2917,0.2896,0.3042,0.3389
19,Total Other Income Expenses (Gains),1900000,-4400000,1442879,-70456000,-89257000,-119251000,-119432000,-96739000,-152439000,-107058000,-91308000,-195581000,-267689000,-235438000,-324238000,-286863000,-352183000,-479051000,-300005000,-341610000,-492482000,-396599000,-651443000,-529931000
20,Income Before Tax,-21400000,-33700000,-27682040,-118422000,-192190000,-162116000,-143313000,-92544000,-132931000,-77011000,-45726000,-140627000,-193416000,-124779000,-177092000,-57218000,-15660000,-166595000,87303000,116891000,51684000,186889000,-17749000,252564000
21,Income Before Tax Ratio,-0.3621,-0.3874,-0.1649,-0.4875,-0.7261,-0.7645,-0.6191,-0.3560,-0.3786,-0.1887,-0.0963,-0.2531,-0.3087,-0.1787,-0.1856,-0.0438,-0.0103,-0.1017,0.0535,0.0677,0.0277,0.0928,-0.0085,0.1094
22,Income Tax expense (Gain),-1500000,-300000,1233265,1654000,383000,1820000,710000,2104000,517000,868000,1037000,492000,1005000,2113000,6594000,-1309000,8635000,9061000,11065000,13237000,4233000,39605000,-41796000,14940000
23,Net Income,-19900000,-34500000,-28915305,-125145000,-273165000,-172171000,-147280000,-94709000,-133448000,-77879000,-46763000,-140871000,-194674000,-126456000,-181037000,-55909000,-24295000,-175656000,76238000,103654000,47451000,146991000,24104000,237624000
24,Net Income ratio,-0.3367,-0.3966,-0.1722,-0.5152,-1.0321,-0.8119,-0.6362,-0.3643,-0.3801,-0.1908,-0.0985,-0.2536,-0.3107,-0.1811,-0.1897,-0.0428,-0.0159,-0.1072,0.0467,0.0600,0.0254,0.0730,0.0116,0.1029
25,EPS,-2.64,-1.77,-0.70,-2.64,-5.43,-3.30,-2.52,-1.28,-1.36,-0.74,-0.43,-1.20,-1.68,-1.13,-1.51,-0.44,-0.19,-1.37,0.61,0.86,0.41,1.30,0.22,2.15
26,EPS Diluted,-2.64,-1.77,-0.70,-2.64,-5.43,-3.30,-2.52,-1.28,-1.36,-0.74,-0.43,-1.20,-1.68,-1.13,-1.51,-0.44,-0.19,-1.37,0.61,0.86,0.41,1.28,0.21,2.15
27,Weighted Average Shares Outstanding,8526052,19156027,41156312,47437000,50308000,52204000,58420000,73823000,98193000,104743000,109882000,117165000,115591000,111595000,120280000,127769000,128919000,127794000,124448000,119860000,114909000,112809000,111532000,110707000
28,Weighted Average Shares Outstanding Diluted,32402490,19156027,41156312,47437000,50308000,52204000,58420000,73823000,98193000,104743000,109882000,117165000,115591000,111595000,120280000,127769000,128919000,127794000,125144000,121022000,116515000,114693000,113465000,110707000
