,https://roic.ai/company/TMUS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,129341000,451109000,748250000,1038428000,1546863000,2235734000,2751516000,3480515000,4069353000,4847382000,5101278000,24420000000,29564000000,32053000000,37242000000,40604000000,43310000000,44998000000,68397000000,80118000000
2,COGS,- -,- -,63567000,122211000,- -,584083000,922158000,1244743000,1561943000,2004324000,2317875000,2913431000,2930051000,12255000000,15409000000,14898000000,16550000000,17708000000,18354000000,18521000000,28266000000,36605000000
3,Gross Profit,- -,- -,65774000,328898000,- -,454345000,624705000,990991000,1189573000,1476191000,1751478000,1933951000,2171227000,12165000000,14155000000,17155000000,20692000000,22896000000,24956000000,26477000000,40131000000,43513000000
4,Gross Profit Ratio,- -,- -,0.5085,0.7291,- -,0.4375,0.4039,0.4433,0.4323,0.4241,0.4304,0.3990,0.4256,0.4982,0.4788,0.5352,0.5556,0.5639,0.5762,0.5884,0.5867,0.5431
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,55161000,94073000,- -,162476000,243618000,352020000,447582000,567730000,621660000,643959000,696789000,7382000000,8863000000,10189000000,11378000000,12259000000,13161000000,14139000000,18926000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4633000,28451000,55161000,94073000,- -,162476000,243618000,352020000,447582000,567730000,621660000,643959000,696789000,7382000000,8863000000,10189000000,11378000000,12259000000,13161000000,14139000000,18926000000,20238000000
9,Other Expenses,3000,208000,41357000,193652000,- -,453524000,143834000,178857000,274224000,373173000,449732000,538835000,641425000,3625000000,4417000000,4688000000,6243000000,5984000000,6486000000,6616000000,42835000000,16383000000
10,Operating Expenses,4636000,28659000,96518000,287725000,- -,616000000,387452000,530877000,721806000,940903000,1071392000,1182794000,1338214000,11007000000,13280000000,14877000000,17621000000,18243000000,19647000000,20755000000,61761000000,36621000000
