,https://roic.ai/company/NTRS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2667000000,3477000000,4387000000,4402000000,2938000000,3036000000,3286000000,3201000000,3236000000,3322000000,3392000000,3627000000,4082000000,4701000000,4951000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,899700000,953600000,847400000,721900000,706400000,848700000,1104000000,1151500000,1332800000,1503100000,1568600000,2011100000,1681500000,1238300000,1055700000,1118200000,1590600000,2206800000,2717700000,2478500000,1406000000,1296900000,1408600000,1287700000,1155500000,1186900000,1224000000,1416900000,1769400000,2321400000,2499900000,1643500000,1406500000
13,Interest Expense (Gain),- -,- -,- -,- -,662300000,704300000,565500000,410700000,377100000,510500000,746400000,763200000,894600000,1025900000,1049800000,1442500000,1086200000,636500000,507500000,557100000,929200000,1476900000,1886100000,1399400000,406200000,378000000,399500000,297400000,222400000,181400000,153900000,182000000,340200000,698700000,822000000,200300000,23800000
14,Depreciation and Amortization,- -,- -,- -,- -,16400000,36500000,30600000,34000000,119100000,41400000,42200000,-31100000,-89700000,-108400000,34300000,-88800000,23800000,57700000,186300000,176400000,-84200000,199600000,211400000,220400000,243700000,249500000,265100000,289400000,318500000,335700000,351600000,373300000,421700000,460900000,458900000,500300000,515600000
15,EBITDA,- -,- -,- -,- -,803600000,880500000,759700000,651200000,730200000,813400000,1109100000,1119500000,1276800000,1460200000,1700600000,2083800000,1841900000,1363200000,1306400000,1488800000,1732800000,2700700000,3158300000,2895500000,1905100000,1617300000,1548300000,1579100000,1616400000,1707300000,1970500000,2072400000,2395800000,3117400000,3225000000,2328200000,2549500000
16,EBITDA ratio,- -,- -,- -,- -,1.4160,1.4234,1.0936,0.7936,0.8282,0.8403,1.0709,0.9600,0.9301,0.9428,0.9696,0.9896,0.8467,0.6374,0.6250,0.6553,0.6601,0.9014,0.9001,0.6768,0.5031,0.4434,0.4107,0.4690,0.4585,0.4545,0.4798,0.4781,0.5090,0.5971,0.6087,0.4362,0.3944
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2009000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3108
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000
20,Income Before Tax,- -,- -,- -,- -,124900000,139700000,163600000,206500000,234000000,261500000,320500000,387400000,471900000,542700000,616500000,730100000,731900000,669000000,631100000,754500000,887800000,1024200000,1060800000,1275700000,1255200000,989800000,883700000,992300000,1075500000,1190200000,1465000000,1517100000,1633900000,1957800000,1944100000,1627600000,2010100000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.2201,0.2258,0.2355,0.2516,0.2654,0.2701,0.3095,0.3322,0.3438,0.3504,0.3515,0.3467,0.3365,0.3128,0.3019,0.3321,0.3382,0.3418,0.3023,0.2982,0.3315,0.2713,0.2344,0.2947,0.3051,0.3168,0.3567,0.3500,0.3471,0.3750,0.3669,0.3049,0.3109
22,Income Tax expense (Gain),- -,- -,- -,- -,11700000,24300000,36200000,57000000,66100000,79300000,100500000,128600000,162500000,188800000,211500000,245000000,244400000,221900000,207800000,249700000,303400000,358800000,333900000,480900000,391000000,320300000,280100000,305000000,344200000,378400000,491200000,484600000,434900000,401400000,451900000,418300000,464800000
23,Net Income,34100000,52300000,-65100000,109300000,113200000,115400000,127400000,149500000,167900000,182200000,220000000,258800000,309400000,353900000,405000000,485100000,487500000,447100000,404800000,505600000,584400000,665400000,726900000,794800000,864200000,669500000,603600000,687300000,731300000,811800000,973800000,1032500000,1199000000,1556400000,1492200000,1209300000,1545300000
24,Net Income ratio,Infinity,Infinity,-Infinity,Infinity,0.1995,0.1866,0.1834,0.1822,0.1904,0.1882,0.2124,0.2219,0.2254,0.2285,0.2309,0.2304,0.2241,0.2091,0.1936,0.2225,0.2226,0.2221,0.2072,0.1858,0.2282,0.1835,0.1601,0.2041,0.2074,0.2161,0.2371,0.2382,0.2547,0.2981,0.2816,0.2266,0.2390
25,EPS,0.18,0.27,-0.40,0.56,0.52,0.52,0.58,0.66,0.76,0.79,0.94,1.10,1.37,1.57,1.81,2.17,2.18,2.02,1.84,2.30,2.68,3.06,3.31,3.53,3.18,2.74,2.47,2.82,3.01,3.34,4.03,4.35,4.95,6.68,6.66,5.48,7.42
26,EPS Diluted,0.18,0.27,-0.40,0.54,0.51,0.52,0.57,0.66,0.74,0.79,0.93,1.10,1.33,1.52,1.74,2.08,2.11,1.97,1.80,2.27,2.64,3.00,3.24,3.47,3.16,2.74,2.47,2.81,2.99,3.32,3.99,4.32,4.92,6.64,6.63,5.46,7.42
27,Weighted Average Shares Outstanding,170555556,182592593,178000000,181607143,203461538,210000000,209310345,216212121,212631579,220576856,225351668,229296380,221955290,221366976,221673316,220961477,221425584,220552132,220203094,219492478,218101996,217766035,219680628,221446000,235512000,242029000,241401000,240418000,239265000,235830000,232280000,227581000,228258000,223148000,214526000,208319000,207708000
28,Weighted Average Shares Outstanding Diluted,170555556,182592593,178000000,188333333,207450980,210000000,212982456,216212121,218378378,225409500,232275132,230933002,229322312,229734116,229874028,230613311,228971338,225834377,224067844,223135699,221557188,217766035,224315665,225380000,236416000,242503000,241811000,240881000,240555000,237720000,234222000,229151000,229654000,224488000,215603000,209008000,208593000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000095013197001800/0000950131-97-001800-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000095013101500146/0000950131-01-500146-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000119312504040148/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312505049470/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312506052049/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312507042778/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312508041690/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312509040606/0001193125-09-040606-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312510042685/0001193125-10-042685-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312511047592/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312512078391/0001193125-12-078391-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312513076407/0001193125-13-076407-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312514069870/d619551d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312515065963/d802907d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000007312416000324/0000073124-16-000324-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312417000117/0000073124-17-000117-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312418000141/0000073124-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312419000088/0000073124-19-000088-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312420000101/0000073124-20-000101-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312421000071/0000073124-21-000071-index.htm,https://www.sec.gov/Archives/edgar/data/73124/000007312422000071/0000073124-22-000071-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3057200000,2876500000,3352500000,4056600000,5652500000,4333300000,7602900000,9573200000,11039700000,10406400000,13880100000,14186800000,20451600000,25203100000,28773000000,30370000000,29093900000,34460300000,30175900000,35471300000,35365200000,36986200000,36806800000,50609100000,38926000000,43222300000,64265700000,69588400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28643500000,28392800000,29558500000,32317900000,35579800000,33742100000,36888800000,38876300000,19192300000,13626400000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3057200000,2876500000,3352500000,4056600000,5652500000,4333300000,7602900000,9573200000,11039700000,10406400000,13880100000,14186800000,20451600000,25203100000,28773000000,30370000000,29093900000,34460300000,58819400000,63864100000,64923700000,69304100000,72386600000,84351200000,75814800000,82098600000,83458000000,83214800000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323100000,615200000,571400000,608500000,170600000,148900000,317000000,339300000,563100000,709300000,794800000,701300000,778300000,2049100000,1355200000,1568800000,2157000000,1043700000,1647000000,1646100000,845700000,1171600000,1952200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41496000000,52265300000,50658700000,-5695300000,76400000,-26082300000,-31336600000,-29707900000,-27449100000,-23597100000,-34688500000,-21636200000,53188100000,24338600000,35329800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67262200000,81747600000,81823500000,24099900000,35315000000,34786200000,33882700000,36784600000,44012000000,49833200000,51309700000,55824700000,136132400000,108968200000,120496800000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,274700000,281500000,291500000,316400000,340200000,380400000,448100000,488700000,515000000,498300000,465100000,471500000,487200000,491900000,506600000,543500000,504500000,494500000,469900000,458800000,444300000,446900000,466600000,464600000,428200000,483300000,514900000,1019900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401600000,400900000,532000000,537800000,540700000,533200000,526400000,519400000,605600000,669300000,696800000,707200000,706200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425800000,389400000,401600000,400900000,532000000,537800000,540700000,533200000,526400000,519400000,605600000,669300000,696800000,707200000,797800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6593900000,9471300000,9041700000,11109000000,12365200000,8888200000,15570800000,18633400000,21281900000,30999700000,31033500000,30720300000,33734000000,37567400000,44501200000,46791600000,51243100000,51161100000,59813600000,61575300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9456900000,-16160800000,-19260500000,37556700000,32882500000,30636400000,37344800000,38450400000,34196900000,28606500000,39419000000,24047200000,-51645200000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349000000,306000000,318000000,59744000000,64908700000,62677600000,69064600000,73161900000,72737600000,74093700000,87280800000,76387800000,696000000,61035700000,63393000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18561600000,19933500000,21608300000,25315400000,27870000000,28708200000,36022300000,39664500000,39478200000,41450200000,45276700000,53413800000,60712200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231039600000,247282800000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18561600000,19933500000,21608300000,25315400000,27870000000,28708200000,36022300000,39664500000,39478200000,41450200000,45276700000,53413800000,60712200000,67611200000,82053600000,82141500000,83843900000,100223700000,97463800000,102947300000,109946500000,116749600000,123926900000,138590500000,132212500000,136828400000,170003900000,183889800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,957400000,1022600000,3291100000,3023400000,1247300000,1300400000,1577100000,1407400000,1707600000,142300000,145400000,144600000,2976500000,2108500000,736700000,2078300000,347700000,931500000,1847400000,3441000000,3503200000,4953200000,5788000000,9171200000,10664200000,7787400000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15531600000,17106400000,16039900000,19060600000,23256700000,23806600000,30576900000,34005600000,33286400000,36761700000,40495600000,46301400000,50761500000,57392500000,70314300000,70789700000,73344300000,88737500000,83985600000,87611000000,94636800000,99974200000,105286600000,115993200000,107638700000,113951200000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,16489000000,18129000000,19331000000,22084000000,24504000000,25107000000,32154000000,35413000000,34994000000,36904000000,40641000000,46446000000,53738000000,59501000000,71051000000,72868000000,73692000000,89669000000,85833000000,91052000000,98140000000,104927400000,111074600000,125164400000,118302900000,121738600000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,791800000,351600000,732800000,1224500000,1158200000,1159400000,4177600000,8463400000,5224600000,5167900000,4516900000,6014900000,3029800000,3612900000,4622700000,4666400000,4902300000,4536900000,4471800000,5541500000,5074500000,7201100000,8214400000,9275400000,11303000000,10743600000,8601000000,7898100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,400000,200000,267500000,267800000,267600000,-2771600000,-6978400000,-3740600000,-3676900000,-3176900000,-2647900000,200000,-11900000,-9700000,-1705400000,-1580300000,-1099900000,-367800000,-1558500000,-1716500000,-4084800000,-5132500000,-6065500000,-7901700000,-6744800000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,792000000,352000000,733000000,1492000000,1426000000,1427000000,1406000000,1485000000,1484000000,1491000000,1340000000,3367000000,3030000000,3601000000,4613000000,2961000000,3322000000,3437000000,4104000000,3983000000,3358000000,3116300000,3081900000,3209900000,3401300000,3998800000,8601000000,7898100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1466200000,2984400000,- -,- -,2812100000,- -,2968400000,- -,2680100000,- -,6060300000,7202100000,9226200000,5922400000,- -,6874400000,- -,7966300000,- -,- -,- -,- -,- -,- -,166916600000,179771100000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,11800000,10000000,7800000,48100000,44900000,41200000,36900000,31800000,29700000,23000000,14400000,- -,- -,- -,663100000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,17280900000,18480900000,20064200000,23576400000,25929700000,26533500000,33560100000,36891000000,36478400000,38394900000,41981100000,49813000000,56768300000,63102100000,75664200000,75829400000,77013600000,93106400000,89936800000,95035300000,101497600000,108043700000,114156500000,128374300000,121704200000,125737400000,158315600000,171873000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,- -,- -,- -,- -,- -,1501300000,- -,- -,- -,- -,- -,388500000,388500000,882000000,882000000,882000000,1273400000,884900000,884900000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379800000,120000000,379800000,379800000,379800000,379800000,379800000,379800000,379800000,379800000,408600000,408600000,408600000,408600000,408600000,408600000,408600000,408600000,408600000,408600000,408600000,408600000,408600000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,762700000,928800000,1110200000,1330800000,1582900000,1870700000,2200000000,2520100000,2775300000,2990700000,3300600000,3672100000,4131200000,4556200000,5091200000,5576000000,5972100000,6302300000,6702700000,7134800000,7625400000,8242800000,8908400000,9685100000,10776800000,11656700000,12207700000,13117300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,-149000000,-90000000,-495000000,-362000000,-305000000,-346000000,-283000000,-244000000,-320000000,-373000000,-370000000,-414000000,-454000000,-195000000,428000000,-35600000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000000,523800000,433900000,408200000,357400000,- -,142200000,- -,-275300000,-315200000,-384800000,-432100000,-418100000,-336900000,-87900000,689500000,754600000,752400000,698700000,612600000,346400000,39000000,-58600000,-345500000,-1105100000,-2052700000,-2240900000,-2358400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280700000,1452600000,1544100000,1739000000,1940300000,2174700000,2462200000,2773500000,2999800000,3055300000,3295600000,3600800000,3943900000,4509100000,6389400000,6312100000,6830300000,7117300000,7527000000,7912000000,8448900000,8705900000,9770400000,10216200000,10508300000,11091000000,11688300000,12016800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,18561600000,19933500000,21608300000,25315400000,27870000000,28708200000,36022300000,39664500000,39478200000,41450200000,45276700000,53413800000,60712200000,67611200000,82053600000,82141500000,83843900000,100223700000,97463800000,102947300000,109946500000,116749600000,123926900000,138590500000,132212500000,136828400000,170003900000,183889800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,18561600000,19933500000,21608300000,25315400000,27870000000,28708200000,36022300000,39664500000,39478200000,41450200000,45276700000,53413800000,60712200000,67611200000,82053600000,82141500000,83843900000,100223700000,97463800000,102947300000,109946500000,116749600000,123926900000,138590500000,132212500000,136828400000,170003900000,183889800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000095013197001800/0000950131-97-001800-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000095013101500146/0000950131-01-500146-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000119312504040148/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312505049470/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312506052049/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312507042778/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312508041690/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312509040606/0001193125-09-040606-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312510042685/0001193125-10-042685-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312511047592/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312512078391/0001193125-12-078391-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312513076407/0001193125-13-076407-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312514069870/d619551d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312515065963/d802907d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000007312416000324/0000073124-16-000324-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312417000117/0000073124-17-000117-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312418000141/0000073124-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312419000088/0000073124-19-000088-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312420000101/0000073124-20-000101-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312421000071/0000073124-21-000071-index.htm,https://www.sec.gov/Archives/edgar/data/73124/000007312422000071/0000073124-22-000071-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,113200000,115400000,127400000,149500000,167900000,182200000,220000000,258800000,309400000,353900000,405000000,485100000,487500000,447100000,404800000,505600000,584400000,665400000,726900000,794800000,864200000,669500000,603600000,687300000,731300000,811800000,973800000,1032500000,1199000000,1556400000,1492200000,1209300000,1545300000
74,Depreciation and Amortization,- -,- -,- -,- -,16400000,36500000,30600000,34000000,119100000,41400000,42200000,-31100000,-89700000,-108400000,34300000,-88800000,23800000,57700000,186300000,176400000,-84200000,199600000,211400000,220400000,243700000,249500000,265100000,289400000,318500000,335700000,351600000,373300000,421700000,460900000,458900000,500300000,515600000
75,Deferred Income Tax,- -,- -,- -,- -,-9000000,-8600000,7400000,13600000,21400000,22700000,17700000,29500000,38000000,57000000,95300000,88400000,129500000,95600000,87900000,96500000,70900000,83900000,-70300000,-60700000,215800000,12100000,97200000,79700000,66600000,-36400000,-146200000,-175800000,-76100000,10500000,34300000,16400000,2000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,5300000,- -,- -,- -,- -,-16489000000,-1640000000,-1202000000,-2753000000,-2420000000,-603000000,-7047000000,-3259000000,419000000,-1910000000,-3737000000,-5805000000,-7292000000,61499200000,2935400000,-1741100000,-58547600000,-4761900000,3307200000,-6122500000,-4186100000,440000000,-326000000,-12613300000,11376500000,76872000000,-14393800000,-898000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147200000,-86100000,81500000,65300000,-90600000,-179700000,-41900000,-206200000,20900000,-16200000,-129200000,-119300000,-197000000,-50300000,4500000,-460900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,3400000,-1000000,-13800000,7700000,5000000,-10000000,-11200000,-4500000,-8200000,-100000,10700000,28500000,-23600000,-23600000,-7800000
