,https://roic.ai/company/KRC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,39176000,69182000,136284000,159700000,187113000,209645000,202095000,227786000,221399000,241715000,251244000,258472000,289968000,279434000,301980000,367131000,404912000,465098000,521725000,581275000,642572000,719001000,747298000,837454000,898397000,955040000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49709000,85561000,105390000,117004000,140266000,148786000,158697000,172577000,202757000,210783000,246247000,260720000,269581000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229725000,216419000,261741000,287908000,324832000,372939000,422578000,469995000,516244000,536515000,591207000,637677000,685459000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8221,0.7167,0.7129,0.7110,0.6984,0.7148,0.7270,0.7314,0.7180,0.7179,0.7060,0.7098,0.7177
5,Research and Development Exp.,650000,46000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2383000,5027000,7739000,9091000,11114000,12435000,12557000,19140000,34021000,66456000,22800000,36580000,38260000,41535000,28947000,29927000,36188000,39660000,46152000,48265000,57029000,60581000,90471000,95754000,99264000,92749000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2383000,5027000,7739000,9091000,11114000,12435000,12557000,19140000,34021000,66456000,22800000,36580000,38260000,41535000,28947000,29927000,36188000,39660000,46152000,48265000,57029000,60581000,90471000,95754000,99264000,92749000
9,Other Expenses,21118000,27528000,57983000,68229000,80706000,98719000,107482000,108768000,112564000,125824000,136058000,139321000,159926000,112526000,102746000,133864000,163070000,193138000,202475000,204839000,217234000,249155000,259966000,273130000,299308000,310043000
