,https://roic.ai/company/NEON,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,7600000,7600000,2000000,7500000,7600000,7100000,11642000,7595000,2985000,3945000,3939000,5520000,1701000,-2297000,-3690000,-962000,-4698000,-9888000,13565000,7702000,6013000,2983000,1522000,3061000,6214000,8181000,2411000,10440000,6149000,19059000
82,Other Non-Cash Items,- -,-600000,-600000,-900000,-1700000,-1700000,500000,-1900000,-6800000,-100000,5400000,-6600000,4900000,700000,-7142000,4347000,1972000,6337000,-1696000,-2671000,4529000,4568000,11390000,34737000,-5974000,7880000,-463000,18979000,3636000,4509000,1940000,-3044000,-4729000,-3868000,4934000,-7507000,2895000,-5642000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,3400000,500000,4400000,3600000,2400000,-4400000,-2900000,4600000,-1200000,1300000,2294000,-1522000,-2703000,-84000,-140000,-2419000,-2306000,-10678000,-15305000,-1817000,-3195000,-3453000,-3744000,-8801000,-11824000,-8063000,-6252000,-5581000,-2859000,-3517000,-5752000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,-900000,-1100000,-1400000,-1700000,-1000000,-1800000,-400000,-300000,-1000000,-800000,-1320000,-299000,-149000,-172000,-87000,-337000,-216000,-437000,-205000,-27000,-14000,-114000,-310000,-155000,-115000,-198000,-987000,-656000,-236000,-89000,-60000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-4800000,-300000,-1200000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,- -,1600000,-200000,-300000,-182000,-6000,-105000,-916000,-136000,-566000,- -,- -,32000,- -,- -,- -,- -,- -,7000,- -,8000,- -,4000,- -,2000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-900000,-1100000,-6200000,-2000000,-2200000,2400000,-400000,1300000,-1200000,-1100000,-1502000,-305000,-254000,-1088000,-223000,-903000,-216000,-437000,-173000,-27000,-14000,-114000,-310000,-155000,-108000,-198000,-985000,-656000,-232000,-89000,-58000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,- -,- -,-34000,-57000,-116000,-2151000,-551000,-535000,-837000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,100000,300000,400000,- -,300000,1500000,600000,200000,200000,1185000,160000,895000,698000,453000,5105000,37000,213000,9745000,1035000,2421000,10787000,- -,6892000,9253000,5422000,7913000,9079000,4620000,36000,13530000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,-400000,-51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-600000,100000,-100000,-100000,-200000,- -,1000000,-1000000,- -,- -,- -,- -,- -,270000,381000,- -,- -,11575000,4603000,912000,1646000,4743000,223000,1774000,36000,3000,- -,1713000,- -,- -,951000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-600000,200000,200000,300000,- -,300000,2500000,-400000,200000,-200000,1134000,160000,895000,968000,834000,5105000,37000,11788000,14348000,1947000,4067000,15505000,223000,8666000,9255000,5368000,7797000,8641000,4069000,-499000,13611000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,- -,-92000,28000,91000,-12000,8000,-9000,-154000,-166000,-84000,-219000,-93000,315000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-600000,200000,200000,300000,- -,300000,2500000,-400000,200000,-100000,1926000,-1667000,-2062000,-204000,471000,1783000,-2485000,778000,-1130000,11000,883000,12029000,-3843000,-282000,-2686000,-3047000,394000,2320000,759000,-4198000,8116000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,5311000,3644000,1582000,1378000,1849000,3632000,1147000,1147000,17000,28000,911000,12940000,9097000,8815000,6129000,3082000,3476000,5796000,6555000,2357000,10473000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,400000,2300000,1900000,300000,2200000,2600000,900000,- -,5600000,3400000,3385000,5311000,3644000,1582000,1378000,1849000,3632000,369000,1147000,17000,28000,911000,12940000,9097000,8815000,6129000,3082000,3476000,5796000,6555000,2357000,10473000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,2500000,-600000,3000000,1900000,1400000,-6200000,-3300000,4300000,-2200000,500000,974000,-1821000,-2852000,-256000,-227000,-2756000,-2522000,-11115000,-15510000,-1844000,-3209000,-3567000,-4054000,-8956000,-11939000,-8261000,-7239000,-6237000,-3095000,-3606000,-5812000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87050/000114420409020511/0001144204-09-020511-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390010001087/0001213900-10-001087-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390011001667/0001213900-11-001667-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390012001451/0001213900-12-001451-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390013001080/0001213900-13-001080-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390014001283/0001213900-14-001283-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390015001687/0001213900-15-001687-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390016011504/0001213900-16-011504-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390017002322/0001213900-17-002322-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390018002697/0001213900-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390019003713/0001213900-19-003713-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390020005949/0001213900-20-005949-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390021014481/0001213900-21-014481-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390022011462/0001213900-22-011462-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
