,https://roic.ai/company/NEON,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.1379,0.1159,0.1034,0.0791,0.0645,0.0928,0.0887,0.1317,0.1236,0.0628,-0.3093,-0.5746,0.1000,0.0158,- -,0.1340,-1.3099,-0.6863,0.0711,-0.1522,-0.5264,-2.6470,-3.7870,-2.9339,-Infinity,-20.5068,-0.3369,-1.2837,-3.4896,-2.9939,-0.6924,-0.5037,-0.5347,-0.4541,-0.8622,-1.0346,-1.2178
19,Total Other Income Expenses (Gains),- -,100000,100000,100000,-100000,-500000,500000,- -,100000,500000,400000,-300000,-1900000,900000,100000,- -,185000,225000,2826000,16000,5000,16000,42000,-36580000,15782000,-1764000,-22558000,-15023000,- -,- -,-30000,-46000,-138000,-75000,-52000,-34000,-32000,-15000
20,Income Before Tax,- -,900000,900000,1000000,1000000,700000,2300000,1800000,3800000,3800000,1800000,-6300000,- -,3400000,- -,- -,4096000,-9895000,-1908000,546000,-1679000,-4225000,-16176000,-48441000,- -,- -,-31581000,-17067000,-9162000,-12971000,-14221000,-7742000,-5282000,-5551000,-3929000,-5764000,-6223000,-7122000
21,Income Before Tax Ratio,- -,0.1552,0.1304,0.1149,0.0719,0.0376,0.1186,0.0887,0.1352,0.1423,0.0807,-0.3247,- -,0.1360,- -,- -,0.1404,-1.2807,-0.2766,0.0732,-0.1517,-0.5245,-2.6401,-15.4665,- -,- -,-71.7750,-2.8131,-1.2837,-3.4896,-3.0002,-0.6965,-0.5172,-0.5420,-0.4602,-0.8673,-1.0399,-1.2204
22,Income Tax expense (Gain),- -,400000,400000,400000,100000,100000,400000,500000,1200000,1300000,500000,-1700000,- -,100000,- -,- -,126000,1000,-177000,-17000,- -,5000,7000,- -,- -,- -,45000,78000,125000,109000,13000,93000,367000,-56000,13000,38000,59000,146000
23,Net Income,- -,500000,500000,600000,900000,600000,1900000,1300000,2600000,2500000,1300000,-4600000,-9600000,3300000,400000,200000,3970000,-9896000,-1731000,563000,-1679000,-4230000,-16183000,-48441000,-5934000,-11305000,-31626000,-17145000,-9287000,-13080000,-14234000,-7820000,-5291000,-4705000,-3060000,-5298000,-5605000,-7268000
24,Net Income ratio,- -,0.0862,0.0725,0.0690,0.0647,0.0323,0.0979,0.0640,0.0925,0.0936,0.0583,-0.2371,-0.7164,0.1320,0.0211,0.0111,0.1361,-1.2809,-0.2509,0.0755,-0.1517,-0.5251,-2.6413,-15.4665,-0.8149,-Infinity,-71.8773,-2.8259,-1.3012,-3.5190,-3.0030,-0.7036,-0.5181,-0.4594,-0.3584,-0.7972,-0.9367,-1.2454
25,EPS,- -,375.00,375.00,375.00,625.00,375.00,1337.50,912.50,1550.00,1475.00,787.50,-2775.00,-5637.50,1500.00,175.00,62.50,1550.00,-3650.00,-575.00,162.50,-412.50,-825.00,-1962.50,-787.50,-52.50,-12.50,-17.30,-6.40,-2.80,-3.70,-3.60,-1.90,-1.20,-0.90,-0.52,-0.60,-0.56,-0.54
26,EPS Diluted,- -,375.00,375.00,375.00,625.00,375.00,1337.50,912.50,1550.00,1475.00,787.50,-2775.00,-5637.50,1500.00,162.50,62.50,1300.00,-3650.00,-575.00,150.00,-412.50,-825.00,-1962.50,-787.50,-52.50,-12.50,-17.30,-6.40,-2.80,-3.70,-3.60,-1.90,-1.20,-0.90,-0.52,-0.60,-0.56,-0.54
27,Weighted Average Shares Outstanding,- -,1333,1333,1600,1440,1600,1421,1425,1677,1695,1651,1643,1705,2224,2133,2279,2566,2712,3007,3407,4017,5151,8243,61600,112656,990204,1829300,2678400,3300300,3526600,3953200,4120200,4569000,5288900,5884000,8844000,9989000,11907000
