,https://roic.ai/company/SVC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23642000,82629000,114132000,174961000,237218000,263023000,303877000,348706000,552801000,645368000,834412000,1039415000,1280560000,1252674000,1037247000,1085488000,1210333000,1296982000,1563855000,1736322000,1921904000,2047211000,2171935000,2294536000,2316148000,1265254000,1495580000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,659711000,620008000,460869000,477595000,596616000,700939000,929581000,1035138000,1143981000,1202538000,1279547000,1392355000,1410927000,697904000,1010737000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620849000,632666000,576378000,607893000,613717000,596043000,634274000,701184000,777923000,844673000,892388000,902181000,905221000,567350000,484843000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4848,0.5051,0.5557,0.5600,0.5071,0.4596,0.4056,0.4038,0.4048,0.4126,0.4109,0.3932,0.3908,0.4484,0.3242
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1410000,4921000,6783000,10471000,13230000,14767000,14839000,15491000,16800000,19386000,23296000,26187000,37223000,37751000,39660000,38961000,40963000,44032000,50087000,45897000,109837000,99105000,125402000,104862000,54639000,50668000,53439000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1410000,4921000,6783000,10471000,13230000,14767000,14839000,15491000,16800000,19386000,23296000,26187000,37223000,37751000,39660000,38961000,40963000,44032000,50087000,45897000,109837000,99105000,125402000,104862000,54639000,50668000,53439000
9,Other Expenses,10883000,20398000,32662000,54757000,74707000,84303000,115770000,146989000,253252000,448701000,608650000,762738000,213977000,312004000,245868000,238089000,228342000,260831000,299323000,315878000,329776000,357342000,386659000,403077000,436805000,514116000,501623000
