,https://roic.ai/company/STLD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2409577000,-1704529000,-346963000,-7740000,-1258842000,-517978000,-635578000,-612534000,-728993000,-609914000,-455491000,-1264152000,-2177527000,-1522002000
91,Common Stock Issued,15300000,211400000,30300000,200000,900000,495000,2003000,5001000,15507000,27899000,15401000,28503000,29446000,18422000,420930000,14014000,13396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1200000,-18400000,- -,-26876000,- -,-43000,- -,-55179000,-186764000,-247411000,-533654000,-501777000,- -,- -,- -,- -,- -,- -,- -,-25034000,-252242000,-523569000,-348608000,-106529000,-1060632000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7452000,-18276000,-37545000,-55642000,-71288000,-68672000,-64969000,-81882000,-87633000,-94812000,-105379000,-127569000,-135767000,-145565000,-168913000,-200271000,-209248000,-212968000
94,Other Financing Activites,187300000,-26000000,11600000,262900000,22000000,26557000,89391000,-40217000,43443000,-160292000,-9893000,32769000,1377389000,2845900000,1273435000,555194000,29956000,1077538000,472699000,1836859000,216916000,464369000,594386000,427106000,1546401000,2486256000,1466133000
95,Cash Used/Provided by Financing Activities,202600000,185400000,40700000,244700000,22900000,176000,91394000,-35259000,58950000,-195024000,-199532000,-223684000,817539000,-118320000,-78836000,157276000,-46270000,-268937000,-140091000,1095902000,-523187000,-425425000,-413335000,-720867000,-266630000,-7048000,-1329469000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,202600000,185400000,40700000,244700000,11400000,-6431000,68057000,-54023000,41212000,-49096000,49184000,-36145000,-887000,-12253000,-7225000,177505000,204248000,-14844000,19239000,-33793000,365669000,114451000,187166000,-200662000,552974000,-13275000,-124753000
98,Cash at the End of Period,- -,- -,- -,- -,16600000,10184000,78241000,24218000,65430000,16334000,65518000,29373000,28486000,16233000,9008000,186513000,390761000,375917000,395156000,361363000,727032000,841483000,1028649000,834423000,1387397000,1374122000,1249369000
99,Cash at the Beginning of Period,28100000,6900000,57500000,8600000,5200000,16615000,10184000,78241000,24218000,65430000,16334000,65518000,29373000,28486000,16233000,9008000,186513000,390761000,375917000,395156000,361363000,727032000,841483000,1035085000,834423000,1387397000,1374122000
100,Free Cash Flow,-243400000,-135300000,-89500000,-245200000,-11900000,-7587000,-23341000,-27578000,-9663000,145873000,247370000,276334000,33005000,362804000,115504000,35913000,319348000,222169000,125332000,505787000,923982000,654609000,574671000,1176079000,944345000,-211023000,1197897000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022671/000095012303003465/0000950123-03-003465-index.html,https://www.sec.gov/Archives/edgar/data/1022671/000112528204001009/0001125282-04-001009-index.html,https://www.sec.gov/Archives/edgar/data/1022671/000112528205001122/0001125282-05-001122-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465906015390/0001104659-06-015390-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465907013867/0001104659-07-013867-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746908001824/0001047469-08-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746909001996/0001047469-09-001996-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746910001104/0001047469-10-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/0001047469-11-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746912001586/0001047469-12-001586-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746913001827/0001047469-13-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746914001662/0001047469-14-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746915001486/0001047469-15-001486-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/0001047469-16-010496-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420417011732/0001144204-17-011732-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420418011155/0001144204-18-011155-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420419010579/0001144204-19-010579-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837020001641/0001558370-20-001641-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837021002129/0001558370-21-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837022002377/0001558370-22-002377-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
