,https://roic.ai/company/STLD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,14500000,33200000,48500000,51300000,81700000,98749000,58132000,61731000,77364000,96581000,91974000,170878000,224540000,376019000,276565000,298108000,346698000,320483000,332311000,385891000,376002000,474059000,515133000,600405000,544104000,568177000,1061319000
11,COGS and Expenses,16800000,234400000,354900000,449600000,530000000,587220000,581059000,700591000,904628000,1638004000,1791691000,2579673000,3693395000,7225281000,3836295000,5923329000,7412680000,6890819000,6986091000,8175632000,7238695000,6916304000,8471916000,10099430000,9478111000,8734931000,14107745000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4600000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144574000,141360000,170229000,176977000,158585000,127728000,137263000,153950000,146037000,134399000,126620000,127104000,94877000,57209000
14,Depreciation and Amortization,900000,19400000,24100000,30700000,39300000,45443000,46794000,59443000,69110000,84749000,91865000,114812000,138136000,208752000,221426000,224698000,222607000,225216000,230928000,263325000,294595000,296109000,298999000,317198000,321082000,325789000,347653000
15,EBITDA,-19000000,9500000,75900000,83300000,104500000,129928000,51906000,185996000,144547000,559782000,452491000,746367000,768374000,1097139000,347384000,619496000,836331000,609137000,647284000,630765000,221287000,1028388000,1375578000,2066166000,1316726000,1106138000,4581184000
16,EBITDA ratio,-190.0000,0.0376,0.1807,0.1618,0.1689,0.1876,0.0855,0.2152,0.1464,0.2610,0.2071,0.2304,0.1752,0.1358,0.0877,0.0983,0.1046,0.0836,0.0878,0.0720,0.0291,0.1322,0.1442,0.1748,0.1258,0.1152,0.2489
17,Operating Income,-16700000,18200000,65200000,65200000,88800000,105403000,25925000,163902000,96607000,506909000,393175000,659114000,691154000,855240000,119531000,364753000,584820000,391165000,386525000,320320000,-72784000,727966000,1066881000,1722409000,986880000,847142000,4301105000
18,Operating Income ratio,-167.0000,0.0721,0.1552,0.1267,0.1435,0.1522,0.0427,0.1896,0.0979,0.2363,0.1800,0.2035,0.1576,0.1058,0.0302,0.0579,0.0731,0.0537,0.0524,0.0366,-0.0096,0.0936,0.1118,0.1457,0.0943,0.0882,0.2336
19,Total Other Income Expenses (Gains),-2600000,1900000,-5800000,-12600000,-23600000,-20918000,-20813000,-33890000,-21170000,-31876000,-32549000,-27559000,-60916000,-111427000,-137768000,-151294000,-160501000,-187099000,-123695000,-155517000,-169333000,-163833000,-131646000,-102635000,-111543000,-141664000,-92035000
