,https://roic.ai/company/STWD,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,8068000,9669000,5659000,77859000,44605000,22056000,30627000,37799000,100787000,296757000,436589000,-79606651000,576271000
70,Total Liabilities & Equity,1108786000,2101405000,2997447000,4324373000,110770575000,116099297000,85738138000,77256266000,62941289000,68262453000,78042336000,893180000,83850397000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1465128/000095012310022138/0000950123-10-022138-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000104746911001633/a2202357z10-k.htm,https://www.sec.gov/Archives/edgar/data/1465128/000104746912001837/0001047469-12-001837-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000104746913001746/0001047469-13-001746-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000104746914001344/a2218482z10-k.htm,https://www.sec.gov/Archives/edgar/data/1465128/000104746915001147/a2222886z10-k.htm,https://www.sec.gov/Archives/edgar/data/1465128/000155837016003494/0001558370-16-003494-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837017000816/0001558370-17-000816-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837018001216/0001558370-18-001216-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837019001256/0001558370-19-001256-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837020001281/0001558370-20-001281-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837021001712/0001558370-21-001712-index.htm,https://www.sec.gov/Archives/edgar/data/1465128/000162828022003917/0001628280-22-003917-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-3017000,57046000,119377000,201195000,305030000,495021000,450697000,365186000,400770000,385830000,509664000,331689000,447739000
74,Depreciation and Amortization,- -,- -,- -,- -,14925000,16622000,27232000,61571000,90896000,130838000,113394000,94154000,84591000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2421000,7522000,13743000,16163000,19096000,39745000,49525000,50468000,37750000,43550000,48070000,31241000,39287000
77,Change in Working Capital,6397000,-90000000,2441626000,579479000,-100315653000,-8825104000,31222184000,9955510000,15154064000,-2333064000,-8445759000,61063089000,-87312000
78,Accounts Receivable,- -,-7712000,-10982000,-7554000,-32387000,-52514000,-65972000,-76071000,-94077000,-62261000,-114156000,-175287000,-136772000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,35398000,-40951000,-27358000,-6741000,22702000,25155000,-5458000,-372000,40696000
81,Other Working Capital,-50000000,-140000000,2301626000,2881105000,-97434548000,-106259652000,-75037468000,-65081958000,-49927894000,-52260958000,-60706717000,356372000,- -
82,Other Non-Cash Items,-208000,-74239000,-2495342000,-531255000,100302916000,8494425000,-31137132000,-9876105000,-15930319000,2358316000,7761432000,-60474625000,-1474280000
83,Cash Provided by Operating Activities,5593000,-99671000,79404000,265582000,326314000,220709000,612506000,556630000,-246839000,585470000,-13199000,1045548000,-989975000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-586383000,- -,-555051000,-849950000,-17639000,-2158553000,- -,- -,- -
86,Purchases of Investments,-245980000,-219537000,-365643000,-642136000,-527794000,-392393000,-241508000,-399309000,-171098000,-525081000,-159148000,-100342000,-261666000
87,Sales/Maturities of Investments,58000,99138000,591482000,362102000,546082000,161970000,471863000,213401000,275979000,419874000,251742000,118459000,145660000
88,Other Investing Activites,-214331000,-1045313000,-1227897000,-908631000,-2259507000,-1484407000,-76099000,223036000,-1123802000,-257049000,-868462000,-929922000,-4165648000
89,Cash Used for Investing Activites,-460253000,-1165712000,-1002058000,-1188665000,-2827602000,-1714830000,-400795000,-812822000,-1036560000,-2520809000,-775868000,-911805000,-4281654000
90,Debt Repayment,-185000,-69440000,-1080171000,- -,-4065624000,-3556072000,-4799897000,-5549153000,-4723717000,-6771063000,-9044240000,-6660126000,-12696606000
91,Common Stock Issued,- -,453790000,476740000,875737000,1513519000,600998000,326428000,449230000,702000,608000,767000,1098000,394086000
92,Common Stock Repurchased,- -,- -,-10642000,- -,- -,-12993000,-48746000,-19723000,- -,-12090000,- -,-33828000,- -
93,Dividends Paid,- -,-44250000,-142854000,-186102000,-300973000,-401661000,-446847000,-458351000,-501663000,-509966000,-538424000,-546885000,-553930000
94,Other Financing Activites,1099973000,507008000,1566754000,297092000,5493240000,4807241000,4875479000,6083484000,6272362000,9297235000,10458618000,7253024000,17729553000
95,Cash Used/Provided by Financing Activities,1099788000,847108000,809827000,986727000,2640162000,1437513000,-93583000,505487000,1047684000,2004724000,876721000,13283000,4873103000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1082000,-5832000,-4500000,-2588000,3233000,207000,-1488000,1105000,-1722000
97,Net Change In Cash,645128000,-418275000,-112827000,63644000,139956000,-62440000,113628000,246707000,-232482000,69592000,86166000,148131000,-400248000
98,Cash at the End of Period,645129000,226854000,114027000,177671000,317627000,255187000,368815000,615522000,418273000,487865000,574031000,722162000,321914000
99,Cash at the Beginning of Period,1000,645129000,226854000,114027000,177671000,317627000,255187000,368815000,650755000,418273000,487865000,574031000,722162000
100,Free Cash Flow,5593000,-99671000,79404000,265582000,326314000,220709000,612506000,556630000,-246839000,585470000,-13199000,1045548000,-989975000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1465128/000095012310022138/0000950123-10-022138-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000104746911001633/a2202357z10-k.htm,https://www.sec.gov/Archives/edgar/data/1465128/000104746912001837/0001047469-12-001837-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000104746913001746/0001047469-13-001746-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000104746914001344/a2218482z10-k.htm,https://www.sec.gov/Archives/edgar/data/1465128/000104746915001147/a2222886z10-k.htm,https://www.sec.gov/Archives/edgar/data/1465128/000155837016003494/0001558370-16-003494-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837017000816/0001558370-17-000816-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837018001216/0001558370-18-001216-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837019001256/0001558370-19-001256-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837020001281/0001558370-20-001281-index.html,https://www.sec.gov/Archives/edgar/data/1465128/000155837021001712/0001558370-21-001712-index.htm,https://www.sec.gov/Archives/edgar/data/1465128/000162828022003917/0001628280-22-003917-index.htm
102,false,,,,,,,,,,,,,
