,https://roic.ai/company/JRVR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),226000,130000,222000,1122000,-6999000,-8448000,-8974000,-11553000,-10596000,4545000,- -
20,Income Before Tax,46168000,7767000,77078000,45624000,59776000,79343000,55145000,70838000,51867000,11937000,-196034000
21,Income Before Tax Ratio,0.1135,0.0186,0.1995,0.1039,0.1287,0.1508,0.0727,0.0854,0.0622,0.0179,-0.2536
22,Income Tax expense (Gain),7695000,-897000,9741000,939000,6279000,4872000,8179000,7008000,13528000,7113000,-23235000
23,Net Income,38473000,8664000,67337000,44685000,53497000,74471000,43566000,63830000,38339000,4824000,-172799000
24,Net Income ratio,0.0946,0.0207,0.1743,0.1018,0.1151,0.1416,0.0574,0.0769,0.0459,0.0072,-0.2236
25,EPS,1.35,0.30,2.36,1.57,1.87,2.56,1.48,2.14,1.27,0.16,-5.26
26,EPS Diluted,1.33,0.30,2.36,1.55,1.82,2.49,1.44,2.11,1.25,0.16,-5.26
27,Weighted Average Shares Outstanding,28540350,28540350,28540350,28540350,28662051,29063075,29461717,29887990,30275184,30552210,37278469
28,Weighted Average Shares Outstanding Diluted,28540350,28540350,28540350,28810301,29334918,29894378,30273149,30307101,30673924,30884416,37278469
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1620459/000157104915001874/0001571049-15-001874-index.htm,https://www.sec.gov/Archives/edgar/data/1620459/000157104916012907/0001571049-16-012907-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000157104917002295/0001571049-17-002295-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162828018002654/0001628280-18-002654-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045919000052/0001620459-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045920000061/0001620459-20-000061-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045921000053/0001620459-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1620459/000162045922000015/0001620459-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,95794000,158604000,73383000,106406000,109784000,163495000,172457000,206912000,162260000,190123000
32,Short-Term Investments,- -,869584000,734636000,888819000,- -,- -,- -,- -,- -,1913931000,1814124000
33,Cash and Short-Term Investments,- -,965378000,893240000,962202000,106406000,109784000,163495000,172457000,206912000,2076191000,2004247000
34,Net Receivables,- -,430143000,257332000,295704000,- -,- -,- -,- -,- -,1225812000,1828167000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,108068000,84265000,106027000,899660000,941077000,45185000,93076000,2254224000,-461358000,-1025049000
37,Total Current Assets,- -,1503589000,1234837000,1363933000,1006066000,1050861000,208680000,265533000,2461136000,2840645000,2807365000
38,PP&E,- -,26610000,25565000,24977000,- -,- -,- -,- -,- -,1288000,781000
39,Goodwill,- -,181831000,181831000,181831000,- -,- -,- -,- -,- -,181831000,181831000
40,Intangible Assets,- -,43192000,40722000,40125000,39528000,38931000,38334000,37537000,36940000,36402000,36039000
41,Intangible Assets,- -,225023000,222553000,221956000,39528000,38931000,38334000,37537000,36940000,218233000,217870000
42,Investments,- -,270159000,323838000,348426000,- -,- -,- -,- -,- -,2002906000,1922534000
43,Tax Assets,- -,- -,- -,- -,- -,2902000,5247000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1009903000,1253839000,2504434000,2833706000,2526329000,- -,- -
45,Total Non-Current Assets,- -,521792000,571956000,595359000,1049431000,1295672000,2548015000,2871243000,2563269000,2222427000,2141185000
46,Other Assets,- -,2547173000,2378749000,2554651000,- -,- -,- -,- -,- -,7285499000,7089735000
47,Total Assets,- -,2025381000,1806793000,1959292000,2055497000,2346533000,2756695000,3136776000,5024405000,5063072000,4948550000
48,Accounts Payable,- -,79097000,29364000,19272000,- -,- -,- -,- -,- -,110431000,135617000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1915000,1483000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,301104000,390563000,418114000,386473000,524377000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,881000000,1070394000,1441527000,1818707000,3459092000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,1182104000,1460957000,1859641000,2205180000,3983469000,- -,- -
54,Long-Term Debt,- -,139055000,162055000,192355000,192355000,192355000,202355000,222355000,262355000,366355000,366355000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6038000,- -,- -,21449000,2902000,5247000,- -,1483000,1105000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-21449000,-2902000,-5247000,- -,-1483000,- -,- -
58,Total Non-Current Liabilities,- -,145093000,162055000,192355000,192355000,192355000,202355000,222355000,262355000,367460000,366355000
59,Other Liabilities,- -,1386434000,1267358000,1463726000,- -,- -,- -,- -,- -,4634924000,4589543000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1241341000,1105303000,1271371000,1374459000,1653312000,2061996000,2427535000,4245824000,4267464000,4223188000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7000,6000,6000,6000,6000,6000,6000,6000,6000,7000
64,Retained Earnings,- -,-701000,66636000,41323000,47026000,55232000,48198000,79753000,89586000,49227000,-166663000
65,Other Comprehensive Income/Loss,- -,46446000,7201000,18356000,3186000,1127000,10346000,-15828000,31114000,81899000,29978000
66,Other Total Stockholders Equity,- -,738020000,627647000,628236000,630820000,636856000,636149000,645310000,657875000,664476000,862040000
67,Total Stockholders Equity,- -,783772000,701490000,687921000,681038000,693221000,694699000,709241000,778581000,795608000,725362000
68,Total Liabilities And Stockholders Equity,- -,2025113000,1806793000,1959292000,2055497000,2346533000,2756695000,3136776000,5024405000,5063072000,4948550000
69,Minority Interest,- -,268000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2025381000,1806793000,1959292000,2055497000,2346533000,2756695000,3136776000,5024405000,5063072000,4948550000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1620459/000157104915001874/0001571049-15-001874-index.htm,https://www.sec.gov/Archives/edgar/data/1620459/000157104916012907/0001571049-16-012907-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000157104917002295/0001571049-17-002295-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162828018002654/0001628280-18-002654-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045919000052/0001620459-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045920000061/0001620459-20-000061-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045921000053/0001620459-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1620459/000162045922000015/0001620459-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,38473000,8664000,67337000,44685000,53497000,74471000,43566000,63830000,38339000,4824000,-172799000
74,Depreciation and Amortization,1691000,3186000,3567000,2760000,2004000,2414000,2123000,4215000,4063000,5019000,4715000
75,Deferred Income Tax,4418000,-3732000,2481000,-3761000,922000,5093000,-364000,-5859000,-4925000,-4421000,-20400000
76,Stock Based Compensation,1962000,1012000,647000,589000,3735000,5492000,7688000,6228000,7178000,7625000,6658000
77,Change in Working Capital,74976000,-1285000,- -,- -,-176038000,-234058000,-1240865000,-288686000,417314000,1522333000,-711891000
78,Accounts Receivable,-78556000,-110737000,114985000,-26638000,-14158000,-88630000,-87121000,44537000,-61563000,-115000,-46865000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3934000,20490000,-22126000,-4090000,4170000,-950000,445000,-2029000,263000,-396000,2286000
81,Other Working Capital,1285000,- -,- -,- -,-176038000,-410096000,-1650961000,-1939647000,-1522333000,- -,-558326000
82,Other Non-Cash Items,-46611000,41547000,31606000,86120000,232271000,297746000,1395668000,510300000,1027053000,-1809210000,-19829000
83,Cash Provided by Operating Activities,74909000,49392000,105638000,130393000,116391000,151158000,207816000,290028000,1489022000,-273830000,-913546000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6303000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-302403000,-308208000,-259024000,-237222000,-464350000,-337754000,-284467000,-477673000,-530727000,-592132000,-403050000
87,Sales/Maturities of Investments,384119000,218848000,330165000,101958000,391931000,267172000,217233000,231431000,271585000,328115000,444828000
88,Other Investing Activites,-51512000,-12137000,-24386000,-39613000,38256000,-10182000,-37507000,-20530000,-4217000,88026000,348000
89,Cash Used for Investing Activites,30204000,-101497000,46755000,-174877000,-34163000,-80764000,-104741000,-266772000,-263359000,-175991000,35823000
90,Debt Repayment,-565000,- -,-20645000,- -,-10000000,- -,- -,- -,-20000000,-60000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,5172000,- -,- -,192107000
92,Common Stock Repurchased,- -,- -,-110760000,- -,-6461000,-4907000,-9448000,-2239000,-2899000,-3604000,-3077000
93,Dividends Paid,- -,- -,- -,-69998000,-47405000,-65988000,-50832000,-36123000,-36720000,-37051000,-43236000
94,Other Financing Activites,- -,-1977000,41822000,29261000,14661000,3879000,10916000,18896000,67575000,166580000,1877000
95,Cash Used/Provided by Financing Activities,-565000,-1977000,-89583000,-40737000,-49205000,-67016000,-49364000,-14294000,7956000,65925000,147671000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,104548000,-54082000,62810000,-85221000,33023000,3378000,53711000,8962000,1233619000,-383896000,-730052000
98,Cash at the End of Period,149876000,95794000,158604000,73383000,106406000,109784000,163495000,172457000,1406076000,1022180000,292128000
99,Cash at the Beginning of Period,45328000,149876000,95794000,158604000,73383000,106406000,109784000,163495000,172457000,1406076000,1022180000
100,Free Cash Flow,74909000,49392000,105638000,130393000,116391000,151158000,207816000,290028000,1489022000,-273830000,-919849000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1620459/000157104915001874/0001571049-15-001874-index.htm,https://www.sec.gov/Archives/edgar/data/1620459/000157104916012907/0001571049-16-012907-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000157104917002295/0001571049-17-002295-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162828018002654/0001628280-18-002654-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045919000052/0001620459-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045920000061/0001620459-20-000061-index.html,https://www.sec.gov/Archives/edgar/data/1620459/000162045921000053/0001620459-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1620459/000162045922000015/0001620459-22-000015-index.htm
102,false,,,,,,,,,,,
