,https://roic.ai/company/NSR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,429172000,488845000,480385000,526812000,620455000,831388000,902041000,963588000,1049958000,1209847000,- -,- -,17377000,26766000,27152000
2,COGS,94948000,105589000,113260000,121712000,137992000,185965000,212572000,247115000,286236000,369104000,- -,- -,17261000,22233000,18243000
3,Gross Profit,334224000,383256000,367125000,405100000,482463000,645423000,689469000,716473000,763722000,840743000,- -,- -,116000,4533000,8909000
4,Gross Profit Ratio,0.7788,0.7840,0.7642,0.7690,0.7776,0.7763,0.7643,0.7435,0.7274,0.6949,- -,- -,0.0067,0.1694,0.3281
5,Research and Development Exp.,27381000,27527000,16160000,13993000,17509000,29794000,27993000,27739000,25677000,28159000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,-22200000,-15775000,-27397000,-21625000,-13538000,-81932000,-84087000,-93172000,-87644000,-103869000,- -,- -,2448000,28942000,8508000
7,Selling and Marketing Exp.,70833000,74182000,83371000,90609000,109855000,163729000,178017000,198142000,206292000,215563000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",48633000,58407000,55974000,68984000,96317000,81797000,93930000,104970000,118648000,111694000,- -,- -,2448000,28942000,8508000
9,Other Expenses,70833000,74182000,83371000,98787000,116134000,197884000,212544000,224360000,239870000,284478000,- -,- -,- -,- -,- -
10,Operating Expenses,146847000,160116000,155505000,181764000,229960000,309475000,334467000,357069000,384195000,424331000,- -,- -,2448000,28942000,8508000
11,COGS and Expenses,241795000,265705000,268765000,351291000,411431000,554729000,612747000,702272000,763402000,917825000,- -,- -,19709000,51175000,26751000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1694000,16237000,6071000,- -,4831000,34200000,23907000,24864000,28209000,61155000,- -,- -,- -,787000,2396000
14,Depreciation and Amortization,37731000,40582000,38040000,40349000,50576000,97563000,103753000,121170000,127071000,181746000,- -,- -,2591000,7869000,13067000
15,EBITDA,192536000,122800000,213117000,215284000,297367000,374863000,382784000,381577000,408810000,466348000,- -,- -,4549000,-12806000,14021000
16,EBITDA ratio,0.4486,0.2512,0.4436,0.4087,0.4793,0.4509,0.4244,0.3960,0.3894,0.3855,- -,- -,0.2618,-0.4784,0.5164
17,Operating Income,149646000,69106000,167558000,175521000,209024000,276659000,289294000,261316000,286556000,292022000,- -,- -,1958000,-18955000,84000
18,Operating Income ratio,0.3487,0.1414,0.3488,0.3332,0.3369,0.3328,0.3207,0.2712,0.2729,0.2414,- -,- -,0.1127,-0.7082,0.0031
19,Total Other Income Expenses (Gains),3465000,-3125000,1448000,-586000,32936000,-33559000,-34170000,-25773000,-33026000,-68575000,- -,- -,- -,-2507000,-1309000
20,Income Before Tax,153111000,65981000,169006000,174935000,241960000,243100000,255124000,235543000,253530000,223447000,- -,- -,1958000,-21462000,-1225000
21,Income Before Tax Ratio,0.3568,0.1350,0.3518,0.3321,0.3900,0.2924,0.2828,0.2444,0.2415,0.1847,- -,- -,0.1127,-0.8018,-0.0451
22,Income Tax expense (Gain),60776000,61687000,67865000,68726000,81137000,87013000,92372000,71849000,78068000,54801000,- -,- -,- -,-41573000,234000
