,https://roic.ai/company/HALL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,200000,100000,100000,100000,100000,40361,42483,518144,745573,625770,1137787,1021000,983000,1271000,64000,1264000,15423000,3914000,4745000,4602000,4598000,4631000,4634000,4599000,4576000,3906000,4549000,4512000,4545000,5410000,5326000,4993000
14,Depreciation and Amortization,- -,100000,400000,400000,400000,300000,305491,282178,424704,369331,314385,304773,296000,195000,621000,450000,413000,3214000,3119000,3219000,4105000,4751000,5064000,4421000,4300000,3224000,3516000,3894000,4715000,5141000,5365000,5754000,- -
15,EBITDA,-400000,-600000,1300000,-500000,900000,1100000,1791410,1933905,42064,1008888,2227343,1180846,-357000,-480000,10662000,9116000,15145000,32962000,48134000,29038000,41912000,17508000,-10042000,12105000,19979000,26582000,39308000,16921000,-7345000,22489000,9743000,-103082000,16488000
16,EBITDA ratio,-2.0000,-0.1875,0.1287,-0.0357,0.0750,0.0924,0.1299,0.1253,0.0027,0.0608,0.1160,0.0494,-0.0162,-0.0186,0.1533,0.1444,0.1740,0.1626,0.1754,0.1081,0.1460,0.0570,-0.0311,0.0354,0.0513,0.0788,0.1056,0.0450,-0.0191,0.0593,0.0200,-0.2153,0.0407
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,876073,- -,- -,1957000,- -,14732000,29748000,- -,- -,- -,- -,- -,- -,11080000,- -,- -,- -,- -,- -,- -,352479000,11495000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0367,- -,- -,0.0281,- -,0.1693,0.1467,- -,- -,- -,- -,- -,- -,0.0285,- -,- -,- -,- -,- -,- -,0.7363,0.0284
19,Total Other Income Expenses (Gains),200000,1100000,2300000,2000000,2500000,2600000,2210156,2005106,2576717,3722014,4431549,-1137787,4583000,5053000,-1271000,29317000,-1264000,-15423000,33429000,14000,64000,59000,216000,316000,- -,47000,684000,205000,269000,101000,56000,-466641000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,1445558,1609244,-1192855,-106016,1287188,-261714,-1674000,36000,686000,8602000,13468000,14325000,41101000,21124000,33257000,8264000,-19679000,3374000,11080000,18782000,31886000,8478000,-16572000,12803000,-1032000,-114162000,11495000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.1048,0.1043,-0.0754,-0.0064,0.0670,-0.0110,-0.0761,0.0014,0.0099,0.1363,0.1547,0.0707,0.1497,0.0786,0.1159,0.0269,-0.0610,0.0099,0.0285,0.0557,0.0856,0.0226,-0.0430,0.0338,-0.0021,-0.2385,0.0284
22,Income Tax expense (Gain),- -,- -,200000,- -,- -,100000,190801,559477,-360533,-59430,499878,-28344,-544000,13000,25000,2753000,4282000,5134000,13672000,8175000,8630000,825000,-8916000,-474000,2835000,5353000,10023000,1952000,-5019000,2456000,-407000,-22507000,2491000
23,Net Income,-400000,-900000,600000,-1000000,400000,600000,1254757,1049767,-540251,-46586,787310,-233370,-1130000,-1671000,8745000,5849000,9186000,9191000,27429000,12899000,24575000,7334000,-10821000,3524000,8245000,13429000,21863000,6526000,-11553000,10347000,-625000,-91655000,9004000
24,Net Income ratio,-2.0000,-0.2813,0.0594,-0.0714,0.0333,0.0504,0.0910,0.0680,-0.0341,-0.0028,0.0410,-0.0098,-0.0514,-0.0648,0.1257,0.0927,0.1055,0.0453,0.0999,0.0480,0.0856,0.0239,-0.0335,0.0103,0.0212,0.0398,0.0587,0.0174,-0.0300,0.0273,-0.0013,-0.1914,0.0222
25,EPS,-0.54,-0.54,0.36,-0.54,0.24,0.36,0.66,0.54,-0.30,-0.03,0.42,-0.12,-0.60,-0.90,2.82,0.96,0.78,0.53,1.32,0.62,1.19,0.36,-0.55,0.18,0.43,0.70,1.14,0.35,-0.63,0.57,-0.03,-5.05,0.50
26,EPS Diluted,-0.54,-0.54,0.36,-0.54,0.24,0.36,0.66,0.54,-0.30,-0.03,0.42,-0.12,-0.60,-0.90,2.76,0.96,0.78,0.53,1.32,0.62,1.19,0.36,-0.55,0.18,0.43,0.69,1.13,0.34,-0.63,0.57,-0.03,-5.05,0.50
27,Weighted Average Shares Outstanding,1637000,1666667,1666667,1851852,1666667,1666667,1918818,2034408,1801197,1666667,1874923,1945139,1883710,1857038,1865790,6093927,11779278,17341509,20779545,20803000,20620000,20123000,19673000,19263000,19263000,19184286,19178070,18645714,18338095,18152632,18107000,18149505,18171000
28,Weighted Average Shares Outstanding Diluted,1637000,1666667,1666667,1851852,1666667,1666667,1918818,2034408,1801197,1666667,1874923,1945139,1883710,1857038,1938483,6093927,11779278,17341509,20779545,20877000,20633000,20175000,19687000,19269000,19361000,19462319,19347788,19194118,18338095,18152632,18107000,18149505,18171000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819913/000092623605000036/0000926236-05-000036-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000092623606000040/0000926236-06-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/819913/000114420408015956/0001144204-08-015956-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420409016424/0001144204-09-016424-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420410015518/0001144204-10-015518-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420411014687/0001144204-11-014687-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420412014847/0001144204-12-014847-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420413015102/0001144204-13-015102-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420414015058/0001144204-14-015058-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420415015676/0001144204-15-015676-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420416087223/0001144204-16-087223-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420417013698/0001144204-17-013698-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420418014644/0001144204-18-014644-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837019002007/0001558370-19-002007-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837020007860/0001558370-20-007860-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837021003015/0001558370-21-003015-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837022003764/0001558370-22-003764-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1500000,- -,- -,- -,- -,- -,4257755,4749388,5814127,6776274,5786069,6830712,5533000,8453000,10520000,12901000,44528000,81474000,145884000,59134000,112270000,60519000,74471000,85145000,141666000,130985000,114446000,79632000,64982000,35594000,53336000,102580000,352867
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,3615327,3380059,2970838,3256879,6373491,6188764,15203000,8927000,335000,335000,12281000,25275000,2625000,- -,- -,- -,- -,401435000,410095000,450785000,531325000,597457000,605746000,545870000,574279000,507279000,290073
33,Cash and Short-Term Investments,1500000,- -,- -,- -,- -,- -,7873082,8129447,8784965,10033153,12159560,13019476,20736000,17380000,10855000,13236000,56809000,106749000,148509000,59134000,112270000,60519000,74471000,486580000,551761000,581770000,645771000,677089000,670728000,581464000,627615000,609859000,642940
34,Net Receivables,- -,7400000,8900000,100000,- -,- -,24533556,22583000,25272250,20237130,25473812,33556297,31025000,27663000,17987000,7186000,29057000,50574000,83592000,50290000,50012000,60696000,69526000,123849000,152318000,185069000,212099000,247054000,301833000,377041000,489642000,643111000,6914
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131308000,-217875000,-45759000,-46635000,-53645000,-140688000,-522174000,-560031000,-632713000,-743424000,-842242000,-906066000,-921292000,-1059635000,-1144423000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26015000,14226000,63665000,115647000,67570000,3309000,88255000,144048000,134126000,114446000,81901000,66495000,37213000,57622000,108547000,649854
38,PP&E,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3012000,2284000,1773000,1620000,4120000,6947000,6726000,6154000,26887000,23208000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,5373983,5215905,5059164,4902149,4745134,4588121,4431000,5171000,4836000,4836000,4836000,31427000,30025000,- -,41080000,43564000,44695000,44695000,44695000,44695000,44695000,44695000,44695000,44695000,44695000,- -,- -
40,Intangible Assets,- -,5600000,6400000,6100000,5900000,5500000,10000,- -,- -,- -,- -,- -,- -,540000,513000,486000,459000,26074000,23781000,70049000,28873000,30241000,26654000,23068000,19953000,17427000,14959000,12491000,10023000,7555000,5087000,1322000,819
41,Intangible Assets,- -,5600000,6400000,6100000,5900000,5500000,5383983,5215905,5059164,4902149,4745134,4588121,4431000,5711000,5349000,5322000,5295000,57501000,53806000,70049000,69953000,73805000,71349000,67763000,64648000,62122000,59654000,57186000,54718000,52250000,49782000,1322000,819
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16728000,29855000,32121000,95044000,155639000,267562000,293516000,327677000,432441000,426330000,447062000,463027000,508931000,580531000,650870000,659211000,628468000,675196000,538369000,48695
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8906
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-334596000,-368757000,-432441000,-306390000,-323829000,-294573000,-301021000,-344356000,-376009000,-320217000,-205264000,-133878000,-561577000,-48695
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28969000,28873000,73805000,194301000,193280000,234875000,271652000,299949000,338994000,400438000,481608000,617987000,1322000,9725
46,Other Assets,1800000,24600000,21800000,22600000,31300000,40700000,60510351,53763762,59820491,49620953,61002233,79057814,73605000,82829000,83853000,82511000,208906000,389938000,592088000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913469
47,Total Assets,1800000,24600000,21800000,22600000,31300000,40700000,60510351,53763762,59820491,49620953,61002233,79057814,73605000,82829000,83853000,82511000,208906000,415953000,606314000,92634000,144520000,141375000,197610000,281535000,378923000,405778000,414395000,420895000,466933000,518821000,675609000,109869000,1553598
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5139825,6599912,- -,- -,- -,2421000,20982000,11684000,119885000,21673000,3281000,3122000,3139000,30635000,39604000,52169000,56994000,71784000,81420000,95530000,114761000,97115000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,100000,500000,- -,- -,- -,- -,- -,- -,30928000,35763000,- -,- -,- -,- -,- -,1473000,1473000,- -,30000000,30000000,30000000,30000000,- -,612342000,55959
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8724000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,49500000,41700000,40600000,31100000,34860175,48000088,49300000,72500000,55500000,47479000,40890000,181953000,246415000,276427000,339619000,438278000,466861000,479592000,571623000,619961000,640878000,709239000,782835000,798028000,1012317000,-46700000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,49500000,41700000,40700000,31600000,40000000,54600000,49300000,72500000,55500000,49900000,92800000,229400000,366300000,298100000,342900000,441400000,470000000,511700000,612700000,672130000,727872000,811023000,894255000,923558000,1127078000,671481000,55959
54,Long-Term Debt,- -,- -,- -,700000,1100000,900000,1323592,1428860,8778710,7338200,10189837,14567720,14823000,21308000,991000,- -,- -,- -,60814000,60919000,59502000,59502000,60752000,56702000,56702000,56702000,56702000,55701000,55753000,55804000,104914000,105063000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6872000,10190000,11283000,4055000,5734000,2949000,2037000,191000,116000,55000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2310000,- -,- -,942000,3471000,434000,- -,2825000,3092000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-723592,-828860,-578710,-238200,-889837,-1567720,-923000,-26380000,-10181000,- -,26845000,27756000,-2963000,-2056000,-1135000,-3589000,-441000,1498000,-1327000,-3092000,28947000,30000000,30000000,30000000,- -,- -,1322118
58,Total Non-Current Liabilities,- -,- -,- -,700000,1100000,900000,600000,600000,8200000,7100000,9300000,13000000,13900000,1800000,1000000,- -,30900000,35800000,60800000,60900000,59500000,59500000,60800000,58200000,58200000,56702000,85649000,85701000,85753000,85804000,104914000,105063000,1322118
59,Other Liabilities,100000,15600000,12800000,15100000,23900000,32500000,1238754,1242398,16439378,- -,- -,- -,27837000,- -,- -,- -,61818000,71622000,121627000,- -,- -,- -,- -,116431000,116405000,- -,172351000,- -,- -,- -,- -,748193000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,100000,15600000,12800000,14400000,22800000,31600000,50138754,42342398,48939378,38686705,49285474,67570418,63237000,74294000,56456000,49855000,123718000,265222000,427127000,358249000,401228000,499497000,529502000,569931000,670905000,728832000,814574000,896724000,980008000,1009362000,1231992000,1314611000,1378077
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,328868,328868,328868,355638,355638,355668,356000,356000,1106000,1106000,2606000,3740000,3740000,3751000,3757000,3757000,3757000,3757000,3757000,3757000,3757000,3757000,3757000,3757000,3757000,3757000,3757
64,Retained Earnings,-600000,-1500000,-900000,-1900000,-1600000,-1000000,293064,1342831,802580,755994,1543304,1309934,180000,-1491000,7254000,13103000,22289000,31480000,58909000,72242000,98482000,105816000,94995000,97964000,106209000,119638000,141501000,148027000,136474000,161195000,160570000,68915000,74703
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-2000000,-2000000,-16000000,9000000,10000000,6000000,8000000,17000000,18000000,7000000,10000000,12000000,-7000000,1000000,383000,-1035
66,Other Total Stockholders Equity,2300000,10500000,9900000,10100000,10100000,10100000,9749665,9749665,9749665,9822616,9817817,9821794,9832000,9670000,19037000,18447000,63293000,117511000,118538000,119419000,115278000,116190000,111375000,110816000,111152000,110642000,109768000,103952000,98887000,97580000,97955000,97867000,98096
67,Total Stockholders Equity,1700000,9000000,9000000,8200000,8500000,9100000,10371597,11421364,10881113,10934248,11716759,11487396,10368000,8535000,27397000,32656000,85188000,150731000,179187000,179412000,226517000,235763000,216127000,220537000,238118000,252037000,262026000,265736000,251118000,255532000,263282000,170922000,175521
68,Total Liabilities And Stockholders Equity,1800000,24600000,21800000,22600000,31300000,40700000,60510351,53763762,59820491,49620953,61002233,79057814,73605000,82829000,83853000,82511000,208906000,415953000,606314000,537661000,627745000,735260000,745629000,790468000,909023000,980869000,1076600000,1162460000,1231126000,1264894000,1495274000,1485533000,1553598
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-445027000,-483225000,-593885000,-548019000,-508933000,-530100000,-575091000,-662205000,-741565000,-764193000,-746073000,-819665000,-1375664000,- -
70,Total Liabilities & Equity,1800000,24600000,21800000,22600000,31300000,40700000,60510351,53763762,59820491,49620953,61002233,79057814,73605000,82829000,83853000,82511000,208906000,415953000,606314000,92634000,144520000,141375000,197610000,281535000,378923000,405778000,414395000,420895000,466933000,518821000,675609000,109869000,1553598
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819913/000092623605000036/0000926236-05-000036-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000092623606000040/0000926236-06-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/819913/000114420408015956/0001144204-08-015956-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420409016424/0001144204-09-016424-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420410015518/0001144204-10-015518-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420411014687/0001144204-11-014687-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420412014847/0001144204-12-014847-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420413015102/0001144204-13-015102-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420414015058/0001144204-14-015058-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420415015676/0001144204-15-015676-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420416087223/0001144204-16-087223-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420417013698/0001144204-17-013698-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000114420418014644/0001144204-18-014644-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837019002007/0001558370-19-002007-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837020007860/0001558370-20-007860-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837021003015/0001558370-21-003015-index.htm,https://www.sec.gov/Archives/edgar/data/819913/000155837022003764/0001558370-22-003764-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-900000,600000,-1000000,400000,600000,1254757,1049767,-540251,-46586,787310,-233370,-1130000,-1671000,8745000,5849000,9186000,9191000,27429000,12899000,24575000,7334000,-10821000,3524000,8245000,13429000,21863000,6526000,-11553000,10347000,-625000,-91655000,9004000
74,Depreciation and Amortization,- -,100000,400000,400000,400000,300000,305491,282178,424704,369331,314385,304773,296000,195000,621000,450000,413000,3214000,3119000,3219000,4105000,4751000,5064000,4421000,4300000,3224000,3516000,3894000,4715000,5141000,5365000,5754000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-567969,237251,263179,28979,-168423,-360053,147000,48000,114000,-787000,2143000,-6529000,-1481000,-912000,-1535000,-1018000,-2857000,-2851000,-257000,-393000,-1030000,405000,-1575000,-1844000,817000,-6513000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,709000,380000,352000,222000,383000,-118000,149000,152000,887000,-400000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-49500000,7800000,1000000,9100000,-8400000,-14600000,5300000,-23200000,17000000,5600000,-42900000,-110585000,-148689000,117639000,7182000,-146577000,-92861000,43246000,-45207000,-69352000,-75422000,-115696000,-98638000,-58585000,-183111000,506522000,563527895
78,Accounts Receivable,- -,1100000,1200000,3300000,-1000000,-1400000,-5300000,2600000,1900000,-200000,300000,-118240,355000,2700000,6120000,8316000,-22656000,-467000,-9904000,2682000,-1413000,-4376000,-1495000,-21570000,-28594000,-33506000,-15805000,-40137000,-49009000,-84612000,-94614000,-148490000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-300000,-200000,-1500000,1900000,2400000,1700000,-100000,-200000,-900000,700000,1375503,-1395000,-1074000,-4885000,-8151000,43246000,64884000,63851000,- -,3281000,-160000,-246000,4191000,13268000,5805000,7338000,12747000,5999000,14841000,-8054000,-12574000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-49500000,-41700000,-40700000,-31600000,-40000000,-54600000,-49300000,-72500000,-55500000,-49900000,-92800000,-203385000,-352074000,-234435000,-227253000,-373830000,-466691000,-423445000,-468652000,-538004000,-613426000,-729122000,-827760000,-886345000,-1069456000,-562934000,593895
82,Other Non-Cash Items,- -,-2100000,-1400000,1400000,100000,1300000,56772394,-9993887,1895433,-10908861,12292452,20991245,-5999000,26577000,-25781000,-3796000,60700000,180877000,199959000,-86549000,27371000,171870000,125376000,-15038000,100905000,86554000,103626000,135843000,114101000,11854000,204337000,-483035000,-572531895
83,Cash Provided by Operating Activities,- -,-2900000,-400000,800000,900000,2200000,8264673,-624691,3043065,-1457137,4825724,6102595,-1386000,1949000,699000,7316000,29542000,76168000,80337000,46296000,61698000,36360000,24610000,33682000,68338000,33684000,52936000,30854000,7199000,-32935000,27670000,-69327000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,-184540,-339523,-59771,-72531,-80610,-237073,-268000,-254000,-476000,-389000,-532000,-685000,-455000,-1119000,-1263000,-1775000,-1586000,-107000,-673000,-546000,-3608000,-4340000,-2705000,-2101000,-4188000,-1667000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,- -,-15000000,-7000000,7000000,-13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1400000,-1600000,-5200000,-6533541,-530422,-32012403,-38280503,-44218200,-70869701,-78170000,-91841000,-39103000,-10128000,-74272000,-82353000,-226476000,-704247000,-109959000,-226246000,-265684000,-167626000,-222399000,-188749000,-265482000,-241374000,-305930000,-222642000,-259769000,-285507000,3280000
87,Sales/Maturities of Investments,- -,200000,5000000,1000000,-2600000,100000,1154102,2034578,22246532,41829083,36292898,62303939,77626000,87901000,44319000,6482000,1747000,19980000,193101000,588450000,112548000,134821000,280918000,148968000,214738000,146777000,169409000,186286000,287187000,232081000,231603000,409861000,- -
88,Other Investing Activites,- -,-3400000,-1100000,100000,3100000,3800000,- -,- -,- -,- -,- -,- -,- -,-2100000,6945000,43000,- -,-2714000,7803000,8211000,3684000,-1792000,-4429000,665000,-3483000,276000,3392000,1195000,4676000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-3200000,3900000,-300000,-1100000,-1300000,-5563979,1164633,-9825642,3476049,-8005912,-8802835,-812000,-6294000,11685000,-3992000,-73057000,-91772000,-26027000,-123705000,-1990000,-87992000,-3781000,-18100000,-11817000,-42242000,-96289000,-58233000,-16772000,7338000,-32354000,122687000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-243700,-48309,-153368,-1808915,-4310017,-579298,-2356000,-27000,-9412000,-991000,- -,-24700000,-15674000,-10000000,-1417000,- -,-1660000,-2577000,- -,- -,- -,- -,- -,- -,-30000000,- -,-4177000
91,Common Stock Issued,- -,6600000,- -,200000,- -,- -,- -,- -,- -,2150,- -,250,- -,- -,- -,48000,230000,24725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5250000,- -,-6401000,- -,- -,-1805000,-2532000,-6117000,-5308000,-1807000,-1380000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
