,https://roic.ai/company/LLY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3270600000,3720400000,3643800000,4069700000,4175600000,5191600000,5725700000,6167300000,6452400000,5711600000,6763800000,7346600000,8517600000,9236800000,10002900000,10862200000,11542500000,11077500000,12582500000,13857900000,14645300000,15691000000,18633500000,20378000000,21836000000,23076000000,24286500000,22603400000,23113100000,19615600000,19958700000,21222100000,22871300000,24555700000,22319500000,24539800000,28318400000
2,COGS,1039200000,1168500000,1118500000,1132800000,1026500000,1275800000,1354700000,1528900000,1560700000,1247500000,1332000000,1574900000,1853100000,1524700000,1658300000,2055700000,2160200000,2176500000,2675100000,3223900000,3474200000,3546500000,4248800000,4382800000,4247000000,4366200000,5067900000,4796500000,4908100000,4932500000,5037200000,5654900000,6070200000,6430000000,4721200000,5483300000,7312800000
3,Gross Profit,2231400000,2551900000,2525300000,2936900000,3149100000,3915800000,4371000000,4638400000,4891700000,4464100000,5431800000,5771700000,6664500000,7712100000,8344600000,8806500000,9382300000,8901000000,9907400000,10634000000,11171100000,12144500000,14384700000,15995200000,17589000000,18709800000,19218600000,17806900000,18205000000,14683100000,14921500000,15567200000,16801100000,18125700000,17598300000,19056500000,21005600000
4,Gross Profit Ratio,0.6823,0.6859,0.6930,0.7217,0.7542,0.7543,0.7634,0.7521,0.7581,0.7816,0.8031,0.7856,0.7824,0.8349,0.8342,0.8107,0.8128,0.8035,0.7874,0.7674,0.7628,0.7740,0.7720,0.7849,0.8055,0.8108,0.7913,0.7878,0.7876,0.7485,0.7476,0.7335,0.7346,0.7381,0.7885,0.7766,0.7418
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,838700000,1042300000,1189500000,1382000000,1738900000,1783600000,2018500000,2235100000,2149300000,2350200000,2691100000,3025500000,3129300000,3486700000,3840900000,4326500000,4884200000,5020800000,5278100000,5531300000,4733600000,4796400000,5243900000,5281800000,5307100000,5595000000,6085700000,7025900000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1398300000,1854000000,1991900000,2314400000,2658300000,2757600000,3228300000,3417400000,3424000000,4055400000,4284200000,4497000000,4889800000,6095100000,6626400000,6892500000,7053400000,7879900000,- -,- -,- -,- -,- -,513700000,- -,- -,6121200000,6431600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7513500000,7125600000,6620800000,6533000000,6452000000,6588100000,6631800000,6213800000,- -,- -
8,"Selling, General and Administrative Exp.",1330800000,1513900000,1746000000,1686100000,1755000000,2128900000,2303200000,3114800000,3840800000,1398300000,1854000000,1991900000,2314400000,2658300000,2757600000,3228300000,3417400000,3424000000,4055400000,4284200000,4497000000,4889800000,6095100000,6626400000,6892500000,7053400000,7879900000,7513500000,7125600000,6620800000,6533000000,6452000000,7101800000,6631800000,6213800000,6121200000,6431600000
9,Other Expenses,136200000,177700000,184300000,204000000,229300000,247500000,299500000,368100000,398300000,432200000,553700000,543500000,509800000,490400000,439700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
