,https://roic.ai/company/ANDE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,46671,11141,21369,1400000,- -,- -,400000,400000,362000,332000,840000,964000,1004000,1199000,83500000,3354000,1914000,750000,1305000,815000,1322000,1939000,1509000,468000,1027000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-27846,-23697,-18405,-7600000,-600000,-4200000,-500000,-5200000,-3944000,-1387000,-2625000,-1244000,- -,- -,- -,- -,-924000,-229000,- -,-3040000,- -,- -,- -,-49089000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1000000,-1300000,-1600000,-1819000,-1907000,-1903000,-2009000,-2215000,-2453000,-2808000,-3929000,-5885000,-6346000,-6581000,-8153000,-11166000,-11986000,-12485000,-15921000,-17362000,-18152000,-18639000,-22118000,-23004000,-23746000
94,Other Financing Activites,- -,- -,- -,75500000,-127300000,15200000,-8200000,37800000,51433000,15909000,-18011000,-25343000,39724000,28299000,60887000,227408000,223447000,10089000,260962000,70889000,233690000,44739000,-13899000,190408000,101454000,85839000,348915000,639308000,719011000,819855000
95,Cash Used/Provided by Financing Activities,18825,-12556,2964,69300000,-127900000,10000000,-9600000,31400000,46032000,12947000,-21699000,-27632000,38513000,27045000,141579000,226833000,-111321000,-52585000,211580000,-213097000,79903000,-60060000,-94572000,33392000,-12487000,10498000,209186000,8707000,136296000,-248769000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,-880000,-108000
97,Net Change In Cash,108055,571812,-58780,- -,- -,- -,- -,22300000,-12476000,-7441000,398000,349000,1995000,5437000,9522000,-1098000,59382000,64247000,-116710000,-8829000,117828000,170867000,-194381000,-50954000,-1120000,-27711000,-12326000,32302000,-25772000,187321000
98,Cash at the End of Period,223567,795379,736599,- -,- -,- -,- -,25600000,13138000,5697000,6095000,6444000,8439000,13876000,23398000,22300000,81682000,145929000,29219000,20390000,138218000,309085000,114704000,63750000,62630000,34919000,22593000,54895000,29123000,216444000
99,Cash at the Beginning of Period,115512,223567,795379,6900000,5100000,27500000,8300000,3300000,25614000,13138000,5697000,6095000,6444000,8439000,13876000,23398000,22300000,81682000,145929000,29219000,20390000,138218000,309085000,114704000,63750000,62630000,34919000,22593000,54895000,29123000
100,Free Cash Flow,103346,89681,177585,-72000000,149300000,-30400000,4200000,-9800000,-67048000,-37053000,5212000,11846000,3741000,-72927000,-164789000,-240694000,160339000,138716000,-288536000,181942000,147984000,197818000,-159813000,-33367000,-123423000,-102337000,-345103000,78085000,-179318000,-132855000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/821026/0000821026-95-000001-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821026/000095015204001821/0000950152-04-001821-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015205002095/0000950152-05-002095-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015206002076/0000950152-06-002076-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015207002024/0000950152-07-002024-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015208001522/0000950152-08-001522-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015209001956/0000950152-09-001956-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095012310018173/0000950123-10-018173-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095012311020452/0000950123-11-020452-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000119312512082031/0001193125-12-082031-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102613000005/0000821026-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102614000008/0000821026-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102615000013/0000821026-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102616000068/0000821026-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102617000008/0000821026-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102618000009/0000821026-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102619000026/0000821026-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102620000011/0000821026-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102621000060/0000821026-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102622000050/0000821026-22-000050-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
