,https://roic.ai/company/ANDE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,Infinity,Infinity,Infinity,0.0093,0.0056,0.0041,0.0089,0.0086,0.0104,0.0090,0.0124,0.0094,0.0150,0.0201,0.0249,0.0289,0.0094,0.0127,0.0191,0.0208,0.0151,0.0160,0.0242,-0.0031,0.0030,0.0115,0.0136,0.0022,0.0009,0.0082
25,EPS,0.00,0.01,0.01,0.25,0.25,0.17,0.40,0.35,0.45,0.41,0.61,0.55,0.88,1.17,1.51,2.57,1.21,1.40,2.34,3.42,2.85,2.13,3.85,-0.46,0.41,1.46,1.47,0.56,0.23,3.10
26,EPS Diluted,0.00,0.01,0.01,0.25,0.25,0.17,0.40,0.34,0.45,0.40,0.60,0.53,0.85,1.13,1.46,2.50,1.19,1.39,2.32,3.39,2.82,2.12,3.84,-0.46,0.41,1.46,1.46,0.55,0.23,3.10
27,Weighted Average Shares Outstanding,25308000,25308000,25308000,25308000,25275000,24480000,24297521,24000000,22562687,21779508,21834426,21404268,21754545,22233239,24017841,26729534,27102000,27393571,27633333,27808772,27920375,28189999,28500260,28406522,28278049,28219863,28220408,32691071,33521739,33521739
28,Weighted Average Shares Outstanding Diluted,25308000,25308000,25308000,25308000,25275000,26250000,24500000,24466019,22562687,21959504,22322346,22077358,22522353,23085841,24895205,27513600,27544500,27656971,27871552,28027308,28184397,28189999,28574479,28406522,28278049,28219863,28413699,32691071,33521739,33521739
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/821026/0000821026-95-000001-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821026/000095015204001821/0000950152-04-001821-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015205002095/0000950152-05-002095-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015206002076/0000950152-06-002076-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015207002024/0000950152-07-002024-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015208001522/0000950152-08-001522-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015209001956/0000950152-09-001956-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095012310018173/0000950123-10-018173-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095012311020452/0000950123-11-020452-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000119312512082031/0001193125-12-082031-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102613000005/0000821026-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102614000008/0000821026-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102615000013/0000821026-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102616000068/0000821026-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102617000008/0000821026-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102618000009/0000821026-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102619000026/0000821026-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102620000011/0000821026-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102621000060/0000821026-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102622000050/0000821026-22-000050-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,795379,736599,5100000,27500000,8300000,3300000,25600000,13138000,5697000,6095000,6444000,8439000,13876000,23398000,22300000,81682000,145929000,49478000,20390000,138218000,309085000,114704000,63750000,62630000,34919000,22593000,54895000,29123000,216444000
32,Short-Term Investments,- -,505313,490532,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1300692,1227131,5100000,27500000,8300000,3300000,25600000,13138000,5697000,6095000,6444000,8439000,13876000,23398000,22300000,81682000,145929000,49478000,20390000,138218000,309085000,114704000,63750000,62630000,34919000,22593000,54895000,29123000,216444000
34,Net Receivables,- -,4176313,4701006,89100000,73700000,68600000,62600000,53200000,55475000,54836000,59800000,68546000,66235000,83291000,136819000,136724000,130091000,137195000,152227000,167640000,208877000,173930000,183059000,170912000,194698000,183238000,207285000,536367000,659834000,835180000
35,Inventory,- -,- -,- -,269900000,150300000,191500000,185000000,178300000,209706000,238291000,256275000,259755000,251428000,240806000,299105000,502904000,436920000,407845000,647189000,760459000,776677000,614923000,795655000,747399000,682747000,648703000,690804000,1170536000,1300693000,1814538000
36,Other Current Assets,- -,2723668,2702866,7200000,6100000,6700000,10400000,11400000,24505000,27849000,15716000,22234000,32191000,34568000,37126000,252963000,207269000,95854000,289664000,158733000,173381000,123846000,161029000,147461000,118051000,132351000,102516000,183544000,426759000,506166000
37,Total Current Assets,- -,8200673,8631003,371300000,257600000,275100000,261300000,268500000,302824000,326673000,337886000,356979000,358293000,372541000,496448000,914891000,855962000,786823000,1138558000,1107222000,1297153000,1221784000,1254447000,1129522000,1058126000,999211000,1023198000,1945342000,2416409000,3372328000
38,PP&E,- -,- -,- -,81900000,81700000,85800000,90100000,102700000,120352000,121103000,92939000,92449000,92510000,91498000,240561000,99886000,121529000,132288000,151032000,175087000,587208000,628079000,751354000,793371000,777247000,808120000,998496000,1599117000,1527156000,838175000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58554000,72365000,63934000,63934000,6024000,6024000,135360000,135709000,129342000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21188000,24411000,120240000,106100000,112893000,99138000,175312000,142940000,117137000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79742000,96776000,184174000,170034000,118917000,105162000,310672000,278649000,246479000
42,Investments,- -,761839,969376,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141055000,157360000,175349000,199061000,190908000,291109000,226857000,242107000,216931000,223239000,242326000,23857000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2469691,3383585,5200000,7300000,7300000,9400000,5600000,10020000,6300000,38990000,43191000,121986000,170105000,72335000,320211000,190227000,207920000,234451000,252753000,107035000,52842000,35258000,9927000,10511000,12867000,22821000,21753000,49907000,112237000
45,Total Non-Current Assets,- -,3231530,4352961,87100000,89000000,93100000,99500000,108300000,130372000,127403000,131929000,135640000,214496000,261603000,312896000,420097000,452811000,497568000,560832000,626901000,885151000,1051772000,1110245000,1229579000,1174723000,1163143000,1368805000,1955399000,1855712000,1196891000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11432203,12983964,458400000,346600000,368200000,360800000,376800000,433196000,454076000,469815000,492619000,572789000,634144000,809344000,1334988000,1308773000,1284391000,1699390000,1734123000,2182304000,2273556000,2364692000,2359101000,2232849000,2162354000,2392003000,3900741000,4272121000,4569219000
48,Accounts Payable,- -,1149232,869704,94100000,96900000,184500000,164300000,134000000,67468000,117964000,135707000,88314000,87322000,80945000,177525000,268495000,324004000,345054000,386097000,534667000,754038000,746782000,706823000,668788000,581826000,503571000,462535000,873081000,957683000,1199324000
49,Short-Term Debt,- -,- -,- -,128300000,6400000,24000000,14000000,49200000,80426000,92974000,79775000,53452000,28168000,41951000,98531000,269318000,27741000,10935000,265624000,103708000,39364000,51998000,78581000,44776000,76545000,76205000,226589000,209930000,479178000,534048000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34366000,50105000,53502000,- -,- -,54449000,56698000,78550000,79557000,99164000,59304000,99617000,66762000,48590000,59710000,32533000,133585000,180160000,358119000
52,Other Current Liabilities,- -,6263206,7192479,87200000,92700000,13000000,17100000,17400000,99670000,40730000,41574000,91315000,86952000,99924000,63984000,199399000,119069000,66434000,106472000,76319000,100241000,134249000,142685000,107711000,92815000,99230000,111693000,223323000,314661000,372438000
53,Total Current Liabilities,- -,7412438,8062183,309600000,196000000,221500000,195400000,200600000,247564000,251668000,257056000,267447000,252547000,276322000,340040000,737212000,525263000,479121000,836743000,794251000,992807000,992333000,1027706000,888037000,799776000,738716000,833350000,1439919000,1931682000,2463929000
54,Long-Term Debt,- -,- -,- -,73900000,68600000,65700000,71600000,74100000,80159000,91316000,84272000,82127000,154146000,168043000,157862000,189472000,334010000,308026000,276825000,238885000,427243000,375213000,298638000,436208000,397065000,418339000,496187000,994747000,953717000,631809000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12977000,16051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,4300000,5400000,5400000,7300000,8700000,8787000,8647000,10351000,11402000,14117000,15475000,16127000,24754000,32197000,49138000,62649000,64640000,78138000,120082000,136166000,186073000,182113000,121730000,130087000,146155000,170147000,71127000
57,Other Non-Current Liabilities,- -,2413041,3059742,2800000,2800000,2800000,3100000,7400000,6850000,7511000,13296000,15852000,18103000,15421000,25140000,26967000,50913000,25779000,58614000,97505000,72671000,61507000,78133000,65044000,63198000,60670000,55615000,124265000,55915000,94650000
58,Total Non-Current Liabilities,- -,2413041,3059742,81000000,76800000,73900000,82000000,90200000,95796000,107474000,107919000,109381000,186366000,198939000,199129000,241193000,430097000,398994000,398088000,401030000,578052000,556802000,512937000,687325000,642376000,600739000,681889000,1265167000,1179779000,797586000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90228000,37177000,31322000
61,Total Liabilities,- -,9825479,11121925,390600000,272800000,295400000,277400000,290800000,343360000,359142000,364975000,376828000,438913000,475261000,539169000,978405000,955360000,878115000,1234831000,1195281000,1570859000,1549135000,1540643000,1575362000,1442152000,1339455000,1515239000,2705086000,3111461000,3261515000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,100000,84000,84000,84000,84000,84000,84000,- -,- -,- -,- -,- -,- -,96000,96000,96000,96000,96000,96000,96000,137000,138000,140000
64,Retained Earnings,- -,219090,471441,- -,- -,9900000,18200000,25000000,33194000,40153000,51540000,62121000,79002000,102587000,135926000,199849000,226707000,258662000,316317000,402523000,470628000,548401000,644556000,615151000,609206000,633496000,647517000,642687000,626081000,702759000
