,https://roic.ai/company/GT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9585100000,9103100000,9905200000,10810400000,10869300000,11272500000,10906800000,11784900000,11643400000,12288200000,13165900000,13112800000,13155100000,12626300000,12880600000,14417100000,14147200000,13850000000,15119000000,18370400000,19723000000,20258000000,19644000000,19488000000,16301000000,18832000000,22767000000,20992000000,19540000000,18138000000,16443000000,15158000000,15377000000,15475000000,14745000000,12321000000,17478000000
2,COGS,7334600000,6615300000,7024700000,7933900000,7851200000,8390100000,7963800000,8526000000,8320100000,8861100000,9658700000,9565900000,9576600000,9185100000,9769700000,11007000000,11619500000,11313900000,12495300000,14709200000,15772000000,17006000000,15920000000,16139000000,13676000000,15452000000,18821000000,17163000000,15422000000,13906000000,12164000000,10972000000,11719000000,11961000000,11602000000,10337000000,13692000000
3,Gross Profit,2250500000,2487800000,2880500000,2876500000,3018100000,2882400000,2943000000,3258900000,3323300000,3427100000,3507200000,3546900000,3578500000,3441200000,3110900000,3410100000,2527700000,2536100000,2623700000,3661200000,3951000000,3252000000,3724000000,3349000000,2625000000,3380000000,3946000000,3829000000,4118000000,4232000000,4279000000,4186000000,3658000000,3514000000,3143000000,1984000000,3786000000
4,Gross Profit Ratio,0.2348,0.2733,0.2908,0.2661,0.2777,0.2557,0.2698,0.2765,0.2854,0.2789,0.2664,0.2705,0.2720,0.2725,0.2415,0.2365,0.1787,0.1831,0.1735,0.1993,0.2003,0.1605,0.1896,0.1718,0.1610,0.1795,0.1733,0.1824,0.2107,0.2333,0.2602,0.2762,0.2379,0.2271,0.2132,0.1610,0.2166
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1936900000,1890100000,1889500000,1881100000,2016700000,2237300000,2248800000,2223900000,2371200000,2833100000,2875000000,2671000000,2762000000,2600000000,2404000000,2870000000,2925000000,2718000000,2758000000,2720000000,2614000000,2407000000,2302000000,2312000000,2323000000,2192000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1469600000,1601300000,1634900000,1745100000,1863700000,2249800000,1976700000,2074400000,2035200000,1958200000,1936900000,1890100000,1889500000,1881100000,2016700000,2237300000,2248800000,2223900000,2371200000,2833100000,2875000000,2671000000,2762000000,2600000000,2404000000,2870000000,2925000000,2718000000,2758000000,2720000000,2614000000,2407000000,2302000000,2312000000,2323000000,2192000000,2699000000
9,Other Expenses,300500000,378600000,349900000,357100000,383500000,415000000,441500000,445800000,392900000,410300000,434900000,460800000,469300000,487800000,581700000,630300000,- -,330100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
