,https://roic.ai/company/MGI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,737223000,826530000,971236000,1159559000,157537000,927118000,1171902000,1166653000,1247769000,1341200000,1474400000,1454900000,1434700000,1630400000,1602100000,1447600000,1285100000,1217200000,1283600000
2,COGS,- -,377333000,151595000,470472000,563659000,663908000,604609000,498467000,501496000,548004000,841100000,943100000,941400000,965300000,1090700000,1049900000,992000000,890600000,876800000,911900000
3,Gross Profit,- -,359890000,674935000,500764000,595900000,-506371000,322509000,673435000,665157000,699765000,500100000,531300000,513500000,469400000,539700000,552200000,455600000,394500000,340400000,371700000
4,Gross Profit Ratio,- -,0.4882,0.8166,0.5156,0.5139,-3.2143,0.3479,0.5747,0.5701,0.5608,0.3729,0.3603,0.3529,0.3272,0.3310,0.3447,0.3147,0.3070,0.2797,0.2896
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,234567000,- -,314315000,372221000,423862000,490479000,530755000,458685000,511197000,403400000,302700000,386600000,387100000,371400000,468400000,360800000,268700000,173000000,241000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,234567000,126641000,314315000,372221000,423862000,490479000,530755000,458685000,511197000,403400000,302700000,386600000,387100000,371400000,468400000,360800000,268700000,173000000,241000000
9,Other Expenses,- -,27295000,483165000,32465000,38978000,51979000,56672000,57091000,48074000,46051000,44300000,50700000,55500000,66100000,79900000,75100000,76300000,73800000,64400000,57000000
10,Operating Expenses,- -,261862000,609806000,346780000,411199000,475841000,547151000,587846000,506759000,557248000,447700000,353400000,442100000,453200000,451300000,543500000,437100000,342500000,237400000,298000000
11,COGS and Expenses,- -,639195000,761401000,817252000,974858000,1139749000,1151760000,1086313000,1008255000,1105252000,1288800000,1296500000,1383500000,1418500000,1542000000,1593400000,1429100000,1233100000,1114200000,1209900000
12,Interest Income ,- -,323099000,- -,367989000,395489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,9857000,- -,7608000,7928000,11055000,95020000,107911000,102133000,86165000,70900000,47300000,44200000,45300000,45000000,45300000,53600000,77000000,92400000,69500000
14,Depreciation and Amortization,- -,27295000,29567000,32465000,38978000,51979000,56672000,57091000,48074000,46051000,44300000,50700000,55500000,66100000,79900000,75100000,76300000,73800000,64400000,57000000
15,EBITDA,- -,163539000,139870000,187189000,223679000,-930482000,-185499000,142680000,208587000,171986000,106300000,183300000,172300000,82300000,168000000,83800000,119000000,86500000,162900000,82900000
16,EBITDA ratio,- -,0.2218,0.1692,0.1927,0.1929,-5.9064,-0.2001,0.1218,0.1788,0.1378,0.0793,0.1243,0.1184,0.0574,0.1030,0.0523,0.0822,0.0673,0.1338,0.0646
17,Operating Income,- -,98028000,65129000,153984000,184701000,-993267000,-337191000,85589000,158398000,142517000,52400000,177900000,71400000,16200000,88400000,8700000,18500000,52000000,103000000,73700000
18,Operating Income ratio,- -,0.1330,0.0788,0.1585,0.1593,-6.3050,-0.3637,0.0730,0.1358,0.1142,0.0391,0.1207,0.0491,0.0113,0.0542,0.0054,0.0128,0.0405,0.0846,0.0574
19,Total Other Income Expenses (Gains),- -,-9857000,23891000,-7608000,-7928000,- -,- -,-107911000,-100018000,-102747000,-61300000,-92600000,1200000,-45300000,-45300000,-45300000,-29400000,-116300000,-96900000,-117300000
20,Income Before Tax,- -,88171000,89020000,146376000,176773000,-993267000,-337191000,-22322000,58380000,39770000,-8900000,85300000,72600000,-29100000,43100000,-36600000,-10900000,-64300000,6100000,-43600000
21,Income Before Tax Ratio,- -,0.1196,0.1077,0.1507,0.1524,-6.3050,-0.3637,-0.0190,0.0500,0.0319,-0.0066,0.0579,0.0499,-0.0203,0.0264,-0.0228,-0.0075,-0.0500,0.0050,-0.0340
22,Income Tax expense (Gain),- -,12485000,23891000,34170000,52719000,78481000,-75806000,-20416000,14579000,-19636000,40400000,32900000,500000,47800000,26800000,-6800000,13100000,-4000000,14000000,-5700000
23,Net Income,- -,113902000,86412000,112946000,124054000,-1071997000,-261385000,-1906000,43801000,59406000,-49300000,52400000,72100000,-76900000,16300000,-29800000,-24000000,-60300000,-7900000,-37900000
24,Net Income ratio,- -,0.1545,0.1045,0.1163,0.1070,-6.8047,-0.2819,-0.0016,0.0375,0.0476,-0.0368,0.0355,0.0496,-0.0536,0.0100,-0.0186,-0.0166,-0.0469,-0.0065,-0.0295
25,EPS,- -,10.48,7.92,10.64,11.76,-103.52,-33.52,-9.92,-8.80,-9.03,-0.69,0.73,1.10,-1.24,0.26,-0.47,-0.37,-0.85,-0.10,-0.42
26,EPS Diluted,- -,10.48,7.92,10.48,11.60,-103.52,-33.52,-9.92,-8.80,-9.03,-0.69,0.73,1.10,-1.24,0.25,-0.47,-0.37,-0.85,-0.10,-0.42
27,Weighted Average Shares Outstanding,- -,10777875,10864500,10584375,10536750,10352250,10307000,10312375,10398250,48576000,71500000,71600000,65300000,62100000,62300000,62900000,64300000,71100000,77800000,89700000
28,Weighted Average Shares Outstanding Diluted,- -,10827375,10916250,10746250,10727250,10352250,10307000,10312375,10398250,48576000,71500000,71900000,65500000,62100000,65900000,62900000,64300000,71100000,77800000,89700000
