,https://roic.ai/company/NEU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,274500000,275900000,304600000,334700000,390300000,1132100000,1256800000,1461900000,512100000,281200000,226400000,237200000,223900000,210100000,204700000,215073000,205240000,98929000,116352000,115740000,127382000,156448000,187949000,198134000,200972000,228155000,257098000,272054000,301451000,302703000,322336000,318071000,305249000,292689000,292548000,283230000,289925000
11,COGS and Expenses,1352400000,1339800000,1476100000,1721400000,2058100000,2132100000,2211600000,2553900000,1770900000,1003700000,813300000,979900000,923800000,871800000,788900000,804535000,836373000,616960000,706782000,831549000,1002668000,1155659000,1266251000,1501071000,1267834000,1510088000,1847629000,1857833000,1928510000,1972685000,1784110000,1686761000,1861635000,1997001000,1852974000,1699129000,2098328000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12046000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12046000,11716000,17261000,18820000,10815000,17796000,16567000,14652000,16785000,21856000,26723000,29241000,26328000,34218000
14,Depreciation and Amortization,81700000,84800000,89400000,94900000,81700000,88500000,89900000,105800000,127500000,54000000,49200000,61900000,61800000,63300000,65100000,66256000,99518000,52422000,50391000,44775000,36396000,31592000,29126000,27967000,31573000,37667000,41749000,43389000,46144000,41538000,42265000,44893000,55340000,71759000,87560000,84002000,84320000
15,EBITDA,271200000,375700000,398400000,448100000,416500000,443900000,384600000,534600000,346500000,195200000,165400000,207700000,171800000,169700000,146200000,156351000,-49475000,66087000,96162000,89405000,93348000,119735000,131767000,145339000,282665000,314924000,364286000,395595000,427646000,397204000,395888000,404886000,392638000,388767000,448391000,441617000,366089000
16,EBITDA ratio,0.1753,0.2379,0.2316,0.2228,0.1713,0.1766,0.1494,0.1797,0.1788,0.1663,0.1722,0.1807,0.1615,0.1742,0.1733,0.1905,-0.0683,0.1007,0.1271,0.1000,0.0868,0.0948,0.0958,0.0899,0.1847,0.1752,0.1695,0.1779,0.1875,0.1701,0.1849,0.1976,0.1786,0.1698,0.2047,0.2196,0.1554
17,Operating Income,194600000,239500000,244200000,290100000,373600000,381700000,363300000,421100000,167500000,170400000,147200000,169800000,139800000,102400000,54800000,16335000,-111911000,39390000,49559000,62560000,72876000,107638000,108623000,116360000,262288000,287304000,340585000,365476000,351845000,362720000,356720000,362690000,336769000,292674000,337321000,311802000,257782000
18,Operating Income ratio,0.1258,0.1516,0.1420,0.1442,0.1536,0.1518,0.1411,0.1415,0.0864,0.1451,0.1533,0.1477,0.1314,0.1051,0.0650,0.0199,-0.1545,0.0600,0.0655,0.0700,0.0678,0.0852,0.0790,0.0719,0.1714,0.1598,0.1584,0.1644,0.1543,0.1553,0.1666,0.1770,0.1532,0.1278,0.1540,0.1551,0.1094
19,Total Other Income Expenses (Gains),-5100000,51400000,64800000,63100000,-50700000,-26300000,-68600000,22100000,-34000000,-29200000,-31000000,-24000000,-29800000,4000000,26300000,73760000,-37082000,-26121000,-20217000,-17930000,-15924000,-19495000,-8199000,-11034000,-22912000,-27308000,-36868000,-24085000,-10534000,-23621000,-17749000,-19482000,-21327000,-2389000,-5731000,19485000,-10231000
20,Income Before Tax,189500000,290900000,309000000,353200000,322900000,355400000,294700000,443200000,133500000,141200000,116200000,145800000,110000000,106400000,81100000,90095000,-148993000,13269000,29342000,44630000,56952000,88143000,100424000,105326000,239376000,259996000,303717000,341391000,341311000,339099000,338971000,343208000,315442000,290285000,331590000,331287000,247551000
21,Income Before Tax Ratio,0.1225,0.1842,0.1796,0.1756,0.1328,0.1414,0.1145,0.1490,0.0689,0.1203,0.1210,0.1268,0.1034,0.1092,0.0961,0.1098,-0.2057,0.0202,0.0388,0.0499,0.0530,0.0698,0.0730,0.0651,0.1564,0.1447,0.1413,0.1536,0.1497,0.1452,0.1583,0.1675,0.1435,0.1268,0.1514,0.1647,0.1051
22,Income Tax expense (Gain),72400000,113200000,115700000,122200000,103400000,123200000,88000000,173800000,43500000,43400000,42200000,52800000,32500000,35800000,25800000,29098000,-43953000,3756000,8718000,11572000,14571000,30621000,21874000,32099000,77093000,82871000,96810000,101798000,98964000,105844000,100368000,99767000,124933000,55551000,77304000,60719000,56643000
23,Net Income,117100000,177700000,193300000,231000000,231400000,232200000,206700000,255000000,175500000,97800000,74000000,93000000,77500000,70600000,55300000,60997000,-105040000,9909000,37053000,33058000,42381000,57522000,80767000,73227000,162283000,177125000,206907000,239593000,264742000,233255000,238603000,243441000,190509000,234734000,254286000,270568000,190908000
24,Net Income ratio,0.0757,0.1125,0.1124,0.1148,0.0952,0.0924,0.0803,0.0857,0.0905,0.0833,0.0770,0.0809,0.0729,0.0725,0.0655,0.0743,-0.1450,0.0151,0.0490,0.0370,0.0394,0.0455,0.0587,0.0453,0.1061,0.0985,0.0963,0.1078,0.1161,0.0999,0.1115,0.1188,0.0867,0.1025,0.1161,0.1345,0.0810
25,EPS,4.60,7.00,7.85,9.55,3.55,9.75,8.75,10.75,7.40,4.15,3.10,3.90,3.55,4.25,3.30,3.65,-6.30,0.59,2.21,1.95,2.49,3.34,5.66,4.77,10.67,12.12,15.10,17.85,19.90,18.38,19.45,20.54,16.08,20.34,22.73,24.64,1.59
26,EPS Diluted,4.60,7.00,7.85,9.55,3.55,9.75,8.75,10.75,7.40,4.15,3.10,3.90,3.55,4.25,3.30,3.65,-6.30,0.59,2.19,1.92,2.45,3.30,5.62,4.75,10.65,12.09,15.09,17.85,19.90,18.38,19.45,20.54,16.08,20.34,22.73,24.64,1.59
27,Weighted Average Shares Outstanding,25217391,25328571,24598726,24178010,24100000,23805128,23622857,23720930,23716216,23566265,23870968,23846154,23615385,16611765,16693000,16692400,16691000,16689000,16733000,16916000,17028000,17223000,16841000,15362000,15206000,14619000,13707000,13422577,13303618,12690696,12267506,11852045,11847575,11540511,11187242,10980844,10841250
28,Weighted Average Shares Outstanding Diluted,25217391,25328571,24598726,24178010,24100000,23805128,23622857,23720930,23716216,23691000,23953488,23846154,23615385,16630137,16693000,16692400,16691000,16732000,16940000,17199000,17320000,17407000,16957000,15430000,15243000,14650000,13712000,13422577,13303618,12690696,12267506,11852045,11847575,11540511,11187242,10980844,10841250
