,https://roic.ai/company/NEU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,567000000,534900000,327400000,496300000,155200000,122200000,149300000,185200000,132600000,129700000,127800000,89480000,125814000,82673000,81726000,36809000,63995000,37076000,109577000,20648000,224444000,165214000,184598000,272811000,277934000,234958000,268027000,353434000,242795000,197911000,337212000,284154000,165336000
84,CAPEX,- -,- -,- -,- -,-119100000,-165800000,-179500000,-157400000,-205000000,-147300000,-44800000,-29400000,-43500000,-22700000,-13800000,-13828000,-9515000,-12671000,-11617000,-17973000,-17830000,-30637000,-39556000,-74619000,-89133000,-36406000,-53515000,-38753000,-58476000,-59716000,-126499000,-142874000,-148713000,-74638000,-59434000,-93316000,-78934000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,-41000000,- -,- -,140000000,- -,- -,- -,-184000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-968600000,-1352200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,- -,- -,- -,- -,- -,- -,-10500000,-300000,- -,- -,-28061000,-12514000,-10844000,-16487000,-7570000,- -,- -,- -,- -,-393434000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,252100000,629200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,- -,- -,300000,28028000,24370000,8900000,18140000,11832000,- -,- -,- -,- -,10957000
88,Other Investing Activites,- -,- -,- -,- -,-592100000,7700000,-65900000,-584400000,-124900000,52300000,200000,-135400000,600000,28000000,1900000,-40233000,9269000,-19034000,37592000,255000,13785000,8790000,22725000,-74422000,-95403000,-46906000,-71256000,-38753000,-203403000,-64662000,-131376000,-147623000,-150643000,-60031000,-59434000,-74243000,-78934000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-711200000,-874600000,-968400000,-741800000,-329900000,-95000000,-44600000,-164800000,-42900000,5300000,-11900000,-54061000,-1496000,-31705000,25975000,-17718000,-4045000,-21847000,-16831000,-98872000,-95703000,-87906000,-70956000,-38786000,-51547000,-66606000,-129723000,-143361000,-334643000,-60031000,-59434000,-74243000,-461411000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7226000,-42684000,-102062000,-2875000,-217185000,-76135000,-225000,- -,- -,-156000000,- -,-123451000,-44678000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847000,438000,856000,61000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-45700000,-31800000,-1800000,-500000,-600000,-600000,- -,- -,-327000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83189000,-26810000,- -,-121517000,-98093000,- -,-92195000,-248509000,-194924000,-35815000,-25998000,-232016000,- -,-101434000,-196220000
93,Dividends Paid,- -,- -,- -,- -,-57700000,-250800000,-71000000,-71000000,-71000000,-91500000,-59200000,-59200000,-59200000,-20900000,-20900000,-15650000,- -,- -,- -,- -,- -,-8627000,-6641000,-15131000,-16347000,-22608000,-32588000,-375681000,-50368000,-59400000,-70763000,-75829000,-82885000,-80448000,-81676000,-83417000,-85910000
94,Other Financing Activites,- -,- -,- -,- -,215300000,581400000,716200000,451300000,131500000,47800000,-46700000,29000000,294500000,-123900000,-87500000,-31145000,-116406000,-47872000,-94127000,-24558000,-31402000,-4170000,6216000,81361000,55409000,68537000,22468000,395920000,-1145000,12764000,130209000,8267000,245907000,167037000,-2952000,-1934000,537263000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,111900000,298800000,643400000,379800000,59900000,-44300000,-105900000,-30200000,-91700000,-144800000,-108400000,-46795000,-116406000,-47872000,-94127000,-23711000,-30964000,-11941000,-83553000,32194000,-3622000,-177650000,-111088000,-196946000,-219843000,-295370000,-135478000,-103377000,-18976000,-145427000,-208079000,-231463000,255133000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,-1351000,599000,2379000,-4081000,4951000,-2297000,-1376000,1680000,3019000,-8682000,-12405000,-7966000,2836000,-3579000,1658000,2327000,-926000
97,Net Change In Cash,- -,- -,- -,- -,111900000,298800000,643400000,379800000,59900000,-17000000,-105900000,-30200000,-91700000,-144800000,7400000,-11376000,7912000,3096000,13574000,-4589000,27635000,3887000,11572000,-50111000,130070000,-102639000,1178000,38759000,149574000,-135700000,-9579000,98730000,-107988000,-11126000,71357000,-19225000,-41868000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,31200000,- -,- -,- -,- -,15800000,4470000,12382000,15478000,29052000,28778000,56413000,60300000,71872000,21761000,151831000,49192000,50370000,89129000,238703000,103003000,93424000,192154000,84166000,73040000,144397000,125172000,83304000
99,Cash at the Beginning of Period,- -,- -,- -,- -,112100000,79800000,39000000,41300000,163000000,48200000,31200000,30000000,20100000,18200000,8400000,15846000,4470000,12382000,15478000,33367000,28778000,56413000,60300000,71872000,21761000,151831000,49192000,50370000,89129000,238703000,103003000,93424000,192154000,84166000,73040000,144397000,125172000
100,Free Cash Flow,- -,- -,- -,- -,447900000,369100000,147900000,338900000,-49800000,-25100000,104500000,155800000,89100000,107000000,114000000,75652000,116299000,70002000,70109000,18836000,46165000,6439000,70021000,-53971000,135311000,128808000,131083000,234058000,219458000,175242000,141528000,210560000,94082000,123273000,277778000,190838000,86402000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282637/000119312506040980/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312507039689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312508035848/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312509033752/0001193125-09-033752-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000119312510034830/0001193125-10-034830-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000119312511041569/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312512071628/0001193125-12-071628-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263713000003/0001282637-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263714000003/neu-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263715000004/neu-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263716000028/0001282637-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263717000005/0001282637-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263718000004/0001282637-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263719000006/0001282637-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263720000005/0001282637-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263721000004/0001282637-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263722000006/0001282637-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
