,https://roic.ai/company/SUP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-17200000,-63600000,-18600000,-25000000,-28100000,-53800000,-60200000,-25900000,-13500000,-13300000,-36700000,-33000000,-82032000,-37222000,-47876000,-64576000,-54579000,-100800000,-73062000,-37639000,-13227000,-8484000,-9313000,-16961000,-23145000,-67980000,-112556000,-39543000,-39575000,-70937000,-77697000,-64294000,-45038000,-64113000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445000,2867000,- -,- -,- -,- -,- -,-706733000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1900000,- -,-5000000,-4300000,-35400000,-82500000,-26800000,-2900000,-12500000,- -,- -,-1000000,- -,- -,-114863000,-41188000,-149670000,-229607000,- -,- -,- -,-10217000,-22094000,-4924000,-3977000,-3750000,-3750000,-950000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1000000,- -,2000000,1000000,17800000,78400000,29400000,17700000,1400000,5500000,- -,- -,930000,- -,54020000,99957000,82672000,228407000,- -,14948000,- -,- -,36149000,21720000,5133000,3970000,3750000,3750000,200000,- -,600000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-100000,- -,- -,3200000,-100000,-100000,-100000,-9600000,100000,-6900000,-4700000,200000,-1491000,- -,- -,- -,- -,- -,15000000,2819000,1902000,885000,-41000,979000,3457000,336000,2121000,1797000,4337000,56000,- -,9631000,859000,6589000
89,Cash Used for Investing Activites,- -,- -,- -,-18200000,-63600000,-21600000,-25100000,-45800000,-58000000,-57700000,-20700000,-24500000,-14700000,-41400000,-33800000,-82593000,-37222000,-108719000,-5807000,-121577000,-102000000,-58062000,-19872000,-11325000,-17816000,5146000,3681000,-18532000,-67424000,-110435000,-34946000,-35038000,-777614000,-77097000,-54663000,-44179000,-57524000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434704000,-332386000,-160064000,-342582000,-6288000
91,Common Stock Issued,- -,- -,- -,- -,300000,500000,2400000,14300000,2100000,1600000,2900000,600000,1500000,3200000,600000,1546000,4313000,18487000,7884000,1389000,128000,- -,430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1700000,-1600000,- -,-6900000,-3200000,-17100000,-19800000,-19000000,-13300000,-19500000,-22800000,-18979000,-2143000,- -,-3963000,-6817000,-377000,- -,- -,- -,- -,- -,- -,- -,-8133000,-21790000,-19638000,-20719000,-5014000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-2200000,-2400000,-2600000,-3000000,-3400000,-4900000,-5700000,-6600000,-7300000,-8300000,-9200000,-9866000,-10875000,-12368000,-13994000,-15609000,-16772000,-17032000,-17032000,-17062000,-17067000,-17108000,-17358000,-34878000,-550000,-19351000,-19082000,-18340000,-19473000,-28816000,-22556000,-13555000,-13543000
94,Other Financing Activites,- -,- -,- -,13200000,23700000,9400000,-18300000,-9200000,-13700000,25700000,-42900000,-13600000,-3900000,-700000,-300000,-340000,- -,-4124000,- -,- -,- -,- -,- -,617000,- -,2448000,4849000,1534000,3117000,7529000,7372000,1732000,1160298000,284864000,106021000,319077000,-4194000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,13200000,20100000,5900000,-18500000,-4800000,-18200000,5300000,-65500000,-38600000,-23000000,-25300000,-31700000,-27639000,-8705000,1995000,-10073000,-21037000,-17021000,-17032000,-16602000,-16445000,-17067000,-14660000,-12509000,-33344000,-5566000,-33612000,-31348000,-37327000,701107000,-76338000,-76599000,-37060000,-24025000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-668000,1684000,-325000,-4430000,-3470000,-376000,1371000,-1577000,-1117000,5614000,-2286000
97,Net Change In Cash,- -,- -,- -,13200000,20100000,5900000,-18500000,-4800000,-18200000,5300000,-65500000,-38600000,-23000000,-25300000,21500000,-14578000,13336000,-10694000,60702000,-65503000,-42520000,-38964000,38384000,40102000,-12556000,21064000,58164000,15569000,-4063000,-136850000,-10415000,5750000,-11426000,1104000,30463000,74496000,-38950000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108100000,93503000,106839000,96145000,156847000,91344000,48824000,68385000,106769000,146871000,134315000,129631000,187795000,203364000,199301000,62451000,52036000,57786000,46360000,47464000,77927000,152423000,113473000
99,Cash at the Beginning of Period,- -,- -,- -,17900000,31200000,33200000,21200000,53300000,11800000,8300000,5900000,3400000,36800000,73700000,86600000,108081000,93503000,106839000,96145000,156847000,91344000,107349000,68385000,106769000,146871000,108567000,129631000,187795000,203364000,199301000,62451000,52036000,57786000,46360000,47464000,77927000,152423000
100,Free Cash Flow,- -,- -,- -,1100000,-18000000,-14900000,50700000,-19000000,18900000,-10200000,57800000,83000000,61300000,42900000,54100000,13622000,22041000,48154000,12006000,22532000,-24299000,-36932000,37219000,54645000,13843000,21265000,50699000,42616000,1272000,-100929000,19806000,38916000,-7227000,78419000,98548000,105083000,-19228000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014895000135/0000950148-95-000135-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014802000713/v79868e10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014804000568/v97248e10vk.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000009555213000009/0000095552-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555214000006/sup10k12312013.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555215000015/sup10k12312014.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555216000033/0000095552-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555217000003/0000095552-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518084240/0001193125-18-084240-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312519067169/0001193125-19-067169-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459020007814/0001564590-20-007814-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459021011252/0001564590-21-011252-index.htm,https://www.sec.gov/Archives/edgar/data/95552/000156459022008510/0001564590-22-008510-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
