,https://roic.ai/company/SUP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,12900000,14000000,16900000,20200000,22500000,27200000,26100000,35700000,38600000,45800000,47700000,47200000,46900000,46500000,48800000,47636000,29249000,30843000,22902000,25776000,62914000,30149000,29171000,44245000,22645000,28285000,25888000,27727000,29468000,32309000,34923000,31602000,81379000,77722000,63883000,52420000,59339000
11,COGS and Expenses,119500000,134900000,153400000,177800000,218600000,238800000,241900000,277500000,318500000,364500000,428200000,422400000,460900000,459100000,466600000,523394000,567289000,673132000,739460000,845415000,871563000,811271000,953571000,792562000,451660000,658548000,781000000,788574000,754971000,727534000,691652000,678075000,1086537000,1416022000,1320308000,1087554000,1329374000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1200000,1800000,- -,3500000,4100000,- -,- -,5200000,4300000,2900000,3300000,1500000,- -,200000,- -,63000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45418000,41879000
14,Depreciation and Amortization,2800000,3400000,4600000,5400000,7400000,11500000,12400000,21500000,21700000,26600000,27700000,27300000,26900000,26700000,28500000,26920000,28388000,32605000,33577000,39281000,46468000,39137000,42925000,43712000,30779000,29093000,27538000,26362000,28466000,35582000,34530000,34261000,69335000,95056000,100722000,98178000,99635000
15,EBITDA,14900000,19600000,19700000,29400000,37200000,31400000,40800000,72100000,98700000,119800000,116000000,102900000,113100000,107700000,137000000,149493000,112577000,152989000,146992000,105390000,30961000,28282000,58480000,15881000,-37316000,83729000,69464000,60851000,65307000,51284000,69813000,88982000,70007000,127308000,7685000,-85084000,152705000
16,EBITDA ratio,0.1139,0.1319,0.1162,0.1469,0.1512,0.1173,0.1492,0.2216,0.2511,0.2624,0.2222,0.2041,0.2060,0.1997,0.2396,0.2318,0.1750,0.1955,0.1749,0.1169,0.0366,0.0358,0.0611,0.0210,-0.0891,0.1164,0.0845,0.0741,0.0827,0.0688,0.0959,0.1214,0.0632,0.0848,0.0056,-0.0773,0.1103
17,Operating Income,11300000,13700000,16100000,22400000,27500000,28800000,31600000,47800000,74500000,92100000,93800000,81800000,88200000,80300000,105200000,121505000,76106000,109467000,100889000,56340000,-26679000,-21409000,3321000,-37668000,-44618000,59799000,39835000,32880000,34593000,17913000,36294000,54602000,21518000,85805000,-50059000,-180435000,55376000
18,Operating Income ratio,0.0864,0.0922,0.0950,0.1119,0.1117,0.1076,0.1155,0.1469,0.1896,0.2017,0.1797,0.1622,0.1606,0.1489,0.1840,0.1884,0.1183,0.1399,0.1201,0.0625,-0.0316,-0.0271,0.0035,-0.0499,-0.1065,0.0831,0.0485,0.0400,0.0438,0.0240,0.0499,0.0745,0.0194,0.0571,-0.0365,-0.1639,0.0400
19,Total Other Income Expenses (Gains),-400000,700000,-1000000,-1900000,-1800000,-8900000,-3200000,-2400000,-1800000,-1800000,-8800000,-7700000,-2000000,500000,3300000,1005000,8083000,10917000,12526000,9769000,9947000,5321000,6879000,9095000,1363000,-2316000,2091000,1609000,2248000,-2211000,-1011000,119000,-20652000,-53553000,-42978000,-48245000,-44185000
20,Income Before Tax,10900000,14400000,15100000,20500000,25700000,19900000,28400000,45400000,72700000,90300000,85000000,74100000,86200000,80800000,108500000,122510000,84189000,120384000,113415000,66109000,-16732000,-16088000,10200000,-28573000,-43255000,57483000,41926000,34489000,36841000,15702000,35283000,54721000,866000,32252000,-93037000,-228680000,11191000
21,Income Before Tax Ratio,0.0833,0.0969,0.0891,0.1024,0.1044,0.0744,0.1038,0.1396,0.1850,0.1978,0.1628,0.1470,0.1570,0.1498,0.1898,0.1900,0.1309,0.1538,0.1350,0.0733,-0.0198,-0.0204,0.0107,-0.0379,-0.1033,0.0799,0.0510,0.0420,0.0467,0.0211,0.0485,0.0747,0.0008,0.0215,-0.0678,-0.2077,0.0081
22,Income Tax expense (Gain),3700000,5900000,5600000,7400000,9500000,7600000,10200000,16800000,27500000,34000000,31900000,27200000,30800000,28500000,37700000,42573000,28835000,42134000,39695000,21454000,-9671000,-1534000,6263000,-1778000,26047000,2993000,-25243000,3598000,14017000,6899000,11339000,13340000,6875000,6291000,3423000,14881000,7437000
23,Net Income,7200000,8500000,9500000,13100000,16200000,12300000,18200000,28600000,45200000,56300000,53100000,46900000,55400000,52300000,70800000,79937000,55354000,78250000,73720000,44655000,-5836000,-9321000,9292000,-26053000,-94142000,51643000,67169000,30891000,22824000,8803000,23944000,41381000,-6203000,25961000,-96460000,-243561000,3754000
24,Net Income ratio,0.0550,0.0572,0.0560,0.0654,0.0658,0.0460,0.0665,0.0879,0.1150,0.1233,0.1017,0.0930,0.1009,0.0970,0.1238,0.1240,0.0860,0.1000,0.0877,0.0495,-0.0069,-0.0118,0.0097,-0.0345,-0.2248,0.0718,0.0817,0.0376,0.0289,0.0118,0.0329,0.0565,-0.0056,0.0173,-0.0703,-0.2213,0.0027
25,EPS,0.05,0.06,0.06,0.13,0.15,0.13,0.21,0.63,1.50,1.85,1.78,1.63,1.97,1.89,2.63,3.07,2.14,2.97,2.76,1.68,-0.22,-0.35,0.35,-0.98,-3.53,1.93,2.48,1.13,0.83,0.33,0.90,1.63,-1.01,0.29,-5.10,-10.81,-1.17
26,EPS Diluted,0.05,0.06,0.06,0.13,0.15,0.13,0.21,0.63,1.47,1.85,1.78,1.63,1.96,1.88,2.62,3.04,2.10,2.91,2.73,1.67,-0.22,-0.35,0.35,-0.98,-3.53,1.93,2.46,1.13,0.83,0.33,0.90,1.62,-1.01,0.29,-5.10,-10.81,-1.17
27,Weighted Average Shares Outstanding,29493000,29625000,28996000,22981000,25823000,28441000,28960000,29982000,30133333,30432432,29831461,28773006,28121827,27671958,26920152,26038111,25866355,26346801,26710145,26580357,26527273,26631429,26548571,26655000,26668000,26704000,27052000,27219000,27392000,26908000,26599396,25439000,24929000,24994000,25099000,25498000,25995000
28,Weighted Average Shares Outstanding Diluted,29493000,29625000,28996000,22981000,25823000,28441000,28960000,29982000,30748299,30526316,29926471,28813559,28265306,27819149,27022901,26295066,26359048,26890034,27003663,26739521,26527273,26631429,26548571,26655000,26668000,26789000,27330000,27330000,27531000,27020000,26633457,25539000,24929000,25155000,25099000,25498000,25995000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014895000135/0000950148-95-000135-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014802000713/v79868e10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014804000568/v97248e10vk.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000009555213000009/0000095552-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555214000006/sup10k12312013.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555215000015/sup10k12312014.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555216000033/0000095552-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555217000003/0000095552-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518084240/0001193125-18-084240-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312519067169/0001193125-19-067169-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459020007814/0001564590-20-007814-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459021011252/0001564590-21-011252-index.htm,https://www.sec.gov/Archives/edgar/data/95552/000156459022008510/0001564590-22-008510-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15600000,38900000,20900000,31200000,33200000,21200000,53300000,11800000,8300000,5900000,3400000,36800000,73700000,86600000,108100000,93503000,106839000,96145000,156847000,91344000,48824000,68385000,106769000,146871000,134315000,129631000,187795000,203364000,199301000,62451000,52036000,57786000,46360000,47464000,77927000,152423000,113473000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59039000,- -,28300000,58525000,9750000,- -,- -,6152000,21922000,5126000,3970000,3750000,3750000,950000,750000,750000,750000,- -,- -,- -
33,Cash and Short-Term Investments,15600000,38900000,20900000,31200000,33200000,21200000,53300000,11800000,8300000,5900000,3400000,36800000,73700000,86600000,108100000,93503000,106839000,155184000,156847000,119644000,107349000,78135000,106769000,146871000,140467000,151553000,192921000,207334000,203051000,66201000,52986000,58536000,47110000,48214000,77927000,152423000,113473000
34,Net Receivables,20800000,20900000,29500000,35300000,34700000,46100000,45000000,59100000,65300000,81300000,70900000,66600000,78500000,100800000,107000000,88722000,102171000,134030000,147579000,150560000,135501000,138552000,132381000,93327000,97921000,117947000,124845000,103392000,97207000,106233000,113692000,103013000,167096000,111440000,81416000,53952000,88404000
35,Inventory,17000000,21500000,30200000,35300000,33000000,39400000,29100000,25500000,26600000,44700000,53800000,47700000,42400000,41400000,39500000,56340000,60843000,67824000,68228000,89984000,107726000,118724000,107170000,70115000,47612000,74897000,66933000,71948000,67193000,74677000,61769000,82837000,173999000,175578000,168470000,154980000,172099000
36,Other Current Assets,800000,1500000,2100000,8800000,8500000,14800000,19200000,37800000,41000000,28900000,14600000,13000000,5200000,7100000,9100000,7014000,10418000,11903000,15856000,8788000,9164000,11182000,9759000,8976000,22132000,37215000,19584000,22234000,16767000,28900000,17373000,9695000,29178000,35189000,26375000,22301000,30279000
37,Total Current Assets,54200000,82800000,82700000,110600000,109400000,121500000,146600000,134200000,141200000,160800000,142700000,164100000,199800000,235900000,263700000,245579000,280271000,368941000,388510000,368976000,359740000,346593000,356079000,319289000,308132000,381612000,404283000,404908000,384218000,276011000,245820000,254081000,417383000,370421000,354188000,383656000,404255000
38,PP&E,20600000,31800000,40300000,50400000,106900000,110600000,122400000,130900000,162200000,185900000,177500000,161700000,148000000,158200000,163100000,218713000,228181000,235566000,261733000,274830000,292289000,310414000,302253000,216209000,180121000,167207000,145747000,147544000,219892000,255035000,234646000,227403000,536686000,532767000,529282000,522124000,494401000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304805000,291434000,184832000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203473000,168369000,137078000,110796000,76870000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508278000,459803000,321910000,110796000,76870000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23602000,4500000,4725000,4638000,4565000,2000000,2000000,2000000,- -,548400000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12673000,39152000,7781000,- -,16795000,17038000,14664000,17852000,25598000,28838000,54302000,42105000,38607000,30860000,27715000
44,Other Non-Current Assets,300000,700000,700000,600000,1500000,2300000,2000000,2100000,6700000,11000000,21600000,31800000,34900000,33300000,33700000,27372000,32386000,41289000,52962000,100722000,67450000,55006000,58917000,53889000,22217000,19123000,21681000,25473000,30049000,29012000,31865000,30434000,34603000,-501880000,67880000,61889000,50906000
45,Total Non-Current Assets,20900000,32500000,41000000,51000000,108400000,112900000,124400000,133000000,168900000,196900000,199100000,193500000,182900000,191500000,196800000,246085000,260567000,276855000,314695000,375552000,359739000,365420000,373843000,309250000,233721000,190830000,188948000,194693000,269170000,303899000,294109000,288675000,1133869000,1081195000,957679000,725669000,649892000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,75100000,115300000,123700000,161600000,217800000,234400000,271000000,267200000,310100000,357700000,341800000,357600000,382700000,427400000,460500000,491664000,540838000,645796000,703205000,744528000,719479000,712013000,729922000,628539000,541853000,572442000,593231000,599601000,653388000,579910000,539929000,542756000,1551252000,1451616000,1311867000,1109325000,1054147000
48,Accounts Payable,- -,- -,- -,- -,44500000,41300000,66100000,37400000,52000000,46100000,46900000,46200000,34300000,57700000,45500000,42775000,30654000,43987000,30398000,42351000,53527000,60959000,51603000,26318000,24574000,30230000,29018000,32400000,34494000,23938000,20913000,37856000,118424000,107274000,123112000,151839000,153197000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,39200000,13600000,3900000,600000,600000,300000,340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3052000,4010000,8980000,8452000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8191000,5730000,6961000,14089000,9118000,13268000,10590000,15244000,16609000,15049000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5419000,4654000,5810000,5880000,8249000,6887000
52,Other Current Liabilities,24000000,33500000,34700000,47400000,15000000,28900000,25800000,25900000,24000000,21600000,21200000,26300000,30500000,32800000,41000000,31907000,40483000,53136000,53223000,44992000,57107000,52151000,43993000,35883000,42202000,40308000,39532000,34178000,64936000,48024000,52949000,42689000,67981000,62327000,58113000,62069000,63343000
53,Total Current Liabilities,24000000,33500000,34700000,47400000,59500000,70200000,91900000,63300000,76000000,106900000,81700000,76400000,65400000,91100000,86800000,75022000,71137000,97123000,83621000,87343000,110634000,113110000,95596000,62201000,66776000,70538000,68550000,66578000,99430000,71962000,73862000,85964000,195059000,178463000,191115000,231137000,231879000
54,Long-Term Debt,5900000,28500000,27900000,41600000,67800000,63200000,53300000,44100000,34000000,23100000,5800000,1900000,1300000,700000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,679552000,661426000,611025000,625492000,602355000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
