,https://roic.ai/company/RZA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,734000,734000,734000,791000,791000,791000,791000,791000,791000,791000,791000,1000000,1000000,1000000
64,Retained Earnings,1682087000,2055549000,2587403000,3131934000,3357255000,3659938000,4239647000,4620303000,5199130000,6736265000,7284949000,7952000000,8148000000,8563000000
65,Other Comprehensive Income/Loss,- -,- -,907415000,1623055000,2108902000,1005607000,1657129000,708284000,1139329000,2063631000,636763000,3137000000,5359000000,3642000000
66,Other Total Stockholders Equity,968684000,1829222000,1545015000,1381325000,1443239000,1269191000,1125885000,806003000,753832000,768848000,528050000,511000000,844000000,808000000
67,Total Stockholders Equity,2651505000,3885505000,5040567000,6137105000,6910187000,5935527000,7023452000,6135381000,7093082000,9569535000,8450553000,11601000000,14352000000,13014000000
68,Total Liabilities And Stockholders Equity,24310323000,25267079000,29081908000,32104032000,40360438000,39674473000,44679611000,50383152000,53097879000,60514818000,64535245000,76731000000,84656000000,92175000000
69,Minority Interest,-2651505000,-17578000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21658818000,25249501000,29081908000,32104032000,40360438000,39674473000,44679611000,50383152000,53097879000,60514818000,64535245000,76731000000,84656000000,92175000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/898174/000095012309003732/0000950123-09-003732-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000095012310018205/0000950123-10-018205-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000095012311019862/0000950123-11-019862-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000119312512085927/0001193125-12-085927-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000119312513085281/0001193125-13-085281-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817414000003/0000898174-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817415000010/0000898174-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817416000044/0000898174-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817417000008/0000898174-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817418000006/0000898174-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817419000011/0000898174-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817420000005/0000898174-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817421000006/0000898174-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817422000005/0000898174-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,176796000,407086000,574402000,599620000,631893000,418837000,684047000,502166000,701443000,1822181000,715842000,870000000,415000,617000
74,Depreciation and Amortization,-89942000,-134524000,144334000,172688000,-83787000,-95547000,102459000,77303000,120805000,158284000,102505000,104000000,-46000000,-54000
75,Deferred Income Tax,47617000,-81195000,-444150000,-186228000,-198112000,-230778000,-170731000,-148996000,-293777000,847304000,-76507000,-211000000,-16000000,-89000
76,Stock Based Compensation,- -,- -,- -,23100000,- -,- -,24400000,16000000,33100000,22300000,30100000,39000000,- -,- -
77,Change in Working Capital,951098000,-666238000,23025723000,2834809000,-2687097000,-1729396000,16603790000,5237086000,2448520000,6883295000,3161576000,11914889000,-67447000000,2890000000
78,Accounts Receivable,-83402000,-72803000,-111451000,-83650000,-285193000,-106136000,-136710000,-313882000,-156836000,-346737000,-764159000,110000000,162000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,565043000,-101195000,22924528000,25759337000,23072240000,21342844000,37946634000,43183720000,45632240000,52515535000,55677111000,67592000000,145000000,3035000000
82,Other Non-Cash Items,-358587000,1839107000,-21457569000,-2134457000,4311630000,3364044000,-14907810000,-3594944000,-1544373000,-7751056000,-2352395000,-10409889000,70830585000,-2886292000
83,Cash Provided by Operating Activities,726982000,1364236000,1842740000,1309532000,1974527000,1727160000,2336155000,2088615000,1465718000,1982308000,1581121000,2307000000,3322000000,4182000
84,CAPEX,- -,- -,- -,- -,- -,- -,-88361000,-23553000,-44642000,-44211000,-28891000,-34000000,-28000000,-19000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2805000,- -,-145235000,- -,- -,-31441000,4000000,- -,- -
86,Purchases of Investments,-2726438000,-4693875000,-4854416000,-4011985000,-6818378000,-46506000,-6129956000,-5874309000,-7414647000,-8941293000,-9724190000,-15664000000,-9619000000,-18071000
87,Sales/Maturities of Investments,1771503000,2952773000,150687000,218696000,145423000,155237000,539789000,439640000,472435000,589214000,626650000,907000000,6514000000,12142000
88,Other Investing Activites,-118227000,-197956000,2983247000,2887508000,4713511000,-1488118000,4367583000,4171716000,4161128000,6788717000,8521320000,12149000000,453000000,1320000
89,Cash Used for Investing Activites,-1073162000,-1939058000,-1720482000,-905781000,-1959444000,-1382192000,-1310945000,-1431741000,-2825726000,-1607573000,-636552000,-2638000000,-2680000000,-4628000
90,Debt Repayment,23159000,25573000,10452000,-130798000,97000000,-119255000,-772000,19732000,64571000,68429000,96354000,91000000,-3000000,-403000
91,Common Stock Issued,331878000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481000000,- -
92,Common Stock Repurchased,- -,- -,-463661000,-962870000,-1259892000,-923647000,-1645669000,-1525275000,-1200718000,-1303524000,-1889733000,-1449000000,- -,- -
93,Dividends Paid,-23329000,-26212000,-35170000,-44229000,-61945000,-77642000,-87256000,-93381000,-100371000,-117291000,-140110000,-163000000,-182000000,-194000
94,Other Financing Activites,509455000,195638000,294950000,1239892000,1506776000,439331000,1478138000,890642000,2291907000,1027764000,1611516000,1400000000,958000000,617000
95,Cash Used/Provided by Financing Activities,841163000,194999000,-193429000,101995000,281939000,-681213000,-255559000,-708282000,1055389000,-324622000,-321973000,-121000000,1254000000,20000
96,Effect of Forex Changes on Cash,- -,- -,22805000,-6537000,8552000,-47091000,-47629000,-68986000,-19938000,52693000,-36387000,11000000,63000,-34000
97,Net Change In Cash,471052000,-363376000,-48366000,499209000,297022000,-336245000,722022000,-120394000,-324557000,102806000,586209000,-441000000,1959000000,-460000
98,Cash at the End of Period,875403000,512027000,463661000,962870000,1259892000,923647000,1645669000,1525275000,1200718000,1303524000,1889733000,1449000000,3408000000,2948000
99,Cash at the Beginning of Period,404351000,875403000,512027000,463661000,962870000,1259892000,923647000,1645669000,1525275000,1200718000,1303524000,1890000000,1449000000,3408000
100,Free Cash Flow,726982000,1364236000,1842740000,1309532000,1974527000,1727160000,2247794000,2065062000,1421076000,1938097000,1552230000,2273000000,3294000000,4163000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/898174/000095012309003732/0000950123-09-003732-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000095012310018205/0000950123-10-018205-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000095012311019862/0000950123-11-019862-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000119312512085927/0001193125-12-085927-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000119312513085281/0001193125-13-085281-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817414000003/0000898174-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817415000010/0000898174-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817416000044/0000898174-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817417000008/0000898174-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817418000006/0000898174-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817419000011/0000898174-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817420000005/0000898174-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817421000006/0000898174-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817422000005/0000898174-22-000005-index.htm
102,false,,,,,,,,,,,,,,
