,https://roic.ai/company/CNA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,2895400000,- -,- -,- -,- -,-38863000000,47325800000,298800000,1077400000,1286000000,-380000000,598000000,-1118000000,505000000,-613000000,479000000,-551000000,1460000000,-68000000,-3036000000,4061000000,269000000,-52139000000,-2205000000,1255000000,3977000000,-573000000,287000000,-865000000,-2310000000,-1324000000,41166000000,- -
78,Accounts Receivable,- -,- -,- -,- -,-710200000,-735700000,5800000,74600000,584500000,-640200000,-271000000,-36000000,695000000,-655000000,-466000000,-1804000000,-3746000000,800000000,-3491000000,-218000000,4484000000,2566000000,1483000000,- -,- -,- -,- -,49000000,44000000,731000000,82000000,-130000000,92000000,-229000000,137000000,-409000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,2157900000,2385100000,- -,36500000,1242200000,1443900000,9900000,-228500000,-937000000,625000000,-2335000000,-169000000,4616000000,-786000000,7380000000,411000000,-2287000000,-1562000000,-1048000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38863000000,8462800000,8761600000,9839000000,11125000000,10745000000,11343000000,10225000000,10730000000,10117000000,10596000000,10045000000,11505000000,11437000000,8401000000,12462000000,12731000000,-39408000000,-41613000000,-40358000000,-36381000000,-36954000000,-36667000000,-37532000000,-39842000000,-41166000000,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-1650000000,1682900000,1258600000,1663700000,1207500000,39934400000,-47406000000,-981700000,-2470400000,-2615000000,-2346000000,-3545000000,2217000000,418000000,3732000000,568000000,2775000000,-265000000,743000000,4989000000,-3485000000,-1453000000,52956000000,2555000000,-1166000000,-3314000000,1547000000,57000000,964000000,2665000000,1442000000,-40092000000,795000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1492700000,1735300000,1770800000,1012400000,1272200000,982200000,875000000,620200000,-193000000,-949000000,-2644000000,-1373000000,-599000000,1040000000,1760000000,1607000000,2169000000,2250000000,1239000000,1558000000,1258000000,-89000000,1702000000,1250000000,1204000000,1440000000,1387000000,1416000000,1254000000,1227000000,1140000000,1775000000,1997000000
84,CAPEX,- -,- -,- -,- -,-29600000,-29800000,-31700000,-31900000,-89500000,-109500000,-126200000,-205300000,-280000000,-261000000,-250000000,-152000000,-124000000,-88000000,-65000000,-41000000,-45000000,-131000000,-160000000,-104000000,-63000000,-53000000,-84000000,-94000000,-91000000,-71000000,-125000000,-146000000,-102000000,-99000000,-26000000,-23000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000000,-19000000,-2000000,-19000000,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,-260000000,-115000000,94000000,-14000000,38000000,21000000,-76000000,281000000,149000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-14906000000,-26526300000,-38402600000,-32775600000,-43587700000,-35042200000,-30349400000,-37166600000,-43811000000,-40110000000,-47090000000,-43635000000,-58266000000,-67434000000,-62356000000,-59588000000,-63472000000,-49097000000,-73393000000,-48904000000,-24785000000,-15174000000,-12381000000,-10360000000,-11296000000,-9820000000,-8737000000,-9827000000,-9240000000,-11055000000,-9393000000,-10768000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,13260300000,24585200000,36666800000,34575100000,44300700000,2524000000,4416600000,1077400000,2939000000,1733000000,3827000000,7157000000,2835000000,1197000000,578000000,3407000000,1878000000,47571000000,75275000000,47093000000,23734000000,15932000000,11378000000,9931000000,10700000000,8943000000,8580000000,8893000000,9125000000,11035000000,9053000000,10019000000,- -
88,Other Investing Activites,- -,- -,- -,- -,27200000,47200000,-11900000,-2778900000,-2375000000,31660400000,24144900000,36006700000,41364000000,39201000000,46669000000,38502000000,55369000000,64837000000,59710000000,54203000000,60323000000,11000000,-2818000000,7000000,21000000,62000000,27000000,-151000000,-96000000,-64000000,-76000000,196000000,-228000000,18000000,-140000000,-82000000,-1228000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1648100000,-1923700000,-1779400000,-1011300000,-1751500000,-967300000,-1914100000,-287800000,212000000,443000000,3137000000,1870000000,-205000000,-1488000000,-2133000000,-2019000000,-1316000000,-1646000000,-1082000000,-1908000000,-1093000000,767000000,-1060000000,-934000000,-898000000,-918000000,-372000000,-846000000,-424000000,-177000000,-225000000,-705000000,-1228000000
90,Debt Repayment,- -,- -,- -,- -,-2500000,-3900000,-900000,-900000,-1000000,-2900000,-208300000,-253700000,-5000000,-730000000,-450000000,-164000000,-664000000,-341000000,-387000000,-619000000,-568000000,-294000000,- -,-350000000,-100000000,-156000000,-451000000,-70000000,-13000000,-549000000,- -,-358000000,-391000000,-180000000,-520000000,-419000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,- -,- -,1006000000,- -,- -,- -,- -,1502000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-26700000,-2800000,- -,- -,- -,- -,- -,- -,- -,-302000000,- -,-35000000,- -,- -,- -,- -,- -,-1986000000,- -,-70000000,-250000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-18000000,- -
93,Dividends Paid,- -,- -,- -,- -,-10900000,-9200000,-7600000,-4700000,-4000000,-4900000,-6900000,-6300000,-6000000,-7000000,-13000000,-1000000,- -,- -,- -,- -,- -,- -,-95000000,-141000000,-122000000,-76000000,-108000000,-162000000,-216000000,-541000000,-811000000,-813000000,-842000000,-896000000,-929000000,-950000000,- -
94,Other Financing Activites,- -,- -,- -,- -,219800000,219900000,31700000,6900000,529900000,10900000,1328300000,-36900000,118000000,1179000000,-94000000,-287000000,441000000,773000000,773000000,987000000,-269000000,173000000,-90000000,908000000,352000000,-510000000,-85000000,-7000000,-35000000,571000000,4000000,498000000,478000000,-9000000,484000000,485000000,-648000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,179700000,204000000,23200000,1300000,524900000,3100000,1113100000,-296900000,107000000,340000000,-557000000,-487000000,783000000,432000000,386000000,368000000,-837000000,-605000000,-185000000,347000000,-120000000,-742000000,-644000000,-239000000,-264000000,-519000000,-807000000,-673000000,-755000000,-1085000000,-988000000,-902000000,-648000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,-13000000,10000000,1000000,- -,4000000,-3000000,-8000000,-11000000,-13000000,9000000,-10000000,5000000,9000000,- -
97,Net Change In Cash,- -,- -,- -,- -,179700000,204000000,23200000,1300000,524900000,18000000,74000000,35500000,126000000,-166000000,-64000000,10000000,-21000000,-16000000,13000000,-44000000,16000000,-1000000,-23000000,-16000000,55000000,-63000000,-2000000,81000000,39000000,-5000000,197000000,-116000000,84000000,-45000000,-68000000,177000000,-648000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,147600000,221600000,257100000,383000000,217000000,153000000,163000000,142000000,126000000,139000000,95000000,125000000,124000000,101000000,85000000,140000000,77000000,75000000,156000000,195000000,190000000,387000000,271000000,355000000,310000000,242000000,419000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,27300000,51600000,67100000,81700000,84100000,129600000,147600000,221600000,257000000,383000000,217000000,153000000,163000000,142000000,126000000,139000000,109000000,125000000,124000000,101000000,85000000,140000000,77000000,75000000,156000000,195000000,190000000,387000000,271000000,355000000,310000000,242000000,- -
100,Free Cash Flow,- -,- -,- -,- -,1463100000,1705500000,1739100000,980500000,1182700000,872700000,748800000,414900000,-473000000,-1210000000,-2894000000,-1525000000,-723000000,952000000,1695000000,1566000000,2124000000,2119000000,1079000000,1454000000,1195000000,-142000000,1618000000,1156000000,1113000000,1369000000,1262000000,1270000000,1152000000,1128000000,1114000000,1752000000,1997000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21175/000002117595000005/0000021175-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117596000003/0000021175-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117597000016/0000021175-97-000016-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117598000006/0000021175-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117599000014/0000021175-99-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/21175/000089155401501431/0000891554-01-501431-index.html,https://www.sec.gov/Archives/edgar/data/21175/000095013702001172/c67951ke10-k405.htm,https://www.sec.gov/Archives/edgar/data/21175/000095013703001707/c75546e10vk.htm,https://www.sec.gov/Archives/edgar/data/21175/000095012404000588/c83244e10vk.htm,https://www.sec.gov/Archives/edgar/data/21175/000095013705002420/c92483e10vk.htm,https://www.sec.gov/Archives/edgar/data/21175/000095013706002738/c03056e10vk.htm,https://www.sec.gov/Archives/edgar/data/21175/000095013707002661/c12423e10vk.htm,https://www.sec.gov/Archives/edgar/data/21175/000095013708002701/c23921e10vk.htm,https://www.sec.gov/Archives/edgar/data/21175/000095013709001250/0000950137-09-001250-index.html,https://www.sec.gov/Archives/edgar/data/21175/000095012310015622/0000950123-10-015622-index.html,https://www.sec.gov/Archives/edgar/data/21175/000095012311016340/0000950123-11-016340-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117512000009/0000021175-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117513000009/0000021175-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117514000021/cna2013q4.htm,https://www.sec.gov/Archives/edgar/data/21175/000002117515000027/cna2014q4.htm,https://www.sec.gov/Archives/edgar/data/21175/000002117516000135/0000021175-16-000135-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117517000040/0000021175-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117518000019/0000021175-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117519000022/0000021175-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117520000017/0000021175-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/21175/000002117521000022/0000021175-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/21175/000002117522000016/0000021175-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
