,https://roic.ai/company/ITW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,6300000,-4500000,-4100000,-4100000,-13300000,-31700000,-23900000,-12600000,-7800000,59900000,105300000,-21106000,38612000,-60471000,203958000,143214000,69745000,167003000,-5522000,-95857000,-477582000,-150369000,-175923000,243000000,6000000,55000000,-11000000,-263000000,64000000,34000000,32000000,-30000000,-148000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51858000,56443000,56374000,54000000,37000000,39000000,41000000,39000000,36000000,40000000,41000000,42000000,53000000
77,Change in Working Capital,- -,- -,- -,- -,-39600000,- -,- -,- -,- -,634500000,47100000,-199800000,218900000,-88200000,615000000,283951000,133635000,666561000,982652000,-823072000,-360353000,458947000,635549000,-2157233000,1790820000,35852000,997810000,1436381000,-1527000000,761000000,-191000000,-989000000,862000000,-1989000000,1863000000,-165000000,-439000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336873000,-238213000,-302952000,-13000000,-83000000,-70000000,-42000000,-132000000,-138000000,-60000000,40000000,95000000,-240000000
79,Inventory,- -,- -,- -,- -,-13700000,-5400000,66800000,26700000,23200000,-8100000,-22800000,58900000,6200000,18500000,7400000,3945000,158502000,71844000,108180000,-177052000,104419000,-60204000,-4543000,-104789000,572679000,-177761000,-50577000,82000000,24000000,-10000000,25000000,9000000,-81000000,-108000000,98000000,43000000,-450000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84526000,69450000,-54977000,-21000000,8000000,-20000000,-30000000,-3000000,39000000,-46000000,-16000000,19000000,37000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,634500000,681600000,481800000,700700000,612500000,1227500000,1511451000,1645086000,2311647000,3294299000,2471227000,2110874000,2569821000,3205370000,1048137000,2838957000,2874809000,3872619000,5309000000,3782000000,4543000000,4352000000,3363000000,4225000000,2236000000,4099000000,3934000000,-1000000
82,Other Non-Cash Items,- -,- -,- -,- -,8300000,-32500000,-13800000,-2000000,-10900000,-625200000,-125200000,177300000,-323200000,-134800000,-868100000,-511785000,-13188000,-335678000,-1148102000,487398000,259201000,-721574000,-540336000,2265064000,-840441000,-456607000,-1587646000,-3144381000,1720000000,-2692000000,84000000,1010000000,-709000000,1702000000,-1888000000,424000000,-13000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,223500000,247500000,278100000,311300000,314100000,387500000,437500000,629400000,660300000,721500000,1036600000,1122410000,1351026000,1288756000,1368741000,1532031000,1846536000,2066028000,2484297000,2222884000,2146589000,1560790000,1956008000,2072000000,2528000000,1616000000,2299000000,2302000000,2402000000,2811000000,2995000000,2807000000,2557000000
84,CAPEX,- -,- -,- -,- -,-84300000,-101200000,-106000000,-62500000,-119900000,-131100000,-150200000,-168700000,-178700000,-959900000,-1141500000,-313913000,-256562000,-271424000,-258312000,-282560000,-293102000,-301006000,-353355000,-355472000,-247102000,-286172000,-353408000,-382000000,-368000000,-361000000,-284000000,-273000000,-297000000,-364000000,-326000000,-236000000,-296000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-798837000,-556199000,-188234000,-203726000,-587783000,-626922000,-1338405000,-652300000,-1440929000,-264415000,-370445000,-1286246000,397000000,-367000000,-27000000,23000000,-450000000,-1000000,1000000,116000000,1000000,-731000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126300000,-104200000,-89700000,-13200000,- -,-22060000,-101329000,-194741000,-133236000,-64442000,-120240000,-25347000,-28734000,-19583000,-17586000,-16047000,-5641000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,50000000,43800000,45500000,133000000,84102000,214513000,77780000,59509000,85412000,220082000,367365000,91184000,26932000,20215000,25322000,36516000,281000000,40000000,28000000,22000000,21000000,43000000,16000000,20000000,14000000,38000000
88,Other Investing Activites,- -,- -,- -,- -,-203200000,-194700000,7300000,-98800000,-273700000,-11100000,-182300000,-298500000,-30000000,37200000,80100000,39344000,37603000,243362000,51904000,38046000,35783000,22978000,19157000,32982000,4766000,40498000,29648000,752000000,239000000,3202000000,29000000,170000000,4000000,22000000,7000000,7000000,5000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-287500000,-295900000,-98700000,-161300000,-393600000,-142200000,-424800000,-521400000,-254600000,-890400000,-928400000,-1011364000,-661974000,-333257000,-483861000,-811327000,-784399000,-1274415000,-924048000,-1756070000,-504122000,-606844000,-1579131000,1047000000,-456000000,2842000000,-210000000,-532000000,-251000000,-325000000,-183000000,-214000000,-984000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2895610000,-34086000,-8655000,-272000000,-6000000,-1751000000,-2000000,-1000000,-652000000,-1000000,-1351000000,-4000000,-351000000
91,Common Stock Issued,- -,- -,- -,- -,8300000,7800000,9500000,11000000,8300000,3200000,7600000,5500000,7800000,7400000,21900000,25409000,- -,44381000,40357000,79108000,24563000,78969000,116665000,56189000,101733000,114844000,153100000,283000000,206000000,148000000,59000000,84000000,84000000,22000000,85000000,66000000,50000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000000,- -,- -,- -,-45000000,- -,- -,- -,- -,-1729806000,-1041798000,-446876000,-1757761000,-1390594000,- -,-350000000,-950000000,-2020000000,-2106000000,-4346000000,-2002000000,-2000000000,-1000000000,-2000000000,-1500000000,-706000000,-1000000000
93,Dividends Paid,- -,- -,- -,- -,-28700000,-35900000,-44100000,-50300000,-55200000,-61200000,-71800000,-85500000,-107100000,-127400000,-183600000,-223009000,-249141000,-272319000,-285399000,-304581000,-335092000,-398846000,-502430000,-598690000,-619681000,-636200000,-680280000,-865000000,-528000000,-711000000,-742000000,-821000000,-941000000,-1124000000,-1321000000,-1379000000,-1463000000
94,Other Financing Activites,- -,- -,- -,- -,91800000,86400000,-93900000,-171200000,133100000,-152100000,128200000,-11900000,-237200000,200000000,230300000,37779000,-307627000,-705000,-95754000,127487000,86005000,191527000,753598000,1471219000,2163191000,-142491000,1164387000,1303000000,1294000000,3109000000,161000000,483000000,835000000,-861000000,1761000000,-26000000,200000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,71400000,58300000,-128500000,-210500000,86200000,-210100000,24000000,-91900000,-336500000,80000000,23600000,-159821000,-556768000,-228643000,-340796000,-1827792000,-1266322000,-575226000,-1389928000,-461876000,-1250367000,-1047933000,-321448000,-1571000000,-1140000000,-3551000000,-2526000000,-2255000000,-1674000000,-3964000000,-2326000000,-2049000000,-2564000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3200000,6000000,-4600000,-1400000,-2500000,6300000,3000000,4900000,-21000000,-3400000,-8400000,-32883000,-1355000,48607000,82712000,89995000,-92788000,3403000,66996000,-89512000,183722000,-34747000,-63921000,53000000,-93000000,-535000000,-463000000,-133000000,145000000,-112000000,-9000000,39000000,-46000000
97,Net Change In Cash,- -,- -,- -,- -,71400000,58300000,-128500000,-210500000,86200000,-210100000,24000000,-91900000,-336500000,80000000,123400000,-81658000,130929000,775463000,626796000,-1017093000,-296973000,219790000,237317000,-84574000,575822000,-128734000,-8492000,1601000000,839000000,372000000,-900000000,-618000000,622000000,-1590000000,477000000,583000000,-1037000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232900000,151295000,282224000,1057687000,1684483000,667390000,370417000,590207000,827524000,742950000,1318772000,1190038000,1177875000,2779000000,3618000000,3990000000,3090000000,2472000000,3094000000,1504000000,1981000000,2564000000,1527000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,26700000,30900000,46800000,93100000,31200000,35400000,76900000,116600000,137700000,185900000,109500000,232953000,151295000,282224000,1057687000,1684483000,667390000,370417000,590207000,827524000,742950000,1318772000,1186367000,1178000000,2779000000,3618000000,3990000000,3090000000,2472000000,3094000000,1504000000,1981000000,2564000000
100,Free Cash Flow,- -,- -,- -,- -,139200000,146300000,172100000,248800000,194200000,256400000,287300000,460700000,481600000,-238400000,-104900000,808497000,1094464000,1017332000,1110429000,1249471000,1553434000,1765022000,2130942000,1867412000,1899487000,1274618000,1602600000,1690000000,2160000000,1255000000,2015000000,2029000000,2105000000,2447000000,2669000000,2571000000,2261000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000091205795001849/0000912057-95-001849-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013196001325/0000950131-96-001325-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013797001181/0000950137-97-001181-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000095013702001470/c67784e10-k405.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013703001256/c75093e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013704001633/c83293e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013705002667/c92475e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013706002224/c02489e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013707002694/c12075e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013708002954/c23108e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013709001368/0000950137-09-001368-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095012310017817/0000950123-10-017817-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982614000022/itw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982615000016/itw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982616000151/0000049826-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982617000022/0000049826-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982618000017/0000049826-18-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982620000020/0000049826-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982621000007/0000049826-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982622000006/0000049826-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
