,https://roic.ai/company/BTU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,2244462000,2094226000,2710500000,- -,2717098000,2829480000,3631582000,4644453000,5256315000,4574712000,6593400000,6012400000,6860000000,7974400000,8077500000,7013700000,6792200000,5609200000,4715300000,5578800000,5581800000,4623400000,2881100000,3318300000
2,COGS,- -,- -,- -,- -,- -,- -,2225344000,2335800000,2969209000,3715836000,4155984000,3574818000,4617200000,4467700000,4841000000,5550000000,5932700000,5736100000,5716900000,5007700000,4107600000,4031600000,4072600000,3536600000,2524900000,2553100000
3,Gross Profit,- -,- -,- -,- -,- -,- -,491754000,493680000,662373000,928617000,1100331000,999894000,1976200000,1544700000,2019000000,2424400000,2144800000,1277600000,1075300000,601500000,607700000,1547200000,1509200000,1086800000,356200000,765200000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.1810,0.1745,0.1824,0.1999,0.2093,0.2186,0.2997,0.2569,0.2943,0.3040,0.2655,0.1822,0.1583,0.1072,0.1289,0.2773,0.2704,0.2351,0.1236,0.2306
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,83640000,67688000,95256000,- -,101416000,108525000,143025000,189802000,175941000,147146000,201800000,248800000,280700000,268200000,268800000,249100000,227100000,176400000,153400000,142600000,158100000,145000000,99500000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,83640000,67688000,95256000,- -,101416000,108525000,143025000,189802000,175941000,147146000,201800000,248800000,280700000,268200000,268800000,249100000,227100000,176400000,153400000,142600000,158100000,145000000,198500000,84900000
9,Other Expenses,- -,- -,1891635000,1847817000,2422007000,- -,216650000,240369000,272650000,220432000,261308000,284024000,381500000,405200000,412600000,535300000,730400000,806800000,736700000,617700000,507200000,652100000,798400000,742600000,292700000,353400000
10,Operating Expenses,- -,- -,1975275000,1915505000,2517263000,- -,318066000,348894000,415675000,410234000,437249000,431170000,583300000,654000000,693300000,803500000,999200000,1055900000,963800000,794100000,660600000,794700000,956500000,887600000,491200000,438300000
11,COGS and Expenses,- -,- -,1975275000,1915505000,2517263000,- -,2543410000,2684694000,3384884000,4126070000,4593233000,4005988000,5200500000,5121700000,5534300000,6353500000,6931900000,6792000000,6680700000,5801800000,4768200000,4826300000,5029100000,4424200000,3016100000,2991400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,9600000,18900000,24500000,15700000,15400000,7700000,5700000,8300000,33600000,27000000,9400000,6500000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201200000,222100000,238600000,405600000,425200000,428200000,465400000,298600000,152600000,149300000,144000000,139800000,183400000
14,Depreciation and Amortization,- -,- -,202640000,184191000,- -,- -,242181000,242494000,278489000,323052000,384620000,368744000,412900000,405200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308700000
15,EBITDA,- -,- -,453169000,203447000,-113312000,- -,307693000,226134000,427439000,746665000,903802000,554917000,1552200000,1248400000,1304200000,1559500000,82200000,-548000000,-157600000,-1707000000,-525200000,189400000,814600000,-21300000,-1722500000,875000000
16,EBITDA ratio,- -,- -,0.2019,0.0971,-0.0418,- -,0.1132,0.0799,0.1177,0.1608,0.1719,0.1213,0.2354,0.2076,0.1901,0.1956,0.0102,-0.0781,-0.0232,-0.3043,-0.1114,0.0339,0.1459,-0.0046,-0.5979,0.2637
17,Operating Income,- -,- -,269187000,178721000,193237000,- -,173688000,144786000,246698000,518383000,663082000,568724000,1392900000,844800000,1325700000,1593400000,172500000,-324800000,-135100000,-1464800000,-276900000,885200000,661600000,61700000,-1728300000,432200000
18,Operating Income ratio,- -,- -,0.1199,0.0853,0.0713,- -,0.0639,0.0512,0.0679,0.1116,0.1261,0.1243,0.2113,0.1405,0.1933,0.1998,0.0214,-0.0463,-0.0199,-0.2611,-0.0587,0.1587,0.1185,0.0133,-0.5999,0.1302
