,https://roic.ai/company/SQM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,47800000,54700000,70500000,84300000,102400000,100053000,45757000,43648000,46343000,50590000,55705000,61878000,69662000,70273000,85709000,78895000,78819000,91760000,134531000,143833000,150038000,173351000,137377000,126505000,124850000,124872000,176620000
11,COGS and Expenses,283900000,363600000,397100000,440400000,431700000,414009000,434369000,451819000,471126000,604554000,664449000,714779000,822998000,928038000,1141963000,994983000,1283229000,1382254000,1535098000,1625523000,1581280000,1358934000,1465662000,1521327000,1608374000,1508475000,1510941000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13858000,13525000,12930000,23210000,29068000,12696000,16142000,11570000,10550000,13499000,22533000,26289000,12684000
13,Interest Expense (Gain),11900000,13000000,13700000,- -,18800000,- -,45967000,36671000,29666000,21777000,18782000,16663000,27593000,19949000,19957000,30979000,35042000,39335000,54095000,57611000,62250000,69644000,57438000,48301000,55666000,71492000,84096000
14,Depreciation and Amortization,18600000,22200000,30700000,39200000,53800000,58969000,62258000,63727000,62487000,62790000,63733000,72419000,93430000,100790000,113488000,154549000,149962000,201914000,196158000,433000,5111000,321000,117000,98000,1723000,2642000,2750000
15,EBITDA,56600000,81600000,123000000,109000000,146000000,108803000,139776000,138038000,143117000,147376000,184055000,235115000,300216000,349352000,742803000,589116000,673155000,966717000,1115502000,663696000,464936000,374087000,468810000,642269000,676194000,462268000,321543000
16,EBITDA ratio,0.1803,0.1992,0.2597,0.2124,0.2887,0.2204,0.2786,0.2622,0.2584,0.2130,0.2334,0.2624,0.2879,0.2942,0.4187,0.4100,0.3678,0.4506,0.4592,0.3013,0.2308,0.2164,0.2417,0.2977,0.2984,0.2378,0.1769
17,Operating Income,30000000,46000000,76600000,72900000,74000000,79697000,67422000,74620000,82683000,87252000,124067000,181191000,219888000,259489000,632156000,441908000,510538000,741879000,900908000,652189000,450624000,368607000,448330000,618062000,668665000,433655000,302505000
18,Operating Income ratio,0.0956,0.1123,0.1617,0.1420,0.1463,0.1614,0.1344,0.1417,0.1493,0.1261,0.1573,0.2022,0.2108,0.2185,0.3563,0.3075,0.2789,0.3458,0.3709,0.2960,0.2237,0.2133,0.2312,0.2865,0.2951,0.2231,0.1665
19,Total Other Income Expenses (Gains),-3900000,400000,2000000,-3100000,-600000,-29863000,-35871000,-30077000,-31719000,-21159000,-17591000,-34322000,-36048000,-27084000,-19306000,-36986000,-17238000,-8050000,-27457000,-39080000,-45660000,-60321000,-33441000,-23472000,-47627000,-43033000,-63967000
20,Income Before Tax,26100000,46400000,78600000,69800000,73400000,49834000,31551000,44543000,50964000,66093000,106476000,146869000,183840000,232405000,612850000,404922000,493300000,733829000,873451000,613109000,404964000,308286000,414889000,594590000,621038000,390622000,238538000
21,Income Before Tax Ratio,0.0831,0.1133,0.1659,0.1360,0.1451,0.1009,0.0629,0.0846,0.0920,0.0955,0.1350,0.1639,0.1763,0.1957,0.3454,0.2818,0.2695,0.3421,0.3596,0.2783,0.2011,0.1784,0.2139,0.2756,0.2741,0.2010,0.1313
22,Income Tax expense (Gain),2800000,5700000,8400000,7500000,6200000,1759000,4861000,7538000,10764000,16056000,27308000,32527000,37916000,48592000,107951000,76532000,106029000,179710000,216082000,138539000,160686000,83766000,132965000,166173000,178975000,110019000,70179000
23,Net Income,23300000,40700000,70200000,62300000,67200000,48075000,26690000,30102000,40200000,46753000,74232000,113506000,141277000,180021000,501407000,327056000,382122000,545758000,649167000,467113000,236889000,220356000,278290000,427697000,439830000,278115000,164518000
24,Net Income ratio,0.0742,0.0994,0.1482,0.1214,0.1329,0.0974,0.0532,0.0572,0.0726,0.0676,0.0941,0.1267,0.1355,0.1516,0.2826,0.2276,0.2088,0.2544,0.2672,0.2120,0.1176,0.1275,0.1435,0.1983,0.1941,0.1431,0.0905
25,EPS,0.11,0.21,0.31,0.26,0.27,0.16,0.09,0.09,0.15,0.22,0.28,0.43,0.53,0.68,1.90,1.31,1.44,2.06,2.45,1.76,1.12,0.80,1.05,1.61,1.66,1.05,0.62
