,https://roic.ai/company/SBOW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1800000,2600000,4400000,4900000,5100000,7500000,8500000,9900000,12400000,13100000,14100000,22900000,30300000,43200000,46800000,5585487,69790945,66789241,77169123,129769246,171830654,266064461,296388000,341364000,241480000,202887000,271162000,216231000,195846000,175593000,135461000,375000000,62435000,52026000,60445000,44330000,- -
11,COGS and Expenses,2000000,3000000,5000000,5600000,6200000,9600000,10900000,13800000,16900000,18700000,20900000,31300000,41700000,56300000,66400000,34805802,106510554,108286553,130035925,170983502,219152495,328539080,367281000,446238000,318220000,330684000,428461000,463409000,470225000,464323000,334714000,- -,128728000,143909000,183328000,129543000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1339386,49281,263738,184383,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,600000,1800000,1100000,700000,- -,8800000,- -,15968405,12627022,23274969,27268524,27643108,24873401,23581663,28082000,31079000,30663000,- -,- -,57303000,69382000,73207000,75870000,- -,15070000,27666000,36561000,31228000,29129000
14,Depreciation and Amortization,400000,600000,1300000,1900000,2100000,3600000,3800000,4900000,7300000,7900000,8800000,16500000,24200000,39300000,42300000,47771393,59502040,56224392,63072057,81580828,107477787,169295774,188393000,222288000,- -,- -,- -,- -,- -,- -,- -,56875000,- -,- -,- -,- -,68629000
15,EBITDA,1800000,2500000,7900000,9000000,10800000,14400000,7500000,10500000,14500000,-2300000,16800000,46000000,57300000,-25300000,72000000,157449002,37543861,97907650,136702907,210664178,310790739,455163602,329730000,-162751000,-34208000,74127000,149315000,93881000,43577000,-360263000,-1658644000,- -,85087000,103209000,129635000,-257243000,- -
16,EBITDA ratio,0.5294,0.5208,0.6870,0.7258,0.7500,0.7423,0.5357,0.5645,0.6223,-0.0947,0.6245,0.7904,0.7650,-0.3147,0.6612,0.8310,0.2043,0.6528,0.6471,0.6768,0.7334,0.7396,0.5041,-0.1983,-0.0923,0.1698,0.2479,0.1694,0.0740,-0.6577,-6.7351,- -,0.4343,0.4011,0.4491,-1.4502,- -
17,Operating Income,1400000,1800000,6500000,6800000,8200000,9800000,3100000,4800000,6400000,5600000,6000000,26900000,33200000,-66700000,42500000,154664642,-21565311,41683258,80351809,130091748,204613750,285867828,272638000,-381679000,52225000,111701000,175240000,93881000,43577000,85133000,-89993000,- -,67182000,113377000,105303000,-318619000,245294000
18,Operating Income ratio,0.4118,0.3750,0.5652,0.5484,0.5694,0.5052,0.2214,0.2581,0.2747,0.2305,0.2230,0.4622,0.4433,-0.8296,0.3903,0.8163,-0.1173,0.2779,0.3804,0.4179,0.4828,0.4645,0.4168,-0.4650,0.1410,0.2558,0.2909,0.1694,0.0740,0.1554,-0.3654,- -,0.3429,0.4407,0.3648,-1.7962,Infinity
19,Total Other Income Expenses (Gains),- -,100000,100000,300000,500000,1000000,600000,-100000,200000,-800000,900000,1900000,-100000,-6700000,-12800000,-61585296,-12627022,-23274969,-29612631,-28651506,-26174199,-23581663,-28082000,-31079000,-116842000,-37393000,-40136000,-57303000,-69382000,-518603000,-1644521000,- -,2835000,-37834000,-12229000,30148000,- -
20,Income Before Tax,1400000,1900000,6600000,7100000,8700000,10800000,3700000,4700000,6600000,4800000,6900000,28800000,33100000,-73400000,29700000,93079346,-34192333,18408289,50739178,101440242,178439551,262286165,244556000,-412758000,-64617000,74308000,135104000,36578000,-25805000,-433470000,-1734514000,- -,70017000,75543000,93074000,-288471000,- -
