,https://roic.ai/company/PAAS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6200000,27583000,27770000,30168000,26888000,29931000,37296000,45093000,45123000,928896000,122401000,255447000,301064000,338600000,454812000,631986000,855275000,928594000,824504000,751942000,674688000,774775000,816828000,784495000,1350759000,1338812000,1632750000
2,COGS,- -,28166000,28051000,31719000,28892000,28361000,41483000,44367000,42322000,73000000,91345000,132648000,171159000,204526000,338740000,416706000,446150000,617231000,692985000,743869000,706777000,575896000,648068000,683598000,1121471000,978635000,1264812000
3,Gross Profit,- -,-583000,-281000,-1551000,-2004000,1570000,-4187000,726000,2801000,855896000,31056000,122799000,129905000,134074000,116072000,215280000,409125000,311363000,131519000,8073000,-32089000,198879000,168760000,100897000,229288000,360177000,367938000
4,Gross Profit Ratio,- -,-0.0211,-0.0101,-0.0514,-0.0745,0.0525,-0.1123,0.0161,0.0621,0.9214,0.2537,0.4807,0.4315,0.3960,0.2552,0.3406,0.4784,0.3353,0.1595,0.0107,-0.0476,0.2567,0.2066,0.1286,0.1697,0.2690,0.2253
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2584000,2212000,2638000,2138000,2558000,5928000,7556000,6936000,9172000,12382000,13122000,15767000,20038000,18291000,20790000,17596000,17908000,18027000,23663000,21397000,22649000,31752000,36375000,34852000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1095000,1609000,2584000,2212000,2638000,2138000,2558000,5928000,7556000,6936000,9172000,12382000,13122000,15767000,20038000,18291000,20790000,17596000,17908000,18027000,23663000,21397000,22649000,31752000,36375000,34852000
9,Other Expenses,- -,1240000,1959000,2003000,2281000,2509000,4312000,4872000,3325000,10869000,13095000,17520000,28992000,46349000,4375000,4754000,27727000,31376000,10218000,17777000,19941000,14155000,31233000,21321000,50185000,139528000,50285000
10,Operating Expenses,- -,2335000,3568000,4587000,4493000,5147000,6450000,7430000,9253000,18425000,20031000,26692000,41374000,59471000,20142000,24792000,46018000,52166000,27814000,35685000,37968000,37818000,52630000,43970000,81937000,175903000,85137000
11,COGS and Expenses,- -,30501000,31619000,36306000,33385000,33508000,47933000,51797000,51575000,91425000,111376000,159340000,212533000,263997000,358882000,441498000,492168000,669397000,720799000,779554000,744745000,613714000,700698000,727568000,1203408000,1154538000,1349949000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1179000,678000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,951000,4292000,2061000,6199000,7678000,6664000,5072000,3640000,2115000,7185000,8139000,16879000,9216000,3660000
14,Depreciation and Amortization,- -,1240000,1959000,2003000,2281000,2509000,4312000,4872000,3325000,10869000,13095000,17520000,28992000,46349000,83169000,86483000,82756000,108153000,135913000,147710000,150845000,115955000,122888000,147289000,253453000,272444000,302958000
15,EBITDA,-900000,-657000,1050000,-4005000,-3525000,-43369000,-3765000,-28786000,-3469000,33524000,-12214000,101210000,137457000,96332000,177215000,292104000,558567000,297012000,-286517000,-485300000,-76364000,292601000,310098000,186869000,452338000,535099000,550475000
16,EBITDA ratio,-0.1452,-0.0238,0.0378,-0.1328,-0.1311,-1.4490,-0.1009,-0.6384,-0.0769,0.0361,-0.0998,0.3962,0.4566,0.2845,0.3896,0.4622,0.6531,0.3199,-0.3475,-0.6454,-0.1132,0.3777,0.3796,0.2382,0.3349,0.3997,0.3371
17,Operating Income,6200000,-3429000,-3849000,-7365000,-6497000,-46324000,-10637000,-33922000,-6452000,835011000,-18641000,96107000,88531000,59486000,95930000,190488000,372580000,158676000,-438613000,-632766000,-230042000,184472000,188329000,42689000,127104000,209054000,320911000
18,Operating Income ratio,1.0000,-0.1243,-0.1386,-0.2441,-0.2416,-1.5477,-0.2852,-0.7523,-0.1430,0.8989,-0.1523,0.3762,0.2941,0.1757,0.2109,0.3014,0.4356,0.1709,-0.5320,-0.8415,-0.3410,0.2381,0.2306,0.0544,0.0941,0.1561,0.1965
19,Total Other Income Expenses (Gains),- -,1094000,2938000,- -,-415000,-42747000,3343000,-26235000,411000,-812177000,-5814000,-8640000,23039000,-9689000,-5079000,13072000,98684000,22659000,9524000,-4551000,-5713000,-8201000,-5844000,-9501000,55408000,42958000,-75920000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,22834000,-24455000,87467000,111570000,49797000,90851000,203560000,471264000,181335000,-429089000,-637317000,-235755000,176271000,182485000,33188000,182512000,252012000,244991000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0246,-0.1998,0.3424,0.3706,0.1471,0.1998,0.3221,0.5510,0.1953,-0.5204,-0.8476,-0.3494,0.2275,0.2234,0.0423,0.1351,0.1882,0.1500
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2753000,3285000,25484000,19605000,24430000,27756000,90987000,117118000,93822000,16757000,-92494000,-4199000,74446000,59034000,21147000,71268000,75557000,146429000
23,Net Income,-900000,-1897000,-909000,-6008000,-5806000,-45878000,-8077000,-33658000,-6794000,19902000,-28594000,58206000,88860000,24602000,61998000,112573000,352494000,87359000,-445851000,-545588000,-226650000,100085000,120991000,10294000,110738000,177882000,97428000
