,https://roic.ai/company/EOG,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,289400000,371300000,387600000,453000000,567700000,620200000,648700000,730600000,783500000,769200000,801400000,1489895000,1654887000,1095036000,1820394000,2302341000,3606990000,3904415000,4038496000,6386519000,4786959000,6099896000,10126115000,11055070000,14399395000,16639233000,8656393000,7463002000,11205978000,17176842000,16941727000,9873240000,19669000000
2,COGS,84900000,112400000,108900000,108600000,135100000,144300000,148100000,166000000,198300000,219600000,187800000,225448000,393429000,354836000,330115000,457169000,571283000,717798000,916050000,1275720000,1141086000,1410244000,- -,4267700000,4814825000,5559254000,4642082000,4603770000,4603009000,5155059000,5595799000,4922938000,5345000000
3,Gross Profit,204500000,258900000,278700000,344400000,432600000,475900000,500600000,564600000,585200000,549600000,613600000,1264447000,1261458000,740200000,1490279000,1845172000,3035707000,3186617000,3122446000,5110799000,3645873000,4689652000,10126115000,6787370000,9584570000,11079979000,4014311000,2859232000,6602969000,12021783000,11345928000,4950302000,14324000000
4,Gross Profit Ratio,0.7066,0.6973,0.7190,0.7603,0.7620,0.7673,0.7717,0.7728,0.7469,0.7145,0.7657,0.8487,0.7623,0.6760,0.8187,0.8014,0.8416,0.8162,0.7732,0.8002,0.7616,0.7688,1.0000,0.6140,0.6656,0.6659,0.4637,0.3831,0.5892,0.6999,0.6697,0.5014,0.7283
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,51400000,56600000,56400000,54400000,69000000,82900000,102649000,79963000,- -,- -,- -,- -,- -,- -,- -,248274000,280474000,-1810981000,331545000,348312000,402010000,366594000,394815000,434467000,426969000,489397000,483823000,511000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,397375000,884212000,2115792000,3035494000,3648840000,4126060000,2385982000,2007635000,3330237000,5203243000,5351524000,2697729000,4173000000
8,"Selling, General and Administrative Exp.",40200000,38300000,36200000,36600000,45300000,51400000,56600000,56400000,54400000,69000000,82900000,102649000,79963000,88952000,100403000,115013000,125918000,164981000,205210000,243708000,645649000,1164686000,304811000,3367039000,3997152000,4528070000,2752576000,2402450000,3764704000,5630212000,5840921000,3181552000,4684000000
9,Other Expenses,158100000,178900000,179100000,208100000,285100000,270500000,248600000,299400000,338100000,366900000,512600000,464935000,487732000,469917000,692562000,750964000,840042000,1017952000,1121323000,907047000,1723551000,2259000000,- -,1256203000,1656482000,1908374000,1387394000,1168023000,1353355000,1584126000,1591988000,1310840000,2027000000
10,Operating Expenses,198300000,217200000,215300000,244700000,330400000,321900000,305200000,355800000,392500000,435900000,595500000,567584000,567695000,558869000,792965000,865977000,965960000,1182933000,1326533000,1150755000,2369200000,3423686000,476469000,4623242000,5653634000,6436444000,4139970000,3570473000,5118059000,7214338000,7432909000,4492392000,6711000000
11,COGS and Expenses,283200000,329600000,324200000,353300000,465500000,466200000,453300000,521800000,590800000,655500000,783300000,793032000,961124000,913705000,1123080000,1323146000,1537243000,1900731000,2242583000,2426475000,3510286000,4833930000,8012806000,8890942000,10468459000,11995698000,8782052000,8174243000,9721068000,12369397000,13028708000,9415330000,12056000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100901000,129586000,210363000,213552000,235460000,201458000,237393000,281681000,274372000,245052000,185129000,205266000,178000000
14,Depreciation and Amortization,134300000,155900000,160900000,179800000,249700000,242200000,216000000,251300000,278200000,315100000,459900000,370026000,392399000,398036000,441843000,504403000,654258000,817089000,1065545000,1326875000,- -,- -,2516381000,3169703000,- -,- -,- -,3553417000,3409387000,- -,- -,-40673000000,3651000000
