,https://roic.ai/company/RPT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,34300000,29800000,36800000,27900000,29900000,26900000,26406761,16716960,40513000,59244000,76755000,85273000,92327000,90973000,91223000,108400000,131895000,141623000,153249000,153255000,142188000,124140000,119758000,121320000,128738000,170068000,218363000,251790000,260930000,265082000,260622000,234088000,191712000,213488000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37877000,36593000,36395000,35793000,46361000,62426000,73612000,74895000,74785000,73291000,71509000,63963000,68277000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142188000,86263000,83165000,84925000,92945000,123707000,155937000,178178000,186035000,190297000,187331000,162579000,127749000,145211000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.6949,0.6944,0.7000,0.7220,0.7274,0.7141,0.7076,0.7130,0.7179,0.7188,0.6945,0.6664,0.6802
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3200000,4100000,3900000,3800000,3600000,2086318,2455374,4683000,4753000,5831000,5964000,5520000,8337000,8833000,8515000,11145000,13509000,13000000,14291000,- -,- -,- -,- -,19445000,22273000,21670000,20077000,22041000,26159000,33861000,29910000,25801000,32328000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3200000,4100000,3900000,3800000,3600000,2086318,2455374,4683000,4753000,5831000,5964000,5520000,8337000,8833000,8515000,11145000,13509000,13000000,14291000,15805000,13448000,18330000,19650000,19445000,22273000,21670000,20077000,22041000,26159000,33861000,29910000,25801000,32328000
9,Other Expenses,- -,- -,- -,- -,- -,- -,8678567,10723567,33163000,41635000,58511000,62351000,69043000,69333000,71916000,88605000,98385000,115142000,80672000,85509000,79173000,30866000,3203000,36255000,39479000,56305000,81182000,89439000,91793000,91335000,87327000,78647000,-3886000,72254000
