,https://roic.ai/company/ADM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5336000000,5774600000,6798400000,7928800000,7751300000,8468200000,9231500000,9811400000,11374400000,12671900000,13314000000,13853300000,16108600000,14283300000,12876817000,20051421000,23453561000,30708033000,36151394000,35943810000,36596111000,44018000000,69816000000,69207000000,61682000000,80676000000,89038000000,89804000000,81201000000,67702000000,62346000000,60828000000,64341000000,64656000000,64355000000,85249000000
2,COGS,4700200000,5079100000,5907800000,6888600000,6597100000,7310600000,7894700000,8419900000,9882300000,10622600000,11530400000,12077200000,14167600000,12429100000,11009603000,18619623000,21770105000,28980895000,34003070000,33512471000,33630297000,40781000000,65974000000,65118000000,57839000000,76376000000,85370000000,85915000000,76433000000,63682000000,58662000000,57322000000,60160000000,60509000000,59902000000,79262000000
3,Gross Profit,635800000,695500000,890600000,1040200000,1154200000,1157600000,1336800000,1391500000,1492100000,2049300000,1783600000,1776100000,1941000000,1854200000,1867214000,1431798000,1683456000,1727138000,2148324000,2431339000,2965814000,3237000000,3842000000,4089000000,3843000000,4300000000,3668000000,3889000000,4768000000,4020000000,3684000000,3506000000,4181000000,4147000000,4453000000,5987000000
4,Gross Profit Ratio,0.1192,0.1204,0.1310,0.1312,0.1489,0.1367,0.1448,0.1418,0.1312,0.1617,0.1340,0.1282,0.1205,0.1298,0.1450,0.0714,0.0718,0.0562,0.0594,0.0676,0.0810,0.0735,0.0550,0.0591,0.0623,0.0533,0.0412,0.0433,0.0587,0.0594,0.0591,0.0576,0.0650,0.0641,0.0692,0.0702
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,143800000,158800000,165700000,197400000,231700000,279200000,294800000,324800000,371200000,429400000,450000000,675100000,660700000,701100000,729358000,731029000,826922000,947694000,1401833000,1080811000,1192683000,1195000000,1419000000,1412000000,- -,1611000000,- -,1759000000,1907000000,2010000000,2045000000,1993000000,2165000000,2493000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1398000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",143800000,158800000,165700000,197400000,231700000,279200000,294800000,324800000,371200000,429400000,450000000,675100000,660700000,701100000,729358000,731029000,826922000,947694000,1401833000,1080811000,1192683000,1195000000,1419000000,1412000000,1398000000,1611000000,1626000000,1759000000,1907000000,2010000000,2045000000,1993000000,2165000000,2493000000,2687000000,2994000000
9,Other Expenses,138500000,155900000,184000000,220500000,248100000,261400000,293700000,328500000,354500000,406800000,419200000,475500000,560100000,622200000,647639000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,282300000,314700000,349700000,417900000,479800000,540600000,588500000,653300000,725700000,836200000,869200000,1150600000,1220800000,1323300000,1376997000,731029000,826922000,947694000,1401833000,1080811000,1192683000,1195000000,1419000000,1412000000,1398000000,1611000000,1626000000,1759000000,1907000000,2010000000,2045000000,1993000000,2165000000,2493000000,2687000000,2994000000
11,COGS and Expenses,4982500000,5393800000,6257500000,7306500000,7076900000,7851200000,8483200000,9073200000,10608000000,11458800000,12399600000,13227800000,15388400000,13752400000,12386600000,19350652000,22597027000,29928589000,35404903000,34593282000,34822980000,41976000000,67393000000,66530000000,59237000000,77987000000,86996000000,87674000000,78340000000,65692000000,60707000000,59315000000,62325000000,63002000000,62589000000,82256000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,112000000,102000000,92000000,71000000,92000000,106000000,162000000,192000000,88000000,96000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430000000,422000000,482000000,441000000,413000000,337000000,308000000,293000000,330000000,364000000,402000000,339000000,265000000
14,Depreciation and Amortization,138500000,155900000,184000000,220500000,248100000,261400000,293700000,328500000,354500000,406800000,419200000,475500000,560100000,622200000,647639000,621974000,614070000,648726000,689858000,664652000,656714000,701000000,721000000,730000000,912000000,877000000,848000000,909000000,894000000,882000000,900000000,924000000,941000000,993000000,976000000,996000000
15,EBITDA,534300000,633800000,756000000,888300000,1001200000,979400000,1053300000,1107500000,1092800000,1588300000,1473600000,1119900000,1170100000,1026700000,1000876000,1143873000,1333007000,1279699000,1407869000,2181027000,2511964000,3855000000,3345000000,3694000000,3930000000,4392000000,3035000000,3334000000,4356000000,3477000000,3006000000,2856000000,3360000000,2983000000,3188000000,4548000000
